年份,固定资产投资(不含农户)项目建成投产率,农、林、牧、渔业固定资产投资(不含农户)项目建成投产率,农业固定资产投资(不含农户)项目建成投产率,林业固定资产投资(不含农户)项目建成投产率,畜牧业固定资产投资(不含农户)项目建成投产率,渔业固定资产投资(不含农户)项目建成投产率,农、林、牧、渔服务业固定资产投资(不含农户)项目建成投产率,采矿业固定资产投资(不含农户)项目建成投产率,煤炭开采和洗选业固定资产投资(不含农户)项目建成投产率,石油和天然气开采业固定资产投资(不含农户)项目建成投产率,黑色金属矿采选业固定资产投资(不含农户)项目建成投产率,有色金属矿采选业固定资产投资(不含农户)项目建成投产率,非金属矿采选业固定资产投资(不含农户)项目建成投产率,其他采矿业固定资产投资(不含农户)项目建成投产率,制造业固定资产投资(不含农户)项目建成投产率,农副食品加工业固定资产投资(不含农户)项目建成投产率,食品制造业固定资产投资(不含农户)项目建成投产率,饮料制造业固定资产投资(不含农户)项目建成投产率,烟草制品业固定资产投资(不含农户)项目建成投产率,纺织业固定资产投资(不含农户)项目建成投产率,纺织服装、鞋、帽制造业固定资产投资(不含农户)项目建成投产率,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)项目建成投产率,木材加工及木竹藤棕草制品业固定资产投资(不含农户)项目建成投产率,家具制造业固定资产投资(不含农户)项目建成投产率,造纸及纸制品业固定资产投资(不含农户)项目建成投产率,印刷业和记录媒介的复制固定资产投资(不含农户)项目建成投产率,文教体育用品制造业固定资产投资(不含农户)项目建成投产率,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)项目建成投产率,化学原料及化学制品制造业固定资产投资(不含农户)项目建成投产率,医药制造业固定资产投资(不含农户)项目建成投产率,化学纤维制造业固定资产投资(不含农户)项目建成投产率,橡胶制品业固定资产投资(不含农户)项目建成投产率,塑料制品业固定资产投资(不含农户)项目建成投产率,非金属矿物制品业固定资产投资(不含农户)项目建成投产率,黑色金属冶炼及压延加工业固定资产投资(不含农户)项目建成投产率,有色金属冶炼及压延加工业固定资产投资(不含农户)项目建成投产率,金属制品业固定资产投资(不含农户)项目建成投产率,通用设备制造业固定资产投资(不含农户)项目建成投产率,专用设备制造业固定资产投资(不含农户)项目建成投产率,交通运输设备制造业固定资产投资(不含农户)项目建成投产率,电气机械及器材制造业固定资产投资(不含农户)项目建成投产率,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)项目建成投产率,仪器仪表文化办公用机械制造业固定资产投资(不含农户)项目建成投产率,工艺品及其他制造业固定资产投资(不含农户)项目建成投产率,废弃资源和废旧材料回收加工业固定资产投资(不含农户)项目建成投产率,电力、燃气及水的生产和供应业固定资产投资(不含农户)项目建成投产率,电力、热力的生产和供应业固定资产投资(不含农户)项目建成投产率,燃气生产和供应业固定资产投资(不含农户)项目建成投产率,水的生产和供应业固定资产投资(不含农户)项目建成投产率,建筑业固定资产投资(不含农户)项目建成投产率,房屋和土木工程建筑业固定资产投资(不含农户)项目建成投产率,建筑安装业固定资产投资(不含农户)项目建成投产率,建筑装饰业固定资产投资(不含农户)项目建成投产率,其他建筑业固定资产投资(不含农户)项目建成投产率,交通运输、仓储和邮政业固定资产投资(不含农户)项目建成投产率,铁路运输业固定资产投资(不含农户)项目建成投产率,道路运输业固定资产投资(不含农户)项目建成投产率,城市公共交通业固定资产投资(不含农户)项目建成投产率,水上运输业固定资产投资(不含农户)项目建成投产率,航空运输业固定资产投资(不含农户)项目建成投产率,管道运输业固定资产投资(不含农户)项目建成投产率,装卸搬运和其他运输服务业固定资产投资(不含农户)项目建成投产率,仓储业固定资产投资(不含农户)项目建成投产率,邮政业固定资产投资(不含农户)项目建成投产率,信息传输、计算机服务和软件业固定资产投资(不含农户)项目建成投产率,电信和其他信息传输服务业固定资产投资(不含农户)项目建成投产率,计算机服务业固定资产投资(不含农户)项目建成投产率,软件业固定资产投资(不含农户)项目建成投产率,批发和零售业固定资产投资(不含农户)项目建成投产率,批发业固定资产投资(不含农户)项目建成投产率,零售业固定资产投资(不含农户)项目建成投产率,住宿和餐饮业固定资产投资(不含农户)项目建成投产率,住宿业固定资产投资(不含农户)项目建成投产率,餐饮业固定资产投资(不含农户)项目建成投产率,金融业固定资产投资(不含农户)项目建成投产率,银行业固定资产投资(不含农户)项目建成投产率,证券业固定资产投资(不含农户)项目建成投产率,保险业固定资产投资(不含农户)项目建成投产率,其他金融活动固定资产投资(不含农户)项目建成投产率,房地产业固定资产投资(不含农户)项目建成投产率,租赁和商务服务业固定资产投资(不含农户)项目建成投产率,租赁业固定资产投资(不含农户)项目建成投产率,商务服务业固定资产投资(不含农户)项目建成投产率,科学研究、技术服务和地质勘查业固定资产投资(不含农户)项目建成投产率,研究与试验发展固定资产投资(不含农户)项目建成投产率,专业技术服务业固定资产投资(不含农户)项目建成投产率,科技交流和推广服务业固定资产投资(不含农户)项目建成投产率,地质勘查业固定资产投资(不含农户)项目建成投产率,水利、环境和公共设施管理业固定资产投资(不含农户)项目建成投产率,水利管理业固定资产投资(不含农户)项目建成投产率,环境管理业固定资产投资(不含农户)项目建成投产率,公共设施管理业固定资产投资(不含农户)项目建成投产率,居民服务和其他服务业固定资产投资(不含农户)项目建成投产率,居民服务业固定资产投资(不含农户)项目建成投产率,其他服务业固定资产投资(不含农户)项目建成投产率,教育固定资产投资(不含农户)项目建成投产率,卫生、社会保障和社会福利业固定资产投资(不含农户)项目建成投产率,卫生固定资产投资(不含农户)项目建成投产率,社会保障业固定资产投资(不含农户)项目建成投产率,社会福利业固定资产投资(不含农户)项目建成投产率,文化、体育和娱乐业固定资产投资(不含农户)项目建成投产率,新闻出版业固定资产投资(不含农户)项目建成投产率,广播、电视、电影和音像业固定资产投资(不含农户)项目建成投产率,文化艺术业固定资产投资(不含农户)项目建成投产率,体育固定资产投资(不含农户)项目建成投产率,娱乐业固定资产投资(不含农户)项目建成投产率,公共管理和社会组织固定资产投资(不含农户)项目建成投产率,中国共产党机关固定资产投资(不含农户)项目建成投产率,国家机构固定资产投资(不含农户)项目建成投产率,人民政协和民主党派固定资产投资(不含农户)项目建成投产率,群众团体、社会团体和宗教组织固定资产投资(不含农户)项目建成投产率,基层群众自治组织固定资产投资(不含农户)项目建成投产率,国际组织固定资产投资(不含农户)项目建成投产率
2009,63.83,74.0,73.32,79.07,72.63,66.72,73.69,68.36,65.88,51.99,71.04,65.77,74.79,65.05,64.93,68.21,66.9,64.55,55.45,67.46,65.37,62.54,74.15,71.93,69.7,67.65,65.48,52.95,64.69,55.97,60.57,65.59,69.07,71.79,59.86,53.34,66.71,66.68,63.1,56.44,58.0,53.88,61.64,59.82,64.15,56.81,56.6,52.7,58.53,69.48,63.66,79.82,95.81,64.12,63.7,40.86,66.34,47.66,49.7,49.31,58.33,60.87,59.78,69.47,35.39,33.76,84.59,47.01,75.46,73.71,76.77,73.24,63.82,82.58,70.67,68.02,78.95,80.26,82.8,67.97,60.85,78.13,60.06,58.68,47.21,60.63,65.92,68.93,57.17,61.66,54.46,56.17,75.78,76.41,74.36,64.2,60.66,60.8,64.17,58.91,59.09,34.82,62.22,56.11,49.43,67.05,65.5,65.93,64.76,60.0,66.33,69.27,
2008,61.36,72.17,69.23,73.0,73.83,71.07,72.06,64.47,64.02,59.82,67.57,56.56,70.19,56.06,61.12,66.62,62.0,60.52,46.13,62.44,60.54,57.05,71.6,65.08,65.08,61.66,55.91,47.76,59.44,50.64,58.18,64.08,66.79,70.22,51.06,52.11,63.54,64.03,59.34,51.58,55.6,49.72,52.52,52.97,59.06,54.13,55.39,52.3,51.51,59.98,58.33,71.15,77.2,63.21,63.23,56.43,65.56,51.97,47.89,40.66,45.45,55.26,58.11,63.97,43.55,43.01,69.55,38.5,71.25,70.57,71.76,70.59,60.37,81.75,67.44,67.04,61.9,69.44,70.33,67.79,56.83,75.54,55.82,53.2,42.93,59.38,56.67,57.36,54.45,57.62,53.4,53.63,74.3,73.42,76.22,62.67,59.99,58.92,52.94,66.21,57.14,43.7,58.63,52.95,53.02,63.84,62.78,71.35,62.14,59.52,63.99,66.09,
2007,57.49,69.12,66.31,71.02,68.1,62.92,70.82,63.29,62.75,49.03,66.27,59.47,67.88,62.75,54.74,60.2,55.18,58.02,46.52,56.45,52.95,50.26,65.03,56.04,59.36,56.34,51.73,51.89,55.59,45.68,48.18,57.25,59.18,64.03,51.5,47.62,55.97,55.44,51.87,43.85,48.17,40.66,45.2,44.39,62.71,51.22,51.98,53.34,48.29,52.74,50.86,64.88,76.04,54.66,59.11,56.08,61.37,43.39,34.74,38.24,50.0,52.4,55.48,68.99,64.05,64.36,79.35,30.85,66.32,64.63,67.61,65.98,56.85,76.37,65.52,64.88,66.67,71.43,65.33,65.3,45.48,60.53,44.66,49.29,43.48,50.89,55.38,51.83,50.09,54.28,49.66,48.91,72.97,71.82,75.16,62.57,56.55,55.17,56.1,64.42,53.79,48.78,53.2,50.63,43.73,62.58,58.98,59.13,59.32,55.0,57.58,56.91,
2006,57.19,67.14,66.58,68.9,64.47,64.33,68.08,62.51,59.27,77.12,65.15,58.43,67.72,48.08,55.1,60.21,53.94,55.7,37.23,55.5,52.26,46.14,64.78,56.21,56.25,56.92,50.85,56.56,57.14,44.36,48.71,54.1,60.11,64.84,57.28,50.56,54.56,55.66,54.34,47.42,48.78,41.68,44.38,46.12,53.57,50.79,53.05,46.66,44.65,54.45,53.18,54.25,66.86,65.2,60.1,65.31,62.32,46.08,34.19,46.49,50.0,48.7,54.72,66.18,63.24,63.69,68.59,43.17,64.62,63.8,65.2,65.44,55.62,76.05,58.57,55.61,56.25,70.31,78.18,66.94,52.57,66.13,51.72,49.46,41.24,55.17,56.58,48.09,49.9,52.14,43.36,49.95,71.06,70.58,72.2,61.98,56.06,55.18,57.63,62.42,53.11,40.34,54.07,50.97,45.74,59.98,55.87,49.81,54.9,51.56,58.09,63.38,
2005,56.88,76.22,71.42,69.67,71.12,62.19,83.37,60.97,58.86,72.42,64.06,56.39,65.78,36.54,54.44,60.41,51.23,57.76,53.23,54.95,54.11,46.54,63.79,53.83,56.26,56.04,50.7,53.51,54.97,45.52,53.3,54.8,58.93,62.53,54.39,48.79,55.37,56.91,52.61,48.2,50.12,43.4,45.05,47.38,56.44,49.66,51.27,42.43,46.19,41.56,40.17,62.56,68.7,43.51,61.33,79.06,62.52,43.06,34.31,36.62,56.6,43.35,55.71,56.94,64.07,64.87,56.6,34.48,67.01,69.64,64.84,62.69,51.75,74.41,61.49,61.47,53.85,68.12,55.36,50.03,47.82,71.82,46.22,47.43,38.35,51.51,53.19,57.14,50.36,54.35,49.31,49.21,66.35,68.19,61.97,61.88,59.5,58.96,74.44,62.28,51.89,43.14,54.21,49.06,38.15,61.17,56.15,32.11,56.73,45.59,56.77,56.83,
2004,52.5181024879317,64.9795623948065,65.1025056947608,67.4827035657265,60.5651894669236,61.6788321167883,66.1417322834646,57.0046697798532,55.7512580877067,55.2631578947369,59.2482690405539,55.4421768707483,59.6884128529698,67.8571428571429,49.8568326117328,56.7953581789779,51.1853867081228,52.75,48.9208633093525,49.6399423907825,48.7391304347826,43.5174746335964,60.5351170568562,47.1014492753623,51.5705311250714,50.7692307692308,40.5737704918033,52.4787535410765,52.0795385549484,43.0167597765363,41.0029498525074,49.777117384844,51.8939393939394,55.6790720154664,50.7118205349439,50.2637889688249,50.1330180313331,51.8482725295965,47.0733973366367,41.9979612640163,43.6217948717949,36.7070895522388,36.5102639296188,51.7458100558659,49.5412844036697,45.8428783182859,47.6138828633406,41.5294117647059,40.4030054644809,50.7364144235653,50.2718168812589,59.0604026845638,55.8139534883721,49.0909090909091,57.277522163618,62.5535561268209,58.5343990438485,48.9194499017682,48.7229862475442,36.2445414847162,39.4736842105263,48.3870967741936,55.6270096463022,54.0123456790123,67.2711975320183,67.9717341482047,43.8202247191011,28.6764705882353,58.9903506707461,57.043429844098,60.41581736649,55.8290888511602,46.6421825813221,66.5847665847666,56.9593147751606,57.7723378212974,,51.4285714285714,58.5365853658537,49.5114866649063,43.7777777777778,66.0377358490566,42.8681572860447,41.3984461709212,37.1577574967405,43.6893203883495,43.9393939393939,49.0196078431373,46.738307855305,49.6451024133036,45.1763140385895,45.8429819974602,59.8705501618123,59.84375,59.9303135888502,58.3942662709042,51.0355029585799,50.563871232315,55.5555555555556,55.3376906318083,44.7886414972572,48.4848484848485,46.7304625199362,44.043321299639,38.177874186551,47.636815920398,49.8344370860927,52.9605263157895,49.621757925072,55.7377049180328,49.0147783251232,51.8118735543562,20.0
2003,53.7140466993086,63.9,62.6,66.4,59.4,60.5,66.6,58.4,57.4,52.6,57.3,56.5,66.1,42.9,50.6,58.8,53.4,55.6,49.8,56.1,49.9,40.6,62.4,48.3,54.5,54.2,41.9,53.3,55.1,38.4,48.9,50.3,52.8,58.2,49.6,51.5,48.6,51.2,47.0,42.6,42.5,36.7,38.7,37.8,36.5,47.7,49.9,34.3,42.7,54.1,54.8,54.5,50.4,37.9,53.8,67.1,54.3,44.2,39.6,34.1,21.2,56.3,55.9,49.8,69.6,70.4,35.7,40.4,59.7,58.3,60.8,58.4,50.6,69.0,59.3,58.9,54.5,66.7,48.7,45.2,44.8,58.5,44.4,40.2,36.7,42.3,37.9,54.0,48.0,49.6,42.2,48.0,57.9,59.3,53.3,62.1,53.0,52.1,71.9,56.6,46.0,48.2,53.1,43.5,37.8,47.2,54.5,47.1,54.3,58.9,55.4,58.6,50.0
2002,57.3915296945904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,60.9491233112963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,60.8748459778208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
