年份,外商投资企业固定资产投资(不含农户),农、林、牧、渔业外商投资企业固定资产投资(不含农户),农业外商投资企业固定资产投资(不含农户),林业外商投资企业固定资产投资(不含农户),畜牧业外商投资企业固定资产投资(不含农户),渔业外商投资企业固定资产投资(不含农户),农、林、牧、渔服务业外商投资企业固定资产投资(不含农户),采矿业外商投资企业固定资产投资(不含农户),煤炭开采和洗选业外商投资企业固定资产投资(不含农户),石油和天然气开采业外商投资企业固定资产投资(不含农户),黑色金属矿采选业外商投资企业固定资产投资(不含农户),有色金属矿采选业外商投资企业固定资产投资(不含农户),非金属矿采选业外商投资企业固定资产投资(不含农户),其他采矿业外商投资企业固定资产投资(不含农户),制造业外商投资企业固定资产投资(不含农户),农副食品加工业外商投资企业固定资产投资(不含农户),食品制造业外商投资企业固定资产投资(不含农户),饮料制造业外商投资企业固定资产投资(不含农户),烟草制品业外商投资企业固定资产投资(不含农户),纺织业外商投资企业固定资产投资(不含农户),纺织服装、鞋、帽制造业外商投资企业固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业外商投资企业固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业外商投资企业固定资产投资(不含农户),家具制造业外商投资企业固定资产投资(不含农户),造纸及纸制品业外商投资企业固定资产投资(不含农户),印刷业和记录媒介的复制外商投资企业固定资产投资(不含农户),文教体育用品制造业外商投资企业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业外商投资企业固定资产投资(不含农户),化学原料及化学制品制造业外商投资企业固定资产投资(不含农户),医药制造业外商投资企业固定资产投资(不含农户),化学纤维制造业外商投资企业固定资产投资(不含农户),橡胶制品业外商投资企业固定资产投资(不含农户),塑料制品业外商投资企业固定资产投资(不含农户),非金属矿物制品业外商投资企业固定资产投资(不含农户),黑色金属冶炼及压延加工业外商投资企业固定资产投资(不含农户),有色金属冶炼及压延加工业外商投资企业固定资产投资(不含农户),金属制品业外商投资企业固定资产投资(不含农户),通用设备制造业外商投资企业固定资产投资(不含农户),专用设备制造业外商投资企业固定资产投资(不含农户),交通运输设备制造业外商投资企业固定资产投资(不含农户),电气机械及器材制造业外商投资企业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业外商投资企业固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业外商投资企业固定资产投资(不含农户),工艺品及其他制造业外商投资企业固定资产投资(不含农户),废弃资源和废旧材料回收加工业外商投资企业固定资产投资(不含农户),电力燃气水的生产供应业外商投资企业固定资产投资(不含农户),电力、热力的生产和供应业外商投资企业固定资产投资(不含农户),燃气生产和供应业外商投资企业固定资产投资(不含农户),水的生产和供应业外商投资企业固定资产投资(不含农户),建筑业外商投资企业固定资产投资(不含农户),房屋和土木工程建筑业外商投资企业固定资产投资(不含农户),建筑安装业外商投资企业固定资产投资(不含农户),建筑装饰业外商投资企业固定资产投资(不含农户),其他建筑业外商投资企业固定资产投资(不含农户),交通运输、仓储和邮政业外商投资企业固定资产投资(不含农户),铁路运输业外商投资企业固定资产投资(不含农户),道路运输业外商投资企业固定资产投资(不含农户),城市公共交通业外商投资企业固定资产投资(不含农户),水上运输业外商投资企业固定资产投资(不含农户),航空运输业外商投资企业固定资产投资(不含农户),管道运输业外商投资企业固定资产投资(不含农户),装卸搬运和其他运输服务业外商投资企业固定资产投资(不含农户),仓储业外商投资企业固定资产投资(不含农户),邮政业外商投资企业固定资产投资(不含农户),信息传输、计算机服务和软件业外商投资企业固定资产投资(不含农户),电信和其他信息传输服务业外商投资企业固定资产投资(不含农户),计算机服务业外商投资企业固定资产投资(不含农户),软件业外商投资企业固定资产投资(不含农户),批发和零售业外商投资企业固定资产投资(不含农户),批发业外商投资企业固定资产投资(不含农户),零售业外商投资企业固定资产投资(不含农户),住宿和餐饮业外商投资企业固定资产投资(不含农户),住宿业外商投资企业固定资产投资(不含农户),餐饮业外商投资企业固定资产投资(不含农户),金融业外商投资企业固定资产投资(不含农户),银行业外商投资企业固定资产投资(不含农户),证券业外商投资企业固定资产投资(不含农户),保险业外商投资企业固定资产投资(不含农户),其他金融活动外商投资企业固定资产投资(不含农户),房地产业外商投资企业固定资产投资(不含农户),租赁和商务服务业外商投资企业固定资产投资(不含农户),租赁业外商投资企业固定资产投资(不含农户),商务服务业外商投资企业固定资产投资(不含农户),科学研究、技术服务和地质勘查业外商投资企业固定资产投资(不含农户),研究与试验发展外商投资企业固定资产投资(不含农户),专业技术服务业外商投资企业固定资产投资(不含农户),科技交流和推广服务业外商投资企业固定资产投资(不含农户),地质勘查业外商投资企业固定资产投资(不含农户),水利、环境和公共设施管理业外商投资企业固定资产投资(不含农户),水利管理业外商投资企业固定资产投资(不含农户),环境管理业外商投资企业固定资产投资(不含农户),公共设施管理业外商投资企业固定资产投资(不含农户),居民服务和其他服务业外商投资企业固定资产投资(不含农户),居民服务业外商投资企业固定资产投资(不含农户),其他服务业外商投资企业固定资产投资(不含农户),教育外商投资企业固定资产投资(不含农户),卫生、社会保障和社会福利业外商投资企业固定资产投资(不含农户),卫生外商投资企业固定资产投资(不含农户),社会保障业外商投资企业固定资产投资(不含农户),社会福利业外商投资企业固定资产投资(不含农户),文化、体育和娱乐业外商投资企业固定资产投资(不含农户),新闻出版业外商投资企业固定资产投资(不含农户),广播、电视、电影和音像业外商投资企业固定资产投资(不含农户),文化艺术业外商投资企业固定资产投资(不含农户),体育外商投资企业固定资产投资(不含农户),娱乐业外商投资企业固定资产投资(不含农户),公共管理和社会组织外商投资企业固定资产投资(不含农户),中国共产党机关外商投资企业固定资产投资(不含农户),国家机构外商投资企业固定资产投资(不含农户),人民政协和民主党派外商投资企业固定资产投资(不含农户),群众团体、社会团体和宗教外商投资企业固定资产投资(不含农户),基层群众自治组织外商投资企业固定资产投资(不含农户),国际组织外商投资企业固定资产投资(不含农户)
2009,7689.7,19.7389,6.787,3.7776,6.2684,1.1488,1.7571,57.8585,4.2644,24.1044,3.2421,14.3962,11.2754,0.576,4752.5272,124.7851,140.474,109.7891,,105.8506,76.9887,31.5456,17.5117,31.7255,163.2347,12.864,17.7295,35.6725,501.8657,106.5391,20.3472,79.342,67.3013,223.1993,153.0245,84.5613,140.51,286.232,209.7591,755.3508,372.3138,765.4498,64.3152,42.6609,11.5842,301.4672,222.2588,41.1995,38.0089,3.301,1.5737,0.6462,0.5761,0.505,162.7241,12.1979,16.2286,0.9165,56.4944,8.5713,0.2538,7.0338,60.9391,0.0887,366.796,342.84,1.2499,22.7061,106.5096,48.784,57.7256,89.2707,73.1064,16.1643,4.9845,2.0327,2.8522,0.0996,,1656.0428,48.0516,0.383,47.6686,16.5346,10.7788,0.5928,3.638,1.525,49.1802,1.2208,13.2606,34.6988,5.485,2.8577,2.6273,7.8436,9.3502,9.2702,,0.08,28.8272,,0.2166,1.295,1.4802,25.8354,3.2036,,0.5,,1.4316,1.272,
2008,7809.598,17.9092,6.1475,4.2977,7.233,,0.231,51.415,3.0048,26.4381,4.0767,11.3976,5.9978,0.5,4795.3386,106.1877,104.6231,118.5337,0.7253,133.1976,83.7477,41.827,23.9718,34.5653,191.7361,18.0022,20.8414,48.8773,514.8164,82.2187,43.8392,72.334,74.8482,202.5185,141.6178,71.4852,173.8814,252.3811,180.6044,673.2929,322.357,937.2188,63.8776,55.4722,5.739,214.0792,151.5799,36.8919,25.6074,5.7507,2.9358,0.4044,1.0934,1.3171,170.455,7.556,19.7427,2.7105,63.3388,12.895,0.182,4.0687,59.9613,,423.2992,400.9218,0.3539,22.0235,75.6957,20.0944,55.6013,108.731,89.146,19.585,2.3942,2.3509,,0.0433,,1779.2926,50.5466,0.9877,49.5589,14.4416,8.9525,2.3865,0.6058,2.4968,33.1428,3.3566,10.9785,18.8077,2.6944,1.7585,0.9359,7.7788,18.9049,18.9049,,,35.5366,8.0437,0.59,1.6484,6.3084,18.9461,2.1919,,0.1458,,1.5961,0.45,
2007,6735.693,14.4091,4.6468,3.3545,4.7283,0.043,1.6365,42.0918,6.0377,15.0413,2.191,14.8451,3.9617,0.015,4108.0881,103.1307,117.3075,118.0769,,109.5682,78.422,37.3479,21.4581,31.6169,140.4372,15.1567,25.9483,23.2733,410.2585,66.7657,56.9985,77.369,71.3901,154.5992,114.8202,80.3174,159.264,196.8963,159.3925,600.4616,234.3257,794.3933,49.8959,54.1647,5.0318,201.6174,140.8899,39.7673,20.9602,3.5974,2.7266,0.1373,0.5474,0.1861,157.5367,1.3438,15.4651,3.1021,59.535,27.126,0.446,3.9493,46.5694,,362.2646,347.8875,2.3882,11.9889,75.3835,23.406,51.9775,80.2933,67.6462,12.6471,1.1833,1.0755,,0.1078,,1557.7624,35.0231,0.1018,34.9213,11.0643,4.7394,1.9287,4.1714,0.2248,38.135,3.178,8.0599,26.8971,2.1349,0.8361,1.2988,7.7877,6.9429,6.0066,0.1363,0.8,28.7281,,1.0,1.16,17.0294,9.5387,1.6494,,0.5784,,1.016,0.055,
2006,5589.1653,11.2687,3.3019,0.5192,6.0397,0.5743,0.8336,28.0177,4.5717,4.7521,4.2202,10.6073,3.8664,,3619.8787,90.315,92.7231,69.252,,88.8602,73.3024,41.7499,19.216,28.4497,109.9659,15.3606,20.1761,39.2147,356.3554,62.2399,43.5491,92.0628,60.5722,113.9455,204.4317,42.5712,133.513,149.2007,110.4873,562.3095,156.6878,756.8092,45.7676,36.6812,4.109,231.6753,178.2146,45.8268,7.6339,7.5491,6.2261,1.1046,0.1348,0.0836,117.6131,0.658,19.7592,3.4995,54.381,11.2965,0.4694,1.9284,25.6211,,327.2442,316.0041,0.7152,10.5249,51.5546,9.8977,41.6569,56.0336,47.7888,8.2448,0.3153,0.306,,0.0093,,1037.0109,15.0491,0.2445,14.8046,11.4558,7.4906,0.8425,2.8862,0.2365,23.857,3.5076,4.6753,15.6741,2.1023,1.5476,0.5547,7.1515,6.2025,5.7947,,0.4078,33.2519,,0.12,2.5177,12.1432,18.471,1.934,,0.157,,0.937,0.84,
2005,4657.0577,13.172,4.3893,0.7512,4.2871,2.8715,0.8729,12.1564,0.367,0.01,3.2931,6.4016,2.0187,0.066,3160.1474,88.0483,77.7928,34.8352,0.1389,92.8625,58.8326,41.1829,22.2096,24.3894,132.9311,17.1127,21.4194,12.6148,426.5226,49.7158,43.516,47.0075,76.5463,97.6566,142.5697,33.2487,100.787,124.7634,98.0275,528.4429,144.9135,545.9123,35.8466,36.0715,4.2293,226.1551,173.6691,45.3158,7.1702,4.4231,3.3662,0.538,0.5057,0.0132,111.7388,0.422,25.8067,3.2004,43.5913,0.2152,0.1802,0.3405,37.9825,,188.8937,180.0715,0.1177,8.7045,40.4322,4.9919,35.4403,45.3353,35.637,9.6983,0.9118,0.1041,,,0.8077,757.4576,10.1828,1.7558,8.427,8.9178,3.6004,3.3917,1.8787,0.047,26.5473,7.0143,10.1399,9.3931,2.3391,1.3447,0.9944,9.0586,9.2952,9.1873,,0.1079,28.3487,,0.249,0.8652,10.0499,17.1846,1.5448,,1.0346,,0.4952,0.015,
2004,3854.0102,17.1263,6.8291,1.9816,3.4437,3.6258,1.2461,10.1138,0.4146,3.2,0.384,3.4532,2.662,,2622.3381,58.3611,34.5034,24.3904,0.2575,69.1827,46.9904,22.8856,10.7683,19.3029,135.1311,7.6366,13.603,16.6926,515.8319,39.4748,47.6671,58.4206,76.4989,75.4954,134.1399,19.1394,64.1353,70.0896,58.788,333.0049,97.0905,520.4083,30.5569,19.1156,2.7754,184.0892,153.9883,25.1065,4.9944,4.0988,3.0262,0.508,0.0596,0.505,64.4405,,12.1424,2.1011,15.1052,,2.0101,0.0916,32.9901,,168.4494,166.6644,0.5252,1.2598,33.816,8.3021,25.5139,28.497,23.2095,5.2875,0.0988,0.0434,0.0554,,,651.7443,5.9489,0.042,5.9069,5.2912,4.4899,0.2258,0.5041,0.0714,31.6167,3.1113,4.2606,24.2448,2.2466,0.7619,1.4847,5.0459,1.5163,1.5163,,,16.0212,,,0.603,5.6521,9.7661,1.4622,,1.28,,0.0565,0.1257,0.049
2003,2533.7123,9.0147,2.7166,0.7375,2.4236,1.1042,2.0328,2.5116,0.239,0.032,0.189,0.6594,1.3922,0.0,1764.645,46.8032,33.5454,19.5087,0.008,56.1156,32.5976,19.6667,10.3383,13.912,78.3509,10.6256,8.3351,4.9077,311.7801,29.5488,34.9456,47.4185,48.7532,55.7052,77.6932,26.4846,44.0615,47.7162,50.2222,193.8457,56.4347,358.2424,34.5997,11.3272,1.1514,97.2178,86.9602,9.2604,0.9972,4.5426,4.0121,0.0,0.3516,0.1789,25.9992,0.0,7.0374,0.6605,5.5833,0.0,1.6082,0.8109,10.0929,0.206,134.6397,131.041,0.078,3.5207,16.0123,3.0798,12.9325,18.9664,14.0536,4.9128,0.6906,0.0246,0.2001,0.4659,0.0,414.3282,2.5705,0.1468,2.4237,2.335,1.8934,0.1503,0.2913,0.0,16.3156,1.74,1.6715,12.9041,0.9452,0.4602,0.485,7.1328,0.7249,0.7249,0.0,0.0,14.2035,1.55,0.0,1.336,1.1679,10.1496,0.8887,0.0,0.8277,0.0,0.035,0.026,0.028
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
