年份,固定资产投资(不含农户)地方项目,农、林、牧、渔业固定资产投资(不含农户)地方项目,农业固定资产投资(不含农户)地方项目,林业固定资产投资(不含农户)地方项目,畜牧业固定资产投资(不含农户)地方项目,渔业固定资产投资(不含农户)地方项目,农、林、牧、渔服务业固定资产投资(不含农户)地方项目,采矿业固定资产投资(不含农户)地方项目,煤炭开采和洗选业固定资产投资(不含农户)地方项目,石油和天然气开采业固定资产投资(不含农户)地方项目,黑色金属矿采选业固定资产投资(不含农户)地方项目,有色金属矿采选业固定资产投资(不含农户)地方项目,非金属矿采选业固定资产投资(不含农户)地方项目,其他采矿业固定资产投资(不含农户)地方项目,制造业固定资产投资(不含农户)地方项目,农副食品加工业固定资产投资(不含农户)地方项目,食品制造业固定资产投资(不含农户)地方项目,饮料制造业固定资产投资(不含农户)地方项目,烟草制品业固定资产投资(不含农户)地方项目,纺织业固定资产投资(不含农户)地方项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)地方项目,皮革、毛皮、羽毛(绒)及其制品业固定资产投资(不含农户)地方项目,木材加工及木、竹、藤、棕、草制品业固定资产投资(不含农户)地方项目,家具制造业固定资产投资(不含农户)地方项目,造纸及纸制品业固定资产投资(不含农户)地方项目,印刷业和记录媒介的复制固定资产投资(不含农户)地方项目,文教体育用品制造业固定资产投资(不含农户)地方项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)地方项目,化学原料及化学制品制造业固定资产投资(不含农户)地方项目,医药制造业固定资产投资(不含农户)地方项目,化学纤维制造业固定资产投资(不含农户)地方项目,橡胶制品业固定资产投资(不含农户)地方项目,塑料制品业固定资产投资(不含农户)地方项目,非金属矿物制品业固定资产投资(不含农户)地方项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)地方项目,有色金属冶炼及压延加工业固定资产投资(不含农户)地方项目,金属制品业固定资产投资(不含农户)地方项目,通用设备制造业固定资产投资(不含农户)地方项目,专用设备制造业固定资产投资(不含农户)地方项目,交通运输设备制造业固定资产投资(不含农户)地方项目,电气机械及器材制造业固定资产投资(不含农户)地方项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)地方项目,仪器仪表及文化、办公用机械制造业固定资产投资(不含农户)地方项目,工艺品及其他制造业固定资产投资(不含农户)地方项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)地方项目,电力燃气水的生产供应业固定资产投资(不含农户)地方项目,电力、热力的生产和供应业固定资产投资(不含农户)地方项目,燃气生产和供应业固定资产投资(不含农户)地方项目,水的生产和供应业固定资产投资(不含农户)地方项目,建筑业固定资产投资(不含农户)地方项目,房屋和土木工程建筑业固定资产投资(不含农户)地方项目,建筑安装业固定资产投资(不含农户)地方项目,建筑装饰业固定资产投资(不含农户)地方项目,其他建筑业固定资产投资(不含农户)地方项目,交通运输、仓储和邮政业固定资产投资(不含农户)地方项目,铁路运输业固定资产投资(不含农户)地方项目,道路运输业固定资产投资(不含农户)地方项目,城市公共交通业固定资产投资(不含农户)地方项目,水上运输业固定资产投资(不含农户)地方项目,航空运输业固定资产投资(不含农户)地方项目,管道运输业固定资产投资(不含农户)地方项目,装卸搬运和其他运输服务业固定资产投资(不含农户)地方项目,仓储业固定资产投资(不含农户)地方项目,邮政业固定资产投资(不含农户)地方项目,信息传输、计算机服务和软件业固定资产投资(不含农户)地方项目,电信和其他信息传输服务业固定资产投资(不含农户)地方项目,计算机服务业固定资产投资(不含农户)地方项目,软件业固定资产投资(不含农户)地方项目,批发和零售业固定资产投资(不含农户)地方项目,批发业固定资产投资(不含农户)地方项目,零售业固定资产投资(不含农户)地方项目,住宿和餐饮业固定资产投资(不含农户)地方项目,住宿业固定资产投资(不含农户)地方项目,餐饮业固定资产投资(不含农户)地方项目,金融业固定资产投资(不含农户)地方项目,银行业固定资产投资(不含农户)地方项目,证券业固定资产投资(不含农户)地方项目,保险业固定资产投资(不含农户)地方项目,其他金融活动固定资产投资(不含农户)地方项目,房地产业固定资产投资(不含农户)地方项目,租赁和商务服务业固定资产投资(不含农户)地方项目,租赁业固定资产投资(不含农户)地方项目,商务服务业固定资产投资(不含农户)地方项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)地方项目,研究与试验发展固定资产投资(不含农户)地方项目,专业技术服务业固定资产投资(不含农户)地方项目,科技交流和推广服务业固定资产投资(不含农户)地方项目,地质勘查业固定资产投资(不含农户)地方项目,水利、环境和公共设施管理业固定资产投资(不含农户)地方项目,水利管理业固定资产投资(不含农户)地方项目,环境管理业固定资产投资(不含农户)地方项目,公共设施管理业固定资产投资(不含农户)地方项目,居民服务和其他服务业固定资产投资(不含农户)地方项目,居民服务业固定资产投资(不含农户)地方项目,其他服务业固定资产投资(不含农户)地方项目,教育固定资产投资(不含农户)地方项目,卫生、社会保障和社会福利业固定资产投资(不含农户)地方项目,卫生固定资产投资(不含农户)地方项目,社会保障业固定资产投资(不含农户)地方项目,社会福利业固定资产投资(不含农户)地方项目,文化、体育和娱乐业固定资产投资(不含农户)地方项目,新闻出版业固定资产投资(不含农户)地方项目,广播、电视、电影和音像业固定资产投资(不含农户)地方项目,文化艺术业固定资产投资(不含农户)地方项目,体育固定资产投资(不含农户)地方项目,娱乐业固定资产投资(不含农户)地方项目,公共管理和社会组织固定资产投资(不含农户)地方项目,中国共产党机关固定资产投资(不含农户)地方项目,国家机构固定资产投资(不含农户)地方项目,人民政协和民主党派固定资产投资(不含农户)地方项目,群众团体、社会团体和宗教固定资产投资(不含农户)地方项目,基层群众自治组织固定资产投资(不含农户)地方项目,国际组织固定资产投资(不含农户)地方项目
2009,173222.9998,3319.426,733.1081,576.8255,961.8342,129.4728,918.1854,5543.6021,2767.3714,510.5899,819.9882,806.6626,617.7971,21.1929,55601.3956,2814.9002,1499.5369,1073.4626,109.9436,1760.322,1048.4504,516.9153,1015.3906,645.161,1241.902,557.6857,217.2265,1277.5457,5625.1727,1445.9801,261.7996,650.7723,1403.2968,5791.9594,2638.4163,2028.4577,2775.9337,4313.7997,2954.6017,4285.5583,3516.1196,2561.2293,512.7155,813.9815,243.1589,8955.3644,6622.2332,596.4089,1736.7223,1436.5548,1176.7144,68.1665,57.3442,134.3297,16468.2774,601.6905,10368.4114,2004.1892,1364.144,498.045,52.5616,219.2353,1338.0038,21.9966,1232.1967,970.4087,61.0612,200.7268,4429.3089,2068.5177,2360.7912,2288.4003,1450.8435,837.5568,267.2824,190.9403,26.8954,11.9781,37.4686,42331.4979,1846.3135,112.3832,1733.9303,845.0432,230.752,269.3565,229.7144,115.2203,17458.9604,1992.4098,1178.4564,14288.0942,513.7141,314.1009,199.6132,3064.3628,1630.0905,1385.0955,81.9526,163.0424,2062.4668,52.2552,148.0374,693.6361,416.0292,752.5089,3928.742,22.0589,3039.8852,7.8956,110.9949,747.9074,
2008,131565.7704,2221.5727,453.3502,383.4714,663.5037,102.0888,619.1586,4277.9638,2148.7782,438.4566,658.7489,607.8368,412.0278,12.1155,43213.3421,2038.1527,1141.0089,868.3863,77.75,1535.6141,897.9396,425.6871,797.0744,511.7897,1019.7195,440.752,196.3396,1183.4856,4468.667,1066.776,271.5574,488.5451,1089.659,4103.2819,2289.3404,1700.1355,2159.9568,3129.2074,2150.7386,3218.044,2314.1504,2424.4364,404.1516,664.789,136.2061,6529.4044,5113.7302,377.3279,1038.3463,1062.1603,881.5893,48.0934,35.9863,96.4913,11156.4904,378.3931,7100.1747,1254.1849,1039.5991,357.1862,91.5395,110.6392,810.9147,13.859,1144.8798,947.5257,51.0444,146.3097,3143.897,1481.5563,1662.3407,1703.4496,1152.737,550.7126,182.6563,120.4367,31.8626,10.0763,20.2807,35204.4821,1189.019,44.4935,1144.5255,571.4308,186.4462,192.3321,127.3466,65.3059,12083.6048,1317.4384,717.2897,10048.8767,309.1552,201.9044,107.2508,2176.9139,1004.2222,876.0033,20.5291,107.6898,1359.7627,64.6885,114.2201,441.1069,256.0924,483.6548,3031.3633,22.2335,2240.8945,7.7616,82.4891,677.9846,
2007,104299.165,1408.8423,315.1892,288.3964,314.0256,67.964,423.2671,3181.132,1607.7428,406.5493,392.2067,482.7374,280.6391,11.2567,33144.0446,1628.8135,960.4721,710.5629,62.2387,1508.5747,753.1006,347.1485,633.7843,386.9969,815.2181,358.5139,171.4829,790.0746,3288.9386,837.4832,256.2869,432.5731,858.092,2785.6451,2128.0581,1187.5998,1557.824,2271.9814,1572.2538,2291.6491,1590.7194,2045.2964,266.4488,560.9417,85.2715,5986.2493,4855.455,303.6292,827.1651,899.2939,749.8218,42.9013,24.7049,81.8659,9902.8805,253.2282,6615.6332,1065.6122,933.8844,355.7868,52.4857,71.2291,547.1337,7.8872,952.4106,839.8093,30.1401,82.4612,2419.3031,1116.4564,1302.8467,1293.3774,889.026,404.3514,100.1632,66.3984,12.1544,6.5391,15.0713,28194.8592,814.589,33.2975,781.2915,386.5716,128.232,116.3612,90.9238,51.0546,9096.3854,988.7063,585.2913,7522.3878,223.7701,150.5941,73.176,1995.3483,768.9455,693.8662,11.6006,63.4787,1042.3897,33.8439,118.7368,339.4699,218.5971,331.742,2488.6093,17.5478,1966.4664,10.8045,64.8861,428.9045,
2006,82512.2109,1070.837,257.9381,239.5218,226.3307,47.1098,299.9366,2384.2353,1315.2885,243.043,326.9036,296.8611,195.6654,6.4737,24655.8291,1192.6349,764.2602,544.891,48.8818,1261.0295,552.8446,292.332,399.071,271.8989,647.3452,294.7812,120.8818,471.2078,2350.2726,755.8307,168.9304,360.171,701.1946,1840.9872,1980.3723,882.5822,1087.6694,1523.3093,1015.9589,1659.8986,1097.9921,1671.4098,219.5841,439.5079,38.0981,5535.6004,4612.4302,280.7956,642.3746,733.8397,619.6686,30.7663,15.9719,67.4329,8885.2291,201.0715,6317.6524,798.0867,852.2588,289.3035,50.8316,52.1104,313.0493,10.8649,917.7315,819.93,27.3302,70.4713,1868.2254,805.4785,1062.7469,913.7225,616.43,297.2925,75.0525,48.2413,9.6759,9.3802,7.7551,21306.6923,644.3744,23.3533,621.0211,312.3519,122.6613,78.618,77.0302,34.0424,7322.4643,780.1612,413.3932,6128.9099,178.1424,117.8294,60.313,1881.9423,663.9503,609.2125,17.0579,37.6799,797.2682,23.9696,102.9599,212.1607,187.1351,271.0429,2364.5873,18.872,1960.5234,6.0677,42.8172,336.307,0.135
2005,65984.1215,795.4012,196.8335,172.639,172.3252,45.639,207.9645,1790.4509,1082.1234,152.5751,241.3611,176.9545,133.3609,4.0759,18797.094,887.7932,539.3435,347.0954,29.4086,1052.2272,383.6346,202.5384,280.8522,189.0752,548.3612,220.3323,88.6008,443.7374,1818.7214,691.1723,156.7377,200.364,471.0675,1383.4908,1995.6812,681.1393,731.9934,981.7843,714.5054,1317.8397,765.0549,1195.3354,157.9816,302.7731,18.452,5049.4907,4308.9327,235.4687,505.0893,618.9873,549.3889,21.2106,10.9065,37.4813,7081.777,145.8767,5297.0356,524.6384,679.307,149.6223,16.9543,41.0735,220.3275,6.9417,807.727,740.0145,15.5521,52.1604,1486.6353,636.3171,850.3182,664.7428,445.2082,219.5346,62.695,42.2579,8.0334,3.4428,8.9609,16890.3248,475.5033,14.2273,461.276,287.5946,99.5697,91.95,68.7436,27.3313,5983.9809,754.2399,314.8393,4914.9017,134.8913,97.3317,37.5596,1742.4884,553.2209,514.3416,8.784,30.0953,644.625,15.0844,79.528,206.6833,143.7776,199.5517,2116.4911,17.8154,1771.0478,5.1056,37.2839,285.2384,
2004,51503.6286,602.14,153.02,140.11,131.18,30.34,147.48,1064.76,623.44,132.14,119.35,115.15,72.04,2.64,13225.25,537.74,363.19,252.54,22.49,761.09,258.98,115.97,178.14,105.31,421.19,155.94,54.37,455.18,1120.9,591.45,146.5,178.2,327.91,1090.45,1581.51,480.42,425.14,541.54,416.75,778.55,519.25,1006.8,125.3,199.54,12.93,3792.11,3155.32,177.78,459.01,488.77,427.62,15.17,8.03,37.95,5720.01,93.57,4464.84,391.13,428.05,105.8,18.86,58.52,149.64,9.6,861.79,819.45,10.06,32.27,1086.62,423.83,662.79,432.39,289.46,142.94,43.57,32.89,1.18,1.59,7.91,14537.85,358.18,6.19,351.98,209.11,95.84,58.4,43.87,11.0,4780.85,657.21,255.28,3868.36,105.99,66.88,39.11,1589.72,421.67,394.46,4.39,22.82,505.25,16.94,70.84,144.97,117.12,155.38,1862.2,22.82,1612.27,2.71,28.9,195.49,0.31
2003,39698.13,491.1131,121.5398,139.6772,93.0111,19.7868,117.0982,655.3997,396.1158,96.5272,45.5983,68.7956,46.5917,1.7711,9682.9945,397.4531,283.9175,196.3819,32.9022,609.8561,199.3102,93.6246,115.0651,73.7439,312.6491,116.4453,43.266,201.48,808.8359,496.6857,108.0655,141.1821,255.3606,766.8522,1207.9034,397.468,277.5246,346.4522,296.6606,539.5156,309.3733,752.2786,96.1929,200.5781,5.9702,2390.1654,1902.7444,141.6852,345.7358,491.8778,448.2959,14.7584,10.5498,18.2737,4478.8306,56.5786,3463.7737,437.2641,274.0977,85.9253,9.1224,46.3177,97.8552,7.8959,787.1957,750.3175,9.5803,27.2979,770.2762,300.7987,469.4775,304.3586,204.7156,99.643,32.6443,24.9077,1.3032,2.6205,3.8129,10956.221,302.1125,2.6859,299.4266,191.4974,81.6219,70.7887,28.6069,10.4799,4112.9529,630.4617,261.7591,3220.7321,64.9158,51.3324,13.5834,1288.1042,338.055,314.271,6.4268,17.3572,452.2118,20.2903,70.5077,118.0781,102.3551,140.9806,1760.6267,22.1368,1582.5592,6.1909,27.4796,122.2602,0.288
2002,28962.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,23414.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,19946.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
