年份,内资企业固定资产投资(不含农户),农、林、牧、渔业内资企业固定资产投资(不含农户),农业内资企业固定资产投资(不含农户),林业内资企业固定资产投资(不含农户),畜牧业内资企业固定资产投资(不含农户),渔业内资企业固定资产投资(不含农户),农、林、牧、渔服务业内资企业固定资产投资(不含农户),采矿业内资企业固定资产投资(不含农户),煤炭开采和洗选业内资企业固定资产投资(不含农户),石油和天然气开采业内资企业固定资产投资(不含农户),黑色金属矿采选业内资企业固定资产投资(不含农户),有色金属矿采选业内资企业固定资产投资(不含农户),非金属矿采选业内资企业固定资产投资(不含农户),其他采矿业内资企业固定资产投资(不含农户),制造业内资企业固定资产投资(不含农户),农副食品加工业内资企业固定资产投资(不含农户),食品制造业内资企业固定资产投资(不含农户),饮料制造业内资企业固定资产投资(不含农户),烟草制品业内资企业固定资产投资(不含农户),纺织业内资企业固定资产投资(不含农户),纺织服装、鞋、帽制造业内资企业固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业内资企业固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业内资企业固定资产投资(不含农户),家具制造业内资企业固定资产投资(不含农户),造纸及纸制品业内资企业固定资产投资(不含农户),印刷业和记录媒介的复制内资企业固定资产投资(不含农户),文教体育用品制造业内资企业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业内资企业固定资产投资(不含农户),化学原料及化学制品制造业内资企业固定资产投资(不含农户),医药制造业内资企业固定资产投资(不含农户),化学纤维制造业内资企业固定资产投资(不含农户),橡胶制品业内资企业固定资产投资(不含农户),塑料制品业内资企业固定资产投资(不含农户),非金属矿物制品业内资企业固定资产投资(不含农户),黑色金属冶炼及压延加工业内资企业固定资产投资(不含农户),有色金属冶炼及压延加工业内资企业固定资产投资(不含农户),金属制品业内资企业固定资产投资(不含农户),通用设备制造业内资企业固定资产投资(不含农户),专用设备制造业内资企业固定资产投资(不含农户),交通运输设备制造业内资企业固定资产投资(不含农户),电气机械及器材制造业内资企业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业内资企业固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业内资企业固定资产投资(不含农户),工艺品及其他制造业内资企业固定资产投资(不含农户),废弃资源和废旧材料回收加工业内资企业固定资产投资(不含农户),电力燃气水的生产供应业内资企业固定资产投资(不含农户),电力、热力的生产和供应业内资企业固定资产投资(不含农户),燃气生产和供应业内资企业固定资产投资(不含农户),水的生产和供应业内资企业固定资产投资(不含农户),建筑业内资企业固定资产投资(不含农户),房屋和土木工程建筑业内资企业固定资产投资(不含农户),建筑安装业内资企业固定资产投资(不含农户),建筑装饰业内资企业固定资产投资(不含农户),其他建筑业内资企业固定资产投资(不含农户),交通运输、仓储和邮政业内资企业固定资产投资(不含农户),铁路运输业内资企业固定资产投资(不含农户),道路运输业内资企业固定资产投资(不含农户),城市公共交通业内资企业固定资产投资(不含农户),水上运输业内资企业固定资产投资(不含农户),航空运输业内资企业固定资产投资(不含农户),管道运输业内资企业固定资产投资(不含农户),装卸搬运和其他运输服务业内资企业固定资产投资(不含农户),仓储业内资企业固定资产投资(不含农户),邮政业内资企业固定资产投资(不含农户),信息传输、计算机服务和软件业内资企业固定资产投资(不含农户),电信和其他信息传输服务业内资企业固定资产投资(不含农户),计算机服务业内资企业固定资产投资(不含农户),软件业内资企业固定资产投资(不含农户),批发和零售业内资企业固定资产投资(不含农户),批发业内资企业固定资产投资(不含农户),零售业内资企业固定资产投资(不含农户),住宿和餐饮业内资企业固定资产投资(不含农户),住宿业内资企业固定资产投资(不含农户),餐饮业内资企业固定资产投资(不含农户),金融业内资企业固定资产投资(不含农户),银行业内资企业固定资产投资(不含农户),证券业内资企业固定资产投资(不含农户),保险业内资企业固定资产投资(不含农户),其他金融活动内资企业固定资产投资(不含农户),房地产业内资企业固定资产投资(不含农户),租赁和商务服务业内资企业固定资产投资(不含农户),租赁业内资企业固定资产投资(不含农户),商务服务业内资企业固定资产投资(不含农户),科学研究、技术服务和地质勘查业内资企业固定资产投资(不含农户),研究与试验发展内资企业固定资产投资(不含农户),专业技术服务业内资企业固定资产投资(不含农户),科技交流和推广服务业内资企业固定资产投资(不含农户),地质勘查业内资企业固定资产投资(不含农户),水利、环境和公共设施管理业内资企业固定资产投资(不含农户),水利管理业内资企业固定资产投资(不含农户),环境管理业内资企业固定资产投资(不含农户),公共设施管理业内资企业固定资产投资(不含农户),居民服务和其他服务业内资企业固定资产投资(不含农户),居民服务业内资企业固定资产投资(不含农户),其他服务业内资企业固定资产投资(不含农户),教育内资企业固定资产投资(不含农户),卫生、社会保障和社会福利业内资企业固定资产投资(不含农户),卫生内资企业固定资产投资(不含农户),社会保障业内资企业固定资产投资(不含农户),社会福利业内资企业固定资产投资(不含农户),文化、体育和娱乐业内资企业固定资产投资(不含农户),新闻出版业内资企业固定资产投资(不含农户),广播、电视、电影和音像业内资企业固定资产投资(不含农户),文化艺术业内资企业固定资产投资(不含农户),体育内资企业固定资产投资(不含农户),娱乐业内资企业固定资产投资(不含农户),公共管理和社会组织内资企业固定资产投资(不含农户),中国共产党机关内资企业固定资产投资(不含农户),国家机构内资企业固定资产投资(不含农户),人民政协和民主党派内资企业固定资产投资(不含农户),群众团体、社会团体和宗教内资企业固定资产投资(不含农户),基层群众自治组织内资企业固定资产投资(不含农户),国际组织内资企业固定资产投资(不含农户)
2009,179786.8,3317.3375,727.859,579.7873,955.0845,127.9306,926.6761,8032.9811,3039.6651,2708.5293,838.1085,812.8921,613.1754,20.6107,51350.2751,2645.7269,1300.3661,924.894,216.4821,1562.0717,890.2507,414.133,978.8974,598.8017,1003.509,530.6079,182.9012,1708.6009,5324.0108,1275.7188,226.0839,548.9127,1280.0791,5447.9222,3051.6441,1982.5802,2581.5272,4046.0244,2759.169,4076.8213,2976.7189,1411.6748,438.6554,751.1972,214.2925,12904.9411,10623.7434,575.4867,1705.711,1547.7768,1290.7647,69.3949,54.3383,133.2789,22877.9464,6641.6695,10519.6717,2014.4327,1533.0918,596.2326,63.415,210.9007,1263.6502,34.8822,1925.4854,1699.2011,57.8774,168.4069,4298.4816,2051.181,2247.3006,2152.9842,1345.5229,807.4613,341.3532,261.3261,24.5605,17.717,37.7496,38962.8113,1781.3547,113.2339,1668.1208,1055.9715,351.8569,300.8047,229.1048,174.2051,17746.7576,2216.6823,1180.7484,14349.3269,508.9176,310.6931,198.2245,3226.4372,1683.078,1434.0185,83.2992,165.7603,2042.1325,52.9866,161.5596,712.1878,405.173,710.2255,4029.7509,26.4933,3137.0902,7.9773,111.417,746.7731,
2008,134559.1331,2217.4268,443.494,384.8923,654.8475,102.1897,632.0033,6727.5081,2390.0893,2596.157,670.7873,640.9021,417.9569,11.6155,38940.3885,1880.6574,978.2192,702.5757,143.9378,1285.348,713.7055,332.3794,753.5503,448.84,735.414,410.1249,152.5845,1738.8228,4049.2598,937.2377,196.4547,400.3084,954.5095,3728.4619,3054.2044,1731.3563,1915.9892,2903.264,1972.2581,2946.973,1848.935,985.9339,327.7403,587.2213,124.1215,9949.1098,8582.2345,362.4246,1004.4507,1184.0453,1004.1614,49.0813,34.3535,96.4491,15272.6935,4058.7082,7339.2493,1253.1979,1053.5636,576.5896,113.1785,106.0662,752.7426,19.3976,1375.2847,1208.6982,49.402,117.1845,3025.6456,1479.2081,1546.4375,1537.5957,1012.7009,524.8948,245.92,182.3854,32.0626,11.192,20.28,31753.8746,1172.3531,43.594,1128.7591,690.2591,265.3509,214.5249,125.5726,84.8107,12184.6081,1416.3045,711.49,10056.8136,306.297,197.983,108.314,2340.5686,1034.9977,905.3838,20.6971,108.9168,1364.8462,57.5697,150.8666,454.6559,254.2739,447.4801,3235.7107,27.3535,2441.9173,7.8181,80.7603,677.8615,
2007,105271.7,1434.2266,317.5645,291.8204,309.8354,66.1083,448.898,5160.4354,1796.7156,2167.8207,423.7853,473.6655,287.5716,10.8767,29019.273,1476.9852,811.8967,554.1278,117.1596,1290.622,575.3269,257.4776,592.7577,321.315,562.3244,327.3311,114.9676,1368.0321,2952.9409,726.9801,171.2082,337.8456,735.5914,2514.5198,2421.5095,1152.7285,1342.0689,2054.0106,1460.4201,2007.7329,1260.8233,741.7804,211.8792,480.7209,76.189,8641.9244,7553.5802,289.0944,799.2498,985.3752,832.8986,46.4041,23.9952,82.0773,12630.784,2491.4012,6846.4208,1065.322,965.6607,578.6403,68.5598,86.1871,514.46,14.1321,1175.4525,1080.0953,28.2031,67.1541,2318.4968,1098.8531,1219.6437,1181.0038,798.7743,382.2295,146.281,108.4351,12.2675,10.1905,15.3879,25032.3519,805.7749,33.5279,772.247,501.0342,204.9341,132.4083,85.4413,78.2505,9185.8082,1102.1209,575.4842,7508.2031,229.7723,148.5501,81.2222,2207.0423,794.7688,719.3243,12.5084,62.9361,1059.0501,36.3594,148.8444,357.3855,208.7428,307.718,2762.8804,24.2522,2232.2153,11.2395,65.9308,429.2426,
2006,83443.3897,1099.0093,261.3518,244.5571,218.7991,46.2876,328.0137,4088.2435,1451.9005,1791.5033,349.1025,290.7509,198.5526,6.4337,20820.0205,1059.8726,636.1262,447.1838,114.3965,1052.66,384.4124,207.1864,364.8641,209.538,478.1787,264.2518,77.5917,887.8867,2014.2997,659.3896,137.2447,246.1394,591.2897,1650.8357,1973.9219,865.7718,893.1217,1372.7475,931.3848,1302.5049,853.8518,577.235,150.2849,381.2682,34.5803,7725.4795,6821.9762,265.4484,638.0549,780.3455,664.9498,32.5945,15.2806,67.5206,10932.1743,1965.5606,6408.4526,790.6623,882.3521,437.6688,70.4485,50.6886,305.494,20.8468,1250.1433,1156.4142,31.4434,62.2857,1799.2011,805.5584,993.6427,837.5754,556.7621,280.8133,113.4367,86.8874,9.7388,9.9542,6.8563,19024.0066,641.0876,23.1088,617.9788,445.7107,200.3917,111.219,74.5268,59.5732,7451.9391,912.2547,410.1296,6129.5548,174.2833,110.3181,63.9652,2115.7449,695.6769,640.3384,17.1237,38.2148,799.4524,26.6626,121.1712,220.3529,183.004,248.2617,2649.7241,25.3461,2239.2243,7.0494,42.5077,335.5966,0.135
2005,66670.7199,823.1852,210.4777,179.03,169.0354,42.6839,221.9582,3199.4961,1156.4522,1453.6128,272.3387,173.7382,139.3443,4.0099,15551.5135,766.1386,430.8363,287.3673,95.3067,864.4493,256.5036,132.0619,237.5425,137.407,366.167,187.9232,49.0237,771.8369,1530.9611,590.9664,110.7782,138.2858,347.5905,1182.9655,2032.7315,661.7444,586.4355,861.628,655.1393,988.0221,545.1212,374.448,104.0328,244.1322,13.967,6722.8013,6016.3349,215.271,491.1954,656.412,583.7806,25.1222,9.8686,37.6406,8643.9824,1267.2455,5505.7939,522.9758,706.2162,301.7562,78.3411,41.2019,203.9744,16.4774,1152.8097,1093.6697,16.9708,42.1692,1464.0635,660.6171,803.4464,586.7049,385.8671,200.8378,103.3339,75.7911,11.3234,7.8717,8.3477,15126.8076,460.6026,12.4715,448.1311,411.5408,172.8587,112.6031,64.6432,61.4358,6037.1815,830.0135,302.7175,4904.4505,132.1772,95.5925,36.5847,1952.2074,579.697,538.1905,11.189,30.3175,637.6618,16.8826,90.3943,215.1557,140.0171,175.2121,2428.5415,25.3748,2071.2797,6.0634,40.5744,285.2492,
2004,52060.6843,619.4513,160.04,142.9509,129.9138,25.972,160.5746,2100.563,688.6243,1100.304,129.5789,110.9824,68.4313,2.6421,10796.6405,450.7097,308.8113,211.1549,86.1864,614.5038,162.3732,74.4845,146.9757,65.5024,252.1196,136.2419,30.1463,593.2115,990.3941,512.5447,105.4115,111.3798,210.0775,936.1332,1582.578,493.6976,320.3445,462.2778,377.1197,654.343,372.8992,278.8287,78.5369,168.1125,9.5406,5079.2041,4462.8759,170.6966,445.6316,516.3313,453.7564,18.0247,7.6941,36.8561,6958.2172,846.2955,4626.4705,387.0226,492.2787,270.7158,101.729,57.9456,146.9973,28.7622,1221.749,1177.2275,10.7635,33.758,1048.1069,420.7926,627.3143,367.0266,237.4944,129.5322,94.8603,80.8067,1.2036,4.9292,7.9208,12784.5936,348.4615,6.1142,342.3473,301.3142,163.5034,68.9046,43.6433,25.2629,4843.6902,745.4771,253.9275,3844.2856,104.4986,65.7291,38.7695,1792.4483,440.4399,412.8846,4.4668,23.0885,485.1344,18.6796,74.1578,153.2678,118.7572,120.272,2157.6924,30.0055,1900.121,2.7134,29.5757,195.2768,0.261
2003,40902.9078,519.6313,134.9582,149.2262,92.331,17.7016,125.4143,1530.5356,435.8577,931.0299,48.6578,68.6565,44.5626,1.7711,8049.9775,321.0476,239.9947,175.6357,85.6695,491.1291,125.3104,54.4792,93.0496,46.4525,206.7022,96.6277,24.2932,309.3287,733.1171,441.5747,76.8461,85.0779,165.6547,666.4953,1251.9903,407.2295,203.8522,299.2021,269.7924,480.0123,213.7827,251.9818,51.6281,177.4765,4.5437,3571.4435,3094.908,137.9292,338.6063,517.7667,470.8055,18.6456,10.0016,18.314,5582.9734,705.9968,3589.6703,435.9097,320.3546,218.757,140.7443,45.0685,99.2204,27.2518,1290.4609,1251.7078,10.4226,28.3305,740.5933,301.6339,438.9594,272.1768,180.6702,91.5066,84.8091,73.9269,1.463,5.4839,3.9353,9823.1137,299.877,2.5391,297.3379,269.4086,131.1435,79.6906,32.4046,26.1699,4186.9128,719.9019,259.478,3207.5329,63.9013,50.707,13.1943,1462.9732,355.0348,330.2384,6.4268,18.3696,442.0327,21.9266,80.954,122.772,104.762,111.6181,1839.0256,30.2993,1651.4212,6.39,28.4011,122.514,0.26
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
