年份,固定资产投资(不含农户)国家预算资金,农、林、牧、渔业固定资产投资(不含农户)国家预算资金,农业固定资产投资(不含农户)国家预算资金,林业固定资产投资(不含农户)国家预算资金,畜牧业固定资产投资(不含农户)国家预算资金,渔业固定资产投资(不含农户)国家预算资金,农、林、牧、渔服务业固定资产投资(不含农户)国家预算资金,采矿业固定资产投资(不含农户)国家预算资金,煤炭开采和洗选业固定资产投资(不含农户)国家预算资金,石油和天然气开采业固定资产投资(不含农户)国家预算资金,黑色金属矿采选业固定资产投资(不含农户)国家预算资金,有色金属矿采选业固定资产投资(不含农户)国家预算资金,非金属矿采选业固定资产投资(不含农户)国家预算资金,其他采矿业固定资产投资(不含农户)国家预算资金,制造业固定资产投资(不含农户)国家预算资金,农副食品加工业固定资产投资(不含农户)国家预算资金,食品制造业固定资产投资(不含农户)国家预算资金,饮料制造业固定资产投资(不含农户)国家预算资金,烟草制品业固定资产投资(不含农户)国家预算资金,纺织业固定资产投资(不含农户)国家预算资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)国家预算资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)国家预算资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)国家预算资金,家具制造业固定资产投资(不含农户)国家预算资金,造纸及纸制品业固定资产投资(不含农户)国家预算资金,印刷业和记录媒介的复制固定资产投资(不含农户)国家预算资金,文教体育用品制造业固定资产投资(不含农户)国家预算资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)国家预算资金,化学原料及化学制品制造业固定资产投资(不含农户)国家预算资金,医药制造业固定资产投资(不含农户)国家预算资金,化学纤维制造业固定资产投资(不含农户)国家预算资金,橡胶制品业固定资产投资(不含农户)国家预算资金,塑料制品业固定资产投资(不含农户)国家预算资金,非金属矿物制品业固定资产投资(不含农户)国家预算资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)国家预算资金,有色金属冶炼及压延加工业固定资产投资(不含农户)国家预算资金,金属制品业固定资产投资(不含农户)国家预算资金,通用设备制造业固定资产投资(不含农户)国家预算资金,专用设备制造业固定资产投资(不含农户)国家预算资金,交通运输设备制造业固定资产投资(不含农户)国家预算资金,电气机械及器材制造业固定资产投资(不含农户)国家预算资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)国家预算资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)国家预算资金,工艺品及其他制造业固定资产投资(不含农户)国家预算资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)国家预算资金,电力燃气水的生产供应业固定资产投资(不含农户)国家预算资金,电力、热力的生产和供应业固定资产投资(不含农户)国家预算资金,燃气生产和供应业固定资产投资(不含农户)国家预算资金,水的生产和供应业固定资产投资(不含农户)国家预算资金,建筑业固定资产投资(不含农户)国家预算资金,房屋和土木工程建筑业固定资产投资(不含农户)国家预算资金,建筑安装业固定资产投资(不含农户)国家预算资金,建筑装饰业固定资产投资(不含农户)国家预算资金,其他建筑业固定资产投资(不含农户)国家预算资金,交通运输、仓储和邮政业固定资产投资(不含农户)国家预算资金,铁路运输业固定资产投资(不含农户)国家预算资金,道路运输业固定资产投资(不含农户)国家预算资金,城市公共交通业固定资产投资(不含农户)国家预算资金,水上运输业固定资产投资(不含农户)国家预算资金,航空运输业固定资产投资(不含农户)国家预算资金,管道运输业固定资产投资(不含农户)国家预算资金,装卸搬运和其他运输服务业固定资产投资(不含农户)国家预算资金,仓储业固定资产投资(不含农户)国家预算资金,邮政业固定资产投资(不含农户)国家预算资金,信息传输、计算机服务和软件业固定资产投资(不含农户)国家预算资金,电信和其他信息传输服务业固定资产投资(不含农户)国家预算资金,计算机服务业固定资产投资(不含农户)国家预算资金,软件业固定资产投资(不含农户)国家预算资金,批发和零售业固定资产投资(不含农户)国家预算资金,批发业固定资产投资(不含农户)国家预算资金,零售业固定资产投资(不含农户)国家预算资金,住宿和餐饮业固定资产投资(不含农户)国家预算资金,住宿业固定资产投资(不含农户)国家预算资金,餐饮业固定资产投资(不含农户)国家预算资金,金融业固定资产投资(不含农户)国家预算资金,银行业固定资产投资(不含农户)国家预算资金,证券业固定资产投资(不含农户)国家预算资金,保险业固定资产投资(不含农户)国家预算资金,其他金融活动固定资产投资(不含农户)国家预算资金,房地产业固定资产投资(不含农户)国家预算资金,租赁和商务服务业固定资产投资(不含农户)国家预算资金,租赁业固定资产投资(不含农户)国家预算资金,商务服务业固定资产投资(不含农户)国家预算资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)国家预算资金,研究与试验发展固定资产投资(不含农户)国家预算资金,专业技术服务业固定资产投资(不含农户)国家预算资金,科技交流和推广服务业固定资产投资(不含农户)国家预算资金,地质勘查业固定资产投资(不含农户)国家预算资金,水利、环境和公共设施管理业固定资产投资(不含农户)国家预算资金,水利管理业固定资产投资(不含农户)国家预算资金,环境管理业固定资产投资(不含农户)国家预算资金,公共设施管理业固定资产投资(不含农户)国家预算资金,居民服务和其他服务业固定资产投资(不含农户)国家预算资金,居民服务业固定资产投资(不含农户)国家预算资金,其他服务业固定资产投资(不含农户)国家预算资金,教育固定资产投资(不含农户)国家预算资金,卫生、社会保障和社会福利业固定资产投资(不含农户)国家预算资金,卫生固定资产投资(不含农户)国家预算资金,社会保障业固定资产投资(不含农户)国家预算资金,社会福利业固定资产投资(不含农户)国家预算资金,文化、体育和娱乐业固定资产投资(不含农户)国家预算资金,新闻出版业固定资产投资(不含农户)国家预算资金,广播、电视、电影和音像业固定资产投资(不含农户)国家预算资金,文化艺术业固定资产投资(不含农户)国家预算资金,体育固定资产投资(不含农户)国家预算资金,娱乐业固定资产投资(不含农户)国家预算资金,公共管理和社会组织固定资产投资(不含农户)国家预算资金,中国共产党机关固定资产投资(不含农户)国家预算资金,国家机构固定资产投资(不含农户)国家预算资金,人民政协和民主党派固定资产投资(不含农户)国家预算资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)国家预算资金,基层群众自治组织固定资产投资(不含农户)国家预算资金,国际组织固定资产投资(不含农户)国家预算资金
2009,11493.627,579.6411,91.6397,170.7729,33.6887,1.7631,281.7767,83.496,45.4296,26.2877,0.8538,8.1211,2.744,0.0598,342.7129,15.1846,7.0905,4.7919,4.1272,5.5989,2.255,2.404,4.1569,0.8514,4.1658,1.7222,0.1533,36.5604,17.1183,9.0671,0.5383,7.1297,1.1513,28.1996,6.7449,14.2581,9.3128,35.4724,22.7524,42.6257,14.09,20.5482,2.2295,20.1891,2.2234,1059.983,727.4806,34.6795,297.8229,232.6826,215.635,2.1445,3.6184,11.2847,3162.1864,946.5811,1792.4684,140.5081,71.7336,68.2961,9.736,3.3214,127.7467,1.795,63.6934,49.7592,3.2672,10.667,34.395,17.5603,16.8347,15.5157,11.7736,3.7421,19.7315,16.8149,,0.046,2.8706,539.4916,70.3243,0.1013,70.223,132.6959,80.8041,37.5341,9.8269,4.5308,2879.8455,772.0669,283.6684,1824.1102,25.9055,16.0717,9.8338,703.6052,364.5395,301.9751,23.2875,39.2769,261.3376,1.5525,15.066,148.3862,70.773,25.5599,921.8443,14.9452,875.2158,3.223,8.5799,19.8804,
2008,7377.0095,339.9665,60.4314,105.0174,17.1498,1.0984,156.2695,65.6465,25.855,31.465,0.1834,4.7402,3.4029,,240.5471,8.3208,3.0499,1.75,1.9579,2.0817,2.0635,0.1577,1.4955,0.3745,10.4808,1.5374,0.0742,14.9867,15.3736,5.892,,0.995,0.383,14.4322,1.5522,41.9793,3.6517,8.1826,8.2667,34.7527,5.1945,36.5096,1.0966,12.5957,1.3591,679.8172,532.9966,14.032,132.7886,149.3018,140.6124,0.859,0.409,7.4214,2119.4343,767.647,1061.5677,100.3726,56.2594,55.4643,19.1754,1.4424,56.6197,0.8858,46.7859,43.9571,2.4014,0.4274,23.2533,11.6989,11.5544,11.1398,8.9751,2.1647,8.1719,7.6019,0.4,0.02,0.15,165.7435,41.908,0.4906,41.4174,81.7965,47.8524,22.5619,8.4861,2.8961,1895.17,503.6855,143.5215,1247.963,10.5008,7.9507,2.5501,362.2106,135.9217,111.699,4.1021,20.1206,201.4955,0.501,11.6923,114.8495,65.7493,8.7034,798.1986,10.2915,745.5616,2.0425,4.6806,35.6224,
2007,5464.1294,268.0255,51.1244,87.0236,11.9249,0.8316,117.121,50.8431,24.4119,19.3092,1.2852,4.9079,0.814,0.1149,144.0786,6.0819,4.0915,0.9843,1.9,2.8633,0.4823,1.301,0.6693,0.4708,3.7236,0.9476,0.44,0.948,5.2411,3.6205,,6.5108,0.0453,3.1973,1.3957,9.4367,1.0874,10.2885,5.915,41.7614,4.1472,17.7212,2.0841,6.5034,0.2194,584.8782,476.0142,14.523,94.341,78.5278,73.2633,1.4249,0.1489,3.6907,1614.355,549.8807,851.995,59.4016,50.4842,52.3155,8.6308,0.7311,40.3482,0.5679,26.2999,25.452,0.3445,0.5034,16.3532,12.1648,4.1884,12.2601,11.4017,0.8584,6.5069,6.2442,,0.0379,0.2248,129.3114,18.3226,0.9708,17.3518,70.3014,45.2463,14.8994,7.2673,2.8884,1264.3375,351.4281,118.0573,794.8521,8.1492,7.0578,1.0914,275.7654,81.485,67.4481,3.2624,10.7745,176.5898,2.1651,6.1332,95.557,62.3513,10.3832,637.7388,10.5851,612.3078,3.9717,3.9012,6.973,
2006,4438.7391,239.1773,46.3468,84.215,15.3053,0.7786,92.5316,32.7828,22.3036,8.0132,0.2739,1.8036,0.3885,0.0,153.1686,3.9909,0.7689,1.0167,3.5999,1.4311,0.234,0.089,0.857,0.05,2.307,0.0,0.042,8.4078,15.5024,1.2682,4.0209,2.5038,1.2141,2.319,3.3722,25.1422,0.9906,10.2564,9.7422,33.9708,3.2879,13.2548,1.6196,1.8286,0.0806,381.2604,313.8404,4.639,62.781,55.9667,51.5927,0.7819,0.1137,3.4784,1386.7278,587.6174,655.5205,28.9344,16.5092,58.9732,7.1672,0.3387,31.1519,0.5153,27.089,24.0612,2.7884,0.2394,6.3304,2.862,3.4684,8.0114,7.3682,0.6432,8.0574,7.6032,0.0,0.018,0.4362,96.3249,10.8625,0.0,10.8625,79.4506,52.9023,15.1554,4.5876,6.8053,942.7204,329.1002,77.279,536.3412,3.6098,1.8838,1.726,218.1472,83.2625,73.2174,1.9328,8.1123,115.215,2.397,8.2578,49.7897,41.4827,13.2878,590.5744,9.1774,566.9179,1.7859,3.8388,8.8544,0.0
2005,3637.8711,178.3865,34.8044,73.3085,9.0109,0.2839,60.9788,22.4757,16.598,3.2258,0.5782,2.0277,0.046,,130.274,4.1547,1.1601,1.7699,1.839,1.6786,0.9895,0.223,0.3711,0.1,0.6515,0.4756,0.01,4.0526,10.4765,6.4131,0.3,0.1865,0.0817,1.8076,0.6481,16.0453,0.7001,9.4776,26.2686,22.7482,2.672,8.9155,3.9362,1.8538,0.2676,320.7197,255.765,5.7151,59.2396,47.3837,45.139,0.4136,0.0035,1.8276,1069.53,446.1856,514.2569,29.2277,13.854,38.7691,8.1,5.1741,13.4491,0.5135,17.8916,16.7474,0.6842,0.46,4.9335,3.3449,1.5886,5.7664,5.6114,0.155,3.7934,3.4629,0.01,,0.3205,44.7696,7.7167,,7.7167,86.9639,42.3214,22.1877,4.5338,17.921,773.7422,295.1328,68.6815,409.9279,16.2427,16.0969,0.1458,183.5459,70.1094,63.119,2.6402,4.3502,79.3548,0.8715,5.5611,37.4951,30.6959,4.7312,574.2714,10.1091,555.8514,0.9976,1.9654,5.3479,
2004,2855.6,127.65,22.94,46.75,10.0,0.43,47.53,31.38,15.43,15.03,0.4,0.18,0.25,0.09,91.47,4.04,1.19,0.74,,2.87,0.2,0.35,0.37,0.06,0.16,0.87,,2.61,12.18,2.83,0.91,0.19,0.12,7.01,5.15,3.84,0.65,4.48,17.95,11.89,3.03,2.8,1.18,3.78,0.016,253.15,192.19,4.52,56.44,42.63,41.86,0.09,0.0039,0.68,830.45,322.67,426.75,10.04,12.54,43.45,1.56,3.09,8.63,1.73,16.14,13.35,0.87,1.92,6.17,4.56,1.62,7.47,7.21,0.26,2.83,2.69,,0.12,0.03,32.01,18.26,0.0417,6.4,56.48,39.19,10.17,4.52,2.6,607.47,256.08,47.51,303.88,1.34,0.71,0.62,157.3,51.88,47.61,1.03,3.24,58.64,0.31,2.93,31.24,22.08,2.09,462.94,7.69,450.15,0.6,2.22,2.27,0.0202
2003,2360.14,139.1127,27.2058,66.3506,8.4357,0.313,36.8076,17.6602,13.8136,2.0106,0.1654,1.6426,0.028,,123.0105,4.8792,2.6522,0.5118,,5.8478,0.0735,0.086,2.1879,0.01,0.0675,0.1889,,0.242,12.0728,4.1074,0.002,0.4499,0.1019,6.0657,7.5828,5.9596,0.6474,4.6975,20.7372,23.9078,4.7213,7.1992,1.9417,6.0395,0.03,255.0845,193.2549,6.1866,55.643,43.3876,42.0294,0.7876,0.0225,0.5481,604.8051,225.3331,317.1649,11.133,7.781,24.2204,0.4489,2.8958,12.9888,2.8392,19.0485,17.491,0.2432,1.3143,3.674,1.5224,2.1516,5.4061,5.2231,0.183,5.7211,4.0605,,0.0606,1.6,23.3212,11.365,,11.365,57.0368,36.1442,14.0288,4.649,2.2148,568.7666,288.1681,55.4655,225.133,1.1777,0.9286,0.2491,133.3772,36.7256,33.5255,0.4033,2.7968,48.4002,1.5023,4.4776,28.4941,12.0544,1.8718,263.0624,9.6428,246.9544,1.3609,1.5494,3.5549,
2002,2750.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2261.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1795.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
