年份,固定资产投资(不含农户),农、林、牧、渔业固定资产投资(不含农户),农业固定资产投资(不含农户),林业固定资产投资(不含农户),畜牧业固定资产投资(不含农户),渔业固定资产投资(不含农户),农、林、牧、渔服务业固定资产投资(不含农户),采矿业固定资产投资(不含农户),煤炭开采和洗选业固定资产投资(不含农户),石油和天然气开采业固定资产投资(不含农户),黑色金属矿采选业固定资产投资(不含农户),有色金属矿采选业固定资产投资(不含农户),非金属矿采选业固定资产投资(不含农户),其他采矿业固定资产投资(不含农户),制造业固定资产投资(不含农户),农副食品加工业固定资产投资(不含农户),食品制造业固定资产投资(不含农户),饮料制造业固定资产投资(不含农户),烟草制品业固定资产投资(不含农户),纺织业固定资产投资(不含农户),纺织服装、鞋、帽制造业固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户),木材加工及木竹藤棕草制品业固定资产投资(不含农户),家具制造业固定资产投资(不含农户),造纸及纸制品业固定资产投资(不含农户),印刷业和记录媒介的复制固定资产投资(不含农户),文教体育用品制造业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业固定资产投资(不含农户),化学原料及化学制品制造业固定资产投资(不含农户),医药制造业固定资产投资(不含农户),化学纤维制造业固定资产投资(不含农户),橡胶制品业固定资产投资(不含农户),塑料制品业固定资产投资(不含农户),非金属矿物制品业固定资产投资(不含农户),黑色金属冶炼及压延加工业固定资产投资(不含农户),有色金属冶炼及压延加工业固定资产投资(不含农户),金属制品业固定资产投资(不含农户),通用设备制造业固定资产投资(不含农户),专用设备制造业固定资产投资(不含农户),交通运输设备制造业固定资产投资(不含农户),电气机械及器材制造业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业固定资产投资(不含农户),仪器仪表文化办公用机械制造业固定资产投资(不含农户),工艺品及其他制造业固定资产投资(不含农户),废弃资源和废旧材料回收加工业固定资产投资(不含农户),电力燃气水的生产供应业固定资产投资(不含农户),电力、热力的生产和供应业固定资产投资(不含农户),燃气生产和供应业固定资产投资(不含农户),水的生产和供应业固定资产投资(不含农户),建筑业固定资产投资(不含农户),房屋和土木工程建筑业固定资产投资(不含农户),建筑安装工程业固定资产投资(不含农户),建筑装饰业固定资产投资(不含农户),其他建筑业固定资产投资(不含农户),交通运输、仓储和邮政业固定资产投资(不含农户),铁路运输业固定资产投资(不含农户),道路运输业固定资产投资(不含农户),城市公共交通业固定资产投资(不含农户),水上运输业固定资产投资(不含农户),航空运输业固定资产投资(不含农户),管道运输业固定资产投资(不含农户),装卸搬运和其他运输服务业固定资产投资(不含农户),仓储业固定资产投资(不含农户),邮政业固定资产投资(不含农户),信息传输、计算机服务和软件业固定资产投资(不含农户),电信和其他信息传输服务业固定资产投资(不含农户),计算机服务业固定资产投资(不含农户),软件业固定资产投资(不含农户),批发和零售业固定资产投资(不含农户),批发业固定资产投资(不含农户),零售业固定资产投资(不含农户),住宿和餐饮业固定资产投资(不含农户),住宿业固定资产投资(不含农户),餐饮业固定资产投资(不含农户),金融业固定资产投资(不含农户),银行业固定资产投资(不含农户),证券业固定资产投资(不含农户),保险业固定资产投资(不含农户),其他金融活动固定资产投资(不含农户),房地产业固定资产投资(不含农户),租赁和商务服务业固定资产投资(不含农户),租赁业固定资产投资(不含农户),商务服务业固定资产投资(不含农户),科学研究、技术服务和地质勘查业固定资产投资(不含农户),研究与试验发展固定资产投资(不含农户),专业技术服务业固定资产投资(不含农户),科技交流和推广服务业固定资产投资(不含农户),地质勘查业固定资产投资(不含农户),水利、环境和公共设施管理业固定资产投资(不含农户),水利管理业固定资产投资(不含农户),环境管理业固定资产投资(不含农户),公共设施管理业固定资产投资(不含农户),居民服务和其他服务业固定资产投资(不含农户),居民服务业固定资产投资(不含农户),其他服务业固定资产投资(不含农户),教育固定资产投资(不含农户),卫生、社会保障和社会福利业固定资产投资(不含农户),卫生固定资产投资(不含农户),社会保障业固定资产投资(不含农户),社会福利业固定资产投资(不含农户),文化、体育和娱乐业固定资产投资(不含农户),新闻出版业固定资产投资(不含农户),广播、电视、电影和音像业固定资产投资(不含农户),文化艺术业固定资产投资(不含农户),体育固定资产投资(不含农户),娱乐业固定资产投资(不含农户),公共管理和社会组织固定资产投资(不含农户),中国共产党机关固定资产投资(不含农户),国家机构固定资产投资(不含农户),人民政协和民主党派固定资产投资(不含农户),群众团体、社会团体和宗教组织固定资产投资(不含农户),基层群众自治组织固定资产投资(不含农户),国际组织固定资产投资(不含农户)
2009,193920,3356.3903,743.2447,584.3141,966.258,129.8594,932.7141,8170.8267,3056.9292,2791.482,843.787,830.006,627.3698,21.2527,58706.0676,2830.1065,1509.4662,1078.8469,216.6077,1764.3749,1050.5938,518.2309,1016.4864,645.161,1244.1015,567.3712,217.2265,1839.8163,5979.8935,1454.2899,276.0786,658.2076,1405.7149,5904.4427,3264.9259,2153.7806,2817.8357,4461.1569,3076.0267,4975.1065,3557.7668,2623.6279,527.0069,826.93,244.8867,13545.4481,11139.069,650.6521,1755.727,1569.1339,1304.6573,70.1987,57.61,136.6679,23271.3211,6660.8687,10557.6192,2034.0618,1670.6559,604.8524,73.0803,221.895,1413.3169,34.9709,2543.4791,2278.9186,62.0009,202.5596,4490.9825,2123.4279,2367.5546,2328.6075,1487.8864,840.7211,348.5442,265.1198,27.6752,17.9646,37.7846,43127.6404,1880.4384,113.6169,1766.8215,1084.0333,369.9809,302.9829,235.0494,176.0201,17878.8972,2217.9031,1197.3443,14463.6498,518.5762,317.386,201.1902,3242.4595,1697.9995,1447.6012,83.2992,167.0991,2125.3927,52.9866,163.0964,718.8525,419.2786,771.1786,4034.1512,26.4933,3138.1709,7.9773,113.0486,748.4611,
2008,148738,2250.3666,456.8155,392.5627,664.5706,102.3553,634.0625,6846.7652,2399.2474,2675.0724,678.9555,653.6045,427.7329,12.1155,46368.2969,2045.1647,1143.0372,873.1176,144.7637,1540.0619,898.5259,426.0462,798.5858,511.8337,1021.4733,449.8582,196.4696,1827.5052,4734.2754,1073.1756,292.9953,492.9138,1093.6328,4143.7822,3248.9108,1885.5438,2194.7576,3244.3405,2265.1629,3780.2638,2343.9298,2461.6129,428.2791,671.5053,136.7723,10489.0894,9023.655,420.0207,1045.4137,1195.7761,1011.8368,50.1868,35.9863,97.7662,15700.4775,4073.2115,7411.5132,1274.9193,1204.0695,590.4701,138.6133,114.2821,874.0009,19.3976,2131.2699,1930.9074,52.3636,147.9989,3193.0346,1518.3865,1674.6481,1735.0354,1181.8899,553.1455,252.8222,188.9153,32.0626,11.4053,20.439,35914.1506,1255.0644,44.6935,1210.3709,717.5774,281.2113,219.3575,129.7011,87.3075,12279.1363,1420.4289,728.9096,10129.7978,312.699,203.1316,109.5674,2355.3761,1065.8717,936.2158,20.7391,108.9168,1436.5002,65.6134,151.7513,459.2431,270.7442,489.1482,3238.9953,27.3535,2442.7031,7.8181,82.8091,678.3115,
2007,117464,1460.0466,327.236,297.6346,315.8401,68.435,450.9009,5256.1415,1804.5849,2225.4951,428.0314,491.5315,295.2419,11.2567,35476.7247,1638.0998,965.1661,714.8488,117.3743,1514.575,753.2373,347.9195,635.2981,386.9969,816.4391,367.7054,171.9229,1415.3806,3534.0376,843.4935,279.2486,436.0464,862.3447,2805.6932,2616.7104,1295.5875,1580.0549,2331.4581,1688.9796,2723.2572,1608.4596,2093.8464,281.2898,565.6555,85.5979,9088.9097,7906.5188,346.6418,835.7491,992.4803,838.2977,46.9969,24.7652,82.4205,12997.0571,2492.745,6926.5966,1072.9537,1109.5406,607.5575,69.0758,93.3614,611.0674,14.1591,1819.356,1702.0094,31.6629,85.6837,2450.5913,1141.023,1309.5683,1329.8896,925.0718,404.8178,151.9289,113.724,12.2675,10.3993,15.5381,28619.2443,860.6822,33.8452,826.837,521.1779,213.8959,137.7519,90.9668,78.5633,9276.0312,1105.5749,591.0107,7579.4456,235.7566,151.0024,84.7542,2220.8619,809.3604,732.9196,12.6447,63.7961,1129.8196,36.3594,149.8444,361.2368,247.725,334.654,2768.409,24.2522,2236.6369,11.2395,66.9828,429.2976,
2006,93369,1118.1633,267.907,246.0125,227.7206,47.3539,329.1693,4152.5225,1459.0224,1822.228,356.9328,303.6717,204.1939,6.4737,26336.0499,1196.1156,766.5848,551.5933,115.0869,1266.3005,553.3624,294.327,399.4403,271.9059,647.4588,302.2589,120.8818,939.2854,2539.9889,759.9155,206.8705,361.0597,708.6955,1856.0991,2285.3234,962.6519,1100.5832,1567.1135,1089.046,1967.0745,1110.7338,1685.5766,226.4709,445.3472,38.8981,8260.6657,7274.2712,331.4928,654.9017,795.6916,678.4164,33.6991,15.9719,67.6042,11224.4878,1966.5236,6481.6449,800.5973,995.056,463.0933,71.3286,54.2984,370.9402,21.0055,1772.0258,1661.0512,33.4709,77.5037,1896.4544,826.4751,1069.9793,938.7171,639.8126,298.9045,118.7207,89.938,9.7388,10.6246,8.4193,21586.2233,662.5853,23.3533,639.232,465.0995,212.3529,112.0711,80.8458,59.8297,7506.6513,915.8223,419.5433,6171.2857,183.6247,118.5856,65.0391,2128.8448,707.964,652.2177,17.1237,38.6226,858.2235,26.6626,121.2912,224.634,210.0094,275.6263,2655.831,25.3461,2243.4252,7.0494,43.5737,336.4366,0.135
2005,75095,842.7863,218.0551,180.1401,175.2935,45.8715,223.4261,3234.2737,1162.9453,1463.5591,278.1394,182.3014,143.2526,4.0759,20406.5784,893.8639,543.5399,348.7472,95.4806,1059.2224,384.3445,202.6925,280.8631,189.0752,549.2738,227.5303,88.6008,801.2924,2130.5594,696.0545,175.7068,200.6207,475.3714,1393.928,2305.2334,761.1671,745.25,1025.1789,784.5227,1576.4977,771.4295,1215.5576,161.2738,305.2483,18.452,7286.5632,6503.1973,274.6311,508.7348,664.3351,589.1563,26.5382,10.9065,37.7341,8860.3791,1267.6675,5581.4067,531.1156,779.2875,302.3717,79.5564,43.5439,258.5213,16.9085,1561.6311,1490.1718,18.5121,52.9472,1532.0587,672.1991,859.8596,675.9399,456.1576,219.7823,105.6369,77.1486,11.3234,7.9295,9.2354,17098.1853,486.1615,14.2273,471.9342,424.5212,176.9969,116.0318,70.0097,61.4828,6097.924,837.5888,318.6517,4941.6835,135.4926,97.5564,37.9362,1966.9027,591.7946,550.1802,11.189,30.4254,685.7914,16.8826,91.1073,216.7839,159.1549,201.8627,2438.1446,25.3748,2080.2734,6.0634,41.0846,285.3484,
2004,59028,645.12,170.55,145.51,135.25,30.86,162.95,2126.25,690.42,1112.28,131.39,116.71,72.81,2.64,14657.2,543.32,367.59,253.97,86.87,763.0,259.04,116.35,178.23,105.31,422.74,166.51,54.37,637.91,1581.92,594.45,171.42,178.55,330.94,1101.83,1789.57,572.66,430.64,561.96,464.01,1033.18,525.65,1021.15,130.68,200.47,12.93,5525.13,4854.41,209.77,460.94,526.34,461.75,18.57,8.03,37.99,7091.51,846.3,4665.53,391.32,534.63,272.42,107.02,58.62,186.93,28.76,1637.95,1589.87,11.73,36.36,1117.18,447.36,669.83,438.1,294.98,143.12,97.59,83.4,1.26,4.98,7.96,14546.96,361.7,6.19,355.51,311.76,169.17,71.77,45.49,25.33,4890.8173,749.62,258.91,3882.29,107.583,67.27,40.31,1803.0146,446.9116,419.32,4.47,23.13,531.1765,18.68,74.23,154.8,125.45,158.02,2165.5821,30.01,1907.43,2.71,29.75,195.68,0.31
2003,45812,534.9794,140.1965,150.2417,96.1077,20.3171,128.1164,1551.8508,436.4297,945.9899,50.0835,70.8718,46.7048,1.7711,10743.9508,398.8757,292.9198,211.0893,86.0786,614.1477,199.5154,93.6741,115.5092,73.7477,313.7372,124.7142,43.266,322.0402,1101.417,501.4481,120.9836,141.4933,257.9012,777.2502,1403.0291,455.053,280.2784,363.6648,340.4328,717.1004,315.5559,769.293,102.6554,200.9972,6.0823,3803.9029,3304.824,151.64,347.4373,527.9945,480.2051,18.6567,10.5498,18.5829,5669.0243,705.9968,3607.7849,437.9787,364.0944,219.8513,144.0559,46.3993,115.4052,27.4578,1645.742,1602.0513,10.6606,33.0301,791.3719,315.4182,475.9537,321.2642,221.4426,99.8216,86.1586,74.6104,1.6631,5.9498,3.9353,11105.2837,309.7691,2.6859,307.0832,281.7115,133.3366,89.4289,32.7761,26.1699,4220.1547,721.855,263.7696,3234.5301,65.55,51.7689,13.7811,1474.1223,357.7193,332.9139,6.4268,18.3786,479.6123,23.4766,81.304,124.7856,106.7293,143.3168,1841.2456,30.2993,1653.1539,6.39,28.7261,122.6763,0.288
2002,35488.76,665.364,,,,,,1242.699,301.19,814.63,,,,,6624.7009,,,,,,,,,,,,,235.97,,,,,,,,,,,,,,,,,,3111.4966,,87.33,,387.2173,,,,,6306.8662,,,,,,,,,,,,,,,,,,,,94.95,,,,,9029.8273,,,,,,,,,,,,,,,,,,,,,,,,,,,1498.9992,,,,,,
2001,30001.24,491.4282,,,,,,1144.7932,222.19,809.65,,,,,5039.4327,,,,,,,,,,,,,241.99,,,,,,,,,,,,,,,,,,2737.0374,,76.56,,281.604,,,,,6258.189,,,,,,,,,,,,,,,,,,,,120.173,,,,,7539.3628,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.3258,,,,,,
2000,26221.8,420.2881,,,,,,1108.7669,211.39,789.41,,,,,4003.7843,,,,,,,,,,,,,172.55,,,,,,,,,,,,,,,,,,3008.1194,,73.66,,307.4567,,,,,5522.1165,,,,,,,,,,,,,,,,,,,,118.6129,,,,,6147.4156,,,,,,,,,,,,,,,,,,,,,,,,,,,974.3107,,,,,,
