年份,固定资产投资(不含农户)在建总规模,农、林、牧、渔业固定资产投资(不含农户)在建总规模,农业固定资产投资(不含农户)在建总规模,林业固定资产投资(不含农户)在建总规模,畜牧业固定资产投资(不含农户)在建总规模,渔业固定资产投资(不含农户)在建总规模,农、林、牧、渔服务业固定资产投资(不含农户)在建总规模,采矿业固定资产投资(不含农户)在建总规模,煤炭开采和洗选业固定资产投资(不含农户)在建总规模,石油和天然气开采业固定资产投资(不含农户)在建总规模,黑色金属矿采选业固定资产投资(不含农户)在建总规模,有色金属矿采选业固定资产投资(不含农户)在建总规模,非金属矿采选业固定资产投资(不含农户)在建总规模,其他采矿业固定资产投资(不含农户)在建总规模,制造业固定资产投资(不含农户)在建总规模,农副食品加工业固定资产投资(不含农户)在建总规模,食品制造业固定资产投资(不含农户)在建总规模,饮料制造业固定资产投资(不含农户)在建总规模,烟草制品业固定资产投资(不含农户)在建总规模,纺织业固定资产投资(不含农户)在建总规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)在建总规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)在建总规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)在建总规模,家具制造业固定资产投资(不含农户)在建总规模,造纸及纸制品业固定资产投资(不含农户)在建总规模,印刷业和记录媒介的复制固定资产投资(不含农户)在建总规模,文教体育用品制造业固定资产投资(不含农户)在建总规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)在建总规模,化学原料及化学制品制造业固定资产投资(不含农户)在建总规模,医药制造业固定资产投资(不含农户)在建总规模,化学纤维制造业固定资产投资(不含农户)在建总规模,橡胶制品业固定资产投资(不含农户)在建总规模,塑料制品业固定资产投资(不含农户)在建总规模,非金属矿物制品业固定资产投资(不含农户)在建总规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)在建总规模,有色金属冶炼及压延加工业固定资产投资(不含农户)在建总规模,金属制品业固定资产投资(不含农户)在建总规模,通用设备制造业固定资产投资(不含农户)在建总规模,专用设备制造业固定资产投资(不含农户)在建总规模,交通运输设备制造业固定资产投资(不含农户)在建总规模,电气机械及器材制造业固定资产投资(不含农户)在建总规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)在建总规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)在建总规模,工艺品及其他制造业固定资产投资(不含农户)在建总规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)在建总规模,电力燃气水的生产供应业固定资产投资(不含农户)在建总规模,电力、热力的生产和供应业固定资产投资(不含农户)在建总规模,燃气生产和供应业固定资产投资(不含农户)在建总规模,水的生产和供应业固定资产投资(不含农户)在建总规模,建筑业固定资产投资(不含农户)在建总规模,房屋和土木工程建筑业固定资产投资(不含农户)在建总规模,建筑安装工程业固定资产投资(不含农户)在建总规模,建筑装饰业固定资产投资(不含农户)在建总规模,其他建筑业固定资产投资(不含农户)在建总规模,交通运输、仓储和邮政业固定资产投资(不含农户)在建总规模,铁路运输业固定资产投资(不含农户)在建总规模,道路运输业固定资产投资(不含农户)在建总规模,城市公共交通业固定资产投资(不含农户)在建总规模,水上运输业固定资产投资(不含农户)在建总规模,航空运输业固定资产投资(不含农户)在建总规模,管道运输业固定资产投资(不含农户)在建总规模,装卸搬运和其他运输服务业固定资产投资(不含农户)在建总规模,仓储业固定资产投资(不含农户)在建总规模,邮政业固定资产投资(不含农户)在建总规模,信息传输、计算机服务和软件业固定资产投资(不含农户)在建总规模,电信和其他信息传输服务业固定资产投资(不含农户)在建总规模,计算机服务业固定资产投资(不含农户)在建总规模,软件业固定资产投资(不含农户)在建总规模,批发和零售业固定资产投资(不含农户)在建总规模,批发业固定资产投资(不含农户)在建总规模,零售业固定资产投资(不含农户)在建总规模,住宿和餐饮业固定资产投资(不含农户)在建总规模,住宿业固定资产投资(不含农户)在建总规模,餐饮业固定资产投资(不含农户)在建总规模,金融业固定资产投资(不含农户)在建总规模,银行业固定资产投资(不含农户)在建总规模,证券业固定资产投资(不含农户)在建总规模,保险业固定资产投资(不含农户)在建总规模,其他金融活动固定资产投资(不含农户)在建总规模,房地产业固定资产投资(不含农户)在建总规模,租赁和商务服务业固定资产投资(不含农户)在建总规模,租赁业固定资产投资(不含农户)在建总规模,商务服务业固定资产投资(不含农户)在建总规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)在建总规模,研究与试验发展固定资产投资(不含农户)在建总规模,专业技术服务业固定资产投资(不含农户)在建总规模,科技交流和推广服务业固定资产投资(不含农户)在建总规模,地质勘查业固定资产投资(不含农户)在建总规模,水利、环境和公共设施管理业固定资产投资(不含农户)在建总规模,水利管理业固定资产投资(不含农户)在建总规模,环境管理业固定资产投资(不含农户)在建总规模,公共设施管理业固定资产投资(不含农户)在建总规模,居民服务和其他服务业固定资产投资(不含农户)在建总规模,居民服务业固定资产投资(不含农户)在建总规模,其他服务业固定资产投资(不含农户)在建总规模,教育固定资产投资(不含农户)在建总规模,卫生、社会保障和社会福利业固定资产投资(不含农户)在建总规模,卫生固定资产投资(不含农户)在建总规模,社会保障业固定资产投资(不含农户)在建总规模,社会福利业固定资产投资(不含农户)在建总规模,文化、体育和娱乐业固定资产投资(不含农户)在建总规模,新闻出版业固定资产投资(不含农户)在建总规模,广播、电视、电影和音像业固定资产投资(不含农户)在建总规模,文化艺术业固定资产投资(不含农户)在建总规模,体育固定资产投资(不含农户)在建总规模,娱乐业固定资产投资(不含农户)在建总规模,公共管理和社会组织固定资产投资(不含农户)在建总规模,中国共产党机关固定资产投资(不含农户)在建总规模,国家机构固定资产投资(不含农户)在建总规模,人民政协和民主党派固定资产投资(不含农户)在建总规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)在建总规模,基层群众自治组织固定资产投资(不含农户)在建总规模,国际组织固定资产投资(不含农户)在建总规模
2009,479245.9909,3044.874,770.4435,645.6437,807.0795,85.0034,736.7039,14670.8971,8286.5819,3174.1611,1345.8562,1327.6131,503.3763,33.3085,95335.2119,2922.8917,1612.3801,1368.7371,574.134,2300.3934,1140.8851,664.2725,734.2377,544.3864,2326.4697,522.4764,219.792,5568.9734,11937.168,2084.454,484.8138,1160.6268,1489.831,7084.6965,7841.8474,5309.2061,3316.6681,5146.5443,4313.8147,10546.671,5408.7075,5858.3256,747.6478,1621.2266,482.9332,45362.5441,39969.6223,1956.4504,3436.4714,1878.2585,1703.554,40.0567,27.0052,107.6426,77155.689,27238.5105,30106.5682,10064.5324,4527.8784,2015.6308,125.4234,317.0807,2730.0516,30.013,2676.864,2125.2783,56.3733,495.2124,5102.5316,2639.8015,2462.7301,3686.3682,3154.8251,531.5431,660.0283,300.797,241.4891,76.6617,41.0805,161782.3826,4084.6086,14.5744,4070.0342,2000.6384,800.0098,701.1793,357.9521,141.4972,43046.6493,7890.3184,2350.0585,32806.2724,669.3399,411.7114,257.6285,5907.5112,2819.2011,2510.5092,144.9694,163.7225,4858.724,143.0998,528.7161,1598.6267,1048.5452,1539.7362,4503.6691,39.0718,3676.0461,4.4223,131.4514,652.6775,
2008,372392.6106,2070.6454,429.7921,590.4156,447.79,59.0687,543.579,9658.6254,5306.6586,2042.2088,930.3943,935.7821,426.7107,16.8709,77304.8645,2240.9799,1301.4148,998.4174,382.1774,2026.5451,1086.3083,544.8343,590.9992,458.7309,1902.2113,436.596,228.9238,5340.7375,9878.662,1668.0969,542.616,778.9067,1258.9906,4977.6976,7469.9445,4313.5008,2651.1968,3960.4827,3020.0577,8447.5418,3460.2182,5107.1126,606.559,1414.5788,209.8259,37259.2275,33258.4631,1439.0889,2561.6755,1239.3525,1095.2344,27.0943,17.8262,99.1976,55050.9173,19086.9783,21987.2633,7039.0304,3204.7033,1419.2669,263.4616,195.2245,1829.7119,25.2771,2608.7136,2138.2772,76.105,394.3314,3856.2313,1988.351,1867.8803,2796.6118,2416.8739,379.7379,456.5584,187.7688,241.0969,6.5324,21.1603,130898.7794,2818.8652,15.9956,2802.8696,1707.7015,681.8542,702.7745,231.7129,91.3599,30143.3442,5429.4695,1419.5069,23294.3678,308.8982,202.6589,106.2393,5009.5062,1863.5697,1692.0599,49.7069,121.8029,3455.7799,145.2147,469.9034,1081.0487,746.1737,1013.4394,3884.4186,39.0198,3133.2723,10.9505,107.5013,593.6747,
2007,296935.3536,1580.6729,421.8145,441.7467,311.9695,57.6271,347.5151,7097.5783,3847.5511,1586.5868,720.4317,632.0536,288.2062,22.7489,63169.1551,1970.848,1121.5834,942.3929,337.0072,2083.6771,1030.3447,532.9538,607.6597,451.8452,1776.9233,400.4872,223.1292,4270.3545,7791.7686,1431.4428,776.0806,659.8851,1161.4187,3455.7144,6537.1226,3123.4117,2049.4064,3002.7236,2462.4035,6372.2738,2529.9939,4397.3642,447.4996,1048.9306,172.5088,32824.9713,29631.9405,1088.4897,2104.5411,1337.989,1169.138,22.7655,11.1141,134.9714,42991.1598,10959.3867,19015.5415,6497.3069,3506.7382,1319.5196,162.1548,144.3227,1367.2507,18.9387,2008.0936,1709.4248,57.5333,241.1355,3294.5125,1511.5844,1782.9281,2378.284,2087.9527,290.3313,166.8165,101.2772,34.17,5.8292,25.5401,97572.0481,2202.4859,16.4758,2186.0101,1069.2833,522.3904,275.4808,195.2249,76.1872,25859.7121,4898.7396,1421.1249,19539.8476,293.9035,226.6253,67.2782,4742.8927,1446.3776,1350.7187,24.5633,71.0956,3021.0834,123.9377,431.4962,950.7322,716.5477,798.3696,3878.334,42.7232,3308.534,11.5193,96.7042,418.8533,
2006,241300.0223,1425.239,322.9234,461.2186,265.0332,54.0863,321.9775,6075.1547,3903.9975,922.1476,550.6438,417.6208,266.287,14.458,48160.3249,1688.2504,1083.7141,768.6912,291.9338,1817.2184,739.0122,438.375,448.1281,350.6606,1242.3832,344.353,174.6192,3131.1431,5437.786,1289.2393,764.289,544.8436,1066.9676,2450.9734,5781.6151,2270.2828,1324.1469,2163.1617,1700.6472,4663.57,1659.9874,3300.0641,359.1864,772.5369,92.5452,31313.3242,28049.3613,1326.9124,1937.0505,1089.682,922.8202,29.4932,12.0858,125.2828,34771.7989,5830.1047,18763.4008,5039.7894,2956.7735,972.5431,208.5691,118.2711,855.3814,26.9658,1966.1192,1716.2506,62.5451,187.3235,2728.82,1380.2301,1348.5899,1586.6861,1339.2554,247.4307,203.0379,96.5172,84.152,14.1636,8.2051,75103.6351,1432.0815,13.5628,1418.5187,1001.5107,497.5586,198.564,190.539,114.8491,22098.6972,4716.2493,1197.0691,16185.3788,232.0638,179.123,52.9408,4549.5309,1249.2825,1178.2931,20.0296,50.9598,2291.2999,58.0423,348.4577,742.8933,510.9895,630.9171,4021.5988,39.8794,3555.8978,11.9077,95.2908,318.6231,0.135
2005,205611.816,1211.3561,288.0133,400.9166,194.7783,59.9473,267.7006,4978.1762,2665.003,1396.2549,378.8789,322.073,210.9261,5.0403,39148.078,1249.6425,803.4009,588.4738,233.9975,1639.0931,586.2462,318.9776,347.486,308.8217,1106.5132,291.4228,163.6672,2653.6305,4577.3758,1154.8077,485.4329,443.4705,742.7071,2029.1426,5505.2865,1835.9912,920.1593,1367.6508,1104.3329,3986.1255,1257.7843,2618.0345,251.8217,550.1356,26.4461,29528.6166,26970.4723,979.6944,1578.4499,908.5305,795.6248,23.2933,7.599,82.0134,30531.7437,5494.9845,16644.9045,3789.4244,2758.1164,872.4157,98.6456,92.0979,748.404,32.7507,1956.656,1770.9408,38.1979,147.5173,2155.2004,1003.7594,1151.441,1318.3287,1121.2183,197.1104,140.6494,89.4931,31.4311,4.1032,15.622,59799.1682,1255.8936,4.0083,1251.8853,1096.5804,480.376,275.3846,196.7983,144.0215,19775.8646,5538.7238,982.4716,13254.6692,304.3305,255.9088,48.4217,4355.4851,1023.3204,982.8156,8.7792,31.7256,1965.4583,45.793,278.9268,580.64,521.8089,538.2896,4158.3793,40.9613,3639.4081,13.1005,123.8986,341.0108,
2004,167566.02,1176.56,299.71,341.93,187.84,55.81,291.27,3446.64,1847.34,985.12,276.81,231.7,102.46,3.21,32733.55,1018.39,675.54,451.42,210.59,1503.44,485.87,235.49,296.96,197.89,982.58,246.33,107.93,1885.89,3710.39,1200.0,333.0,388.41,602.72,2039.59,4621.45,1863.2,705.08,1030.17,931.07,2886.59,1032.24,2288.06,281.95,488.86,32.45,24723.34,22160.68,821.49,1741.17,858.61,755.67,21.38,10.26,71.3,24408.54,3769.03,13927.53,3075.03,1780.5,594.87,554.11,117.06,554.26,36.16,2403.78,2214.53,39.99,149.26,1913.91,790.56,1123.35,948.91,761.34,187.58,103.55,82.12,1.02,9.21,11.21,48081.0,976.41,3.17,973.24,768.51,425.16,194.81,113.74,34.8,14830.48,3193.49,861.53,10775.45,260.43,220.03,40.41,3763.49,762.62,720.54,9.48,32.6,1709.15,36.3,279.44,451.42,441.62,500.36,3694.97,50.77,3308.39,3.67,70.63,261.52,1.53
2003,121978.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,100672.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,88031.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,73255.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
