年份,改建固定资产投资(不含农户),农、林、牧、渔业改建固定资产投资(不含农户),农业改建固定资产投资(不含农户),林业改建固定资产投资(不含农户),畜牧业改建固定资产投资(不含农户),渔业改建固定资产投资(不含农户),农、林、牧、渔服务业改建固定资产投资(不含农户),采矿业改建固定资产投资(不含农户),煤炭开采和洗选业改建固定资产投资(不含农户),石油和天然气开采业改建固定资产投资(不含农户),黑色金属矿采选业改建固定资产投资(不含农户),有色金属矿采选业改建固定资产投资(不含农户),非金属矿采选业改建固定资产投资(不含农户),其他采矿业改建固定资产投资(不含农户),制造业改建固定资产投资(不含农户),农副食品加工业改建固定资产投资(不含农户),食品制造业改建固定资产投资(不含农户),饮料制造业改建固定资产投资(不含农户),烟草制品业改建固定资产投资(不含农户),纺织业改建固定资产投资(不含农户),纺织服装、鞋、帽制造业改建固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业改建固定资产投资(不含农户),木材加工及木竹藤棕草制品业改建固定资产投资(不含农户),家具制造业改建固定资产投资(不含农户),造纸及纸制品业改建固定资产投资(不含农户),印刷业和记录媒介的复制改建固定资产投资(不含农户),文教体育用品制造业改建固定资产投资(不含农户),石油加工、炼焦及核燃料加工业改建固定资产投资(不含农户),化学原料及化学制品制造业改建固定资产投资(不含农户),医药制造业改建固定资产投资(不含农户),化学纤维制造业改建固定资产投资(不含农户),橡胶制品业改建固定资产投资(不含农户),塑料制品业改建固定资产投资(不含农户),非金属矿物制品业改建固定资产投资(不含农户),黑色金属冶炼及压延加工业改建固定资产投资(不含农户),有色金属冶炼及压延加工业改建固定资产投资(不含农户),金属制品业改建固定资产投资(不含农户),通用设备制造业改建固定资产投资(不含农户),专用设备制造业改建固定资产投资(不含农户),交通运输设备制造业改建固定资产投资(不含农户),电气机械及器材制造业改建固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业改建固定资产投资(不含农户),仪器仪表文化办公用机械制造业改建固定资产投资(不含农户),工艺品及其他制造业改建固定资产投资(不含农户),废弃资源和废旧材料回收加工业改建固定资产投资(不含农户),电力燃气水的生产供应业改建固定资产投资(不含农户),电力、热力的生产和供应业改建固定资产投资(不含农户),燃气生产和供应业改建固定资产投资(不含农户),水的生产和供应业改建固定资产投资(不含农户),建筑业改建固定资产投资(不含农户),房屋和土木工程建筑业改建固定资产投资(不含农户),建筑安装工程业改建固定资产投资(不含农户),建筑装饰业改建固定资产投资(不含农户),其他建筑业改建固定资产投资(不含农户),交通运输、仓储和邮政业改建固定资产投资(不含农户),铁路运输业改建固定资产投资(不含农户),道路运输业改建固定资产投资(不含农户),城市公共交通业改建固定资产投资(不含农户),水上运输业改建固定资产投资(不含农户),航空运输业改建固定资产投资(不含农户),管道运输业改建固定资产投资(不含农户),装卸搬运和其他运输服务业改建固定资产投资(不含农户),仓储业改建固定资产投资(不含农户),邮政业改建固定资产投资(不含农户),信息传输、计算机服务和软件业改建固定资产投资(不含农户),电信和其他信息传输服务业改建固定资产投资(不含农户),计算机服务业改建固定资产投资(不含农户),软件业改建固定资产投资(不含农户),批发和零售业改建固定资产投资(不含农户),批发业改建固定资产投资(不含农户),零售业改建固定资产投资(不含农户),住宿和餐饮业改建固定资产投资(不含农户),住宿业改建固定资产投资(不含农户),餐饮业改建固定资产投资(不含农户),金融业改建固定资产投资(不含农户),银行业改建固定资产投资(不含农户),证券业改建固定资产投资(不含农户),保险业改建固定资产投资(不含农户),其他金融活动改建固定资产投资(不含农户),房地产业改建固定资产投资(不含农户),租赁和商务服务业改建固定资产投资(不含农户),租赁业改建固定资产投资(不含农户),商务服务业改建固定资产投资(不含农户),科学研究、技术服务和地质勘查业改建固定资产投资(不含农户),研究与试验发展改建固定资产投资(不含农户),专业技术服务业改建固定资产投资(不含农户),科技交流和推广服务业改建固定资产投资(不含农户),地质勘查业改建固定资产投资(不含农户),水利、环境和公共设施管理业改建固定资产投资(不含农户),水利管理业改建固定资产投资(不含农户),环境管理业改建固定资产投资(不含农户),公共设施管理业改建固定资产投资(不含农户),居民服务和其他服务业改建固定资产投资(不含农户),居民服务业改建固定资产投资(不含农户),其他服务业改建固定资产投资(不含农户),教育改建固定资产投资(不含农户),卫生、社会保障和社会福利业改建固定资产投资(不含农户),卫生改建固定资产投资(不含农户),社会保障业改建固定资产投资(不含农户),社会福利业改建固定资产投资(不含农户),文化、体育和娱乐业改建固定资产投资(不含农户),新闻出版业改建固定资产投资(不含农户),广播、电视、电影和音像业改建固定资产投资(不含农户),文化艺术业改建固定资产投资(不含农户),体育改建固定资产投资(不含农户),娱乐业改建固定资产投资(不含农户),公共管理和社会组织改建固定资产投资(不含农户),中国共产党机关改建固定资产投资(不含农户),国家机构改建固定资产投资(不含农户),人民政协和民主党派改建固定资产投资(不含农户),群众团体、社会团体和宗教组织改建固定资产投资(不含农户),基层群众自治组织改建固定资产投资(不含农户),国际组织改建固定资产投资(不含农户)
2009,27171.8638,494.5487,148.2723,77.8769,54.4255,18.0145,195.9595,2494.6299,1275.5501,629.7944,203.558,238.226,142.5391,4.9623,12315.3741,548.191,297.321,268.1595,90.0119,387.156,185.0196,56.283,211.9741,99.6642,280.0447,115.7574,27.674,476.1448,1283.2545,340.801,44.6803,135.6502,232.9948,1311.1512,1084.4531,519.2111,471.0646,938.5124,576.1585,1104.5119,553.05,430.9626,102.0062,96.7078,46.8027,1806.0094,1429.8875,78.9907,297.1312,225.1943,171.1385,17.0583,19.4624,17.5351,2565.6901,281.9277,1961.5572,67.6087,84.9392,62.7547,9.2858,17.4462,76.1759,3.9947,579.0653,535.0715,17.951,26.0428,756.1849,326.9784,429.2065,492.8837,252.8035,240.0802,85.0871,69.1767,2.6999,5.883,7.3275,526.5471,263.898,7.723,256.175,170.3781,52.0557,38.0281,31.2515,49.0428,2996.3948,553.5681,283.3055,2159.5212,112.2295,59.8534,52.3761,282.6314,196.8197,179.6688,5.7583,11.3926,264.4253,7.0864,34.1956,104.7422,19.008,99.3931,543.8724,5.4062,436.3537,1.2017,12.0616,88.8492,
2008,19138.3122,259.8822,44.0058,42.0671,32.0945,14.4203,127.2945,2001.3043,992.8195,639.0083,138.9156,158.2584,70.8785,1.424,8719.1201,345.8639,170.5888,149.7762,63.4507,283.3611,134.4808,38.7253,129.8716,45.9475,184.1783,83.5593,22.7795,442.4578,856.725,253.4289,29.6475,79.4145,139.3461,755.2663,1146.7887,441.8984,308.106,612.5309,347.924,729.9904,341.5385,420.3889,74.6807,64.6319,21.7726,1358.9835,1120.715,60.6303,177.6382,139.1178,111.6881,8.4342,6.9271,12.0684,1955.0038,227.3501,1501.5234,47.1889,85.6236,35.2182,1.4412,7.5462,44.5901,4.5221,446.8877,421.825,11.8597,13.203,476.6264,217.9216,258.7048,319.6583,162.4251,157.2332,54.4309,44.3204,1.304,4.1311,4.6754,251.4281,139.3831,5.7843,133.5988,84.7444,32.9004,25.0834,19.7202,7.0404,2061.7536,380.9707,179.9197,1500.8632,59.3702,42.0283,17.3419,155.2204,108.369,101.3421,1.0946,5.9323,165.2246,14.6985,19.2043,53.6076,13.7923,63.9219,381.8038,3.2863,294.1022,0.4629,8.1058,75.8466,
2007,14136.0028,172.5109,35.1908,30.7388,14.7249,5.5935,86.2629,1580.6782,785.7901,501.5512,108.6727,128.3738,56.0871,0.2033,6244.6711,257.9992,121.4641,126.8801,41.8789,204.9149,70.4123,26.888,96.4222,35.1788,130.7273,56.9682,14.5594,312.1145,652.7372,161.2803,56.3583,71.0683,105.53,461.8135,873.2672,310.491,218.1853,376.067,246.7026,484.5002,256.5179,382.8211,37.7568,43.4369,9.7296,1101.144,913.7971,55.5896,131.7573,80.9958,68.5107,5.104,3.3969,3.9842,1638.7498,183.7323,1279.3961,37.5069,51.6957,53.399,3.2816,3.1976,22.8096,3.731,395.5228,382.756,5.4293,7.3375,294.3542,120.5078,173.8464,211.744,127.5453,84.1987,29.5,23.7591,0.3428,2.9982,2.3999,152.6398,68.1962,1.3884,66.8078,58.2231,29.1861,18.4363,5.0915,5.5092,1475.1794,240.0078,120.9118,1114.2598,44.9401,22.8926,22.0475,138.6303,81.539,74.5819,2.8785,4.0786,120.8841,1.7713,19.6509,49.3591,15.6583,34.4445,245.9,4.0708,205.7539,1.7258,7.3049,27.0446,
2006,11075.5123,140.2548,35.2909,17.7784,15.2443,5.7618,66.1794,1236.6487,588.6455,472.8058,62.5609,72.9214,39.4395,0.2756,4556.5343,190.8328,92.6329,94.5662,40.7692,162.5229,55.3413,25.339,55.1198,27.2733,122.9737,45.922,11.0782,258.705,420.1511,154.0631,38.8434,35.328,72.5952,284.11,735.9092,206.612,129.3545,260.4172,172.8965,363.394,149.1928,280.2562,30.4455,35.9767,3.9126,961.0524,825.2258,31.1713,104.6553,74.5246,65.2354,3.5907,2.9031,2.7954,1590.6552,180.4006,1263.2718,27.9668,63.1509,18.6879,2.4306,8.7478,21.4489,4.5499,379.6724,368.5229,5.5131,5.6364,217.2622,91.2152,126.047,134.8466,76.0718,58.7748,12.6237,10.2935,0.9618,0.5468,0.8216,87.136,49.292,2.4466,46.8454,44.3994,21.8933,8.8535,5.3664,8.2862,1113.9157,172.4698,113.6567,827.7892,31.1573,22.6357,8.5216,124.6644,58.8922,56.2904,0.177,2.4248,74.7356,3.1142,18.9952,17.0205,8.6994,26.9063,187.2448,3.1685,154.3251,1.3281,2.4323,25.9908,
2005,8721.0658,78.2,22.77,13.81,5.92,1.66,34.05,830.91,400.79,293.23,56.42,52.92,27.25,0.3,3845.07,159.8,79.45,71.24,49.44,134.25,31.76,23.92,32.12,18.43,103.72,41.12,5.68,209.42,369.96,131.21,25.57,35.32,54.39,239.59,800.56,163.22,83.15,169.95,132.12,392.65,131.06,106.9,25.97,20.79,2.3,711.43,609.01,31.82,70.6,62.46,57.7,2.03,0.83,1.91,1384.77,267.6,1008.57,14.34,42.18,25.91,0.67,10.84,12.85,1.79,332.28,325.96,2.45,3.88,137.12,48.95,88.17,92.18,53.67,38.52,7.58,4.84,0.31,1.53,0.91,57.55,31.98,0.92,31.06,43.79,15.84,12.55,2.46,12.94,717.56,112.75,41.91,562.9,22.01,17.97,4.04,117.76,49.64,47.43,0.34,1.87,44.32,0.73,13.76,13.43,3.17,13.22,154.46,1.55,134.63,1.49,2.94,13.84,
2004,5929.62,77.2,25.48,17.07,5.13,2.88,26.64,418.7,236.8,127.8,18.89,22.21,12.72,0.27,1848.01,50.26,31.31,32.73,26.16,64.33,13.95,9.77,12.5,5.35,32.37,22.0,1.44,123.48,178.11,81.37,25.04,13.54,24.14,129.15,493.14,73.18,37.5,81.7,53.9,118.08,48.36,38.66,15.82,10.17,0.5,532.2,459.61,17.59,55.0,61.96,57.53,2.34,1.46,0.63,1453.36,169.7,1192.6,13.76,35.61,10.28,7.96,13.27,7.06,3.11,177.67,175.49,1.07,1.11,119.31,37.03,82.28,57.56,29.87,27.69,5.93,4.96,0.12,0.32,0.53,51.07,18.07,0.09,17.98,21.29,15.49,3.92,1.25,0.63,775.3,168.82,49.29,557.19,10.2,8.24,1.96,74.53,33.97,31.27,1.41,1.29,30.69,0.71,7.11,10.03,3.49,9.36,162.64,1.57,145.69,0.16,2.51,12.7,
2003,4932.0,60.4227,16.1679,12.351,7.5243,1.5305,22.849,270.8228,128.6028,112.0658,8.5094,13.5398,8.07,0.035,1539.0958,32.5847,24.5747,26.4928,23.5273,83.0387,8.5279,6.0879,17.9018,4.157,24.9639,10.9376,1.8865,58.2618,136.829,86.7593,9.7492,15.4227,17.3984,97.2278,456.5193,58.7682,21.8385,50.2189,47.9712,136.2849,27.3479,40.6876,7.3304,5.0915,0.7084,529.5007,480.6793,11.453,37.3684,78.6338,74.992,1.1401,1.7928,0.7089,1140.0562,102.9429,930.2069,29.2505,32.7334,4.8524,2.9994,24.6592,9.5234,2.8881,118.3516,116.9923,0.7281,0.6312,83.372,27.1559,56.2161,45.2585,24.5107,20.7478,7.3636,6.7521,0.0981,0.4966,0.0168,27.8716,10.6319,0.122,10.5099,18.8971,8.6281,6.2804,3.5364,0.4522,745.7954,183.9113,45.654,516.2301,5.4681,4.3646,1.1035,55.8345,24.318,22.5031,1.1608,0.6541,30.2658,0.6584,8.1979,8.6051,3.2608,9.5436,140.0402,2.1338,123.578,0.1883,1.9566,12.1835,
2002,4611.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,3974.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3827.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
