年份,固定资产投资(不含农户)在建净规模,农、林、牧、渔业固定资产投资(不含农户)在建净规模,农业固定资产投资(不含农户)在建净规模,林业固定资产投资(不含农户)在建净规模,畜牧业固定资产投资(不含农户)在建净规模,渔业固定资产投资(不含农户)在建净规模,农、林、牧、渔服务业固定资产投资(不含农户)在建净规模,采矿业固定资产投资(不含农户)在建净规模,煤炭开采和洗选业固定资产投资(不含农户)在建净规模,石油和天然气开采业固定资产投资(不含农户)在建净规模,黑色金属矿采选业固定资产投资(不含农户)在建净规模,有色金属矿采选业固定资产投资(不含农户)在建净规模,非金属矿采选业固定资产投资(不含农户)在建净规模,其他采矿业固定资产投资(不含农户)在建净规模,制造业固定资产投资(不含农户)在建净规模,农副食品加工业固定资产投资(不含农户)在建净规模,食品制造业固定资产投资(不含农户)在建净规模,饮料制造业固定资产投资(不含农户)在建净规模,烟草制品业固定资产投资(不含农户)在建净规模,纺织业固定资产投资(不含农户)在建净规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)在建净规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)在建净规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)在建净规模,家具制造业固定资产投资(不含农户)在建净规模,造纸及纸制品业固定资产投资(不含农户)在建净规模,印刷业和记录媒介的复制固定资产投资(不含农户)在建净规模,文教体育用品制造业固定资产投资(不含农户)在建净规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)在建净规模,化学原料及化学制品制造业固定资产投资(不含农户)在建净规模,医药制造业固定资产投资(不含农户)在建净规模,化学纤维制造业固定资产投资(不含农户)在建净规模,橡胶制品业固定资产投资(不含农户)在建净规模,塑料制品业固定资产投资(不含农户)在建净规模,非金属矿物制品业固定资产投资(不含农户)在建净规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)在建净规模,有色金属冶炼及压延加工业固定资产投资(不含农户)在建净规模,金属制品业固定资产投资(不含农户)在建净规模,通用设备制造业固定资产投资(不含农户)在建净规模,专用设备制造业固定资产投资(不含农户)在建净规模,交通运输设备制造业固定资产投资(不含农户)在建净规模,电气机械及器材制造业固定资产投资(不含农户)在建净规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)在建净规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)在建净规模,工艺品及其他制造业固定资产投资(不含农户)在建净规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)在建净规模,电力燃气水的生产供应业固定资产投资(不含农户)在建净规模,电力、热力的生产和供应业固定资产投资(不含农户)在建净规模,燃气生产和供应业固定资产投资(不含农户)在建净规模,水的生产和供应业固定资产投资(不含农户)在建净规模,建筑业固定资产投资(不含农户)在建净规模,房屋和土木工程建筑业固定资产投资(不含农户)在建净规模,建筑安装工程业固定资产投资(不含农户)在建净规模,建筑装饰业固定资产投资(不含农户)在建净规模,其他建筑业固定资产投资(不含农户)在建净规模,交通运输、仓储和邮政业固定资产投资(不含农户)在建净规模,铁路运输业固定资产投资(不含农户)在建净规模,道路运输业固定资产投资(不含农户)在建净规模,城市公共交通业固定资产投资(不含农户)在建净规模,水上运输业固定资产投资(不含农户)在建净规模,航空运输业固定资产投资(不含农户)在建净规模,管道运输业固定资产投资(不含农户)在建净规模,装卸搬运和其他运输服务业固定资产投资(不含农户)在建净规模,仓储业固定资产投资(不含农户)在建净规模,邮政业固定资产投资(不含农户)在建净规模,信息传输、计算机服务和软件业固定资产投资(不含农户)在建净规模,电信和其他信息传输服务业固定资产投资(不含农户)在建净规模,计算机服务业固定资产投资(不含农户)在建净规模,软件业固定资产投资(不含农户)在建净规模,批发和零售业固定资产投资(不含农户)在建净规模,批发业固定资产投资(不含农户)在建净规模,零售业固定资产投资(不含农户)在建净规模,住宿和餐饮业固定资产投资(不含农户)在建净规模,住宿业固定资产投资(不含农户)在建净规模,餐饮业固定资产投资(不含农户)在建净规模,金融业固定资产投资(不含农户)在建净规模,银行业固定资产投资(不含农户)在建净规模,证券业固定资产投资(不含农户)在建净规模,保险业固定资产投资(不含农户)在建净规模,其他金融活动固定资产投资(不含农户)在建净规模,房地产业固定资产投资(不含农户)在建净规模,租赁和商务服务业固定资产投资(不含农户)在建净规模,租赁业固定资产投资(不含农户)在建净规模,商务服务业固定资产投资(不含农户)在建净规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)在建净规模,研究与试验发展固定资产投资(不含农户)在建净规模,专业技术服务业固定资产投资(不含农户)在建净规模,科技交流和推广服务业固定资产投资(不含农户)在建净规模,地质勘查业固定资产投资(不含农户)在建净规模,水利、环境和公共设施管理业固定资产投资(不含农户)在建净规模,水利管理业固定资产投资(不含农户)在建净规模,环境管理业固定资产投资(不含农户)在建净规模,公共设施管理业固定资产投资(不含农户)在建净规模,居民服务和其他服务业固定资产投资(不含农户)在建净规模,居民服务业固定资产投资(不含农户)在建净规模,其他服务业固定资产投资(不含农户)在建净规模,教育固定资产投资(不含农户)在建净规模,卫生、社会保障和社会福利业固定资产投资(不含农户)在建净规模,卫生固定资产投资(不含农户)在建净规模,社会保障业固定资产投资(不含农户)在建净规模,社会福利业固定资产投资(不含农户)在建净规模,文化、体育和娱乐业固定资产投资(不含农户)在建净规模,新闻出版业固定资产投资(不含农户)在建净规模,广播、电视、电影和音像业固定资产投资(不含农户)在建净规模,文化艺术业固定资产投资(不含农户)在建净规模,体育固定资产投资(不含农户)在建净规模,娱乐业固定资产投资(不含农户)在建净规模,公共管理和社会组织固定资产投资(不含农户)在建净规模,中国共产党机关固定资产投资(不含农户)在建净规模,国家机构固定资产投资(不含农户)在建净规模,人民政协和民主党派固定资产投资(不含农户)在建净规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)在建净规模,基层群众自治组织固定资产投资(不含农户)在建净规模,国际组织固定资产投资(不含农户)在建净规模
2009,236219.6533,1570.7392,456.3583,329.5421,421.0365,31.3262,332.4761,6708.9233,4493.7824,591.4318,659.0212,713.6464,229.6182,21.4233,46706.7413,1441.8292,729.4206,698.5461,280.9512,1147.5625,469.0024,291.0462,336.7737,247.7934,1255.1351,224.3357,89.0558,2666.851,6486.2808,1003.3242,221.537,622.4879,797.1542,3565.712,3216.8367,2749.992,1522.3321,2372.3509,2165.2428,5062.541,2756.2825,2900.9498,341.791,720.7853,322.8382,22480.3617,19895.4581,1057.5,1527.4036,864.4733,792.0132,19.4752,12.0616,40.9233,44965.7935,17918.3408,16515.3992,6110.3375,1797.4413,1024.2556,58.009,161.4667,1368.6017,11.9417,865.2514,607.2054,20.2729,237.7731,2465.6096,1305.3606,1160.249,1897.0291,1671.6175,225.4116,400.5845,157.2411,155.7714,61.9933,25.5787,75047.718,2141.4404,3.791,2137.6494,1094.0963,377.6831,472.3805,201.6414,42.3913,20428.4882,4735.5558,1188.5148,14504.4176,359.7359,220.4546,139.2813,2478.6947,1405.3699,1239.951,90.1387,75.2802,2348.1176,57.6216,263.6516,720.2752,542.9654,763.6038,1990.4854,19.9738,1638.6025,0.7558,57.7665,273.3868,
2008,177745.8081,940.6855,185.4293,285.6631,192.5575,20.278,256.7576,3730.8771,2436.8571,304.3604,380.4474,411.8537,189.1249,8.2336,35916.2019,1074.7679,532.9937,396.0253,170.0147,891.161,475.1204,231.2416,233.0477,172.2817,945.8945,165.5376,95.0098,2337.9697,5504.93,715.0059,246.1479,360.2562,659.5413,2484.4654,2721.2318,2273.2853,1215.3873,1840.3015,1378.767,3871.1074,1547.0848,2329.3516,275.2591,671.2843,101.7295,18281.8983,16458.2152,730.3865,1093.2966,518.0854,447.8545,14.1742,6.5486,49.5081,31724.485,12521.2115,11402.0398,4667.9877,1298.0057,720.9491,77.1083,100.7854,925.5036,10.8939,679.5962,435.1794,34.3742,210.0426,1723.7867,913.1637,810.623,1303.4613,1161.3541,142.1072,270.3056,85.5933,174.2405,1.6614,8.8104,61140.393,1387.1791,4.2567,1382.9224,785.6555,326.1524,322.6244,110.2927,26.586,13209.7372,2896.2872,597.3813,9716.0687,151.1297,82.5717,68.558,1841.9894,869.0453,779.9885,32.3705,56.6863,1550.7375,67.9007,188.7731,468.5514,378.343,447.1693,1720.5584,10.8426,1439.4925,2.6145,37.4396,230.1692,
2007,144032.8243,691.2812,197.8382,183.6514,153.4278,16.5283,139.8355,2847.2399,1789.4995,296.5327,321.3839,309.8061,117.8756,12.1421,32077.0992,932.1243,460.8301,398.9759,151.4172,1048.5148,506.3853,256.1562,275.9522,204.7035,971.6054,174.7,98.5102,2306.2644,4735.7066,684.3796,491.6971,300.006,643.4863,1649.7469,3151.3609,1585.769,1095.8058,1530.9049,1241.4338,2976.1422,1307.2347,2115.2214,217.6924,464.7183,99.6538,16277.4631,14949.6983,432.5723,895.1925,593.4088,526.1613,6.7211,3.3777,57.1487,23572.7411,7128.4858,9295.4091,4328.5634,1447.6709,502.1391,22.5096,79.2499,758.9595,9.7538,564.5134,407.6411,37.1009,119.7714,1557.2892,695.3583,861.9309,1172.3254,1081.5795,90.7459,51.3834,36.5908,9.583,1.1172,4.0924,45271.4136,1200.7283,5.7473,1194.981,484.1547,247.7434,123.1423,91.7121,21.5569,11907.9907,2729.5494,670.8597,8507.5816,160.3462,124.9497,35.3965,1810.5187,678.29,635.0404,11.1664,32.0832,1504.3413,76.9143,203.2064,471.0976,324.4459,428.6771,1610.2961,13.7168,1423.1584,3.2659,40.1157,130.0393,
2006,118490.0078,694.6016,136.8921,229.721,142.3524,21.2503,164.3858,2690.1469,2080.6714,-2.5316,259.3174,196.4987,149.3279,6.8631,23787.7623,886.3077,523.8347,362.1303,113.2058,874.5489,368.2118,196.5597,201.5199,138.6787,578.5376,161.2258,83.3111,1889.2015,3235.5609,623.5725,443.6846,233.8456,577.1387,1184.2338,2483.3663,1121.2506,605.0055,1042.9183,909.2085,2152.4829,829.6588,1414.0002,171.9349,325.1324,57.4943,16137.7576,14489.2586,766.1679,882.3311,521.9161,438.1763,11.3093,4.235,68.1955,18876.8692,3390.5866,9687.0647,3386.8167,1287.8938,432.2304,102.8172,66.5431,512.4324,10.4843,529.9259,406.2421,35.7937,87.8901,1365.8854,752.5097,613.3757,749.0116,647.9167,101.0949,116.1869,43.977,67.0985,4.1598,0.9516,35746.7659,721.6519,4.8321,716.8198,455.6471,221.0954,84.1344,79.3787,71.0386,10573.0795,2706.2471,516.6192,7350.2132,130.0013,108.1547,21.8466,1795.2208,572.8312,540.6409,6.078,26.1123,1127.9081,25.5978,173.381,376.3353,218.7811,333.8129,1896.8385,18.3736,1680.0919,4.4498,56.2849,137.6383,
2005,106583.0424,647.4112,155.9842,235.6111,102.1587,26.6597,130.777,2364.9259,1432.6486,459.7568,172.1978,175.4479,129.7787,1.7305,18383.6189,651.3825,411.9288,327.6459,112.8023,-382.7604,295.0801,153.119,165.8005,139.0064,565.8215,134.9292,85.4919,1798.7751,2197.8912,575.1239,228.1216,250.3849,373.4716,973.2141,2574.2262,972.5122,439.5715,688.1431,520.712,2049.6352,669.6155,1074.4501,144.2721,238.1744,15.4983,16942.2951,15763.0213,476.9787,715.3238,455.9394,398.5031,10.4681,4.2211,44.2266,18116.0169,3777.4524,9068.2329,2728.097,1421.0254,561.72,33.1889,47.0278,477.9387,17.731,411.9962,333.6319,15.6258,63.1822,1048.661,507.2599,546.128,580.2311,499.6965,92.3217,59.9134,32.411,20.6161,1.7516,5.3911,30537.3575,661.8187,1.164,660.6987,567.2071,223.7853,134.3774,114.0865,94.9729,10365.7965,3615.9528,471.9035,6298.4146,186.9874,164.2079,23.5248,1866.5269,477.3344,459.5045,3.8995,14.2835,966.7153,23.8844,77.001,271.546,270.6763,324.1356,1942.2895,12.6812,1709.8791,8.5985,54.2513,160.5341,
2004,84641.89,676.77,173.05,216.55,87.9,33.87,165.4,1198.34,846.48,76.65,149.34,87.21,37.36,1.31,15088.55,465.71,314.71,192.54,81.18,696.8,208.68,115.13,119.47,89.96,411.7,97.7,54.87,1207.21,1662.93,512.12,156.12,185.09,270.23,850.01,2224.7,1075.32,297.28,450.97,421.23,1350.65,444.94,723.38,139.02,251.47,17.42,15094.6,13803.53,447.09,843.98,408.25,363.94,8.67,2.36,33.28,13021.14,1789.9,7217.57,2069.01,828.09,239.06,437.58,62.96,369.04,7.93,434.49,328.07,19.24,87.18,890.46,372.58,517.87,432.96,361.91,71.07,30.74,20.9,0.21,4.46,5.19,24717.12,529.8,1.23,528.57,309.4,169.49,78.76,49.2,11.95,7277.53,1529.52,404.22,5343.79,155.96,138.41,17.56,1521.36,353.08,337.69,4.6,10.8,843.68,15.84,157.67,193.87,209.14,267.14,1657.42,20.35,1497.87,1.7,33.6,103.9,0.21
2003,63186.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,52618.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,45164.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,33496.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
