年份,港澳台商投资企业固定资产投资(不含农户),农、林、牧、渔业港澳台商投资企业固定资产投资(不含农户),农业港澳台商投资企业固定资产投资(不含农户),林业港澳台商投资企业固定资产投资(不含农户),畜牧业港澳台商投资企业固定资产投资(不含农户),渔业港澳台商投资企业固定资产投资(不含农户),农、林、牧、渔服务业港澳台商投资企业固定资产投资(不含农户),采矿业港澳台商投资企业固定资产投资(不含农户),煤炭开采和洗选业港澳台商投资企业固定资产投资(不含农户),石油和天然气开采业港澳台商投资企业固定资产投资(不含农户),黑色金属矿采选业港澳台商投资企业固定资产投资(不含农户),有色金属矿采选业港澳台商投资企业固定资产投资(不含农户),非金属矿采选业港澳台商投资企业固定资产投资(不含农户),其他采矿业港澳台商投资企业固定资产投资(不含农户),制造业港澳台商投资企业固定资产投资(不含农户),农副食品加工业港澳台商投资企业固定资产投资(不含农户),食品制造业港澳台商投资企业固定资产投资(不含农户),饮料制造业港澳台商投资企业固定资产投资(不含农户),烟草制品业港澳台商投资企业固定资产投资(不含农户),纺织业港澳台商投资企业固定资产投资(不含农户),纺织服装、鞋、帽制造业港澳台商投资企业固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业港澳台商投资企业固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业港澳台商投资企业固定资产投资(不含农户),家具制造业港澳台商投资企业固定资产投资(不含农户),造纸及纸制品业港澳台商投资企业固定资产投资(不含农户),印刷业和记录媒介的复制港澳台商投资企业固定资产投资(不含农户),文教体育用品制造业港澳台商投资企业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业港澳台商投资企业固定资产投资(不含农户),化学原料及化学制品制造业港澳台商投资企业固定资产投资(不含农户),医药制造业港澳台商投资企业固定资产投资(不含农户),化学纤维制造业港澳台商投资企业固定资产投资(不含农户),橡胶制品业港澳台商投资企业固定资产投资(不含农户),塑料制品业港澳台商投资企业固定资产投资(不含农户),非金属矿物制品业港澳台商投资企业固定资产投资(不含农户),黑色金属冶炼及压延加工业港澳台商投资企业固定资产投资(不含农户),有色金属冶炼及压延加工业港澳台商投资企业固定资产投资(不含农户),金属制品业港澳台商投资企业固定资产投资(不含农户),通用设备制造业港澳台商投资企业固定资产投资(不含农户),专用设备制造业港澳台商投资企业固定资产投资(不含农户),交通运输设备制造业港澳台商投资企业固定资产投资(不含农户),电气机械及器材制造业港澳台商投资企业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业港澳台商投资企业固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业港澳台商投资企业固定资产投资(不含农户),工艺品及其他制造业港澳台商投资企业固定资产投资(不含农户),废弃资源和废旧材料回收加工业港澳台商投资企业固定资产投资(不含农户),电力燃气水的生产供应业港澳台商投资企业固定资产投资(不含农户),电力、热力的生产和供应业港澳台商投资企业固定资产投资(不含农户),燃气生产和供应业港澳台商投资企业固定资产投资(不含农户),水的生产和供应业港澳台商投资企业固定资产投资(不含农户),建筑业港澳台商投资企业固定资产投资(不含农户),房屋和土木工程建筑业港澳台商投资企业固定资产投资(不含农户),建筑安装业港澳台商投资企业固定资产投资(不含农户),建筑装饰业港澳台商投资企业固定资产投资(不含农户),其他建筑业港澳台商投资企业固定资产投资(不含农户),交通运输、仓储和邮政业港澳台商投资企业固定资产投资(不含农户),铁路运输业港澳台商投资企业固定资产投资(不含农户),道路运输业港澳台商投资企业固定资产投资(不含农户),城市公共交通业港澳台商投资企业固定资产投资(不含农户),水上运输业港澳台商投资企业固定资产投资(不含农户),航空运输业港澳台商投资企业固定资产投资(不含农户),管道运输业港澳台商投资企业固定资产投资(不含农户),装卸搬运和其他运输服务业港澳台商投资企业固定资产投资(不含农户),仓储业港澳台商投资企业固定资产投资(不含农户),邮政业港澳台商投资企业固定资产投资(不含农户),信息传输、计算机服务和软件业港澳台商投资企业固定资产投资(不含农户),电信和其他信息传输服务业港澳台商投资企业固定资产投资(不含农户),计算机服务业港澳台商投资企业固定资产投资(不含农户),软件业港澳台商投资企业固定资产投资(不含农户),批发和零售业港澳台商投资企业固定资产投资(不含农户),批发业港澳台商投资企业固定资产投资(不含农户),零售业港澳台商投资企业固定资产投资(不含农户),住宿和餐饮业港澳台商投资企业固定资产投资(不含农户),住宿业港澳台商投资企业固定资产投资(不含农户),餐饮业港澳台商投资企业固定资产投资(不含农户),金融业港澳台商投资企业固定资产投资(不含农户),银行业港澳台商投资企业固定资产投资(不含农户),证券业港澳台商投资企业固定资产投资(不含农户),保险业港澳台商投资企业固定资产投资(不含农户),其他金融活动港澳台商投资企业固定资产投资(不含农户),房地产业港澳台商投资企业固定资产投资(不含农户),租赁和商务服务业港澳台商投资企业固定资产投资(不含农户),租赁业港澳台商投资企业固定资产投资(不含农户),商务服务业港澳台商投资企业固定资产投资(不含农户),科学研究、技术服务和地质勘查业港澳台商投资企业固定资产投资(不含农户),研究与试验发展港澳台商投资企业固定资产投资(不含农户),专业技术服务业港澳台商投资企业固定资产投资(不含农户),科技交流和推广服务业港澳台商投资企业固定资产投资(不含农户),地质勘查业港澳台商投资企业固定资产投资(不含农户),水利、环境和公共设施管理业港澳台商投资企业固定资产投资(不含农户),水利管理业港澳台商投资企业固定资产投资(不含农户),环境管理业港澳台商投资企业固定资产投资(不含农户),公共设施管理业港澳台商投资企业固定资产投资(不含农户),居民服务和其他服务业港澳台商投资企业固定资产投资(不含农户),居民服务业港澳台商投资企业固定资产投资(不含农户),其他服务业港澳台商投资企业固定资产投资(不含农户),教育港澳台商投资企业固定资产投资(不含农户),卫生、社会保障和社会福利业港澳台商投资企业固定资产投资(不含农户),卫生港澳台商投资企业固定资产投资(不含农户),社会保障业港澳台商投资企业固定资产投资(不含农户),社会福利业港澳台商投资企业固定资产投资(不含农户),文化、体育和娱乐业港澳台商投资企业固定资产投资(不含农户),新闻出版业港澳台商投资企业固定资产投资(不含农户),广播、电视、电影和音像业港澳台商投资企业固定资产投资(不含农户),文化艺术业港澳台商投资企业固定资产投资(不含农户),体育港澳台商投资企业固定资产投资(不含农户),娱乐业港澳台商投资企业固定资产投资(不含农户),公共管理和社会组织港澳台商投资企业固定资产投资(不含农户),中国共产党机关港澳台商投资企业固定资产投资(不含农户),国家机构港澳台商投资企业固定资产投资(不含农户),人民政协和民主党派港澳台商投资企业固定资产投资(不含农户),群众团体、社会团体和宗教港澳台商投资企业固定资产投资(不含农户),基层群众自治组织港澳台商投资企业固定资产投资(不含农户),国际组织港澳台商投资企业固定资产投资(不含农户)
2009,6443.9,19.3139,8.5987,0.7492,4.9051,0.78,4.2809,79.9871,12.9997,58.8483,2.4364,2.7177,2.919,0.066,2603.2653,59.5945,68.6261,44.1638,0.1256,96.4526,83.3544,72.5523,20.0773,14.6338,77.3578,23.8993,16.5958,95.5429,154.017,72.032,29.6475,29.9529,58.3345,233.3212,60.2573,86.6391,95.7985,128.9005,107.0986,142.9344,208.7341,446.5033,24.0363,33.0719,19.01,339.0398,293.0668,33.9659,12.0071,18.0561,12.3189,0.1576,2.6956,2.884,230.6506,7.0013,21.7189,18.7126,81.0697,0.0485,9.4115,3.9605,88.7276,,251.1977,236.8775,2.8736,11.4466,85.9913,23.4629,62.5284,86.3526,69.2571,17.0955,2.2065,1.761,0.2625,0.148,0.035,2508.7863,51.0321,,51.0321,11.5272,7.3452,1.5854,2.3066,0.29,82.9594,,3.3353,79.6241,4.1736,3.8352,0.3384,8.1787,5.5713,4.3125,,1.2588,54.433,,1.3202,5.3697,12.6254,35.1177,1.1967,,0.5807,,0.2,0.416,
2008,6369.5737,15.0306,7.174,3.3727,2.4901,0.1656,1.8282,67.8421,6.1533,52.5143,4.0915,1.3048,3.7782,,2632.5698,58.3196,60.1949,52.0082,0.1006,121.5163,101.0727,51.8398,21.0637,28.4284,94.3232,21.7311,23.0437,39.8051,170.1992,53.7192,52.7014,20.2714,64.2751,212.8018,53.0886,82.7023,104.887,88.6954,112.3004,159.9979,172.6378,538.4602,36.6612,28.8118,6.9118,325.9004,289.8406,20.7042,15.3556,5.9801,4.7396,0.7011,0.5394,,257.329,6.9473,52.5212,19.0109,87.1671,0.9855,25.2528,4.1472,61.297,,332.686,321.2874,2.6077,8.7909,91.6933,19.084,72.6093,88.7087,80.043,8.6657,4.508,4.179,,0.17,0.159,2380.9834,32.1647,0.1118,32.0529,12.8767,6.9079,2.4461,3.5227,,61.3854,0.7678,6.4411,54.1765,3.7076,3.3901,0.3175,7.0287,11.9691,11.9271,0.042,,36.1174,,0.2947,2.9388,10.1619,22.722,1.0927,,0.64,,0.4527,,
2007,5457.04,11.4109,5.0247,2.4597,1.2764,2.2837,0.3664,53.6143,1.8316,42.6331,2.0551,3.0209,3.7086,0.365,2349.3636,57.9839,35.9619,42.6441,0.2147,114.3848,99.4884,53.094,21.0823,34.065,113.6775,25.2176,31.007,24.0752,170.8382,49.7477,51.0419,20.8318,55.3632,136.5742,80.3807,62.5416,78.722,80.5512,69.167,115.0627,113.3106,557.6727,19.5147,30.7699,4.3771,245.3679,212.0487,17.7801,15.5391,3.5077,2.6725,0.4555,0.2226,0.1571,208.7364,,64.7107,4.5296,84.3449,1.7912,0.07,3.225,50.038,0.027,281.6389,274.0266,1.0716,6.5407,56.711,18.7639,37.9471,68.5925,58.6513,9.9412,4.4646,4.2134,,0.101,0.1502,2029.13,19.8842,0.2155,19.6687,9.0794,4.2224,3.4149,1.3541,0.088,52.088,0.276,7.4666,44.3454,3.8494,1.6162,2.2332,6.0319,7.6487,7.5887,,0.06,42.0414,,,2.6913,21.9528,17.3973,3.8792,,3.8432,,0.036,,
2006,4336.1262,7.8853,3.2533,0.9362,2.8818,0.492,0.322,36.2613,2.5502,25.9726,3.6101,2.3135,1.7749,0.04,1896.1507,45.928,37.7355,35.1575,0.6904,124.7803,95.6476,45.3907,15.3602,33.9182,59.3142,22.6465,23.114,12.184,169.3338,38.286,26.0767,22.8575,56.8336,91.3179,106.9698,54.3089,73.9485,45.1653,47.1739,102.2601,100.1942,351.5324,30.4184,27.3978,0.2088,303.5109,274.0804,20.2176,9.2129,7.797,7.2405,,0.5565,,174.7004,0.305,53.4331,6.4355,58.3229,14.128,0.4107,1.6814,39.8251,0.1587,194.6383,188.6329,1.3123,4.6931,45.6987,11.019,34.6797,45.1081,35.2617,9.8464,4.9687,2.7446,,0.6611,1.563,1525.2058,6.4486,,6.4486,7.933,4.4706,0.0096,3.4328,0.02,30.8552,0.06,4.7384,26.0568,7.2391,6.7199,0.5192,5.9484,6.0846,6.0846,,,25.5192,,,1.7634,14.8622,8.8936,4.1729,,4.0439,,0.129,,
2005,3767.3227,6.4291,3.1881,0.3589,1.971,0.3161,0.595,22.6212,6.1261,9.9363,2.5076,2.1616,1.8896,,1694.9175,39.677,34.9108,26.5447,0.035,101.9106,69.0083,29.4477,21.111,27.2788,50.1757,22.4944,18.1577,16.8407,173.0757,55.3723,21.4126,15.3274,51.2346,113.3059,129.9322,66.174,58.0275,38.7875,31.3559,60.0327,81.3948,295.1973,21.3944,25.0446,0.2557,337.6068,313.1933,14.0443,10.3692,3.5,2.0095,0.878,0.5322,0.0803,104.6579,,49.8061,4.9394,29.48,0.4003,1.0351,2.0015,16.5644,0.4311,219.9277,216.4306,1.4236,2.0735,27.563,6.5901,20.9729,43.8997,34.6535,9.2462,1.3912,1.2534,,0.0578,0.08,1213.9201,15.3761,,15.3761,4.0626,0.5378,0.037,3.4878,,34.1952,0.561,5.7943,27.8399,0.9763,0.6192,0.3571,5.6367,2.8024,2.8024,,,19.7809,,0.464,0.763,9.0879,9.466,8.0583,,7.9591,,0.015,0.0842,
2004,3113.4956,8.5434,3.6842,0.574,1.892,1.2632,1.13,15.5778,1.3853,8.7804,1.4229,2.271,1.7182,,1238.2252,34.2462,24.2753,18.4216,0.425,79.313,49.677,18.9785,20.483,20.5067,35.4853,22.6283,10.6231,28.0037,75.6984,42.4268,18.3407,8.7499,44.3631,90.206,72.8493,59.8199,46.1596,29.597,28.1039,45.8339,55.6634,221.9101,21.5812,13.2378,0.6175,261.8321,237.5477,13.9706,10.3138,5.906,4.9712,0.035,0.2756,0.6242,68.8568,,26.9157,2.1941,27.2468,1.7033,3.2762,0.5792,6.9415,,247.7552,245.9761,0.44,1.3391,35.2599,18.2629,16.997,42.5723,34.272,8.3003,2.6311,2.546,,0.0469,0.0382,1110.6239,7.2877,0.035,7.2527,5.1518,1.1725,2.6349,1.3444,,15.5104,1.028,0.7231,13.7593,0.8378,0.7823,0.0555,5.5204,4.9554,4.9154,,0.04,30.0209,,0.07,0.9295,1.0441,27.9773,6.4275,,6.0264,,0.12,0.2811,
2003,2375.0758,6.3334,2.5217,0.278,1.3531,1.5113,0.6693,18.8036,0.333,14.928,1.2367,1.5559,0.75,0.0,929.3283,31.0249,19.3797,15.9449,0.4011,66.903,41.6074,19.5282,12.1213,13.3832,28.6841,17.4609,10.6377,7.8038,56.5198,30.3246,9.1919,8.9969,43.4933,55.0497,73.3456,21.3389,32.3647,16.7465,20.4182,43.2424,45.3385,159.0688,16.4276,12.1935,0.3872,135.2416,122.9558,4.452,7.8338,5.6852,5.3875,0.0111,0.1966,0.09,60.0517,0.0,11.0772,1.4085,38.1565,1.0943,1.7034,0.5199,6.0919,0.0,220.6414,219.3025,0.16,1.1789,34.7663,10.7045,24.0618,30.121,26.7188,3.4022,0.6589,0.6589,0.0,0.0,0.0,867.8418,7.3216,0.0,7.3216,9.9679,0.2997,9.588,0.0802,0.0,16.9263,0.2131,2.6201,14.0931,0.7035,0.6017,0.1018,4.0163,1.9596,1.9506,0.0,0.009,23.3761,0.0,0.35,0.6776,0.7994,21.5491,1.3313,0.0,0.905,0.0,0.29,0.1363,0.0
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
