年份,新建固定资产投资(不含农户),农、林、牧、渔业新建固定资产投资(不含农户),农业新建固定资产投资(不含农户),林业新建固定资产投资(不含农户),畜牧业新建固定资产投资(不含农户),渔业新建固定资产投资(不含农户),农、林、牧、渔服务业新建固定资产投资(不含农户),采矿业新建固定资产投资(不含农户),煤炭开采和洗选业新建固定资产投资(不含农户),石油和天然气开采业新建固定资产投资(不含农户),黑色金属矿采选业新建固定资产投资(不含农户),有色金属矿采选业新建固定资产投资(不含农户),非金属矿采选业新建固定资产投资(不含农户),其他采矿业新建固定资产投资(不含农户),制造业新建固定资产投资(不含农户),农副食品加工业新建固定资产投资(不含农户),食品制造业新建固定资产投资(不含农户),饮料制造业新建固定资产投资(不含农户),烟草制品业新建固定资产投资(不含农户),纺织业新建固定资产投资(不含农户),纺织服装、鞋、帽制造业新建固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业新建固定资产投资(不含农户),木材加工及木竹藤棕草制品业新建固定资产投资(不含农户),家具制造业新建固定资产投资(不含农户),造纸及纸制品业新建固定资产投资(不含农户),印刷业和记录媒介的复制新建固定资产投资(不含农户),文教体育用品制造业新建固定资产投资(不含农户),石油加工、炼焦及核燃料加工业新建固定资产投资(不含农户),化学原料及化学制品制造业新建固定资产投资(不含农户),医药制造业新建固定资产投资(不含农户),化学纤维制造业新建固定资产投资(不含农户),橡胶制品业新建固定资产投资(不含农户),塑料制品业新建固定资产投资(不含农户),非金属矿物制品业新建固定资产投资(不含农户),黑色金属冶炼及压延加工业新建固定资产投资(不含农户),有色金属冶炼及压延加工业新建固定资产投资(不含农户),金属制品业新建固定资产投资(不含农户),通用设备制造业新建固定资产投资(不含农户),专用设备制造业新建固定资产投资(不含农户),交通运输设备制造业新建固定资产投资(不含农户),电气机械及器材制造业新建固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业新建固定资产投资(不含农户),仪器仪表文化办公用机械制造业新建固定资产投资(不含农户),工艺品及其他制造业新建固定资产投资(不含农户),废弃资源和废旧材料回收加工业新建固定资产投资(不含农户),电力燃气水的生产供应业新建固定资产投资(不含农户),电力、热力的生产和供应业新建固定资产投资(不含农户),燃气生产和供应业新建固定资产投资(不含农户),水的生产和供应业新建固定资产投资(不含农户),建筑业新建固定资产投资(不含农户),房屋和土木工程建筑业新建固定资产投资(不含农户),建筑安装工程业新建固定资产投资(不含农户),建筑装饰业新建固定资产投资(不含农户),其他建筑业新建固定资产投资(不含农户),交通运输、仓储和邮政业新建固定资产投资(不含农户),铁路运输业新建固定资产投资(不含农户),道路运输业新建固定资产投资(不含农户),城市公共交通业新建固定资产投资(不含农户),水上运输业新建固定资产投资(不含农户),航空运输业新建固定资产投资(不含农户),管道运输业新建固定资产投资(不含农户),装卸搬运和其他运输服务业新建固定资产投资(不含农户),仓储业新建固定资产投资(不含农户),邮政业新建固定资产投资(不含农户),信息传输、计算机服务和软件业新建固定资产投资(不含农户),电信和其他信息传输服务业新建固定资产投资(不含农户),计算机服务业新建固定资产投资(不含农户),软件业新建固定资产投资(不含农户),批发和零售业新建固定资产投资(不含农户),批发业新建固定资产投资(不含农户),零售业新建固定资产投资(不含农户),住宿和餐饮业新建固定资产投资(不含农户),住宿业新建固定资产投资(不含农户),餐饮业新建固定资产投资(不含农户),金融业新建固定资产投资(不含农户),银行业新建固定资产投资(不含农户),证券业新建固定资产投资(不含农户),保险业新建固定资产投资(不含农户),其他金融活动新建固定资产投资(不含农户),房地产业新建固定资产投资(不含农户),租赁和商务服务业新建固定资产投资(不含农户),租赁业新建固定资产投资(不含农户),商务服务业新建固定资产投资(不含农户),科学研究、技术服务和地质勘查业新建固定资产投资(不含农户),研究与试验发展新建固定资产投资(不含农户),专业技术服务业新建固定资产投资(不含农户),科技交流和推广服务业新建固定资产投资(不含农户),地质勘查业新建固定资产投资(不含农户),水利、环境和公共设施管理业新建固定资产投资(不含农户),水利管理业新建固定资产投资(不含农户),环境管理业新建固定资产投资(不含农户),公共设施管理业新建固定资产投资(不含农户),居民服务和其他服务业新建固定资产投资(不含农户),居民服务业新建固定资产投资(不含农户),其他服务业新建固定资产投资(不含农户),教育新建固定资产投资(不含农户),卫生、社会保障和社会福利业新建固定资产投资(不含农户),卫生新建固定资产投资(不含农户),社会保障业新建固定资产投资(不含农户),社会福利业新建固定资产投资(不含农户),文化、体育和娱乐业新建固定资产投资(不含农户),新闻出版业新建固定资产投资(不含农户),广播、电视、电影和音像业新建固定资产投资(不含农户),文化艺术业新建固定资产投资(不含农户),体育新建固定资产投资(不含农户),娱乐业新建固定资产投资(不含农户),公共管理和社会组织新建固定资产投资(不含农户),中国共产党机关新建固定资产投资(不含农户),国家机构新建固定资产投资(不含农户),人民政协和民主党派新建固定资产投资(不含农户),群众团体、社会团体和宗教组织新建固定资产投资(不含农户),基层群众自治组织新建固定资产投资(不含农户),国际组织新建固定资产投资(不含农户)
2009,89993.1538,2037.0876,447.9214,331.4276,688.9987,69.4138,499.3261,3427.5322,1170.6888,1211.6938,373.335,356.882,303.2593,11.6733,29562.6027,1450.8749,748.7824,488.4344,34.3765,750.4113,552.6475,329.3281,476.0343,369.356,546.7046,252.8597,111.3648,970.2499,3158.9432,707.7681,121.0966,297.0577,713.3738,3173.874,1239.7279,1136.1315,1494.3224,2020.0807,1569.1923,2442.8564,2036.9052,1433.4919,261.7187,517.0859,157.552,8879.3471,7387.4217,454.2589,1037.6665,920.717,797.7856,25.9733,18.4831,78.475,15968.4942,4958.8721,6744.1524,1748.1846,1014.4217,215.4126,46.0451,151.7325,1066.442,23.2312,836.7596,666.0793,24.407,146.2733,2630.5085,1183.3346,1447.1739,1402.5125,984.0717,418.4408,146.5755,99.0838,18.9334,7.3915,21.1668,4607.5875,1219.9203,21.1945,1198.7258,599.9192,201.4988,190.5384,151.0657,56.8163,11091.8162,1218.6558,668.4135,9204.7469,271.6333,179.8856,91.7477,1777.1873,823.9749,660.0943,54.3846,109.496,1499.7156,33.3148,79.9326,492.2527,353.9206,540.2949,2289.2626,14.5355,1784.4253,4.139,70.6021,415.5607,
2008,65727.3468,1377.2923,302.9042,225.0549,482.7411,41.8389,324.7532,2902.8294,897.5445,1100.8683,341.5551,321.961,230.9174,9.9831,23997.3733,1090.6818,624.8929,433.4903,16.0305,695.7156,487.5237,266.5019,427.827,309.6756,502.1898,201.9833,110.0164,1077.538,2524.3385,517.961,108.8044,205.4151,597.2243,2293.7092,1140.9277,1014.4064,1274.6285,1554.4069,1195.4503,1953.1414,1276.0143,1344.6128,229.7829,431.7037,90.7791,6678.9356,5834.3176,249.6251,594.9929,653.1931,564.5274,15.8343,12.1041,60.7273,10093.4383,2831.639,4463.3553,1013.7455,732.0442,203.381,108.8273,80.5949,652.3896,7.4615,526.586,398.3425,24.8583,103.3852,1910.5194,865.2736,1045.2458,1060.9487,775.8499,285.0988,106.9652,66.2084,26.7642,2.9127,11.0799,3210.3705,836.0315,11.6788,824.3527,396.4117,153.4514,134.8629,75.9488,32.1486,7406.7915,749.6403,368.5488,6288.6024,160.6516,99.6872,60.9644,1269.5091,486.7526,403.1485,14.5388,69.0653,968.3096,40.6091,56.6192,329.7915,213.3512,327.9386,1684.4374,19.4524,1196.2822,2.9363,44.7141,421.0524,
2007,51963.0502,857.6304,203.8529,171.4117,209.7571,35.4654,237.1433,2169.9666,608.6932,997.4857,186.0133,228.3862,139.3501,10.0381,18650.3065,884.1815,550.371,346.8747,19.0079,762.9665,459.4354,213.2248,380.8144,223.8632,436.4101,183.2954,100.0258,751.8793,1886.0372,441.9576,112.7694,195.9695,486.0445,1520.9024,1038.3209,651.302,916.1059,1155.6785,921.4519,1367.9122,911.1393,1173.7235,158.1637,342.8349,57.6431,5731.2906,5059.327,202.5615,469.4021,566.7604,476.0669,17.6902,10.8025,62.2008,8116.9705,1351.382,4433.3119,869.3142,696.533,204.8488,42.8538,51.6396,463.064,4.0232,444.601,375.2207,14.7396,54.6407,1594.996,718.5002,876.4958,835.4336,603.5685,231.8651,60.8071,36.1076,8.2622,5.2507,11.1866,2330.2213,583.9073,10.5273,573.38,303.5328,124.7881,83.6692,70.1794,24.8961,5570.2329,632.4433,335.1128,4602.6768,134.9365,94.1656,40.7709,1182.1417,383.7194,332.1465,8.4128,43.1601,807.787,25.8841,94.4191,264.2517,178.1144,245.1177,1637.8086,12.1791,1311.7493,2.849,37.4936,273.5376,
2006,41514.1675,624.4558,161.9193,131.7578,136.186,25.0375,169.5552,1750.2633,517.1167,792.1774,179.0805,153.2069,103.2774,5.4044,13730.2284,654.6174,442.104,279.3852,13.9521,636.0171,336.5718,187.2747,251.6593,168.082,295.3518,155.3993,79.5745,393.1534,1457.124,402.0582,76.1314,175.4912,426.2345,1024.0839,877.0843,482.7839,651.0278,783.3281,583.17,886.6274,630.7017,929.5307,126.46,296.3216,28.9271,5088.855,4479.6521,220.0058,389.1971,468.0462,396.4133,17.2665,8.3759,45.9905,6885.8517,1160.028,4048.5687,622.2774,566.8583,123.8415,50.3339,30.6945,273.8373,9.4121,448.8958,367.9721,19.0699,61.8538,1245.9592,520.0889,725.8703,617.0691,444.014,173.0551,57.3366,34.1944,8.1042,8.2778,6.7602,1521.1153,468.8416,10.019,458.8226,262.4907,119.695,67.8696,59.8705,15.0556,4636.8989,563.6126,207.8424,3865.4439,99.9578,60.3746,39.5832,1113.995,316.1732,279.714,9.5092,26.95,603.8411,15.5002,71.9789,165.0704,151.0277,200.2639,1573.8928,14.729,1329.3745,3.9983,26.4164,199.3746,
2005,34126.6062,536.71,139.6,109.23,119.69,36.74,131.44,1534.92,520.99,703.31,140.58,88.43,79.16,2.45,10734.99,519.21,306.13,176.14,7.39,567.44,261.11,128.84,180.3,128.71,253.51,117.4,60.89,344.04,1232.92,381.51,82.76,95.45,316.95,781.51,659.51,377.37,486.81,558.64,442.52,732.49,441.09,762.66,87.08,232.52,12.1,4688.17,4183.15,191.69,313.34,388.2,344.91,12.4,6.41,24.49,5193.09,518.91,3556.56,380.63,384.65,84.44,34.2,18.67,207.48,7.55,427.8,377.07,12.36,38.36,1095.17,493.39,601.78,443.35,314.38,128.98,53.44,34.72,10.43,2.81,5.48,891.93,355.52,4.5,351.02,264.16,107.57,82.77,53.85,19.96,3953.13,523.0,208.35,3221.78,72.39,47.64,24.74,1106.35,278.0,247.62,9.03,21.34,527.05,9.71,50.45,176.82,126.73,163.34,1582.24,10.67,1338.86,3.73,25.7,203.27,
2004,24630.09,370.37,103.87,73.65,82.18,16.78,93.89,677.59,283.63,252.55,63.28,39.57,36.75,1.81,7558.1,311.95,208.28,117.05,5.86,404.18,161.01,71.22,116.55,72.02,217.85,70.62,33.74,289.28,944.3,301.01,79.69,54.73,205.35,631.76,543.95,276.92,277.15,275.69,252.86,437.27,285.99,690.28,61.79,153.13,6.61,3483.27,3038.74,161.26,283.26,331.84,288.39,7.84,4.9,30.71,3896.94,314.78,2776.25,274.64,254.21,68.03,28.03,21.99,145.0,14.01,413.79,378.58,6.79,28.42,758.01,302.84,455.17,296.95,210.87,86.08,41.9,32.95,0.54,2.01,6.4,572.62,257.22,2.09,255.13,187.0,91.14,46.37,30.0,19.48,3087.86,444.64,146.37,2496.85,52.51,37.03,15.48,914.09,197.6,179.08,2.65,15.87,385.09,8.61,33.53,118.21,103.73,121.02,1147.03,16.22,1007.79,1.33,16.22,105.47,0.31
2003,18092.41,315.8201,90.428,78.993,61.8654,12.7574,71.7763,480.0426,187.9771,223.6782,21.9239,21.8736,23.064,1.5258,4828.0902,199.3594,146.1962,86.5451,6.3745,262.6465,113.1826,58.5937,68.2847,49.0977,137.3314,54.143,24.6832,126.0381,557.1504,216.9049,43.6259,39.6852,152.9288,367.353,375.8453,203.8678,167.094,149.5883,161.9897,231.5019,144.9959,479.1773,58.1617,142.2333,3.5107,2232.9375,1913.8006,110.1499,208.987,283.48,255.4632,10.7393,4.9056,12.3719,3154.2435,310.5869,2184.8194,310.4382,165.4508,63.1676,20.0168,15.5386,73.3397,10.8855,519.14,489.5866,8.2657,21.2877,496.8434,194.5468,302.2966,187.2746,138.7161,48.5585,36.2895,29.817,0.5279,2.6767,3.2679,304.4152,209.1102,1.2957,207.8145,156.8719,63.2245,58.3267,15.7912,19.5295,2549.5982,395.8557,147.8843,2005.8582,47.4288,36.8908,10.538,732.8612,134.6961,117.7368,3.8823,13.077,357.73,12.8235,46.5308,94.1334,85.2811,118.9612,1065.2492,13.6052,979.3786,4.0486,12.896,55.3208,0.288
2002,12366.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,9611.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,8484.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
