年份,新增固定资产,农、林、牧、渔业新增固定资产,农业新增固定资产,林业新增固定资产,畜牧业新增固定资产,渔业新增固定资产,农、林、牧、渔服务业新增固定资产,采矿业新增固定资产,煤炭开采和洗选业新增固定资产,石油和天然气开采业新增固定资产,黑色金属矿采选业新增固定资产,有色金属矿采选业新增固定资产,非金属矿采选业新增固定资产,其他采矿业新增固定资产,制造业新增固定资产,农副食品加工业新增固定资产,食品制造业新增固定资产,饮料制造业新增固定资产,烟草制品业新增固定资产,纺织业新增固定资产,纺织服装、鞋、帽制造业新增固定资产,皮革毛皮羽毛(绒)及其制品业新增固定资产,木材加工及木竹藤棕草制品业新增固定资产,家具制造业新增固定资产,造纸及纸制品业新增固定资产,印刷业和记录媒介的复制新增固定资产,文教体育用品制造业新增固定资产,石油加工、炼焦及核燃料加工业新增固定资产,化学原料及化学制品制造业新增固定资产,医药制造业新增固定资产,化学纤维制造业新增固定资产,橡胶制品业新增固定资产,塑料制品业新增固定资产,非金属矿物制品业新增固定资产,黑色金属冶炼及压延加工业新增固定资产,有色金属冶炼及压延加工业新增固定资产,金属制品业新增固定资产,通用设备制造业新增固定资产,专用设备制造业新增固定资产,交通运输设备制造业新增固定资产,电气机械及器材制造业新增固定资产,通信设备、计算机及其他电子设备制造业新增固定资产,仪器仪表文化办公用机械制造业新增固定资产,工艺品及其他制造业新增固定资产,废弃资源和废旧材料回收加工业新增固定资产,电力燃气水的生产供应业新增固定资产,电力、热力的生产和供应业新增固定资产,燃气生产和供应业新增固定资产,水的生产和供应业新增固定资产,建筑业新增固定资产,房屋和土木工程建筑业新增固定资产,建筑安装业新增固定资产,建筑装饰业新增固定资产,其他建筑业新增固定资产,交通运输、仓储和邮政业新增固定资产,铁路运输业新增固定资产,道路运输业新增固定资产,城市公共交通业新增固定资产,水上运输业新增固定资产,航空运输业新增固定资产,管道运输业新增固定资产,装卸搬运和其他运输服务业新增固定资产,仓储业新增固定资产,邮政业新增固定资产,信息传输、计算机服务和软件业新增固定资产,电信和其他信息传输服务业新增固定资产,计算机服务业新增固定资产,软件业新增固定资产,批发和零售业新增固定资产,批发业新增固定资产,零售业新增固定资产,住宿和餐饮业新增固定资产,住宿业新增固定资产,餐饮业新增固定资产,金融业新增固定资产,银行业新增固定资产,证券业新增固定资产,保险业新增固定资产,其他金融活动新增固定资产,房地产业新增固定资产,租赁和商务服务业新增固定资产,租赁业新增固定资产,商务服务业新增固定资产,科学研究、技术服务和地质勘查业新增固定资产,研究与试验发展新增固定资产,专业技术服务业新增固定资产,科技交流和推广服务业新增固定资产,地质勘查业新增固定资产,水利、环境和公共设施管理业新增固定资产,水利管理业新增固定资产,环境管理业新增固定资产,公共设施管理业新增固定资产,居民服务和其他服务业新增固定资产,居民服务业新增固定资产,其他服务业新增固定资产,教育新增固定资产,卫生、社会保障和社会福利业新增固定资产,卫生新增固定资产,社会保障业新增固定资产,社会福利业新增固定资产,文化、体育和娱乐业新增固定资产,新闻出版业新增固定资产,广播、电视、电影和音像业新增固定资产,文化艺术业新增固定资产,体育新增固定资产,娱乐业新增固定资产,公共管理和社会组织新增固定资产,中国共产党机关新增固定资产,国家机构新增固定资产,人民政协和民主党派新增固定资产,群众团体、社会团体和宗教组织新增固定资产,基层群众自治组织新增固定资产,国际组织新增固定资产
2009,113943.8875,2529.2662,560.7094,456.7117,710.3409,95.5805,705.9237,5781.2565,1777.4063,2232.4761,573.1483,671.2005,511.9227,15.1026,40317.0127,2046.5756,1107.2132,783.8659,104.4025,1310.0572,788.3553,365.3173,837.194,527.223,776.7827,417.2045,156.7903,1453.6718,3922.4257,950.8391,224.0828,431.2555,1015.6753,4093.7178,2512.7915,1330.6089,1991.6252,3098.6774,2072.0114,2856.6465,2371.782,1739.9463,352.5228,512.8778,164.8734,7001.8726,5608.682,405.735,987.4556,963.3102,775.4891,52.179,44.6664,90.9757,9593.1072,2122.5877,4926.7576,423.5835,767.3811,268.1356,51.2386,140.033,867.0264,26.3637,1567.2745,1443.7702,41.9547,81.5496,3250.9027,1477.246,1773.6567,1624.1431,941.0564,683.0867,247.0653,196.1231,8.7887,10.935,31.2185,22553.287,948.3741,46.0397,902.3344,690.7544,234.4215,198.6719,158.1567,99.5043,9361.1734,1166.9306,639.4159,7554.8269,372.1525,232.735,139.4175,2098.2038,1054.9749,888.7807,46.3065,119.8877,1134.0516,32.08,130.1646,392.1828,176.5098,403.1144,2855.7048,27.0436,2146.5774,8.215,80.1283,593.7405,
2008,84545.2612,1694.1437,329.7068,282.2637,516.8693,85.4512,479.8527,3981.7525,1197.8975,1681.3632,427.2898,375.0667,290.8551,9.2802,28335.2083,1498.035,854.1506,624.7231,85.0087,1090.3788,638.6913,289.1346,648.6235,366.1947,602.1119,324.2326,142.3663,615.7743,2769.9438,646.108,200.7163,319.5602,806.1756,2855.8876,1581.5211,891.2401,1415.9358,2182.608,1428.7757,1781.8861,1380.9147,1590.372,258.1836,366.0117,79.9426,6042.4611,5120.4613,294.5857,627.4141,788.5431,648.914,45.0894,28.4884,66.0513,7802.6899,910.7789,4403.7651,563.7321,675.0871,733.4289,36.4376,67.7516,402.222,9.4866,1197.7621,1091.2882,40.0414,66.4325,2238.905,1067.3175,1171.5875,1106.7655,674.6462,432.1193,178.5647,131.2192,9.9762,9.4655,27.9038,18385.6677,623.4671,36.6892,586.7779,437.3892,160.3079,132.6334,96.3276,48.1203,6122.0571,775.9697,427.8755,4918.2119,244.5452,158.5938,85.9514,1612.9855,683.6938,607.0973,9.5215,67.075,815.2475,40.7295,79.0195,236.5085,215.528,243.462,2253.4122,18.4313,1654.6478,3.563,61.4699,515.3002,
2007,67367.4895,1094.8211,229.8134,200.0201,243.9549,52.292,368.7407,3438.4571,993.0955,1615.391,279.0243,338.8272,206.6838,5.4353,21654.5859,1161.8921,670.4055,479.5518,57.3864,1041.9535,482.3891,212.007,464.8128,276.3765,460.5118,259.8502,99.9524,404.1673,2008.3965,528.8761,186.624,277.6258,594.0281,1863.7298,1540.9487,777.1101,1008.8704,1532.7055,1024.0217,1490.0231,931.047,1281.7822,167.5059,330.273,39.7616,6151.4819,5501.1822,187.8745,462.4252,584.2013,490.1942,35.101,18.6469,40.2592,6527.894,639.7571,4413.8249,232.1623,489.8,354.2665,30.8953,61.5913,293.6302,11.9664,1077.6722,1013.5497,28.0079,36.1146,1604.8379,726.3697,878.4682,813.7855,520.9429,292.8426,114.5881,83.4243,4.2501,15.5822,11.3315,14483.2278,383.3001,24.9117,358.3884,327.8434,138.3651,78.4728,53.96,57.0455,4390.6931,545.225,329.4274,3516.0407,175.6317,102.1221,73.5096,1573.8672,566.7672,517.3548,6.11,43.3024,540.9554,14.9555,73.8375,176.4328,97.8157,177.9139,1862.8786,12.4183,1564.6061,8.1636,35.0327,242.6579,
2006,56290.8996,806.9546,187.4339,167.1676,168.9556,32.1714,251.2261,2853.9393,698.8754,1545.3674,260.3311,198.3816,147.6263,3.3575,17267.983,789.6259,495.8281,349.7505,58.9318,865.8745,355.0852,168.4929,302.3585,160.4945,388.5497,207.454,84.0531,427.8768,1926.0778,489.9269,130.4694,216.7504,457.9743,1401.9737,1689.4183,511.2988,729.5128,1023.6077,688.733,1054.4219,669.7819,1230.6814,127.4048,245.9528,19.6216,4683.5936,4105.9849,226.6898,350.9189,475.3412,400.6509,22.1126,10.2253,42.3524,5751.0155,967.1555,3438.8,286.8934,524.8729,218.3411,31.855,31.6557,236.9123,14.5296,1082.4276,1029.0321,19.4363,33.9592,1266.6903,529.6083,737.082,580.4394,361.0492,219.3902,78.8544,64.54,1.9202,5.7773,6.6169,12968.4829,278.9603,15.1773,263.783,258.4652,121.6798,61.994,33.3059,41.4855,3706.9584,498.2575,180.6705,3028.0304,121.0642,73.4525,47.6117,1379.6029,475.6126,438.9024,11.0093,25.7009,473.7676,11.7429,64.1438,118.5254,113.6171,165.7384,1780.6116,18.0312,1498.9441,3.9178,26.8958,232.8227,0.135
2005,45206.6456,608.8167,154.8247,127.875,127.5458,30.9338,167.6374,2015.8397,518.2368,1115.1132,172.0294,110.5672,98.5757,1.3174,13276.4902,594.1684,355.15,216.0763,52.5191,681.8059,255.9548,129.6252,187.4197,115.3377,379.4811,164.2713,50.6488,368.0458,1472.6979,442.1976,104.4728,124.7931,309.0941,952.4075,1571.8188,499.1572,493.4673,665.1829,494.7373,924.6835,508.5262,868.5999,107.5924,170.2928,16.2648,3429.3441,3006.1232,118.146,305.0749,374.7781,327.2799,21.8695,8.6221,17.0066,5235.8215,626.1117,3515.281,306.3096,269.3163,309.4189,41.4474,19.6535,130.3324,17.9507,958.15,928.2133,8.2924,21.6443,1019.3999,432.733,586.6669,431.7356,271.7831,159.9525,81.5258,65.5413,3.7834,7.0921,5.109,10419.2756,268.4733,11.2012,257.2721,196.2394,81.6127,61.0728,32.2137,21.3402,3068.1938,480.7722,182.2252,2405.1964,75.3882,52.5052,22.883,1430.4241,391.5795,359.7118,10.1252,21.7425,374.7016,5.5176,58.0409,131.9669,62.8823,116.2939,1550.4685,18.2748,1338.1675,3.8091,24.9732,165.2439,
2004,34731.3857,458.9483,102.11,98.11,21.02,117.7,1397.99,1397.99,901.99,85.67,62.01,49.13,1.13,9024.09,9023.2702,224.52,176.42,64.64,498.68,166.39,73.57,135.54,64.69,247.29,117.79,29.49,403.68,807.52,390.64,118.13,124.4,234.72,717.87,1124.34,278.25,292.08,352.27,297.32,573.66,301.18,680.78,88.84,100.27,14.05,3110.17,3110.0142,87.24,254.21,365.59,364.6354,13.18,6.61,29.85,4257.78,4237.7857,2860.54,269.61,244.92,305.24,56.62,40.26,95.61,20.72,1153.25,1153.25,5.04,13.85,717.38,717.38,449.36,267.59,267.59,104.03,111.43,111.43,0.41,4.13,5.51,7893.34,7893.34,160.63,155.59,200.4,200.4,55.5,18.46,20.45,2408.93,2406.49,164.48,1825.93,74.41,74.41,29.31,1209.53,1209.53,308.47,3.01,12.91,243.31,243.31,42.26,74.97,37.42,73.39,1392.51,1392.3504,1234.63,4.26,15.84,117.11,0.17,0.17
2003,28663.9,375.0424,99.0473,102.5469,65.5997,14.8408,93.0077,1182.9326,298.211,759.397,37.6517,52.6525,34.5012,0.5192,6646.8619,256.172,191.402,146.5217,61.819,410.2091,119.4314,62.567,78.6016,42.2701,199.2069,89.7424,27.3228,213.5049,528.9353,305.9419,74.5873,87.0914,180.2668,485.6632,826.4998,304.3188,178.6765,247.4243,220.141,419.3901,206.2457,518.4299,70.8189,91.2971,2.363,2228.3723,1936.4188,102.9852,188.9683,344.3,317.2333,10.6447,6.4062,10.0169,3531.4,564.0606,2179.678,224.3403,180.604,135.1429,121.7262,21.825,81.401,22.5928,1053.0,1030.0649,5.3033,17.6774,535.5,222.7581,312.7809,204.5,132.6919,71.7989,71.4,59.3819,1.3781,9.5845,1.0699,7242.0,171.7,2.6958,169.0291,146.7,67.8394,46.5414,13.7777,18.5475,2222.2,432.8861,106.7199,1682.6368,43.2,35.7201,7.4735,994.5,263.3,242.9347,6.8389,13.5367,219.9,13.125,43.1918,47.8619,41.0587,74.6475,1186.7,21.8499,1049.1108,5.4025,26.6027,83.7574,0.288
2002,24791.91,296.3118,,,,,,911.9519,,,,,,,4468.2451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.9843,,,,278.0966,,,,,4761.5705,,,,,,,,,,,,,,469.08,,,73.7738,,,6529.9719,,,,,,,,,,,,,,,,,,,,,,1025.1025,,,,190.8018,,,,,,,,,,,,
2001,21666.27,237.5402,,,,,,861.2446,,,,,,,3787.3805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.7956,,,,222.553,,,,,4338.0742,,,,,,,,,,,,,,438.2995,,,106.9274,,,5611.3033,,,,,,,,,,,,,,,,,,,,,,895.5787,,,,181.103100000002,,,,,,,,,,,,
2000,20715.17,259.4224,,,,,,890.058,,,,,,,3335.3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2507.5007,,,,203.9506,,,,,4511.0741,,,,,,,,,,,,,,427.9011,,,114.611,,,4787.9206,,,,,,,,,,,,,,,,,,,,,,834.3815,,,,159.593300000002,,,,,,,,,,,,
