年份,固定资产交付使用率,农、林、牧、渔业固定资产交付使用率,农业固定资产交付使用率,林业固定资产交付使用率,畜牧业固定资产交付使用率,渔业固定资产交付使用率,农、林、牧、渔服务业固定资产交付使用率,采矿业固定资产交付使用率,煤炭开采和洗选业固定资产交付使用率,石油和天然气开采业固定资产交付使用率,黑色金属矿采选业固定资产交付使用率,有色金属矿采选业固定资产交付使用率,非金属矿采选业固定资产交付使用率,其他采矿业固定资产交付使用率,制造业固定资产交付使用率,农副食品加工业固定资产交付使用率,食品制造业固定资产交付使用率,饮料制造业固定资产交付使用率,烟草制品业固定资产交付使用率,纺织业固定资产交付使用率,纺织服装、鞋、帽制造业固定资产交付使用率,皮革毛皮羽毛(绒)及其制品业固定资产交付使用率,木材加工及木竹藤棕草制品业固定资产交付使用率,家具制造业固定资产交付使用率,造纸及纸制品业固定资产交付使用率,印刷业和记录媒介的复制固定资产交付使用率,文教体育用品制造业固定资产交付使用率,石油加工、炼焦及核燃料加工业固定资产交付使用率,化学原料及化学制品制造业固定资产交付使用率,医药制造业固定资产交付使用率,化学纤维制造业固定资产交付使用率,橡胶制品业固定资产交付使用率,塑料制品业固定资产交付使用率,非金属矿物制品业固定资产交付使用率,黑色金属冶炼及压延加工业固定资产交付使用率,有色金属冶炼及压延加工业固定资产交付使用率,金属制品业固定资产交付使用率,通用设备制造业固定资产交付使用率,专用设备制造业固定资产交付使用率,交通运输设备制造业固定资产交付使用率,电气机械及器材制造业固定资产交付使用率,通信设备、计算机及其他电子设备制造业固定资产交付使用率,仪器仪表文化办公用机械制造业固定资产交付使用率,工艺品及其他制造业固定资产交付使用率,废弃资源和废旧材料回收加工业固定资产交付使用率,电力燃气水的生产供应业固定资产交付使用率,电力、热力的生产和供应业固定资产交付使用率,燃气生产和供应业固定资产交付使用率,水的生产和供应业固定资产交付使用率,建筑业固定资产交付使用率,房屋和土木工程建筑业固定资产交付使用率,建筑安装业固定资产交付使用率,建筑装饰业固定资产交付使用率,其他建筑业固定资产交付使用率,交通运输、仓储和邮政业固定资产交付使用率,铁路运输业固定资产交付使用率,道路运输业固定资产交付使用率,城市公共交通业固定资产交付使用率,水上运输业固定资产交付使用率,航空运输业固定资产交付使用率,管道运输业固定资产交付使用率,装卸搬运和其他运输服务业固定资产交付使用率,仓储业固定资产交付使用率,邮政业固定资产交付使用率,信息传输、计算机服务和软件业固定资产交付使用率,电信和其他信息传输服务业固定资产交付使用率,计算机服务业固定资产交付使用率,软件业固定资产交付使用率,批发和零售业固定资产交付使用率,批发业固定资产交付使用率,零售业固定资产交付使用率,住宿和餐饮业固定资产交付使用率,住宿业固定资产交付使用率,餐饮业固定资产交付使用率,金融业固定资产交付使用率,银行业固定资产交付使用率,证券业固定资产交付使用率,保险业固定资产交付使用率,其他金融活动固定资产交付使用率,房地产业固定资产交付使用率,租赁和商务服务业固定资产交付使用率,租赁业固定资产交付使用率,商务服务业固定资产交付使用率,科学研究、技术服务和地质勘查业固定资产交付使用率,研究与试验发展固定资产交付使用率,专业技术服务业固定资产交付使用率,科技交流和推广服务业固定资产交付使用率,地质勘查业固定资产交付使用率,水利、环境和公共设施管理业固定资产交付使用率,水利管理业固定资产交付使用率,环境管理业固定资产交付使用率,公共设施管理业固定资产交付使用率,居民服务和其他服务业固定资产交付使用率,居民服务业固定资产交付使用率,其他服务业固定资产交付使用率,教育固定资产交付使用率,卫生、社会保障和社会福利业固定资产交付使用率,卫生固定资产交付使用率,社会保障业固定资产交付使用率,社会福利业固定资产交付使用率,文化、体育和娱乐业固定资产交付使用率,新闻出版业固定资产交付使用率,广播、电视、电影和音像业固定资产交付使用率,文化艺术业固定资产交付使用率,体育固定资产交付使用率,娱乐业固定资产交付使用率,公共管理和社会组织固定资产交付使用率,中国共产党机关固定资产交付使用率,国家机构固定资产交付使用率,人民政协和民主党派固定资产交付使用率,群众团体、社会团体和宗教组织固定资产交付使用率,基层群众自治组织固定资产交付使用率,国际组织固定资产交付使用率
2009,58.76,75.36,75.44,78.16,73.51,73.6,75.68,70.75,58.14,79.97,67.93,80.87,81.6,71.06,68.68,72.31,73.35,72.66,48.2,74.25,75.04,70.49,82.36,81.72,62.44,73.53,72.18,79.01,65.59,65.38,81.17,65.52,72.25,69.33,76.96,61.78,70.68,69.46,67.36,57.42,66.66,66.32,66.89,62.02,67.33,51.69,50.35,62.36,56.24,61.39,59.44,74.33,77.53,66.57,41.22,31.87,46.67,20.82,45.93,44.33,70.11,63.11,61.35,75.39,61.62,63.35,67.67,40.26,72.39,69.57,74.92,69.75,63.25,81.25,70.88,73.98,31.76,60.87,82.62,52.29,50.43,40.52,51.07,63.72,63.36,65.57,67.29,56.53,52.36,52.61,53.4,52.23,71.76,73.33,69.3,64.71,62.13,61.4,55.59,71.75,53.36,60.54,79.81,54.56,42.1,52.27,70.79,102.08,68.4,102.98,70.88,79.33,
2008,56.84,75.28,72.18,71.9,77.77,83.48,75.68,58.16,49.93,62.85,62.93,57.38,68.0,76.6,61.11,73.25,74.73,71.55,58.72,70.8,71.08,67.86,81.22,71.55,58.95,72.07,72.46,33.69,58.51,60.21,68.5,64.83,73.72,68.92,48.68,47.27,64.51,67.27,63.08,47.14,58.91,64.61,60.28,54.51,58.45,57.61,56.74,70.14,60.02,65.94,64.13,89.84,79.16,67.56,49.7,22.36,59.42,44.22,56.07,124.21,26.29,59.28,46.02,48.91,56.2,56.52,76.47,44.89,70.12,70.29,69.96,63.79,57.08,78.12,70.63,69.46,31.11,82.99,136.52,51.19,49.68,82.09,48.48,60.95,57.01,60.46,74.27,55.12,49.86,54.63,58.7,48.55,78.2,78.07,78.45,68.48,64.14,64.85,45.91,61.58,56.75,62.07,52.07,51.5,79.61,49.77,69.57,67.38,67.74,45.57,74.23,75.97,
2007,57.35,74.99,70.23,67.2,77.24,76.41,81.78,65.42,55.03,72.59,65.19,68.93,70.0,48.29,61.04,70.93,69.46,67.08,48.89,68.8,64.04,60.94,73.16,71.42,56.4,70.67,58.14,28.56,56.83,62.7,66.83,63.67,68.89,66.43,58.89,59.98,63.85,65.74,60.63,54.71,57.88,61.22,59.55,58.39,46.45,67.68,69.58,54.2,55.33,58.86,58.47,74.69,75.29,48.85,50.23,25.66,63.72,21.64,44.14,58.31,44.73,65.97,48.05,84.51,59.23,59.55,88.46,42.15,65.49,63.66,67.08,61.19,56.31,72.34,75.42,73.36,34.65,149.84,72.93,50.61,44.53,73.6,43.34,62.9,64.69,56.97,59.32,72.61,47.33,49.32,55.74,46.39,74.5,67.63,86.73,70.87,70.03,70.59,48.32,67.88,47.88,41.13,49.28,48.84,39.49,53.16,67.29,51.2,69.95,72.63,52.3,56.52,
2006,60.2888451207984,72.1678667149959,69.9623003504948,67.9508561556831,74.1942538356214,67.9382268408726,76.3212425946162,68.7278467485727,47.9002515657059,84.8064786623847,72.9356058059108,65.327654832505,72.2971156337187,51.8636946413952,65.567854957626,66.0158516451085,64.6801371485581,63.4073147734028,51.2063492891024,68.378279879065,64.168653309296,57.2468377009245,75.6955419871255,59.0257511881868,60.0114941676598,68.6345381393236,69.533296162036,45.5534388163598,75.8301660294657,64.4712339727246,63.0681513313885,60.0317343641509,64.6221543667203,75.5333430203161,73.9246926715055,53.1135709595545,66.2842027754013,65.3180321655069,63.2418648982688,53.6035569572988,60.3008479619509,73.0124872402714,56.2565874909315,55.2272025062693,50.443594931372,56.6975322582053,56.445309600225,68.3845320320683,53.5834461874202,59.739376411665,59.0567828254152,65.6177761423896,64.0205611104502,62.6475869842406,51.2363290198418,49.1809760126957,53.0544337595538,35.8349197530394,52.7480764901674,47.1484040041175,44.6595054438192,58.2995079044686,63.8680574389079,69.1704553569303,61.084189632002,61.9506551032262,58.0692482126265,43.8162307089855,66.7925524600011,64.0803697534263,68.8875009077278,61.833261586478,56.4304610443746,73.3980920327396,66.4200935472921,71.7605461540172,19.7170082556372,54.376635355684,78.5920444692552,60.0775907844889,42.1017942897315,64.9899585925758,41.265612484982,55.5720227607211,57.3007479530536,55.3166695071254,41.196821603596,69.3393080694037,49.3823177852953,54.4054780059407,43.0636122660045,49.0664433182862,65.9302370541654,61.9404885584759,73.2047337678412,64.8052361543688,67.1803368532863,67.2938498909183,64.292763830247,66.5436816786027,55.2032891199087,44.042591495203,52.8841333913755,52.7637846452452,54.1009592903937,60.1315621912713,67.0453654618837,71.1399386887923,66.8149800581718,55.5763611087468,61.7248477866236,69.2025481175354,100.0
2005,60.2,72.24,71.0,70.99,72.76,67.44,75.03,62.33,44.56,76.19,61.85,60.65,68.81,32.32,65.06,66.47,65.34,61.96,55.01,64.37,66.6,63.95,66.73,61.0,69.09,72.2,57.17,45.93,69.12,63.53,59.46,62.2,65.02,68.33,68.18,65.58,66.22,64.88,63.06,58.65,65.92,71.46,66.71,55.79,88.15,47.06,46.23,43.02,59.97,56.41,55.55,82.41,79.05,45.07,59.09,49.39,62.98,57.67,34.56,102.33,52.1,45.13,50.41,106.16,61.36,62.29,44.79,40.88,66.54,64.38,68.23,63.87,59.58,72.78,77.18,84.95,33.41,89.44,55.32,60.94,55.22,78.73,54.51,46.23,46.11,52.63,46.01,34.71,50.32,57.4,57.19,48.67,55.64,53.82,60.32,72.72,66.17,65.38,90.49,71.46,54.64,32.68,63.71,60.87,39.51,57.61,63.59,72.02,64.33,62.82,60.78,57.91,
2004,58.8386425197859,71.1,70.4,70.2,72.5,68.1,72.2,65.7,43.2,81.1,65.2,53.1,67.5,42.7,61.6,59.8,61.1,69.5,74.4,65.4,64.2,63.2,76.0,61.4,58.5,70.7,54.2,63.3,51.0,65.7,68.9,69.7,70.9,65.2,62.8,48.6,67.8,62.7,64.1,55.5,57.3,66.7,68.0,50.0,108.6,56.3,57.0,41.6,55.2,69.5,68.4,71.0,82.3,78.6,60.0,43.0,61.3,68.9,45.8,112.0,52.9,68.7,51.1,72.0,70.4,71.3,43.0,38.1,64.2,59.9,67.1,61.1,55.4,72.7,114.2,121.6,32.7,83.0,69.2,54.3,44.4,81.4,43.8,64.3,62.7,77.3,40.6,80.7,49.3,55.8,63.5,47.0,69.2,67.0,72.7,67.1,69.0,69.8,67.5,55.8,45.8,81.8,56.9,48.4,29.8,46.4,64.3,68.9,64.7,156.8,53.3,59.8,56.2
2003,62.5690286542521,70.1,70.6,68.3,68.3,73.0,72.6,76.2,68.3,80.3,75.2,74.3,73.9,29.3,61.9,64.2,65.3,69.4,71.8,66.8,59.9,66.8,68.0,57.3,63.5,72.0,63.2,66.3,48.0,61.0,61.7,61.6,69.9,62.5,58.9,66.9,63.7,68.0,64.7,58.5,65.4,67.4,69.0,45.4,38.9,58.6,58.6,67.9,54.4,65.2,66.1,57.1,60.7,53.9,62.3,79.9,60.4,51.2,49.6,61.5,84.5,47.0,70.5,82.3,64.0,64.3,49.7,53.5,67.7,70.6,65.7,63.7,59.9,71.9,82.9,79.6,82.9,161.1,27.2,65.2,55.4,100.4,55.0,52.1,50.9,52.0,42.0,70.9,52.7,60.0,40.5,52.0,65.9,69.0,54.2,67.5,73.6,73.0,106.4,73.7,45.8,55.9,53.1,38.4,38.5,52.1,64.5,72.1,63.5,84.5,92.6,68.3,100.0
2002,69.8584060323257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,72.2180112795488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,78.9998016917222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
