年份,固定资产投资(不含农户)建设总规模,农、林、牧、渔业固定资产投资(不含农户)建设总规模,农业固定资产投资(不含农户)建设总规模,林业固定资产投资(不含农户)建设总规模,畜牧业固定资产投资(不含农户)建设总规模,渔业固定资产投资(不含农户)建设总规模,农、林、牧、渔服务业固定资产投资(不含农户)建设总规模,采矿业固定资产投资(不含农户)建设总规模,煤炭开采和洗选业固定资产投资(不含农户)建设总规模,石油和天然气开采业固定资产投资(不含农户)建设总规模,黑色金属矿采选业固定资产投资(不含农户)建设总规模,有色金属矿采选业固定资产投资(不含农户)建设总规模,非金属矿采选业固定资产投资(不含农户)建设总规模,其他采矿业固定资产投资(不含农户)建设总规模,制造业固定资产投资(不含农户)建设总规模,农副食品加工业固定资产投资(不含农户)建设总规模,食品制造业固定资产投资(不含农户)建设总规模,饮料制造业固定资产投资(不含农户)建设总规模,烟草制品业固定资产投资(不含农户)建设总规模,纺织业固定资产投资(不含农户)建设总规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)建设总规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)建设总规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)建设总规模,家具制造业固定资产投资(不含农户)建设总规模,造纸及纸制品业固定资产投资(不含农户)建设总规模,印刷业和记录媒介的复制固定资产投资(不含农户)建设总规模,文教体育用品制造业固定资产投资(不含农户)建设总规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)建设总规模,化学原料及化学制品制造业固定资产投资(不含农户)建设总规模,医药制造业固定资产投资(不含农户)建设总规模,化学纤维制造业固定资产投资(不含农户)建设总规模,橡胶制品业固定资产投资(不含农户)建设总规模,塑料制品业固定资产投资(不含农户)建设总规模,非金属矿物制品业固定资产投资(不含农户)建设总规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)建设总规模,有色金属冶炼及压延加工业固定资产投资(不含农户)建设总规模,金属制品业固定资产投资(不含农户)建设总规模,通用设备制造业固定资产投资(不含农户)建设总规模,专用设备制造业固定资产投资(不含农户)建设总规模,交通运输设备制造业固定资产投资(不含农户)建设总规模,电气机械及器材制造业固定资产投资(不含农户)建设总规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)建设总规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)建设总规模,工艺品及其他制造业固定资产投资(不含农户)建设总规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)建设总规模,电力燃气水的生产供应业固定资产投资(不含农户)建设总规模,电力、热力的生产和供应业固定资产投资(不含农户)建设总规模,燃气生产和供应业固定资产投资(不含农户)建设总规模,水的生产和供应业固定资产投资(不含农户)建设总规模,建筑业固定资产投资(不含农户)建设总规模,房屋和土木工程建筑业固定资产投资(不含农户)建设总规模,建筑安装工程业固定资产投资(不含农户)建设总规模,建筑装饰业固定资产投资(不含农户)建设总规模,其他建筑业固定资产投资(不含农户)建设总规模,交通运输、仓储和邮政业固定资产投资(不含农户)建设总规模,铁路运输业固定资产投资(不含农户)建设总规模,道路运输业固定资产投资(不含农户)建设总规模,城市公共交通业固定资产投资(不含农户)建设总规模,水上运输业固定资产投资(不含农户)建设总规模,航空运输业固定资产投资(不含农户)建设总规模,管道运输业固定资产投资(不含农户)建设总规模,装卸搬运和其他运输服务业固定资产投资(不含农户)建设总规模,仓储业固定资产投资(不含农户)建设总规模,邮政业固定资产投资(不含农户)建设总规模,信息传输、计算机服务和软件业固定资产投资(不含农户)建设总规模,电信和其他信息传输服务业固定资产投资(不含农户)建设总规模,计算机服务业固定资产投资(不含农户)建设总规模,软件业固定资产投资(不含农户)建设总规模,批发和零售业固定资产投资(不含农户)建设总规模,批发业固定资产投资(不含农户)建设总规模,零售业固定资产投资(不含农户)建设总规模,住宿和餐饮业固定资产投资(不含农户)建设总规模,住宿业固定资产投资(不含农户)建设总规模,餐饮业固定资产投资(不含农户)建设总规模,金融业固定资产投资(不含农户)建设总规模,银行业固定资产投资(不含农户)建设总规模,证券业固定资产投资(不含农户)建设总规模,保险业固定资产投资(不含农户)建设总规模,其他金融活动固定资产投资(不含农户)建设总规模,房地产业固定资产投资(不含农户)建设总规模,租赁和商务服务业固定资产投资(不含农户)建设总规模,租赁业固定资产投资(不含农户)建设总规模,商务服务业固定资产投资(不含农户)建设总规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)建设总规模,研究与试验发展固定资产投资(不含农户)建设总规模,专业技术服务业固定资产投资(不含农户)建设总规模,科技交流和推广服务业固定资产投资(不含农户)建设总规模,地质勘查业固定资产投资(不含农户)建设总规模,水利、环境和公共设施管理业固定资产投资(不含农户)建设总规模,水利管理业固定资产投资(不含农户)建设总规模,环境管理业固定资产投资(不含农户)建设总规模,公共设施管理业固定资产投资(不含农户)建设总规模,居民服务和其他服务业固定资产投资(不含农户)建设总规模,居民服务业固定资产投资(不含农户)建设总规模,其他服务业固定资产投资(不含农户)建设总规模,教育固定资产投资(不含农户)建设总规模,卫生、社会保障和社会福利业固定资产投资(不含农户)建设总规模,卫生固定资产投资(不含农户)建设总规模,社会保障业固定资产投资(不含农户)建设总规模,社会福利业固定资产投资(不含农户)建设总规模,文化、体育和娱乐业固定资产投资(不含农户)建设总规模,新闻出版业固定资产投资(不含农户)建设总规模,广播、电视、电影和音像业固定资产投资(不含农户)建设总规模,文化艺术业固定资产投资(不含农户)建设总规模,体育固定资产投资(不含农户)建设总规模,娱乐业固定资产投资(不含农户)建设总规模,公共管理和社会组织固定资产投资(不含农户)建设总规模,中国共产党机关固定资产投资(不含农户)建设总规模,国家机构固定资产投资(不含农户)建设总规模,人民政协和民主党派固定资产投资(不含农户)建设总规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)建设总规模,基层群众自治组织固定资产投资(不含农户)建设总规模,国际组织固定资产投资(不含农户)建设总规模
2009,600131.6239,5704.7131,1361.2922,1125.1433,1573.8295,178.5237,1465.9244,20535.2223,10089.5455,5364.1697,1972.8708,2016.6389,1042.0829,49.9145,138975.4118,5076.1665,2801.1928,2234.4224,695.9285,3762.3273,1956.7404,1053.8856,1608.9396,1087.0771,3158.7629,975.8798,396.6719,7232.2816,16119.9477,3138.6921,747.1657,1589.9056,2614.346,11424.3234,10413.644,6635.1452,5378.6635,8459.1498,6485.0894,14051.3566,7972.8183,7950.8378,1165.1279,2146.2353,642.6871,53440.778,46606.8624,2319.592,4514.3236,2917.5789,2545.5062,95.9889,74.5016,201.5822,89283.543,30643.0346,35507.0289,10862.7386,5459.7183,2504.3279,197.7322,462.3861,3586.9183,59.6581,4306.208,3618.0919,102.8897,585.2264,8490.0288,4197.0477,4292.9811,5357.2634,4128.0158,1229.2476,921.1578,510.4143,252.7525,86.6901,71.3009,182649.0684,5127.745,147.1873,4980.5577,2808.1744,1090.6459,909.9272,536.1225,271.4788,52886.4564,9089.2496,2986.401,40810.8058,1014.1791,634.8316,379.3475,8271.6984,3940.9541,3452.2045,197.2926,291.457,6091.7811,169.1025,671.9852,2020.9971,1280.6346,1949.0617,7409.6619,67.7721,5896.3386,13.7198,221.8947,1209.9367,
2008,462788.0254,3822.0585,775.8914,894.0914,961.5723,155.1642,1035.3392,14380.094,6589.4944,4362.3942,1342.0396,1318.2698,741.8799,26.0161,106995.0003,3828.8934,2127.5956,1686.3696,486.9523,3175.9451,1722.7108,848.7018,1230.7528,838.7032,2487.4246,775.7217,385.2961,5915.2148,12752.56,2337.4104,799.3544,1121.3668,2114.3409,7911.3106,9018.351,5336.4813,4101.5779,6187.7646,4519.5746,10453.4129,4943.0018,6950.1493,881.3477,1774.8847,281.8296,43615.5328,38614.0599,1743.5196,3257.9533,2021.877,1730.5376,72.2329,47.9579,171.1486,64437.5557,19882.9415,27323.2473,7931.5852,4186.6952,2222.0726,299.7058,269.2162,2287.4097,34.6822,3828.1272,3263.0693,106.9491,458.1088,6136.3459,3081.331,3055.0149,3943.8375,3132.5365,811.301,638.4145,321.7548,250.8237,14.9141,50.9219,150104.9743,3595.2469,57.6976,3537.5493,2165.8776,851.3287,847.4736,328.3105,138.7648,36944.9612,6264.237,1882.5762,28798.148,553.1368,359.4425,193.6943,6583.2279,2583.2336,2332.3967,59.0622,191.7747,4333.2637,186.3063,545.2102,1347.7346,985.5554,1268.4572,6105.26,58.6978,4760.8132,15.3656,167.7946,1102.5888,
2007,366270.2559,2669.3247,639.2879,681.0566,547.2755,109.2354,692.4693,10817.078,4873.3748,3509.0461,958.6949,957.9578,488.2898,29.7146,85017.0795,3133.6008,1775.0847,1436.0388,397.8559,3146.3247,1524.0432,747.2885,1053.0513,725.9638,2281.4736,662.5275,342.7436,4775.3295,9891.3853,1968.295,966.3896,916.8202,1788.3864,5319.3094,7932.7757,3867.2809,3108.7174,4603.9265,3468.2993,7911.0168,3500.0476,5573.4842,627.4052,1361.1714,211.0427,38837.3351,34941.3482,1261.3508,2634.6361,1839.3408,1569.2605,61.6998,29.7985,178.582,51209.1324,12129.1005,23970.5888,6929.2517,4268.0688,1796.8407,192.5152,212.7286,1679.2353,30.8028,3133.6391,2761.2932,88.7629,283.583,4900.1703,2242.6303,2657.54,3187.7401,2611.2062,576.5339,289.2091,191.8192,37.5689,20.5167,39.3043,111978.6645,2661.5096,41.1386,2620.371,1379.9291,651.6433,352.4119,260.5404,115.3335,30583.1429,5547.4076,1738.0738,23297.6615,475.4928,332.6572,142.8356,6157.6398,2014.6294,1873.1245,30.4297,111.0752,3642.707,142.2785,505.3395,1132.073,850.6634,1012.3526,5476.4917,53.6916,4651.8384,20.401,128.9209,621.6398,
2006,299682.1417,2323.3974,536.7086,676.6685,436.7127,87.5749,585.7327,9350.9692,4638.7127,2830.8053,828.9017,619.39,415.952,17.2075,66602.4112,2551.1382,1610.1771,1127.5646,342.3819,2705.979,1129.9542,599.1035,753.7816,535.7173,1600.3548,566.1475,263.2372,3529.8241,7651.3989,1884.4136,893.4592,782.8626,1560.865,3920.3081,7183.5143,2970.9534,2140.7627,3268.719,2448.0063,5931.1324,2436.1258,4590.9278,491.8429,1017.3741,114.3841,36207.5991,32301.3861,1558.4913,2347.7217,1564.6832,1318.5061,52.889,21.8369,171.4512,42053.4165,7148.4243,22721.0478,5408.5142,3848.9656,1363.9105,241.4444,152.8907,1128.0697,40.1493,2950.2677,2647.2143,84.1742,218.8792,4062.3545,1939.0678,2123.2867,2218.541,1740.7805,477.7605,293.1634,170.266,86.124,19.6893,17.0841,85864.0112,1785.2906,29.3442,1755.9464,1288.6781,638.2424,279.4958,226.0843,144.8556,26316.8722,5256.2114,1409.179,19651.4818,356.454,256.3517,100.1023,5895.2126,1757.9945,1650.6048,29.5578,77.8319,2813.6212,71.6965,442.1447,872.0793,630.2198,797.4809,5977.0691,59.9511,5220.4038,15.4068,125.3566,555.9508,0.135
2005,247510.3064,1849.2289,438.7445,553.9657,323.8411,92.6489,440.0287,6683.1338,3145.8879,2258.3592,533.2726,443.2649,295.9065,6.4427,51872.3646,1859.8165,1141.9367,810.4372,297.6494,2346.773,823.8681,427.8298,526.6305,404.36,1490.1573,455.2764,206.8175,3065.334,5825.9034,1632.1617,591.8216,581.2641,1059.4572,3004.1753,6575.7203,2355.5478,1412.0908,2056.8738,1593.4653,4893.6274,1768.3831,3545.3479,380.4385,698.2731,40.9269,32468.7612,29522.5745,1079.1958,1866.9909,1316.7086,1153.6977,41.9286,17.8112,103.2711,36606.7616,6357.5203,20333.184,4246.1643,3113.0682,1344.5449,155.6379,123.0705,882.2558,51.3157,2824.8981,2604.4986,45.4726,174.9269,3151.4157,1447.5592,1703.8565,1713.1371,1359.9219,353.2152,212.6113,151.2884,32.9219,10.9449,17.4561,68209.851,1503.1567,20.1998,1482.9569,1286.2303,545.4233,347.793,228.6141,164.3999,22783.4456,6026.1067,1172.7527,15584.5862,375.0861,304.879,70.2071,5454.9176,1370.007,1296.4678,19.5262,54.013,2366.9982,52.083,371.8706,678.873,582.5065,681.6651,5461.593,58.0881,4746.906,16.5399,140.01,500.049,
2004,192739.3,1549.03,395.21,421.08,255.49,75.42,401.83,4175.96,1905.41,1573.86,306.67,258.09,122.95,8.99,37166.31,1173.23,787.24,542.19,254.81,1699.38,553.94,279.58,348.25,223.62,1063.21,317.0,120.64,2221.77,4096.77,1378.36,422.21,442.51,729.02,2405.41,5114.3,1995.78,849.6,1200.08,1086.95,3135.85,1182.49,2629.8,325.19,545.89,41.26,26695.13,23856.88,914.28,1923.98,1097.59,972.26,31.14,14.05,80.14,27856.91,4077.01,16391.23,3203.87,1932.81,856.31,580.85,137.59,625.53,51.71,2901.3,2700.41,41.46,159.43,2361.63,960.36,1401.27,1112.92,874.79,238.14,204.21,173.97,1.47,13.45,15.33,56187.6,1083.76,7.8,1075.96,941.05,487.28,225.89,186.26,41.62,16962.79,3578.27,1016.49,12368.03,303.03,242.16,60.87,4533.78,1022.21,969.44,10.83,41.94,1905.35,48.95,321.25,510.72,479.25,545.17,4677.15,66.82,4197.85,7.21,80.31,324.96,1.55
2003,147038.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,122413.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,106854.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,91641.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
