年份,固定资产投资(不含农户)国内贷款,农、林、牧、渔业固定资产投资(不含农户)国内贷款,农业固定资产投资(不含农户)国内贷款,林业固定资产投资(不含农户)国内贷款,畜牧业固定资产投资(不含农户)国内贷款,渔业固定资产投资(不含农户)国内贷款,农、林、牧、渔服务业固定资产投资(不含农户)国内贷款,采矿业固定资产投资(不含农户)国内贷款,煤炭开采和洗选业固定资产投资(不含农户)国内贷款,石油和天然气开采业固定资产投资(不含农户)国内贷款,黑色金属矿采选业固定资产投资(不含农户)国内贷款,有色金属矿采选业固定资产投资(不含农户)国内贷款,非金属矿采选业固定资产投资(不含农户)国内贷款,其他采矿业固定资产投资(不含农户)国内贷款,制造业固定资产投资(不含农户)国内贷款,农副食品加工业固定资产投资(不含农户)国内贷款,食品制造业固定资产投资(不含农户)国内贷款,饮料制造业固定资产投资(不含农户)国内贷款,烟草制品业固定资产投资(不含农户)国内贷款,纺织业固定资产投资(不含农户)国内贷款,纺织服装、鞋、帽制造业固定资产投资(不含农户)国内贷款,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)国内贷款,木材加工及木竹藤棕草制品业固定资产投资(不含农户)国内贷款,家具制造业固定资产投资(不含农户)国内贷款,造纸及纸制品业固定资产投资(不含农户)国内贷款,印刷业和记录媒介的复制固定资产投资(不含农户)国内贷款,文教体育用品制造业固定资产投资(不含农户)国内贷款,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)国内贷款,化学原料及化学制品制造业固定资产投资(不含农户)国内贷款,医药制造业固定资产投资(不含农户)国内贷款,化学纤维制造业固定资产投资(不含农户)国内贷款,橡胶制品业固定资产投资(不含农户)国内贷款,塑料制品业固定资产投资(不含农户)国内贷款,非金属矿物制品业固定资产投资(不含农户)国内贷款,黑色金属冶炼及压延加工业固定资产投资(不含农户)国内贷款,有色金属冶炼及压延加工业固定资产投资(不含农户)国内贷款,金属制品业固定资产投资(不含农户)国内贷款,通用设备制造业固定资产投资(不含农户)国内贷款,专用设备制造业固定资产投资(不含农户)国内贷款,交通运输设备制造业固定资产投资(不含农户)国内贷款,电气机械及器材制造业固定资产投资(不含农户)国内贷款,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)国内贷款,仪器仪表文化办公用机械制造业固定资产投资(不含农户)国内贷款,工艺品及其他制造业固定资产投资(不含农户)国内贷款,废弃资源和废旧材料回收加工业固定资产投资(不含农户)国内贷款,电力燃气水的生产供应业固定资产投资(不含农户)国内贷款,电力、热力的生产和供应业固定资产投资(不含农户)国内贷款,燃气生产和供应业固定资产投资(不含农户)国内贷款,水的生产和供应业固定资产投资(不含农户)国内贷款,建筑业固定资产投资(不含农户)国内贷款,房屋和土木工程建筑业固定资产投资(不含农户)国内贷款,建筑安装业固定资产投资(不含农户)国内贷款,建筑装饰业固定资产投资(不含农户)国内贷款,其他建筑业固定资产投资(不含农户)国内贷款,交通运输、仓储和邮政业固定资产投资(不含农户)国内贷款,铁路运输业固定资产投资(不含农户)国内贷款,道路运输业固定资产投资(不含农户)国内贷款,城市公共交通业固定资产投资(不含农户)国内贷款,水上运输业固定资产投资(不含农户)国内贷款,航空运输业固定资产投资(不含农户)国内贷款,管道运输业固定资产投资(不含农户)国内贷款,装卸搬运和其他运输服务业固定资产投资(不含农户)国内贷款,仓储业固定资产投资(不含农户)国内贷款,邮政业固定资产投资(不含农户)国内贷款,信息传输、计算机服务和软件业固定资产投资(不含农户)国内贷款,电信和其他信息传输服务业固定资产投资(不含农户)国内贷款,计算机服务业固定资产投资(不含农户)国内贷款,软件业固定资产投资(不含农户)国内贷款,批发和零售业固定资产投资(不含农户)国内贷款,批发业固定资产投资(不含农户)国内贷款,零售业固定资产投资(不含农户)国内贷款,住宿和餐饮业固定资产投资(不含农户)国内贷款,住宿业固定资产投资(不含农户)国内贷款,餐饮业固定资产投资(不含农户)国内贷款,金融业固定资产投资(不含农户)国内贷款,银行业固定资产投资(不含农户)国内贷款,证券业固定资产投资(不含农户)国内贷款,保险业固定资产投资(不含农户)国内贷款,其他金融活动固定资产投资(不含农户)国内贷款,房地产业固定资产投资(不含农户)国内贷款,租赁和商务服务业固定资产投资(不含农户)国内贷款,租赁业固定资产投资(不含农户)国内贷款,商务服务业固定资产投资(不含农户)国内贷款,科学研究、技术服务和地质勘查业固定资产投资(不含农户)国内贷款,研究与试验发展固定资产投资(不含农户)国内贷款,专业技术服务业固定资产投资(不含农户)国内贷款,科技交流和推广服务业固定资产投资(不含农户)国内贷款,地质勘查业固定资产投资(不含农户)国内贷款,水利、环境和公共设施管理业固定资产投资(不含农户)国内贷款,水利管理业固定资产投资(不含农户)国内贷款,环境管理业固定资产投资(不含农户)国内贷款,公共设施管理业固定资产投资(不含农户)国内贷款,居民服务和其他服务业固定资产投资(不含农户)国内贷款,居民服务业固定资产投资(不含农户)国内贷款,其他服务业固定资产投资(不含农户)国内贷款,教育固定资产投资(不含农户)国内贷款,卫生、社会保障和社会福利业固定资产投资(不含农户)国内贷款,卫生固定资产投资(不含农户)国内贷款,社会保障业固定资产投资(不含农户)国内贷款,社会福利业固定资产投资(不含农户)国内贷款,文化、体育和娱乐业固定资产投资(不含农户)国内贷款,新闻出版业固定资产投资(不含农户)国内贷款,广播、电视、电影和音像业固定资产投资(不含农户)国内贷款,文化艺术业固定资产投资(不含农户)国内贷款,体育固定资产投资(不含农户)国内贷款,娱乐业固定资产投资(不含农户)国内贷款,公共管理和社会组织固定资产投资(不含农户)国内贷款,中国共产党机关固定资产投资(不含农户)国内贷款,国家机构固定资产投资(不含农户)国内贷款,人民政协和民主党派固定资产投资(不含农户)国内贷款,群众团体、社会团体和宗教组织固定资产投资(不含农户)国内贷款,基层群众自治组织固定资产投资(不含农户)国内贷款,国际组织固定资产投资(不含农户)国内贷款
2009,37634.138,164.5057,34.2749,26.1092,67.0709,11.39,25.6607,874.5157,370.2636,376.327,60.6375,40.7365,24.4211,2.13,6137.6756,219.9612,126.6217,82.9507,2.6334,141.7913,72.1308,30.0166,53.4561,33.0932,213.2259,28.7532,11.4177,352.885,988.4467,125.8549,35.7289,71.5258,100.6333,625.5772,353.0551,313.9069,209.9287,325.509,263.2939,477.9873,378.5128,333.4113,28.8995,108.6904,27.7771,4759.0715,4298.4702,126.122,334.4793,105.447,95.8187,3.5348,2.222,3.8715,8071.7663,2909.9986,3270.6142,1027.7057,419.1082,224.2691,7.9464,23.1176,186.3165,2.69,61.5998,42.7962,5.6327,13.1709,290.7696,158.8553,131.9143,174.9053,142.322,32.5833,10.6309,9.3299,,,1.301,11948.1296,377.5521,4.3657,373.1864,53.7364,17.4585,12.8442,19.8486,3.5851,3651.3644,363.7006,173.1953,3114.4685,35.4284,24.0293,11.3991,404.5667,149.184,137.5997,6.77,4.8143,173.3058,4.2502,8.3037,73.0082,52.9385,34.8052,189.9832,0.6231,167.7128,0.77,3.1585,17.7188,
2008,25466.0119,100.0007,17.51,11.5501,45.2366,7.22,18.484,712.3721,260.5961,370.5965,21.4059,42.3417,16.7719,0.66,4195.3978,126.8583,66.5995,52.732,2.55,126.1554,38.2946,17.9939,34.7002,21.2977,160.6951,18.5278,8.4672,317.666,709.9987,66.7699,51.109,53.7761,53.2937,321.0637,374.5748,277.5038,184.1873,170.3709,134.1693,259.4367,136.0107,309.6361,15.948,80.435,4.5764,4129.7356,3874.2314,52.303,203.2012,55.1504,48.5442,0.5213,2.9842,3.1007,5139.0746,1607.2433,2112.7009,716.7203,352.5874,231.9852,28.254,11.5329,77.9706,0.08,71.8514,50.6822,1.217,19.9522,178.6809,107.3965,71.2844,115.6345,97.9736,17.6609,8.199,0.5674,5.0,0.05,2.5816,7943.7886,154.5455,2.89,151.6555,69.2436,26.7596,27.4168,14.2572,0.81,1985.8706,195.8982,58.0878,1731.8846,10.8801,9.0121,1.868,277.8189,78.4939,73.6701,3.6237,1.2001,88.5224,3.9428,9.018,31.399,10.8897,33.2729,150.7513,0.2166,120.8922,,4.5007,25.1418,
2007,22136.0823,62.0552,15.6305,6.4691,22.8174,2.6144,14.5238,593.5736,215.6261,302.1423,33.1612,22.8552,19.6348,0.154,3674.7405,124.9841,63.9643,53.877,1.055,137.4629,41.6326,19.1982,33.7062,17.0817,143.3605,25.8271,7.2019,208.3826,563.0652,74.1044,93.2438,70.9052,52.9949,227.7393,397.2704,185.1714,88.2454,166.79,120.601,242.1252,111.785,301.0573,19.2733,78.3686,4.266,3670.9033,3463.4498,35.299,172.1545,83.6903,71.2008,1.7015,0.16,10.628,3979.2906,644.2461,2272.5427,538.0348,270.3498,158.1004,10.8721,2.5908,82.1439,0.41,52.7979,33.6251,2.4265,16.7463,148.1215,67.3913,80.7302,127.3047,102.6152,24.6895,1.628,0.608,,,1.02,7262.598,141.9745,1.0035,140.971,39.26,20.3588,6.7825,10.4186,1.7001,1737.807,163.2929,60.5875,1513.9266,10.263,7.6162,2.6468,288.1078,87.6365,85.0618,0.7219,1.8528,94.3747,2.8205,11.8097,38.4481,16.5901,24.7063,79.9552,1.0069,63.9808,,3.5957,11.3718,
2006,18814.8227,51.916,10.5632,10.5567,17.4199,2.258,11.1182,516.6557,211.0029,239.3897,40.2792,15.8405,9.9214,0.222,3027.4445,97.2428,62.8391,44.564,4.9053,144.5449,26.6887,14.7714,23.9252,14.2393,102.3323,19.9609,4.4987,157.6209,411.8252,75.7679,40.4628,51.0718,66.2276,184.2579,347.3427,131.2212,80.3526,129.2899,80.153,192.5035,93.6014,342.0719,24.0894,57.4833,1.5889,3573.7587,3386.6796,54.9021,132.177,53.2736,46.6733,0.783,0.4873,5.33,3349.1306,331.4517,2149.4838,361.6546,274.6557,148.469,24.3057,8.383,48.4736,2.2535,83.9062,61.2651,0.5266,22.1145,106.052,46.7084,59.3436,65.3606,54.3682,10.9924,1.0027,0.4227,0.03,0.0,0.55,5545.4562,73.6236,0.32,73.3036,30.0919,17.3227,4.514,7.6626,0.5926,1666.9154,140.7354,58.6176,1467.5624,10.6999,5.9432,4.7567,372.913,85.4806,79.8327,4.35,1.2979,99.1085,1.151,11.7139,24.5628,34.4932,27.1876,102.033,0.123,87.5246,0.0,2.83,11.5554,0.0
2005,15363.8632,33.6843,7.2784,3.3504,11.2065,3.067,8.782,471.7692,201.7573,222.9179,21.391,14.9373,10.6657,0.1,2482.1969,89.3738,46.0907,30.6206,5.9204,107.5488,19.3326,7.2831,19.9813,10.3142,91.9478,12.9899,4.3646,151.145,402.7735,80.8797,27.7536,13.0025,39.0276,169.187,336.3064,120.6006,43.5254,82.0779,71.7864,156.289,63.5439,231.6909,10.4019,34.1945,2.2433,3130.021,2966.7253,60.8103,102.4854,82.1309,75.5403,2.7874,0.221,3.5822,2759.4945,333.7206,1864.3587,178.9119,226.4137,98.4997,5.2285,7.0897,44.8754,0.3963,103.3623,97.518,0.25,5.5943,96.4983,40.7756,55.7227,55.8485,45.9084,9.9401,0.3802,0.1552,,0.215,0.01,4010.9245,67.0578,0.228,66.8298,27.3487,10.4377,7.4942,7.8279,1.5889,1411.9061,150.7821,42.0941,1219.0299,5.8172,3.8287,1.9885,381.2132,71.8597,69.9536,0.348,1.5581,85.5476,2.081,10.2925,19.8129,25.5711,27.7901,86.8023,0.2806,73.8557,,6.2902,6.3758,
2004,12842.9,49.38,10.7,4.99,14.55,11.12,8.02,317.12,139.76,152.49,8.45,11.45,4.85,0.12,2192.0,67.93,41.37,24.81,9.96,120.48,21.3,6.84,22.3,7.11,119.39,15.68,2.21,89.28,368.9,91.99,49.59,33.34,41.67,164.42,224.2,95.37,28.47,50.16,46.48,116.01,58.89,203.94,12.08,57.54,0.32,2372.59,2222.36,38.77,111.46,46.56,41.94,0.87,0.55,3.2,2369.57,178.52,1706.15,152.88,168.3,62.96,49.65,12.7,38.05,0.36,118.05,104.2,3.06,10.79,101.55,34.62,66.93,57.05,47.91,9.14,1.49,0.85,,0.05,0.6,112.83,3224.81,0.49,65.91,17.34,8.21,4.86,3.8,0.48,1207.78,120.18,63.15,1024.46,6.6,5.01,1.58,389.65,56.65,55.5,0.01,1.14,57.59,2.55,11.73,12.13,15.84,15.34,144.25,2.35,133.87,0.24,1.28,6.51,0.04
2003,11223.89,31.9526,8.3093,4.6661,11.5162,1.1645,6.2965,239.2222,81.3567,139.6344,2.1497,13.2688,2.5726,0.24,1892.3478,62.1428,55.4421,33.6209,12.214,112.9609,18.8519,8.9455,13.3302,8.7707,46.0294,12.9409,2.3325,65.9135,279.0525,99.0775,34.224,30.3599,40.5685,175.3294,241.7332,105.2955,24.7782,44.45,38.4081,100.6107,42.3428,128.6135,12.1667,40.7556,1.0864,1674.5822,1552.6724,38.8069,83.1029,82.8103,77.2177,2.0374,0.4164,3.1388,2029.2154,202.1604,1418.8642,155.7852,105.9011,27.9384,86.3162,8.7922,22.4919,0.9658,143.4642,133.927,1.4559,8.0813,87.7698,34.7798,52.99,46.6108,35.4607,11.1501,1.9008,1.7367,,0.1596,0.0045,3204.3303,57.5515,0.2459,57.3056,26.6757,10.4434,13.8548,2.0944,0.2831,1085.4799,79.8734,51.622,953.9845,5.8043,4.2193,1.585,355.1062,51.2456,50.4869,0.448,0.3107,55.7893,3.883,12.7867,12.4456,14.6216,12.0524,152.0313,0.5191,144.8834,0.068,2.0668,4.494,
2002,8167.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6672.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6245.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
