年份,固定资产投资(不含农户)中央项目,农、林、牧、渔业固定资产投资(不含农户)中央项目,农业固定资产投资(不含农户)中央项目,林业固定资产投资(不含农户)中央项目,畜牧业固定资产投资(不含农户)中央项目,渔业固定资产投资(不含农户)中央项目,农、林、牧、渔服务业固定资产投资(不含农户)中央项目,采矿业固定资产投资(不含农户)中央项目,煤炭开采和洗选业固定资产投资(不含农户)中央项目,石油和天然气开采业固定资产投资(不含农户)中央项目,黑色金属矿采选业固定资产投资(不含农户)中央项目,有色金属矿采选业固定资产投资(不含农户)中央项目,非金属矿采选业固定资产投资(不含农户)中央项目,其他采矿业固定资产投资(不含农户)中央项目,制造业固定资产投资(不含农户)中央项目,农副食品加工业固定资产投资(不含农户)中央项目,食品制造业固定资产投资(不含农户)中央项目,饮料制造业固定资产投资(不含农户)中央项目,烟草制品业固定资产投资(不含农户)中央项目,纺织业固定资产投资(不含农户)中央项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)中央项目,皮革、毛皮、羽毛(绒)及其制品业固定资产投资(不含农户)中央项目,木材加工及木、竹、藤、棕、草制品业固定资产投资(不含农户)中央项目,家具制造业固定资产投资(不含农户)中央项目,造纸及纸制品业固定资产投资(不含农户)中央项目,印刷业和记录媒介的复制固定资产投资(不含农户)中央项目,文教体育用品制造业固定资产投资(不含农户)中央项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)中央项目,化学原料及化学制品制造业固定资产投资(不含农户)中央项目,医药制造业固定资产投资(不含农户)中央项目,化学纤维制造业固定资产投资(不含农户)中央项目,橡胶制品业固定资产投资(不含农户)中央项目,塑料制品业固定资产投资(不含农户)中央项目,非金属矿物制品业固定资产投资(不含农户)中央项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)中央项目,有色金属冶炼及压延加工业固定资产投资(不含农户)中央项目,金属制品业固定资产投资(不含农户)中央项目,通用设备制造业固定资产投资(不含农户)中央项目,专用设备制造业固定资产投资(不含农户)中央项目,交通运输设备制造业固定资产投资(不含农户)中央项目,电气机械及器材制造业固定资产投资(不含农户)中央项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)中央项目,仪器仪表及文化、办公用机械制造业固定资产投资(不含农户)中央项目,工艺品及其他制造业固定资产投资(不含农户)中央项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)中央项目,电力燃气水的生产供应业固定资产投资(不含农户)中央项目,电力、热力的生产和供应业固定资产投资(不含农户)中央项目,燃气生产和供应业固定资产投资(不含农户)中央项目,水的生产和供应业固定资产投资(不含农户)中央项目,建筑业固定资产投资(不含农户)中央项目,房屋和土木工程建筑业固定资产投资(不含农户)中央项目,建筑安装业固定资产投资(不含农户)中央项目,建筑装饰业固定资产投资(不含农户)中央项目,其他建筑业固定资产投资(不含农户)中央项目,交通运输、仓储和邮政业固定资产投资(不含农户)中央项目,铁路运输业固定资产投资(不含农户)中央项目,道路运输业固定资产投资(不含农户)中央项目,城市公共交通业固定资产投资(不含农户)中央项目,水上运输业固定资产投资(不含农户)中央项目,航空运输业固定资产投资(不含农户)中央项目,管道运输业固定资产投资(不含农户)中央项目,装卸搬运和其他运输服务业固定资产投资(不含农户)中央项目,仓储业固定资产投资(不含农户)中央项目,邮政业固定资产投资(不含农户)中央项目,信息传输、计算机服务和软件业固定资产投资(不含农户)中央项目,电信和其他信息传输服务业固定资产投资(不含农户)中央项目,计算机服务业固定资产投资(不含农户)中央项目,软件业固定资产投资(不含农户)中央项目,批发和零售业固定资产投资(不含农户)中央项目,批发业固定资产投资(不含农户)中央项目,零售业固定资产投资(不含农户)中央项目,住宿和餐饮业固定资产投资(不含农户)中央项目,住宿业固定资产投资(不含农户)中央项目,餐饮业固定资产投资(不含农户)中央项目,金融业固定资产投资(不含农户)中央项目,银行业固定资产投资(不含农户)中央项目,证券业固定资产投资(不含农户)中央项目,保险业固定资产投资(不含农户)中央项目,其他金融活动固定资产投资(不含农户)中央项目,房地产业固定资产投资(不含农户)中央项目,租赁和商务服务业固定资产投资(不含农户)中央项目,租赁业固定资产投资(不含农户)中央项目,商务服务业固定资产投资(不含农户)中央项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)中央项目,研究与试验发展固定资产投资(不含农户)中央项目,专业技术服务业固定资产投资(不含农户)中央项目,科技交流和推广服务业固定资产投资(不含农户)中央项目,地质勘查业固定资产投资(不含农户)中央项目,水利、环境和公共设施管理业固定资产投资(不含农户)中央项目,水利管理业固定资产投资(不含农户)中央项目,环境管理业固定资产投资(不含农户)中央项目,公共设施管理业固定资产投资(不含农户)中央项目,居民服务和其他服务业固定资产投资(不含农户)中央项目,居民服务业固定资产投资(不含农户)中央项目,其他服务业固定资产投资(不含农户)中央项目,教育固定资产投资(不含农户)中央项目,卫生、社会保障和社会福利业固定资产投资(不含农户)中央项目,卫生固定资产投资(不含农户)中央项目,社会保障业固定资产投资(不含农户)中央项目,社会福利业固定资产投资(不含农户)中央项目,文化、体育和娱乐业固定资产投资(不含农户)中央项目,新闻出版业固定资产投资(不含农户)中央项目,广播、电视、电影和音像业固定资产投资(不含农户)中央项目,文化艺术业固定资产投资(不含农户)中央项目,体育固定资产投资(不含农户)中央项目,娱乐业固定资产投资(不含农户)中央项目,公共管理和社会组织固定资产投资(不含农户)中央项目,中国共产党机关固定资产投资(不含农户)中央项目,国家机构固定资产投资(不含农户)中央项目,人民政协和民主党派固定资产投资(不含农户)中央项目,群众团体、社会团体和宗教固定资产投资(不含农户)中央项目,基层群众自治组织固定资产投资(不含农户)中央项目,国际组织固定资产投资(不含农户)中央项目
2009,20697.3896,36.9643,10.1366,7.4886,4.4238,0.3866,14.5287,2627.2246,289.5578,2280.8921,23.7988,23.3434,9.5727,0.0598,3104.672,15.2063,9.9293,5.3843,106.6641,4.0529,2.1434,1.3156,1.0958,,2.1995,9.6855,,562.2706,354.7208,8.3098,14.279,7.4353,2.4181,112.4833,626.5096,125.3229,41.902,147.3572,121.425,689.5482,41.6472,62.3986,14.2914,12.9485,1.7278,4590.0837,4516.8358,54.2432,19.0047,132.5791,127.9429,2.0322,0.2658,2.3382,6803.0437,6059.1782,189.2078,29.8726,306.5119,106.8074,20.5187,2.6597,75.3131,12.9743,1311.2824,1308.5099,0.9397,1.8328,61.6736,54.9102,6.7634,40.2072,37.0429,3.1643,81.2618,74.1795,0.7798,5.9865,0.316,796.1425,34.1249,1.2337,32.8912,238.9901,139.2289,33.6264,5.335,60.7998,419.9368,225.4933,18.8879,175.5556,4.8621,3.2851,1.577,178.0967,67.909,62.5057,1.3466,4.0567,62.9259,0.7314,15.059,25.2164,3.2494,18.6697,105.4092,4.4344,98.2857,0.0817,2.0537,0.5537,
2008,17172.5344,28.7939,3.4653,9.0913,1.0669,0.2665,14.9039,2568.8014,250.4692,2236.6528,20.2066,45.7677,15.7051,,3154.9548,7.012,2.0283,4.7313,67.0137,4.4478,0.5863,0.3591,1.5114,0.044,1.7538,9.1062,0.13,644.0196,265.6084,6.3996,21.4379,4.3687,3.9738,40.5003,959.5704,185.4083,34.8008,115.1331,114.4243,562.2198,29.7794,37.1765,24.1275,6.7163,0.5662,3959.685,3909.9248,42.6928,7.0674,133.6158,130.2475,2.0934,,1.2749,4543.9871,3694.8184,311.3385,20.7344,164.4704,233.2839,47.0738,3.6429,63.0862,5.5386,986.3901,983.3817,1.3192,1.6892,49.1376,36.8302,12.3074,31.5858,29.1529,2.4329,70.1659,68.4786,0.2,1.329,0.1583,709.6685,66.0454,0.2,65.8454,146.1466,94.7651,27.0254,2.3545,22.0016,195.5315,102.9905,11.6199,80.9211,3.5438,1.2272,2.3166,178.4622,61.6495,60.2125,0.21,1.227,76.7375,0.9249,37.5312,18.1362,14.6518,5.4934,207.632,5.12,201.8086,0.0565,0.32,0.3269,
2007,13165.3038,51.2043,12.0468,9.2382,1.8145,0.471,27.6338,2075.0095,196.8421,1818.9458,35.8247,8.7941,14.6028,,2332.6801,9.2863,4.694,4.2859,55.1356,6.0003,0.1367,0.771,1.5138,,1.221,9.1915,0.44,625.306,245.099,6.0103,22.9617,3.4733,4.2527,20.0481,488.6523,107.9877,22.2309,59.4767,116.7258,431.6081,17.7402,48.55,14.841,4.7138,0.3264,3102.6604,3051.0638,43.0126,8.584,93.1864,88.4759,4.0956,0.0603,0.5546,3094.1766,2239.5168,310.9634,7.3415,175.6562,251.7707,16.5901,22.1323,63.9337,6.2719,866.9454,862.2001,1.5228,3.2225,31.2882,24.5666,6.7216,36.5122,36.0458,0.4664,51.7657,47.3256,0.1131,3.8602,0.4668,424.3851,46.0932,0.5477,45.5455,134.6063,85.6639,21.3907,0.043,27.5087,179.6458,116.8686,5.7194,57.0578,11.9865,0.4083,11.5782,225.5136,40.4149,39.0534,1.0441,0.3174,87.4299,2.5155,31.1076,21.7669,29.1279,2.912,279.7997,6.7044,270.1705,0.435,2.0967,0.3931,
2006,10856.4703,47.3263,9.9689,6.4907,1.3899,0.2441,29.2327,1768.2872,143.7339,1579.185,30.0292,6.8106,8.5285,,1680.2208,3.4807,2.3246,6.7023,66.2051,5.271,0.5178,1.995,0.3693,0.007,0.1136,7.4777,,468.0776,189.7163,4.0848,37.9401,0.8887,7.5009,15.1119,304.9511,80.0697,12.9138,43.8042,73.0871,307.1759,12.7417,14.1668,6.8868,5.8393,0.8,2725.0653,2661.841,50.6972,12.5271,61.8519,58.7478,2.9328,,0.1713,2339.2587,1765.4521,163.9925,2.5106,142.7972,173.7898,20.497,2.188,57.8909,10.1406,854.2943,841.1212,6.1407,7.0324,28.229,20.9966,7.2324,24.9946,23.3826,1.612,43.6682,41.6967,0.0629,1.2444,0.6642,279.531,18.2109,,18.2109,152.7476,89.6916,33.4531,3.8156,25.7873,184.187,135.6611,6.1501,42.3758,5.4823,0.7562,4.7261,246.9025,44.0137,43.0052,0.0658,0.9427,60.9553,2.693,18.3313,12.4733,22.8743,4.5834,291.2437,6.4741,282.9018,0.9817,0.7565,0.1296,
2005,9110.9788,47.3851,21.2216,7.5011,2.9683,0.2325,15.4616,1443.8228,80.8219,1310.984,36.7783,5.3469,9.8917,,1609.4844,6.0707,4.1964,1.6518,66.072,6.9952,0.7099,0.1541,0.0109,,0.9126,7.198,,357.555,311.838,4.8822,18.9691,0.2567,4.3039,10.4372,309.5522,80.0278,13.2566,43.3946,70.0173,258.658,6.3746,20.2222,3.2922,2.4752,,2237.0725,2194.2646,39.1624,3.6455,45.3478,39.7674,5.3276,,0.2528,1778.6021,1121.7908,284.3711,6.4772,99.9805,152.7494,62.6021,2.4704,38.1938,9.9668,753.9041,750.1573,2.96,0.7868,45.4234,35.882,9.5414,11.1971,10.9494,0.2477,42.9419,34.8907,3.29,4.4867,0.2745,207.8605,10.6582,,10.6582,136.9266,77.4272,24.0818,1.2661,34.1515,113.9431,83.3489,3.8124,26.7818,0.6013,0.2247,0.3766,224.4143,38.5737,35.8386,2.405,0.3301,41.1664,1.7982,11.5793,10.1006,15.3773,2.311,321.6535,7.5594,309.2256,0.9578,3.8007,0.11,
2004,7524.5577,42.99,17.53,5.4,4.07,0.52,15.47,1061.5,66.99,980.14,12.04,1.56,0.77,,1431.95,5.58,4.4,1.43,64.38,1.91,0.06,0.37,0.09,,1.55,10.57,,182.73,461.02,3.0,24.92,0.36,3.03,11.38,208.06,92.24,5.5,20.43,47.26,254.63,6.4,14.35,5.38,0.93,,1733.02,1699.09,32.0,1.93,37.57,34.14,3.4,,0.031,1371.5,752.73,200.69,0.19,106.58,166.61,88.16,0.1,37.29,19.16,776.16,770.41,1.66,4.08,30.56,23.53,7.03,5.7,5.52,0.18,54.02,50.5,0.08,3.39,0.05,9.11,3.52,,3.52,102.64,73.32,13.36,1.62,14.34,109.96,92.41,3.63,13.93,1.59,0.39,1.2,213.3,25.24,24.86,0.07,0.31,25.93,1.74,3.38,9.84,8.33,2.64,303.39,7.18,295.16,,0.85,0.19,
2003,6113.57,43.8663,18.6567,10.5645,3.0966,0.5303,11.0182,896.4511,40.3139,849.4627,4.4852,2.0762,0.1131,,1060.9563,1.4226,9.0023,14.7074,53.1764,4.2916,0.2052,0.0495,0.4441,0.0038,1.0881,8.2689,,120.5602,292.5811,4.7624,12.9181,0.3112,2.5406,10.398,195.1257,57.585,2.7538,17.2126,43.7722,177.5848,6.1826,17.0144,6.4625,0.4191,0.1121,1413.7375,1402.0796,9.9564,1.7015,36.1167,31.9092,3.8983,,0.3092,1190.1937,649.4182,144.0112,0.7146,89.9967,133.926,134.9335,0.0816,17.55,19.5619,858.5463,851.7338,1.0803,5.7322,21.0957,14.6195,6.4762,16.9056,16.727,0.1786,53.5143,49.7027,0.3599,3.3293,0.1224,149.0627,7.6566,,7.6566,90.2141,51.7147,18.6402,4.1692,15.69,107.2018,91.3933,2.0105,13.798,0.6342,0.4365,0.1977,186.0181,19.6643,18.6429,,1.0214,27.4005,3.1863,10.7963,6.7075,4.3742,2.3362,80.6189,8.1625,70.5947,0.1991,1.2465,0.4161,
2002,6526.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6586.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6275.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
