年份,固定资产投资(不含农户)建筑安装工程,农、林、牧、渔业固定资产投资(不含农户)建筑安装工程,农业固定资产投资(不含农户)建筑安装工程,林业固定资产投资(不含农户)建筑安装工程,畜牧业固定资产投资(不含农户)建筑安装工程,渔业固定资产投资(不含农户)建筑安装工程,农、林、牧、渔服务业固定资产投资(不含农户)建筑安装工程,采矿业固定资产投资(不含农户)建筑安装工程,煤炭开采和洗选业固定资产投资(不含农户)建筑安装工程,石油和天然气开采业固定资产投资(不含农户)建筑安装工程,黑色金属矿采选业固定资产投资(不含农户)建筑安装工程,有色金属矿采选业固定资产投资(不含农户)建筑安装工程,非金属矿采选业固定资产投资(不含农户)建筑安装工程,其他采矿业固定资产投资(不含农户)建筑安装工程,制造业固定资产投资(不含农户)建筑安装工程,农副食品加工业固定资产投资(不含农户)建筑安装工程,食品制造业固定资产投资(不含农户)建筑安装工程,饮料制造业固定资产投资(不含农户)建筑安装工程,烟草制品业固定资产投资(不含农户)建筑安装工程,纺织业固定资产投资(不含农户)建筑安装工程,纺织服装、鞋、帽制造业固定资产投资(不含农户)建筑安装工程,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)建筑安装工程,木材加工及木竹藤棕草制品业固定资产投资(不含农户)建筑安装工程,家具制造业固定资产投资(不含农户)建筑安装工程,造纸及纸制品业固定资产投资(不含农户)建筑安装工程,印刷业和记录媒介的复制固定资产投资(不含农户)建筑安装工程,文教体育用品制造业固定资产投资(不含农户)建筑安装工程,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)建筑安装工程,化学原料及化学制品制造业固定资产投资(不含农户)建筑安装工程,医药制造业固定资产投资(不含农户)建筑安装工程,化学纤维制造业固定资产投资(不含农户)建筑安装工程,橡胶制品业固定资产投资(不含农户)建筑安装工程,塑料制品业固定资产投资(不含农户)建筑安装工程,非金属矿物制品业固定资产投资(不含农户)建筑安装工程,黑色金属冶炼及压延加工业固定资产投资(不含农户)建筑安装工程,有色金属冶炼及压延加工业固定资产投资(不含农户)建筑安装工程,金属制品业固定资产投资(不含农户)建筑安装工程,通用设备制造业固定资产投资(不含农户)建筑安装工程,专用设备制造业固定资产投资(不含农户)建筑安装工程,交通运输设备制造业固定资产投资(不含农户)建筑安装工程,电气机械及器材制造业固定资产投资(不含农户)建筑安装工程,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)建筑安装工程,仪器仪表文化办公用机械制造业固定资产投资(不含农户)建筑安装工程,工艺品及其他制造业固定资产投资(不含农户)建筑安装工程,废弃资源和废旧材料回收加工业固定资产投资(不含农户)建筑安装工程,电力燃气水的生产供应业固定资产投资(不含农户)建筑安装工程,电力、热力的生产和供应业固定资产投资(不含农户)建筑安装工程,燃气生产和供应业固定资产投资(不含农户)建筑安装工程,水的生产和供应业固定资产投资(不含农户)建筑安装工程,建筑业固定资产投资(不含农户)建筑安装工程,房屋和土木工程建筑业固定资产投资(不含农户)建筑安装工程,建筑安装工程业固定资产投资(不含农户)建筑安装工程,建筑装饰业固定资产投资(不含农户)建筑安装工程,其他建筑业固定资产投资(不含农户)建筑安装工程,交通运输、仓储和邮政业固定资产投资(不含农户)建筑安装工程,铁路运输业固定资产投资(不含农户)建筑安装工程,道路运输业固定资产投资(不含农户)建筑安装工程,城市公共交通业固定资产投资(不含农户)建筑安装工程,水上运输业固定资产投资(不含农户)建筑安装工程,航空运输业固定资产投资(不含农户)建筑安装工程,管道运输业固定资产投资(不含农户)建筑安装工程,装卸搬运和其他运输服务业固定资产投资(不含农户)建筑安装工程,仓储业固定资产投资(不含农户)建筑安装工程,邮政业固定资产投资(不含农户)建筑安装工程,信息传输、计算机服务和软件业固定资产投资(不含农户)建筑安装工程,电信和其他信息传输服务业固定资产投资(不含农户)建筑安装工程,计算机服务业固定资产投资(不含农户)建筑安装工程,软件业固定资产投资(不含农户)建筑安装工程,批发和零售业固定资产投资(不含农户)建筑安装工程,批发业固定资产投资(不含农户)建筑安装工程,零售业固定资产投资(不含农户)建筑安装工程,住宿和餐饮业固定资产投资(不含农户)建筑安装工程,住宿业固定资产投资(不含农户)建筑安装工程,餐饮业固定资产投资(不含农户)建筑安装工程,金融业固定资产投资(不含农户)建筑安装工程,银行业固定资产投资(不含农户)建筑安装工程,证券业固定资产投资(不含农户)建筑安装工程,保险业固定资产投资(不含农户)建筑安装工程,其他金融活动固定资产投资(不含农户)建筑安装工程,房地产业固定资产投资(不含农户)建筑安装工程,租赁和商务服务业固定资产投资(不含农户)建筑安装工程,租赁业固定资产投资(不含农户)建筑安装工程,商务服务业固定资产投资(不含农户)建筑安装工程,科学研究、技术服务和地质勘查业固定资产投资(不含农户)建筑安装工程,研究与试验发展固定资产投资(不含农户)建筑安装工程,专业技术服务业固定资产投资(不含农户)建筑安装工程,科技交流和推广服务业固定资产投资(不含农户)建筑安装工程,地质勘查业固定资产投资(不含农户)建筑安装工程,水利、环境和公共设施管理业固定资产投资(不含农户)建筑安装工程,水利管理业固定资产投资(不含农户)建筑安装工程,环境管理业固定资产投资(不含农户)建筑安装工程,公共设施管理业固定资产投资(不含农户)建筑安装工程,居民服务和其他服务业固定资产投资(不含农户)建筑安装工程,居民服务业固定资产投资(不含农户)建筑安装工程,其他服务业固定资产投资(不含农户)建筑安装工程,教育固定资产投资(不含农户)建筑安装工程,卫生、社会保障和社会福利业固定资产投资(不含农户)建筑安装工程,卫生固定资产投资(不含农户)建筑安装工程,社会保障业固定资产投资(不含农户)建筑安装工程,社会福利业固定资产投资(不含农户)建筑安装工程,文化、体育和娱乐业固定资产投资(不含农户)建筑安装工程,新闻出版业固定资产投资(不含农户)建筑安装工程,广播、电视、电影和音像业固定资产投资(不含农户)建筑安装工程,文化艺术业固定资产投资(不含农户)建筑安装工程,体育固定资产投资(不含农户)建筑安装工程,娱乐业固定资产投资(不含农户)建筑安装工程,公共管理和社会组织固定资产投资(不含农户)建筑安装工程,中国共产党机关固定资产投资(不含农户)建筑安装工程,国家机构固定资产投资(不含农户)建筑安装工程,人民政协和民主党派固定资产投资(不含农户)建筑安装工程,群众团体、社会团体和宗教组织固定资产投资(不含农户)建筑安装工程,基层群众自治组织固定资产投资(不含农户)建筑安装工程,国际组织固定资产投资(不含农户)建筑安装工程
2009,119780.3582,2096.8138,496.3927,262.8004,605.9456,73.6135,658.0616,4854.8281,1597.8166,2023.5448,439.8016,485.8458,298.6495,9.1698,27438.7538,1488.2725,770.8531,521.6851,86.2413,756.4351,549.5668,297.485,491.2856,356.0925,554.0196,261.5116,117.4994,813.1374,2599.0427,738.048,114.7947,285.5511,668.3992,2852.3561,1289.4344,1025.1535,1370.5477,2105.2557,1558.1059,2163.3007,1729.0047,992.372,253.8964,504.0438,125.3622,6703.1908,5020.1972,417.3663,1265.6273,1111.3432,952.0841,39.84,35.8487,83.5704,16196.9361,4252.6487,8578.9914,1011.5649,898.274,267.1757,46.3548,134.2703,985.6364,22.0199,1152.8501,975.6721,35.1661,142.0119,3165.9416,1457.0561,1708.8855,1691.0458,1100.3548,590.691,184.9965,129.7124,20.8056,10.5488,23.9297,31472.3417,1305.502,21.1693,1284.3327,679.1787,229.5116,193.5768,159.1844,96.9059,12932.9082,1744.0368,827.7292,10361.1422,336.2258,229.9443,106.2815,2595.7966,1228.4916,1026.727,64.6286,137.136,1543.7325,35.1982,100.1922,563.838,330.367,514.1371,3089.4813,20.9546,2333.6945,5.274,88.363,641.1952,
2008,90361.8705,1385.5515,311.5015,160.3415,429.0661,58.0941,426.5483,4260.6353,1271.529,2029.2466,361.5756,376.082,214.5291,7.673,21541.8062,1035.9963,596.0075,398.7307,60.2739,688.4362,482.0152,240.0566,386.7988,286.084,406.6523,205.4264,110.804,837.275,1970.725,535.7993,104.972,198.2988,523.523,2008.066,1388.9748,906.5797,1047.7169,1564.986,1165.9021,1719.958,1078.9854,926.6773,188.9401,407.1955,69.9494,5206.0394,4176.9261,280.3312,748.7821,802.6781,705.9628,19.2895,19.3157,58.1101,10619.3879,2379.3618,5974.7331,604.1539,710.0325,182.8253,97.7172,67.0611,591.5782,11.9248,913.3819,798.7649,28.6465,85.9705,2254.7262,1033.1917,1221.5345,1268.6631,880.1871,388.476,114.8322,81.9626,16.276,4.4926,12.101,25584.0156,879.78,13.7173,866.0627,454.8563,169.2639,140.2647,97.7926,47.5351,8839.0058,1170.6447,499.9367,7168.4244,208.4558,148.6137,59.8421,1870.1165,720.5469,608.7144,17.2787,94.5538,1053.342,41.6464,97.4025,346.6664,211.4523,356.1744,2384.0498,24.5212,1717.8745,5.8462,67.9866,567.8213,
2007,71595.2519,882.1596,218.3589,122.4373,192.9407,35.6153,312.8074,3467.8908,991.6313,1801.6229,230.012,295.2897,142.5059,6.829,16490.3331,845.7222,477.824,328.319,47.6241,641.0138,406.917,191.5185,309.6919,223.5808,330.8941,164.8059,97.7267,665.102,1509.0711,422.9866,95.5159,174.7586,423.6905,1337.7299,1160.7884,627.6502,778.0886,1104.7674,860.3784,1186.5172,775.2774,765.8645,138.5236,351.4569,46.5279,4537.5106,3712.3321,237.3225,587.856,704.7589,619.7483,23.8045,13.0944,48.1117,9193.5652,1517.9413,5729.6505,449.3717,708.7931,269.1,45.8464,42.2129,423.2076,7.4417,726.0102,660.2959,16.0152,49.6991,1746.2434,781.614,964.6294,973.8571,690.8233,283.0338,76.3202,51.9773,9.1167,4.7731,10.4531,19898.8216,593.7747,14.5394,579.2353,323.2648,125.3859,93.3435,68.3675,36.1679,6583.2869,885.0988,369.5791,5328.609,168.6291,113.1812,55.4479,1771.6127,555.5393,494.4445,10.2429,50.8519,834.6791,23.9328,97.7837,272.7854,199.663,240.5142,2066.9946,20.2041,1608.2475,9.2501,54.1975,375.0954,
2006,57099.4097,669.4041,172.6143,108.5843,136.2672,26.7633,225.175,2655.3439,802.1221,1374.4564,197.7091,178.421,98.7637,3.8716,11915.3863,593.5473,365.8937,247.6484,46.507,551.8298,298.4883,162.8662,186.8348,156.2448,241.2349,131.0929,66.1238,490.3165,1070.8021,355.872,71.3154,137.5558,336.2171,871.8194,977.154,440.4136,540.6034,740.0144,546.8048,782.3196,541.5235,571.0626,96.0543,277.2245,20.0014,4136.502,3447.5523,212.7705,476.1792,568.8247,494.8479,20.0823,10.3967,43.4978,8364.6987,1288.5105,5591.499,333.2476,623.4307,179.4585,44.9319,39.1913,252.3396,12.0896,708.8052,641.9564,16.9995,49.8493,1350.5612,574.9064,775.6548,684.262,477.3286,206.9334,62.3532,43.2373,6.9028,5.5117,6.7014,15088.9538,447.3942,9.8727,437.5215,285.92,127.6922,64.5411,61.3684,32.3183,5252.2909,700.8236,252.4252,4299.0421,126.6067,88.4026,38.2041,1703.1083,492.541,446.3821,13.1837,32.9752,604.7754,18.7384,80.0327,170.5082,147.2043,188.2918,1981.5431,19.6231,1635.3271,5.9513,33.209,287.4326,0.135
2005,46154.1235,490.53,133.13,76.38,96.99,27.86,156.17,2040.89,584.92,1135.81,143.42,107.6,66.85,2.3,9222.95,440.84,261.25,155.13,32.29,447.22,219.09,112.69,131.09,105.95,214.66,100.95,53.28,351.06,957.01,352.17,64.81,82.04,215.9,644.68,932.2,362.17,358.68,489.32,393.52,667.4,360.4,431.7,70.28,204.47,10.7,3730.17,3168.84,191.59,369.74,476.84,434.18,14.58,6.08,22.01,6502.85,715.02,4686.38,206.44,475.87,127.08,65.39,31.58,185.19,9.9,638.33,599.15,10.76,28.41,1119.8,481.21,638.59,496.24,342.07,154.17,65.17,43.68,10.51,4.42,6.56,11905.13,329.47,2.37,327.1,273.13,117.51,67.6,50.34,37.68,4455.82,658.59,219.17,3578.07,93.61,71.9,21.71,1614.41,405.27,370.82,8.65,25.8,456.39,12.52,54.71,128.34,114.92,145.9,1837.12,20.93,1542.65,3.37,28.11,242.06,
2004,36519.22,349.29,98.87,52.16,73.23,16.27,108.76,1403.84,365.77,871.09,66.92,66.15,32.04,1.87,6377.48,270.16,173.54,121.8,27.42,302.83,145.94,64.69,75.79,64.08,153.71,65.4,32.36,309.76,650.23,315.97,54.02,64.34,137.13,491.22,743.71,247.03,211.03,257.73,240.98,399.52,244.02,338.76,56.03,110.67,7.61,2812.86,2331.97,144.72,336.17,409.22,368.53,11.15,4.21,25.33,5366.6497,490.8628,3958.512,181.0821,370.484,118.6829,47.9996,49.6548,128.0911,21.2804,645.9207,616.385,5.39,24.1457,804.4547,323.2157,481.239,327.4905,231.242,96.2485,55.8802,46.663,0.61,2.4373,6.1699,10036.2,256.0903,1.2866,254.8037,199.8631,109.6828,46.1725,32.8553,11.1525,3528.75,589.7239,171.7554,2767.2707,67.038,52.6728,14.3652,1497.7587,307.6006,284.6933,3.0975,19.8098,396.5929,12.6487,48.1662,123.8724,92.1718,119.7338,1675.9528,25.598,1452.7088,2.2716,26.3339,169.0405,0.3085
2003,28091.31,309.8384,92.0466,60.6983,55.8415,13.1041,88.1479,1037.8567,218.8358,727.4772,26.8984,40.9383,22.5197,1.1873,4525.3567,196.4138,127.953,88.1344,29.4295,223.9059,101.9736,48.9071,44.8285,43.342,100.7098,45.6593,24.7582,156.3544,444.2912,266.2898,30.8363,42.7003,104.6815,332.6465,591.4895,209.8364,131.1173,153.2574,159.8623,258.3253,131.7099,277.1444,41.2683,114.8536,2.6772,1957.9467,1604.2185,105.0076,248.7206,399.0688,369.4069,11.335,7.1684,11.1585,4188.0863,388.5609,3050.9861,209.7768,248.0009,100.7217,50.7152,42.6298,77.5569,19.138,625.172,599.1824,5.5987,20.3909,585.2225,237.5198,347.7027,230.4635,161.7903,68.6732,51.9712,44.7665,0.2567,3.8151,3.1329,7568.8484,222.014,0.802,221.212,186.9166,91.3973,58.2719,24.5818,12.6656,2911.3316,583.8524,157.0426,2170.4366,48.9359,40.1283,8.8076,1190.4416,244.2938,225.0362,4.56,14.6976,339.5642,17.7738,46.9876,96.1308,84.2643,94.4077,1467.6992,24.8817,1305.0189,4.7716,22.7103,110.3167,0.2858
2002,21963.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,18739.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,16346.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
