年份,固定资产投资(不含农户)本年资金来源,农、林、牧、渔业固定资产投资(不含农户)本年资金来源,农业固定资产投资(不含农户)本年资金来源,林业固定资产投资(不含农户)本年资金来源,畜牧业固定资产投资(不含农户)本年资金来源,渔业固定资产投资(不含农户)本年资金来源,农、林、牧、渔服务业固定资产投资(不含农户)本年资金来源,采矿业固定资产投资(不含农户)本年资金来源,煤炭开采和洗选业固定资产投资(不含农户)本年资金来源,石油和天然气开采业固定资产投资(不含农户)本年资金来源,黑色金属矿采选业固定资产投资(不含农户)本年资金来源,有色金属矿采选业固定资产投资(不含农户)本年资金来源,非金属矿采选业固定资产投资(不含农户)本年资金来源,其他采矿业固定资产投资(不含农户)本年资金来源,制造业固定资产投资(不含农户)本年资金来源,农副食品加工业固定资产投资(不含农户)本年资金来源,食品制造业固定资产投资(不含农户)本年资金来源,饮料制造业固定资产投资(不含农户)本年资金来源,烟草制品业固定资产投资(不含农户)本年资金来源,纺织业固定资产投资(不含农户)本年资金来源,纺织服装、鞋、帽制造业固定资产投资(不含农户)本年资金来源,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)本年资金来源,木材加工及木竹藤棕草制品业固定资产投资(不含农户)本年资金来源,家具制造业固定资产投资(不含农户)本年资金来源,造纸及纸制品业固定资产投资(不含农户)本年资金来源,印刷业和记录媒介的复制固定资产投资(不含农户)本年资金来源,文教体育用品制造业固定资产投资(不含农户)本年资金来源,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)本年资金来源,化学原料及化学制品制造业固定资产投资(不含农户)本年资金来源,医药制造业固定资产投资(不含农户)本年资金来源,化学纤维制造业固定资产投资(不含农户)本年资金来源,橡胶制品业固定资产投资(不含农户)本年资金来源,塑料制品业固定资产投资(不含农户)本年资金来源,非金属矿物制品业固定资产投资(不含农户)本年资金来源,黑色金属冶炼及压延加工业固定资产投资(不含农户)本年资金来源,有色金属冶炼及压延加工业固定资产投资(不含农户)本年资金来源,金属制品业固定资产投资(不含农户)本年资金来源,通用设备制造业固定资产投资(不含农户)本年资金来源,专用设备制造业固定资产投资(不含农户)本年资金来源,交通运输设备制造业固定资产投资(不含农户)本年资金来源,电气机械及器材制造业固定资产投资(不含农户)本年资金来源,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)本年资金来源,仪器仪表文化办公用机械制造业固定资产投资(不含农户)本年资金来源,工艺品及其他制造业固定资产投资(不含农户)本年资金来源,废弃资源和废旧材料回收加工业固定资产投资(不含农户)本年资金来源,电力燃气水的生产供应业固定资产投资(不含农户)本年资金来源,电力、热力的生产和供应业固定资产投资(不含农户)本年资金来源,燃气生产和供应业固定资产投资(不含农户)本年资金来源,水的生产和供应业固定资产投资(不含农户)本年资金来源,建筑业固定资产投资(不含农户)本年资金来源,房屋和土木工程建筑业固定资产投资(不含农户)本年资金来源,建筑安装业固定资产投资(不含农户)本年资金来源,建筑装饰业固定资产投资(不含农户)本年资金来源,其他建筑业固定资产投资(不含农户)本年资金来源,交通运输、仓储和邮政业固定资产投资(不含农户)本年资金来源,铁路运输业固定资产投资(不含农户)本年资金来源,道路运输业固定资产投资(不含农户)本年资金来源,城市公共交通业固定资产投资(不含农户)本年资金来源,水上运输业固定资产投资(不含农户)本年资金来源,航空运输业固定资产投资(不含农户)本年资金来源,管道运输业固定资产投资(不含农户)本年资金来源,装卸搬运和其他运输服务业固定资产投资(不含农户)本年资金来源,仓储业固定资产投资(不含农户)本年资金来源,邮政业固定资产投资(不含农户)本年资金来源,信息传输、计算机服务和软件业固定资产投资(不含农户)本年资金来源,电信和其他信息传输服务业固定资产投资(不含农户)本年资金来源,计算机服务业固定资产投资(不含农户)本年资金来源,软件业固定资产投资(不含农户)本年资金来源,批发和零售业固定资产投资(不含农户)本年资金来源,批发业固定资产投资(不含农户)本年资金来源,零售业固定资产投资(不含农户)本年资金来源,住宿和餐饮业固定资产投资(不含农户)本年资金来源,住宿业固定资产投资(不含农户)本年资金来源,餐饮业固定资产投资(不含农户)本年资金来源,金融业固定资产投资(不含农户)本年资金来源,银行业固定资产投资(不含农户)本年资金来源,证券业固定资产投资(不含农户)本年资金来源,保险业固定资产投资(不含农户)本年资金来源,其他金融活动固定资产投资(不含农户)本年资金来源,房地产业固定资产投资(不含农户)本年资金来源,租赁和商务服务业固定资产投资(不含农户)本年资金来源,租赁业固定资产投资(不含农户)本年资金来源,商务服务业固定资产投资(不含农户)本年资金来源,科学研究、技术服务和地质勘查业固定资产投资(不含农户)本年资金来源,研究与试验发展固定资产投资(不含农户)本年资金来源,专业技术服务业固定资产投资(不含农户)本年资金来源,科技交流和推广服务业固定资产投资(不含农户)本年资金来源,地质勘查业固定资产投资(不含农户)本年资金来源,水利、环境和公共设施管理业固定资产投资(不含农户)本年资金来源,水利管理业固定资产投资(不含农户)本年资金来源,环境管理业固定资产投资(不含农户)本年资金来源,公共设施管理业固定资产投资(不含农户)本年资金来源,居民服务和其他服务业固定资产投资(不含农户)本年资金来源,居民服务业固定资产投资(不含农户)本年资金来源,其他服务业固定资产投资(不含农户)本年资金来源,教育固定资产投资(不含农户)本年资金来源,卫生、社会保障和社会福利业固定资产投资(不含农户)本年资金来源,卫生固定资产投资(不含农户)本年资金来源,社会保障业固定资产投资(不含农户)本年资金来源,社会福利业固定资产投资(不含农户)本年资金来源,文化、体育和娱乐业固定资产投资(不含农户)本年资金来源,新闻出版业固定资产投资(不含农户)本年资金来源,广播、电视、电影和音像业固定资产投资(不含农户)本年资金来源,文化艺术业固定资产投资(不含农户)本年资金来源,体育固定资产投资(不含农户)本年资金来源,娱乐业固定资产投资(不含农户)本年资金来源,公共管理和社会组织固定资产投资(不含农户)本年资金来源,中国共产党机关固定资产投资(不含农户)本年资金来源,国家机构固定资产投资(不含农户)本年资金来源,人民政协和民主党派固定资产投资(不含农户)本年资金来源,群众团体、社会团体和宗教组织固定资产投资(不含农户)本年资金来源,基层群众自治组织固定资产投资(不含农户)本年资金来源,国际组织固定资产投资(不含农户)本年资金来源
2009,218786.6689,3414.8465,763.0418,571.8461,997.9404,133.6103,948.4079,8347.0282,3149.6226,2861.3489,844.6894,845.4512,623.5006,22.4155,60989.1685,2888.3906,1530.029,1129.8537,222.4682,1834.8433,1102.4284,531.7812,1038.6286,655.1889,1283.2886,585.3182,221.3125,1923.0544,6192.5582,1559.6902,307.4078,679.228,1446.8192,6214.0486,3139.7831,2317.8742,2909.4243,4618.2216,3185.3255,5254.0099,3680.6284,2834.3666,559.9896,895.3203,247.8874,13678.9701,11152.3432,689.4891,1837.1378,1607.0126,1347.2073,70.2248,58.9342,130.6463,22997.4887,6512.4571,10196.0078,2197.918,1649.962,568.1115,96.4023,233.6979,1507.0271,35.905,2504.0902,2218.7763,66.8601,218.4538,4589.0625,2167.4183,2421.6442,2419.9671,1555.7131,864.254,377.5528,282.6563,38.6193,17.8772,38.4,64959.0459,2009.408,113.7222,1895.6858,1131.4051,398.372,314.3427,235.3497,183.3407,17869.6299,2308.5686,1272.3283,14288.733,529.759,321.562,208.197,3344.0562,1803.3896,1549.8366,82.4127,171.1403,2133.8296,55.8485,164.8807,723.8258,387.3444,801.9302,4080.9584,28.6581,3177.8194,7.0414,113.3757,754.0638,
2008,158579.6802,2228.8853,452.5269,377.8016,663.2696,102.0033,633.2839,6960.7658,2486.035,2693.052,684.9756,655.0362,428.3421,13.3249,47159.3551,2091.3848,1163.4728,905.658,146.0839,1594.1971,932.9088,432.9929,809.3369,516.6466,1060.9684,449.0478,198.5399,1835.1944,4798.3921,1108.2948,298.6154,505.8585,1122.7118,4220.4017,3111.945,1938.0132,2234.6037,3296.5161,2283.995,3882.3716,2453.9012,2513.9856,431.9294,683.1303,138.2574,10818.177,9328.6727,436.2806,1053.2237,1252.9227,1064.7063,50.123,38.2253,99.8681,15815.5039,4257.9595,7125.9602,1401.104,1248.924,576.9603,140.7267,115.9185,927.9975,19.9532,2148.4545,1938.8435,51.7209,157.8901,3285.0773,1578.3896,1706.6877,1793.4467,1236.0534,557.3933,246.7484,185.7363,25.1733,14.3777,21.4611,44430.5729,1261.8168,47.3717,1214.4451,743.6516,305.8504,224.529,125.2655,88.0067,11853.3851,1481.0532,698.9856,9673.3463,310.7911,201.678,109.1131,2402.9865,1095.2518,954.9158,20.8133,119.5227,1502.0073,65.6999,148.836,522.8925,261.3691,503.2098,3269.8804,27.0606,2459.724,8.02,82.8475,692.2283,
2007,130743.4519,1461.2714,324.964,292.0318,320.17,69.45,454.6556,5335.0555,1871.5652,2223.7368,432.1941,499.4717,297.1994,10.8883,36755.8129,1669.8002,971.1809,735.6344,128.1459,1559.8768,771.5902,360.97,651.8036,393.6626,851.5999,378.8955,177.3441,1404.2055,3596.6844,885.8491,340.3983,450.2021,881.638,2884.8026,2740.6743,1378.9378,1613.9935,2415.3279,1778.8446,2813.3344,1692.8993,2251.0898,296.2284,588.1668,92.032,9144.3345,7940.3962,356.2862,847.6521,986.0257,830.4816,48.8288,24.913,81.8023,12340.638,2457.7732,6402.4285,1014.9981,1099.8477,552.3357,63.9436,95.0306,639.0762,15.2044,1846.1812,1730.8612,32.3893,82.9307,2553.0481,1195.0361,1358.012,1367.2626,959.9281,407.3345,154.1723,117.8066,12.2621,10.0762,14.0274,40899.3063,908.4516,34.048,874.4036,552.2375,229.6827,150.5376,90.1733,81.8439,9208.6538,1080.4067,613.243,7515.0041,239.7894,153.6979,86.0915,2236.9023,803.7466,728.5456,11.8783,63.3227,1197.1816,38.4947,141.6511,392.6164,279.4326,344.9868,2753.3806,22.5989,2221.4226,11.9272,68.217,429.2149,
2006,101759.1319,1117.7568,273.0827,240.5541,227.4158,46.7827,329.9215,4255.7725,1525.8187,1838.0787,370.5892,306.4428,208.1879,6.6552,27210.054,1224.2245,781.3476,570.6568,119.5048,1322.2215,568.2852,297.9675,411.5517,274.0306,658.2028,304.725,122.036,959.6107,2648.4764,796.5128,222.7791,368.8182,747.0692,1920.7004,2271.963,999.6402,1129.8006,1639.9341,1115.123,2035.8883,1152.0776,1815.5502,237.7022,453.6292,40.0248,8271.6107,7290.334,318.307,662.9697,798.8215,670.1538,38.113,16.7749,73.7798,10875.6099,1945.5896,6060.0076,799.1883,1036.2883,499.9154,70.5173,56.9038,386.8863,20.3133,1772.5106,1652.5212,36.277,83.7124,1948.1025,860.5796,1087.5229,930.2796,627.8247,302.4549,118.2006,90.5971,9.7439,8.7599,9.0997,29389.4914,715.5136,25.2415,690.2721,455.602,218.4953,99.4927,76.4021,61.2119,7356.8059,928.7636,454.7522,5973.2901,184.5623,119.7867,64.7756,2138.4769,712.2927,654.7801,18.1105,39.4021,845.387,29.4524,118.8709,228.7271,197.8787,270.4579,2662.1464,24.6424,2237.3721,7.7607,44.6761,347.6951,0.135
2005,80912.3272,840.6475,217.6378,177.7162,170.5877,50.3969,224.3089,3404.4672,1234.6707,1537.1812,287.5177,196.6596,144.3441,4.0939,20956.6882,911.5978,552.0183,360.0272,96.6738,1073.0619,402.4291,209.0032,287.0223,187.4922,565.8502,234.4162,89.4658,834.2621,2128.9233,708.9859,187.0463,201.2151,492.4853,1451.7761,2307.8554,793.7574,760.3364,1065.3259,794.7916,1645.307,807.6513,1293.316,172.2821,323.1063,19.2067,7225.9825,6437.2678,274.9566,513.7581,669.5329,594.4548,26.9475,11.0979,37.0327,8427.8894,1288.4163,5099.676,511.3301,770.3286,345.4807,81.3279,46.8244,267.2213,17.2841,1559.3133,1487.1088,19.8948,52.3097,1568.2016,696.5967,871.6049,691.33,468.5165,222.8135,106.2035,77.8615,10.2438,7.8783,10.2199,22617.8797,511.66,14.7377,496.9223,424.7821,180.74,113.4071,66.859,63.776,6043.0587,864.3402,314.1654,4864.5531,142.2259,102.6896,39.5363,2013.0628,594.374,553.3589,11.2789,29.7362,708.9346,23.2861,91.6698,212.647,171.7087,209.623,2406.0933,25.3564,2034.3207,6.1169,45.7185,294.5808,
2004,63116.19,644.41,170.46,135.98,139.24,39.95,158.79,2173.92,723.74,1121.19,133.27,118.3,74.53,2.89,15039.14,555.09,374.44,254.43,99.6,781.54,266.89,120.39,185.16,108.76,441.39,170.18,56.02,650.56,1591.52,606.3,187.44,199.4,332.99,1113.53,1775.67,572.82,440.49,593.31,486.67,1068.4,537.44,1103.77,135.95,216.03,12.95,5643.63,4998.1,211.11,434.42,530.56,464.54,19.54,8.37,38.11,6759.33,829.45,4322.28,410.46,529.82,281.43,106.52,55.44,196.38,27.54,1644.86,1593.53,14.29,37.04,1158.29,454.78,703.5,453.33,304.47,148.86,94.43,80.88,1.27,5.07,7.21,1389.62,17531.04,6.12,356.16,318.81,172.01,71.59,46.45,28.77,4764.42,704.18,254.95,3805.29,109.59,68.31,41.28,1755.89,450.44,424.14,3.92,22.38,530.34,18.86,80.05,147.54,116.69,167.2,2123.84,25.74,1875.01,2.15,33.21,187.73,0.3
2003,48861.38,528.0712,140.5353,144.0038,99.0017,20.4702,124.0602,1576.4916,460.8287,946.208,48.8147,73.0325,45.764,1.8437,11094.959,411.4735,302.7139,210.6907,85.0015,633.7917,199.4801,95.878,117.5899,82.0945,337.1347,127.8051,48.4193,332.2983,1159.9762,531.2656,130.0219,136.0123,265.7728,809.8372,1401.2325,467.3322,285.5792,381.4567,352.5258,752.4249,322.9238,795.7657,109.9679,202.2181,6.275,3931.586,3455.6313,154.3655,321.5892,528.4231,482.3664,17.1005,10.5194,18.4368,5381.1996,701.4901,3335.5927,438.1625,352.9136,222.6536,141.7088,41.5539,117.3122,29.8122,1599.3014,1556.2521,10.6475,32.4018,820.2836,331.8241,488.4595,330.739,227.6988,103.0402,94.4661,78.9737,1.7021,5.8434,7.9469,14153.1933,317.7199,2.7459,314.974,285.8975,132.861,89.4385,34.2753,29.3227,4045.6046,695.1517,251.7114,3098.7415,66.7074,52.1018,14.6056,1486.919,350.0789,325.5977,6.0522,18.429,471.8754,24.9456,83.3666,122.6823,103.3758,137.5051,1797.5666,27.9863,1610.3567,5.7348,31.1254,122.3634,0.2949
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
