年份,固定资产投资(不含农户)全部建成投产项目,农、林、牧、渔业固定资产投资(不含农户)全部建成投产项目,农业固定资产投资(不含农户)全部建成投产项目,林业固定资产投资(不含农户)全部建成投产项目,畜牧业固定资产投资(不含农户)全部建成投产项目,渔业固定资产投资(不含农户)全部建成投产项目,农、林、牧、渔服务业固定资产投资(不含农户)全部建成投产项目,采矿业固定资产投资(不含农户)全部建成投产项目,煤炭开采和洗选业固定资产投资(不含农户)全部建成投产项目,石油和天然气开采业固定资产投资(不含农户)全部建成投产项目,黑色金属矿采选业固定资产投资(不含农户)全部建成投产项目,有色金属矿采选业固定资产投资(不含农户)全部建成投产项目,非金属矿采选业固定资产投资(不含农户)全部建成投产项目,其他采矿业固定资产投资(不含农户)全部建成投产项目,制造业固定资产投资(不含农户)全部建成投产项目,农副食品加工业固定资产投资(不含农户)全部建成投产项目,食品制造业固定资产投资(不含农户)全部建成投产项目,饮料制造业固定资产投资(不含农户)全部建成投产项目,烟草制品业固定资产投资(不含农户)全部建成投产项目,纺织业固定资产投资(不含农户)全部建成投产项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)全部建成投产项目,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)全部建成投产项目,木材加工及木竹藤棕草制品业固定资产投资(不含农户)全部建成投产项目,家具制造业固定资产投资(不含农户)全部建成投产项目,造纸及纸制品业固定资产投资(不含农户)全部建成投产项目,印刷业和记录媒介的复制固定资产投资(不含农户)全部建成投产项目,文教体育用品制造业固定资产投资(不含农户)全部建成投产项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)全部建成投产项目,化学原料及化学制品制造业固定资产投资(不含农户)全部建成投产项目,医药制造业固定资产投资(不含农户)全部建成投产项目,化学纤维制造业固定资产投资(不含农户)全部建成投产项目,橡胶制品业固定资产投资(不含农户)全部建成投产项目,塑料制品业固定资产投资(不含农户)全部建成投产项目,非金属矿物制品业固定资产投资(不含农户)全部建成投产项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)全部建成投产项目,有色金属冶炼及压延加工业固定资产投资(不含农户)全部建成投产项目,金属制品业固定资产投资(不含农户)全部建成投产项目,通用设备制造业固定资产投资(不含农户)全部建成投产项目,专用设备制造业固定资产投资(不含农户)全部建成投产项目,交通运输设备制造业固定资产投资(不含农户)全部建成投产项目,电气机械及器材制造业固定资产投资(不含农户)全部建成投产项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)全部建成投产项目,仪器仪表文化办公用机械制造业固定资产投资(不含农户)全部建成投产项目,工艺品及其他制造业固定资产投资(不含农户)全部建成投产项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)全部建成投产项目,电力、燃气及水的生产和供应业固定资产投资(不含农户)全部建成投产项目,电力、热力的生产和供应业固定资产投资(不含农户)全部建成投产项目,燃气生产和供应业固定资产投资(不含农户)全部建成投产项目,水的生产和供应业固定资产投资(不含农户)全部建成投产项目,建筑业固定资产投资(不含农户)全部建成投产项目,房屋和土木工程建筑业固定资产投资(不含农户)全部建成投产项目,建筑安装业固定资产投资(不含农户)全部建成投产项目,建筑装饰业固定资产投资(不含农户)全部建成投产项目,其他建筑业固定资产投资(不含农户)全部建成投产项目,交通运输、仓储和邮政业固定资产投资(不含农户)全部建成投产项目,铁路运输业固定资产投资(不含农户)全部建成投产项目,道路运输业固定资产投资(不含农户)全部建成投产项目,城市公共交通业固定资产投资(不含农户)全部建成投产项目,水上运输业固定资产投资(不含农户)全部建成投产项目,航空运输业固定资产投资(不含农户)全部建成投产项目,管道运输业固定资产投资(不含农户)全部建成投产项目,装卸搬运和其他运输服务业固定资产投资(不含农户)全部建成投产项目,仓储业固定资产投资(不含农户)全部建成投产项目,邮政业固定资产投资(不含农户)全部建成投产项目,信息传输、计算机服务和软件业固定资产投资(不含农户)全部建成投产项目,电信和其他信息传输服务业固定资产投资(不含农户)全部建成投产项目,计算机服务业固定资产投资(不含农户)全部建成投产项目,软件业固定资产投资(不含农户)全部建成投产项目,批发和零售业固定资产投资(不含农户)全部建成投产项目,批发业固定资产投资(不含农户)全部建成投产项目,零售业固定资产投资(不含农户)全部建成投产项目,住宿和餐饮业固定资产投资(不含农户)全部建成投产项目,住宿业固定资产投资(不含农户)全部建成投产项目,餐饮业固定资产投资(不含农户)全部建成投产项目,金融业固定资产投资(不含农户)全部建成投产项目,银行业固定资产投资(不含农户)全部建成投产项目,证券业固定资产投资(不含农户)全部建成投产项目,保险业固定资产投资(不含农户)全部建成投产项目,其他金融活动固定资产投资(不含农户)全部建成投产项目,房地产业固定资产投资(不含农户)全部建成投产项目,租赁和商务服务业固定资产投资(不含农户)全部建成投产项目,租赁业固定资产投资(不含农户)全部建成投产项目,商务服务业固定资产投资(不含农户)全部建成投产项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)全部建成投产项目,研究与试验发展固定资产投资(不含农户)全部建成投产项目,专业技术服务业固定资产投资(不含农户)全部建成投产项目,科技交流和推广服务业固定资产投资(不含农户)全部建成投产项目,地质勘查业固定资产投资(不含农户)全部建成投产项目,水利、环境和公共设施管理业固定资产投资(不含农户)全部建成投产项目,水利管理业固定资产投资(不含农户)全部建成投产项目,环境管理业固定资产投资(不含农户)全部建成投产项目,公共设施管理业固定资产投资(不含农户)全部建成投产项目,居民服务和其他服务业固定资产投资(不含农户)全部建成投产项目,居民服务业固定资产投资(不含农户)全部建成投产项目,其他服务业固定资产投资(不含农户)全部建成投产项目,教育固定资产投资(不含农户)全部建成投产项目,卫生、社会保障和社会福利业固定资产投资(不含农户)全部建成投产项目,卫生固定资产投资(不含农户)全部建成投产项目,社会保障业固定资产投资(不含农户)全部建成投产项目,社会福利业固定资产投资(不含农户)全部建成投产项目,文化、体育和娱乐业固定资产投资(不含农户)全部建成投产项目,新闻出版业固定资产投资(不含农户)全部建成投产项目,广播、电视、电影和音像业固定资产投资(不含农户)全部建成投产项目,文化艺术业固定资产投资(不含农户)全部建成投产项目,体育固定资产投资(不含农户)全部建成投产项目,娱乐业固定资产投资(不含农户)全部建成投产项目,公共管理和社会组织固定资产投资(不含农户)全部建成投产项目,中国共产党机关固定资产投资(不含农户)全部建成投产项目,国家机构固定资产投资(不含农户)全部建成投产项目,人民政协和民主党派固定资产投资(不含农户)全部建成投产项目,群众团体、社会团体和宗教组织固定资产投资(不含农户)全部建成投产项目,基层群众自治组织固定资产投资(不含农户)全部建成投产项目,国际组织固定资产投资(不含农户)全部建成投产项目
2009,288033.0,16166.0,3240.0,2819.0,4351.0,417.0,5339.0,9894.0,3850.0,196.0,1631.0,1664.0,2486.0,67.0,103329.0,7784.0,3596.0,2364.0,234.0,4543.0,3141.0,1337.0,3816.0,2112.0,2455.0,1516.0,696.0,959.0,7724.0,2195.0,295.0,999.0,3953.0,13413.0,2191.0,2013.0,6293.0,8920.0,5427.0,5198.0,5059.0,2159.0,871.0,1642.0,424.0,13311.0,8047.0,1161.0,4103.0,4971.0,3321.0,265.0,1074.0,311.0,21285.0,353.0,17295.0,366.0,671.0,143.0,70.0,336.0,1919.0,132.0,4903.0,4444.0,302.0,157.0,13393.0,5590.0,7803.0,6945.0,3011.0,3934.0,976.0,755.0,30.0,61.0,130.0,17833.0,2230.0,125.0,2105.0,1899.0,465.0,693.0,497.0,244.0,28692.0,6575.0,2660.0,19457.0,2296.0,1603.0,693.0,13352.0,7461.0,6209.0,283.0,969.0,4349.0,39.0,476.0,1837.0,434.0,1563.0,14748.0,120.0,11749.0,21.0,453.0,2405.0,
2008,220418.0,11577.0,2113.0,1925.0,3526.0,371.0,3642.0,7902.0,3228.0,201.0,1427.0,1203.0,1806.0,37.0,84324.0,6272.0,2876.0,1760.0,149.0,3923.0,2510.0,1210.0,3333.0,1571.0,1927.0,1232.0,568.0,681.0,6153.0,1664.0,288.0,885.0,3479.0,10941.0,1875.0,1695.0,5188.0,7570.0,4398.0,4139.0,3872.0,1836.0,635.0,1381.0,313.0,9715.0,6562.0,717.0,2436.0,3441.0,2832.0,148.0,193.0,268.0,17749.0,509.0,14637.0,370.0,534.0,98.0,35.0,189.0,1290.0,87.0,4323.0,4067.0,169.0,87.0,9451.0,4021.0,5430.0,5228.0,2334.0,2894.0,607.0,480.0,13.0,50.0,64.0,13179.0,1548.0,105.0,1443.0,1263.0,337.0,519.0,255.0,152.0,20456.0,4590.0,1655.0,14211.0,1648.0,1116.0,532.0,8617.0,3923.0,3104.0,90.0,729.0,2917.0,52.0,384.0,1014.0,369.0,1098.0,12550.0,132.0,10352.0,25.0,295.0,1746.0,
2007,187525.0,8514.0,1697.0,1637.0,1753.0,224.0,3203.0,7061.0,2913.0,152.0,1120.0,1316.0,1528.0,32.0,69040.0,5188.0,2364.0,1643.0,147.0,3781.0,2270.0,970.0,2823.0,1174.0,1678.0,1066.0,479.0,782.0,5336.0,1454.0,212.0,730.0,2874.0,8291.0,1782.0,1421.0,4036.0,6008.0,3459.0,2960.0,2943.0,1290.0,490.0,1162.0,227.0,8528.0,5946.0,686.0,1896.0,2515.0,2060.0,133.0,146.0,176.0,14649.0,383.0,12326.0,233.0,304.0,104.0,37.0,120.0,1053.0,89.0,8323.0,8115.0,146.0,62.0,8051.0,3387.0,4664.0,4425.0,2030.0,2395.0,532.0,423.0,10.0,50.0,49.0,11437.0,1002.0,69.0,933.0,1082.0,320.0,400.0,206.0,156.0,15452.0,3501.0,1249.0,10702.0,1296.0,836.0,460.0,8585.0,3373.0,2739.0,69.0,565.0,2339.0,60.0,324.0,769.0,293.0,893.0,11321.0,123.0,9585.0,33.0,266.0,1314.0,
2006,162383.0,7171.0,1701.0,1482.0,1225.0,193.0,2570.0,6111.0,2442.0,337.0,1086.0,939.0,1282.0,25.0,58914.0,4268.0,1978.0,1373.0,102.0,3403.0,1800.0,736.0,2297.0,960.0,1441.0,1007.0,391.0,720.0,4911.0,1460.0,189.0,594.0,2535.0,6881.0,1971.0,1212.0,3242.0,4590.0,2913.0,2654.0,2438.0,1235.0,407.0,1071.0,135.0,7956.0,5945.0,475.0,1536.0,2749.0,2311.0,115.0,115.0,208.0,12795.0,576.0,10516.0,300.0,267.0,126.0,27.0,94.0,754.0,135.0,4198.0,4012.0,107.0,79.0,7381.0,3047.0,4334.0,3618.0,1598.0,2020.0,434.0,337.0,9.0,45.0,43.0,8263.0,1105.0,82.0,1023.0,1013.0,306.0,379.0,202.0,126.0,13123.0,2937.0,888.0,9298.0,1154.0,806.0,348.0,9366.0,3175.0,2705.0,68.0,402.0,2197.0,48.0,365.0,760.0,279.0,745.0,11660.0,129.0,9720.0,33.0,255.0,1523.0,
2005,148753.0,9735.0,1837.0,1431.0,1490.0,199.0,4778.0,5462.0,2497.0,239.0,959.0,710.0,1038.0,19.0,49335.0,3534.0,1662.0,1194.0,165.0,2918.0,1594.0,626.0,1582.0,730.0,1249.0,858.0,361.0,686.0,4089.0,1457.0,210.0,514.0,1944.0,4932.0,2049.0,1051.0,2691.0,3803.0,2268.0,2377.0,2156.0,1204.0,400.0,939.0,92.0,7461.0,5592.0,373.0,1496.0,2657.0,2341.0,122.0,90.0,104.0,13366.0,1242.0,10688.0,248.0,282.0,78.0,30.0,75.0,600.0,123.0,4959.0,4839.0,60.0,60.0,7385.0,3468.0,3917.0,2947.0,1258.0,1689.0,527.0,442.0,7.0,47.0,31.0,2555.0,843.0,79.0,764.0,977.0,298.0,376.0,175.0,128.0,12327.0,2964.0,968.0,8395.0,844.0,611.0,233.0,10271.0,3640.0,3218.0,67.0,355.0,1881.0,44.0,386.0,623.0,190.0,638.0,11581.0,149.0,10118.0,31.0,264.0,1019.0,
2004,113145.0,5405.0,1429.0,1268.0,943.0,169.0,1596.0,3418.0,1551.0,147.0,599.0,489.0,613.0,19.0,36043.0,2545.0,1317.0,844.0,204.0,2068.0,1121.0,386.0,1086.0,455.0,903.0,594.0,198.0,741.0,3431.0,1386.0,139.0,335.0,1233.0,3456.0,2351.0,1048.0,1696.0,2146.0,1520.0,1648.0,1361.0,787.0,249.0,741.0,54.0,6804.0,5268.0,353.0,1183.0,1998.0,1757.0,88.0,72.0,81.0,10208.0,730.0,7836.0,249.0,496.0,83.0,15.0,105.0,519.0,175.0,7196.0,7118.0,39.0,39.0,5013.0,2049.0,2964.0,1973.0,889.0,1084.0,532.0,472.0,,36.0,24.0,1875.0,591.0,35.0,556.0,746.0,285.0,270.0,116.0,75.0,9264.0,2448.0,679.0,6137.0,555.0,383.0,172.0,8066.0,2760.0,2466.0,40.0,254.0,1388.0,48.0,293.0,488.0,176.0,383.0,9331.0,161.0,8265.0,34.0,199.0,672.0,1.0
2003,109155.0,4990.0,1292.0,1228.0,838.0,173.0,1459.0,3104.0,1715.0,142.0,254.0,416.0,568.0,9.0,33701.0,2165.0,1225.0,885.0,227.0,2445.0,996.0,349.0,949.0,402.0,950.0,565.0,250.0,819.0,3549.0,1217.0,155.0,319.0,1242.0,3423.0,2036.0,891.0,1406.0,1727.0,1361.0,1397.0,1113.0,836.0,265.0,514.0,23.0,6477.0,5113.0,235.0,1129.0,2371.0,2168.0,79.0,66.0,58.0,8684.0,913.0,6053.0,364.0,346.0,62.0,7.0,135.0,523.0,281.0,7135.0,7046.0,30.0,59.0,4757.0,2101.0,2656.0,1780.0,889.0,891.0,705.0,604.0,6.0,76.0,19.0,1095.0,641.0,24.0,617.0,754.0,315.0,260.0,91.0,88.0,8918.0,2669.0,574.0,5675.0,471.0,366.0,105.0,8954.0,2364.0,2029.0,69.0,266.0,1441.0,55.0,413.0,472.0,177.0,324.0,10812.0,172.0,9545.0,53.0,222.0,820.0,1.0
2002,104087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,106021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,103749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
