年份,固定资产投资(不含农户)其他资金,农、林、牧、渔业固定资产投资(不含农户)其他资金,农业固定资产投资(不含农户)其他资金,林业固定资产投资(不含农户)其他资金,畜牧业固定资产投资(不含农户)其他资金,渔业固定资产投资(不含农户)其他资金,农、林、牧、渔服务业固定资产投资(不含农户)其他资金,采矿业固定资产投资(不含农户)其他资金,煤炭开采和洗选业固定资产投资(不含农户)其他资金,石油和天然气开采业固定资产投资(不含农户)其他资金,黑色金属矿采选业固定资产投资(不含农户)其他资金,有色金属矿采选业固定资产投资(不含农户)其他资金,非金属矿采选业固定资产投资(不含农户)其他资金,其他采矿业固定资产投资(不含农户)其他资金,制造业固定资产投资(不含农户)其他资金,农副食品加工业固定资产投资(不含农户)其他资金,食品制造业固定资产投资(不含农户)其他资金,饮料制造业固定资产投资(不含农户)其他资金,烟草制品业固定资产投资(不含农户)其他资金,纺织业固定资产投资(不含农户)其他资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)其他资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)其他资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)其他资金,家具制造业固定资产投资(不含农户)其他资金,造纸及纸制品业固定资产投资(不含农户)其他资金,印刷业和记录媒介的复制固定资产投资(不含农户)其他资金,文教体育用品制造业固定资产投资(不含农户)其他资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)其他资金,化学原料及化学制品制造业固定资产投资(不含农户)其他资金,医药制造业固定资产投资(不含农户)其他资金,化学纤维制造业固定资产投资(不含农户)其他资金,橡胶制品业固定资产投资(不含农户)其他资金,塑料制品业固定资产投资(不含农户)其他资金,非金属矿物制品业固定资产投资(不含农户)其他资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)其他资金,有色金属冶炼及压延加工业固定资产投资(不含农户)其他资金,金属制品业固定资产投资(不含农户)其他资金,通用设备制造业固定资产投资(不含农户)其他资金,专用设备制造业固定资产投资(不含农户)其他资金,交通运输设备制造业固定资产投资(不含农户)其他资金,电气机械及器材制造业固定资产投资(不含农户)其他资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)其他资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)其他资金,工艺品及其他制造业固定资产投资(不含农户)其他资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)其他资金,电力燃气水的生产供应业固定资产投资(不含农户)其他资金,电力、热力的生产和供应业固定资产投资(不含农户)其他资金,燃气生产和供应业固定资产投资(不含农户)其他资金,水的生产和供应业固定资产投资(不含农户)其他资金,建筑业固定资产投资(不含农户)其他资金,房屋和土木工程建筑业固定资产投资(不含农户)其他资金,建筑安装业固定资产投资(不含农户)其他资金,建筑装饰业固定资产投资(不含农户)其他资金,其他建筑业固定资产投资(不含农户)其他资金,交通运输、仓储和邮政业固定资产投资(不含农户)其他资金,铁路运输业固定资产投资(不含农户)其他资金,道路运输业固定资产投资(不含农户)其他资金,城市公共交通业固定资产投资(不含农户)其他资金,水上运输业固定资产投资(不含农户)其他资金,航空运输业固定资产投资(不含农户)其他资金,管道运输业固定资产投资(不含农户)其他资金,装卸搬运和其他运输服务业固定资产投资(不含农户)其他资金,仓储业固定资产投资(不含农户)其他资金,邮政业固定资产投资(不含农户)其他资金,信息传输、计算机服务和软件业固定资产投资(不含农户)其他资金,电信和其他信息传输服务业固定资产投资(不含农户)其他资金,计算机服务业固定资产投资(不含农户)其他资金,软件业固定资产投资(不含农户)其他资金,批发和零售业固定资产投资(不含农户)其他资金,批发业固定资产投资(不含农户)其他资金,零售业固定资产投资(不含农户)其他资金,住宿和餐饮业固定资产投资(不含农户)其他资金,住宿业固定资产投资(不含农户)其他资金,餐饮业固定资产投资(不含农户)其他资金,金融业固定资产投资(不含农户)其他资金,银行业固定资产投资(不含农户)其他资金,证券业固定资产投资(不含农户)其他资金,保险业固定资产投资(不含农户)其他资金,其他金融活动固定资产投资(不含农户)其他资金,房地产业固定资产投资(不含农户)其他资金,租赁和商务服务业固定资产投资(不含农户)其他资金,租赁业固定资产投资(不含农户)其他资金,商务服务业固定资产投资(不含农户)其他资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)其他资金,研究与试验发展固定资产投资(不含农户)其他资金,专业技术服务业固定资产投资(不含农户)其他资金,科技交流和推广服务业固定资产投资(不含农户)其他资金,地质勘查业固定资产投资(不含农户)其他资金,水利、环境和公共设施管理业固定资产投资(不含农户)其他资金,水利管理业固定资产投资(不含农户)其他资金,环境管理业固定资产投资(不含农户)其他资金,公共设施管理业固定资产投资(不含农户)其他资金,居民服务和其他服务业固定资产投资(不含农户)其他资金,居民服务业固定资产投资(不含农户)其他资金,其他服务业固定资产投资(不含农户)其他资金,教育固定资产投资(不含农户)其他资金,卫生、社会保障和社会福利业固定资产投资(不含农户)其他资金,卫生固定资产投资(不含农户)其他资金,社会保障业固定资产投资(不含农户)其他资金,社会福利业固定资产投资(不含农户)其他资金,文化、体育和娱乐业固定资产投资(不含农户)其他资金,新闻出版业固定资产投资(不含农户)其他资金,广播、电视、电影和音像业固定资产投资(不含农户)其他资金,文化艺术业固定资产投资(不含农户)其他资金,体育固定资产投资(不含农户)其他资金,娱乐业固定资产投资(不含农户)其他资金,公共管理和社会组织固定资产投资(不含农户)其他资金,中国共产党机关固定资产投资(不含农户)其他资金,国家机构固定资产投资(不含农户)其他资金,人民政协和民主党派固定资产投资(不含农户)其他资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)其他资金,基层群众自治组织固定资产投资(不含农户)其他资金,国际组织固定资产投资(不含农户)其他资金
2009,38117.6916,409.397,96.8281,92.6637,82.3624,16.6748,120.868,391.8314,110.7169,155.876,33.6282,51.0798,38.8366,1.6939,1937.4628,125.3477,68.9565,41.3846,3.4261,53.7399,28.084,30.3504,43.7752,18.4081,28.4148,16.4182,4.3047,51.5367,179.3956,49.2072,10.3537,13.9986,50.8504,285.2731,73.1636,78.3383,74.2747,114.8429,90.0576,180.1734,79.4113,60.796,12.3871,61.8402,8.9522,971.9251,796.1275,38.8317,136.9659,126.5581,113.7114,3.7216,2.4925,6.6326,2156.9708,970.0189,681.0162,331.0612,83.2034,5.5114,3.1054,7.8881,73.6234,1.5428,64.9896,59.5963,1.8076,3.5857,241.8605,106.2203,135.6402,118.7599,86.8593,31.9006,9.4144,8.1402,0.17,0.2137,0.8905,28945.466,110.5596,1.4623,109.0973,55.4399,16.2818,19.4956,13.3854,6.2771,1508.9909,216.4141,108.6809,1183.8959,29.3035,18.0273,11.2762,269.1446,136.8869,110.8978,9.9676,16.0215,182.3349,1.997,8.3329,60.6148,53.2641,58.1261,450.3957,3.1535,334.9493,0.4122,20.5579,91.3228,
2008,23194.4192,282.671,57.8766,63.3723,63.4965,8.8255,89.1001,399.8187,114.2189,164.3033,50.1138,42.6221,26.9456,1.615,1487.7553,93.114,48.7401,26.0283,2.855,62.5296,32.8901,16.7447,39.6395,16.6175,28.3625,16.0253,9.9511,29.6355,172.6696,34.8127,8.0694,10.7728,38.2497,190.0961,30.0,48.8304,56.4397,88.359,69.3799,133.5894,59.1434,81.3613,8.3483,28.4588,6.0416,595.3851,497.6512,30.2979,67.436,104.0875,92.4992,3.0259,1.1098,7.4526,1385.7768,667.0784,564.5193,48.4097,31.1719,13.5405,12.4524,5.841,42.0172,0.7464,72.3451,68.1531,1.013,3.179,180.3116,74.0315,106.2801,100.5428,74.3742,26.1686,4.4403,3.8146,0.137,0.2531,0.2356,16702.925,83.4407,1.3035,82.1372,45.9377,19.686,9.9875,7.4273,8.8369,1040.0492,135.2937,55.9345,848.821,13.8606,8.8986,4.962,158.1905,63.5451,51.5527,3.1937,8.7987,114.2859,1.6041,6.8424,47.6778,24.0573,34.1043,359.0503,5.6788,257.6496,0.5828,12.3784,82.7607,
2007,24073.3405,196.6801,43.0219,52.3856,28.8657,7.1357,65.2712,333.0886,62.8457,167.6685,39.3161,37.5679,24.3715,1.3189,1209.0268,77.1124,30.7773,25.7922,0.6352,55.6804,31.8714,10.0785,32.4069,14.1707,54.2246,14.1829,9.315,37.8977,103.5492,28.958,11.8764,8.757,32.3445,125.58,67.3394,40.1548,50.0691,64.9271,61.553,78.3215,44.7766,58.5505,6.3087,28.0313,3.7845,544.3252,468.0514,18.755,57.5188,114.6248,95.8755,2.4041,1.0182,15.327,1017.7452,435.6152,428.0351,33.305,79.5784,7.0357,1.0016,2.2071,30.6489,0.3182,53.2038,48.3419,3.4506,1.4113,183.9787,82.6692,101.3095,90.925,62.9524,27.9726,8.7696,7.1521,0.26,0.2684,1.0891,18604.648,70.3429,1.4258,68.9171,55.6025,23.5452,18.3412,7.0045,6.7116,887.8756,100.1875,67.6154,720.0727,17.22,12.688,4.532,180.5333,52.1866,42.4169,2.633,7.1367,91.4684,1.116,5.2349,47.8406,14.9099,22.367,361.0954,3.4423,280.4256,0.5493,9.1891,67.4891,
2006,18147.0156,179.412,45.9263,39.1878,33.6109,7.7679,52.9191,266.8625,41.1063,141.8213,35.4305,27.567,20.2406,0.6968,1121.5243,65.5713,34.4975,24.5728,2.5482,48.514,23.4985,12.2837,33.4131,9.4162,20.1041,12.956,4.9433,26.6952,110.7792,34.9248,18.1463,9.3559,31.0013,101.1253,99.971,31.4054,49.8827,71.5766,31.5608,105.1312,34.7708,35.0844,5.7832,26.7986,5.2129,540.8179,462.547,27.687,50.5839,84.32,72.793,1.544,0.7999,9.1831,959.7543,291.1025,445.412,37.066,93.3031,72.3589,0.318,1.8865,17.0308,1.2765,45.5272,42.6567,1.5151,1.3554,178.0716,78.861,99.2106,67.5783,49.3469,18.2314,6.8762,5.5467,0.0,0.6143,0.7152,13270.8352,78.748,0.6364,78.1116,43.643,21.0686,9.224,7.0731,6.2773,614.0142,72.2137,32.9226,508.8779,15.2602,9.0474,6.2128,183.6875,48.255,37.5982,5.2356,5.4212,64.0601,1.3111,8.7685,18.2995,21.1072,14.5738,377.7681,5.8431,283.5189,0.9526,12.2386,75.2149,0.0
2005,14369.667,153.1336,48.1417,34.7076,27.7112,5.7011,36.872,292.6149,61.3967,177.0504,24.9627,14.9285,13.5103,0.7663,940.953,56.3889,26.3567,18.6943,1.2412,45.3551,13.5176,11.4078,20.2753,7.3207,18.6254,9.9581,3.707,49.108,88.8957,35.9247,19.0477,6.7063,25.1986,74.3236,73.1201,42.3201,34.5475,41.7509,36.8223,100.0344,25.8376,26.7877,7.8952,18.2569,1.5276,443.3866,381.3012,18.4337,43.6517,85.961,80.3983,2.0572,0.2735,3.232,514.5404,89.7988,298.0171,28.3394,46.5927,5.8054,29.7103,1.6224,13.5163,1.138,37.7674,35.3222,1.0405,1.4047,160.1085,61.8496,98.2589,50.5319,36.1518,14.3801,10.128,7.9646,0.124,0.4914,1.548,10466.1738,37.6368,0.7423,36.8945,44.5714,18.7445,16.8668,4.6921,4.268,490.8468,56.9557,26.5833,407.3078,12.9131,9.6773,3.2358,179.3616,38.0881,32.1355,1.0025,4.9501,72.7794,3.7373,6.0178,19.0377,27.1722,16.8144,338.1707,3.336,257.121,0.1575,13.9383,63.6179,
2004,12514.5,113.56,34.22,24.37,26.54,4.37,24.05,170.63,34.6,99.72,12.46,13.54,9.49,0.82,735.83,44.82,21.03,20.42,0.98,45.89,12.81,7.89,17.67,5.03,24.9,9.78,2.02,33.55,46.55,26.34,14.61,7.24,18.26,73.24,66.55,44.77,23.19,27.77,26.73,49.19,25.74,19.23,3.63,15.16,0.85,382.32,336.39,19.95,25.99,78.18,73.07,1.96,1.03,2.11,420.3,71.0,287.71,19.13,21.06,2.91,1.21,3.23,12.19,1.85,31.06,28.38,0.4,2.28,149.22,54.75,94.47,35.43,22.7,12.73,14.45,13.36,0.08,0.53,0.49,144.82,8604.73,0.42,41.53,36.62,18.62,8.95,5.08,3.97,402.75,62.91,17.0,322.83,19.19,17.01,2.17,142.95,31.56,27.82,0.8,2.94,45.11,2.45,6.6,13.83,11.97,10.26,325.82,5.84,261.62,0.43,9.81,48.12,0.09
2003,9448.21,88.3716,28.8528,20.4489,16.6689,4.1628,18.2382,116.3695,24.5126,73.4628,4.8826,6.3822,6.2756,0.8537,554.7942,32.6536,18.8098,11.7699,2.1496,47.9784,10.1555,6.0808,11.7051,5.4875,22.1612,7.8513,2.7116,22.9276,38.9498,21.8955,1.9866,5.2502,12.937,49.1957,58.3405,16.0837,19.9183,18.5687,25.948,45.1671,12.8883,12.8873,3.2724,8.2949,0.7683,353.4076,320.2096,14.1877,19.0103,79.1703,72.9516,4.3538,0.9464,0.9185,262.3115,11.9607,169.3278,46.04,13.7542,2.4535,1.0273,5.1682,9.7998,2.78,30.2962,26.4638,0.8263,3.0061,127.2,49.0544,78.1456,30.9344,21.861,9.0734,13.2837,12.2657,0.05,0.8743,0.0937,6718.4858,41.8585,0.6295,41.229,34.4123,14.3401,11.7044,3.1459,5.2219,307.4716,52.5442,15.055,239.8724,16.5568,14.8183,1.7385,122.5786,33.0475,26.937,3.2547,2.8558,38.1728,2.943,6.9769,7.4108,13.0469,7.7952,341.7954,6.345,287.4759,2.8647,11.4294,33.6804,0.0349
2002,7723.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6561.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,5619.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
