年份,固定资产投资(不含农户)利用外资,农、林、牧、渔业固定资产投资(不含农户)利用外资,农业固定资产投资(不含农户)利用外资,林业固定资产投资(不含农户)利用外资,畜牧业固定资产投资(不含农户)利用外资,渔业固定资产投资(不含农户)利用外资,农、林、牧、渔服务业固定资产投资(不含农户)利用外资,采矿业固定资产投资(不含农户)利用外资,煤炭开采和洗选业固定资产投资(不含农户)利用外资,石油和天然气开采业固定资产投资(不含农户)利用外资,黑色金属矿采选业固定资产投资(不含农户)利用外资,有色金属矿采选业固定资产投资(不含农户)利用外资,非金属矿采选业固定资产投资(不含农户)利用外资,其他采矿业固定资产投资(不含农户)利用外资,制造业固定资产投资(不含农户)利用外资,农副食品加工业固定资产投资(不含农户)利用外资,食品制造业固定资产投资(不含农户)利用外资,饮料制造业固定资产投资(不含农户)利用外资,烟草制品业固定资产投资(不含农户)利用外资,纺织业固定资产投资(不含农户)利用外资,纺织服装、鞋、帽制造业固定资产投资(不含农户)利用外资,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)利用外资,木材加工及木竹藤棕草制品业固定资产投资(不含农户)利用外资,家具制造业固定资产投资(不含农户)利用外资,造纸及纸制品业固定资产投资(不含农户)利用外资,印刷业和记录媒介的复制固定资产投资(不含农户)利用外资,文教体育用品制造业固定资产投资(不含农户)利用外资,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)利用外资,化学原料及化学制品制造业固定资产投资(不含农户)利用外资,医药制造业固定资产投资(不含农户)利用外资,化学纤维制造业固定资产投资(不含农户)利用外资,橡胶制品业固定资产投资(不含农户)利用外资,塑料制品业固定资产投资(不含农户)利用外资,非金属矿物制品业固定资产投资(不含农户)利用外资,黑色金属冶炼及压延加工业固定资产投资(不含农户)利用外资,有色金属冶炼及压延加工业固定资产投资(不含农户)利用外资,金属制品业固定资产投资(不含农户)利用外资,通用设备制造业固定资产投资(不含农户)利用外资,专用设备制造业固定资产投资(不含农户)利用外资,交通运输设备制造业固定资产投资(不含农户)利用外资,电气机械及器材制造业固定资产投资(不含农户)利用外资,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)利用外资,仪器仪表文化办公用机械制造业固定资产投资(不含农户)利用外资,工艺品及其他制造业固定资产投资(不含农户)利用外资,废弃资源和废旧材料回收加工业固定资产投资(不含农户)利用外资,电力燃气水的生产供应业固定资产投资(不含农户)利用外资,电力、热力的生产和供应业固定资产投资(不含农户)利用外资,燃气生产和供应业固定资产投资(不含农户)利用外资,水的生产和供应业固定资产投资(不含农户)利用外资,建筑业固定资产投资(不含农户)利用外资,房屋和土木工程建筑业固定资产投资(不含农户)利用外资,建筑安装业固定资产投资(不含农户)利用外资,建筑装饰业固定资产投资(不含农户)利用外资,其他建筑业固定资产投资(不含农户)利用外资,交通运输、仓储和邮政业固定资产投资(不含农户)利用外资,铁路运输业固定资产投资(不含农户)利用外资,道路运输业固定资产投资(不含农户)利用外资,城市公共交通业固定资产投资(不含农户)利用外资,水上运输业固定资产投资(不含农户)利用外资,航空运输业固定资产投资(不含农户)利用外资,管道运输业固定资产投资(不含农户)利用外资,装卸搬运和其他运输服务业固定资产投资(不含农户)利用外资,仓储业固定资产投资(不含农户)利用外资,邮政业固定资产投资(不含农户)利用外资,信息传输、计算机服务和软件业固定资产投资(不含农户)利用外资,电信和其他信息传输服务业固定资产投资(不含农户)利用外资,计算机服务业固定资产投资(不含农户)利用外资,软件业固定资产投资(不含农户)利用外资,批发和零售业固定资产投资(不含农户)利用外资,批发业固定资产投资(不含农户)利用外资,零售业固定资产投资(不含农户)利用外资,住宿和餐饮业固定资产投资(不含农户)利用外资,住宿业固定资产投资(不含农户)利用外资,餐饮业固定资产投资(不含农户)利用外资,金融业固定资产投资(不含农户)利用外资,银行业固定资产投资(不含农户)利用外资,证券业固定资产投资(不含农户)利用外资,保险业固定资产投资(不含农户)利用外资,其他金融活动固定资产投资(不含农户)利用外资,房地产业固定资产投资(不含农户)利用外资,租赁和商务服务业固定资产投资(不含农户)利用外资,租赁业固定资产投资(不含农户)利用外资,商务服务业固定资产投资(不含农户)利用外资,科学研究、技术服务和地质勘查业固定资产投资(不含农户)利用外资,研究与试验发展固定资产投资(不含农户)利用外资,专业技术服务业固定资产投资(不含农户)利用外资,科技交流和推广服务业固定资产投资(不含农户)利用外资,地质勘查业固定资产投资(不含农户)利用外资,水利、环境和公共设施管理业固定资产投资(不含农户)利用外资,水利管理业固定资产投资(不含农户)利用外资,环境管理业固定资产投资(不含农户)利用外资,公共设施管理业固定资产投资(不含农户)利用外资,居民服务和其他服务业固定资产投资(不含农户)利用外资,居民服务业固定资产投资(不含农户)利用外资,其他服务业固定资产投资(不含农户)利用外资,教育固定资产投资(不含农户)利用外资,卫生、社会保障和社会福利业固定资产投资(不含农户)利用外资,卫生固定资产投资(不含农户)利用外资,社会保障业固定资产投资(不含农户)利用外资,社会福利业固定资产投资(不含农户)利用外资,文化、体育和娱乐业固定资产投资(不含农户)利用外资,新闻出版业固定资产投资(不含农户)利用外资,广播、电视、电影和音像业固定资产投资(不含农户)利用外资,文化艺术业固定资产投资(不含农户)利用外资,体育固定资产投资(不含农户)利用外资,娱乐业固定资产投资(不含农户)利用外资,公共管理和社会组织固定资产投资(不含农户)利用外资,中国共产党机关固定资产投资(不含农户)利用外资,国家机构固定资产投资(不含农户)利用外资,人民政协和民主党派固定资产投资(不含农户)利用外资,群众团体、社会团体和宗教组织固定资产投资(不含农户)利用外资,基层群众自治组织固定资产投资(不含农户)利用外资,国际组织固定资产投资(不含农户)利用外资
2009,3983.5455,32.7957,9.1034,3.5009,11.8087,2.8228,5.5599,84.0352,6.7223,58.4157,6.1134,6.2227,6.1231,0.438,2715.2551,74.7665,71.1083,34.2446,,75.9877,72.9544,58.8939,20.7248,16.4831,51.2554,20.1785,25.9236,25.9696,259.0546,64.4419,15.1969,43.6168,45.9487,121.0783,56.7591,88.6973,87.8194,168.341,124.7087,217.386,246.0538,544.7129,44.6405,35.578,2.7308,109.1986,70.97,17.3634,20.8652,7.9901,7.074,0.3146,0.2863,0.3152,203.7003,58.3489,37.4083,13.6388,55.597,3.6877,,3.064,31.9556,,19.4182,11.4376,1.7998,6.1808,67.9572,24.1031,43.8541,69.0724,47.0931,21.9793,0.5948,0.5898,,,0.005,501.0872,24.9595,0.2927,24.6668,12.467,9.3226,0.2351,2.3113,0.598,79.741,6.1293,14.46,59.1517,3.9493,2.8629,1.0864,8.4643,18.638,12.035,6.48,0.123,17.7874,,0.54,2.0091,3.4201,11.8182,6.4342,0.126,4.9767,,0.417,0.9145,
2008,4695.7883,36.1694,7.7974,5.7749,14.5439,1.9536,6.0996,116.8496,8.9387,85.3669,9.2862,8.01,4.7478,0.5,3062.9813,67.5037,57.2033,60.676,,113.4936,79.9643,41.1188,18.7901,29.799,122.1548,13.6771,20.469,15.1296,316.8285,49.8988,30.1019,48.5565,57.8202,150.1056,62.8346,54.646,118.83,143.3816,135.2841,237.9934,207.7935,716.7047,44.4132,43.6304,4.179,111.2191,71.0844,14.833,25.3017,11.0834,9.8124,,0.4,0.871,221.4135,48.1355,54.7692,3.6941,46.0323,15.0291,1.2936,1.9984,50.4613,,21.6547,12.6756,0.138,8.8411,75.6969,18.8744,56.8225,82.3375,66.5823,15.7552,0.6409,0.3409,,0.3,,779.2177,40.8682,2.7485,38.1197,9.0878,7.6068,0.8703,0.2107,0.4,78.9036,7.4843,14.9844,56.4349,3.4693,3.2353,0.234,8.9933,6.5826,6.2933,,0.2893,21.4652,0.285,1.407,1.7647,1.9117,16.0968,7.1543,,6.3361,,0.6032,0.215,
2007,4549.018,25.3326,8.5594,5.3299,6.8339,2.4426,2.1668,103.0023,21.6254,47.9413,4.1763,20.3674,8.3889,0.503,3098.0535,73.141,67.1599,45.827,0.5,113.4833,98.7267,50.799,18.3182,30.1928,124.9552,16.1061,37.8869,22.6351,266.5603,38.9812,37.0083,55.2625,68.1609,134.1167,57.8444,69.725,120.6338,126.376,116.3171,179.5158,159.3725,888.6984,31.6893,45.0992,2.9609,128.3158,81.1495,15.9619,31.2044,6.0245,5.5022,0.02,0.5023,,213.6823,25.9698,52.9413,1.1233,52.5214,46.6132,0.0539,1.4294,33.03,,19.6559,15.5483,,4.1076,54.604,19.7465,34.8575,63.6029,52.5099,11.093,0.2613,0.168,,0.0383,0.055,672.2049,21.1532,0.275,20.8782,8.8385,5.9648,1.4431,0.9966,0.434,87.1278,7.3392,11.3731,68.4155,1.2124,0.791,0.4214,12.4983,4.6445,4.4985,,0.146,21.472,,,0.9094,3.9906,16.572,7.3313,0.07,5.3591,,1.9022,,
2006,3811.048,15.4191,4.5048,2.9615,5.5371,0.446,1.9697,86.6415,6.1678,60.0507,1.9738,15.665,2.7842,0.0,2618.4982,77.274,68.6374,27.8317,0.0,111.1107,87.4678,47.933,16.4299,27.2219,52.0997,21.7236,29.9437,14.6495,317.8551,32.7872,30.5517,62.6616,60.141,111.8338,62.6878,48.7209,114.9492,92.9478,86.0044,158.8262,137.9081,645.5906,35.3263,35.4976,1.886,120.5407,81.4441,12.7303,26.3663,10.5894,5.541,0.28,0.2448,4.5236,294.545,24.9051,65.3369,11.6073,76.7586,89.4699,0.8556,1.2184,24.3932,0.0,21.0543,18.2677,0.3691,2.4175,38.6852,4.1648,34.5204,45.7291,35.8659,9.8632,0.2476,0.0201,0.0575,0.0,0.17,419.4537,5.4479,0.2445,5.2034,10.2488,5.7586,0.6095,3.5227,0.358,71.6806,5.3039,13.9179,52.4588,3.2584,2.8158,0.4426,15.3751,5.3523,5.2829,0.0,0.0694,18.2263,0.0,0.3632,3.9952,2.4273,11.4406,10.0548,0.0,7.8206,0.0,1.6807,0.5535,0.0
2005,3386.4113,18.4589,7.1505,3.7125,2.7616,1.2081,3.6262,47.0745,0.8034,34.4308,1.8556,7.8907,2.094,,2415.6418,60.2262,62.7136,26.7482,,114.1969,80.4603,43.9119,23.1789,20.4704,115.0835,20.6403,27.5685,10.2141,280.8021,26.5082,29.0641,35.6667,68.3919,115.8559,98.0489,49.1478,96.3723,83.5227,67.9097,175.1679,126.9709,480.7275,37.5301,36.5456,1.9967,172.3423,136.094,14.2962,21.9521,4.6467,4.0982,0.03,0.35,0.1685,212.1386,30.3475,63.7943,12.5573,42.4012,49.5582,0.1802,0.2888,13.0111,,21.2451,18.3621,0.3323,2.5507,30.8816,12.2778,18.6038,47.9952,34.8336,13.1616,0.8077,,,,0.8077,274.8999,7.9803,,7.9803,10.5149,3.7561,1.8189,4.2323,0.7076,67.9589,14.1218,7.9753,45.8618,1.2274,1.0163,0.2111,15.512,8.0313,7.0313,1.0,,15.7127,0.03,0.6626,0.8277,2.9573,11.2351,13.3415,,11.1123,,0.8429,1.3863,
2004,2706.59,20.19,6.59,3.53,3.82,3.49,2.76,27.66,1.52,16.31,1.89,4.46,3.18,0.3,1841.0,45.43,27.4,13.24,,83.99,56.8,28.26,15.06,18.09,79.3,14.89,18.32,15.18,191.15,34.5,34.35,48.71,61.04,79.04,52.48,34.64,74.18,62.58,45.14,103.96,92.88,453.89,25.5,29.27,1.75,224.46,180.06,19.58,24.83,4.24,3.71,,0.27,0.27,180.0,4.7,71.04,8.79,23.65,61.44,,0.21,10.17,,11.03,9.35,0.98,0.7,26.57,6.06,20.51,30.56,25.67,4.89,,,,,,14.18,233.01,,4.81,10.13,6.73,0.29,0.54,2.57,41.99,13.7,6.65,21.64,2.2,1.54,0.65,9.4,7.1,6.97,0.0122,0.11,11.23,,0.16,0.4,1.61,9.06,11.59,0.0,9.86,,0.31,1.42,0.05
2003,2211.7,18.0526,5.5946,3.903,3.8729,1.0097,3.6724,17.0707,0.6614,12.6623,1.4289,0.8645,1.4536,,1395.8677,32.8154,24.7311,12.1322,0.148,70.6161,49.8059,26.6947,10.5102,15.7875,67.9621,12.8205,13.454,4.0045,172.0758,21.0774,28.0729,26.4077,59.1357,52.198,37.3335,20.3886,45.8805,38.5949,39.0425,64.323,60.9631,333.9595,34.545,19.095,1.2924,249.362,212.3782,17.4717,19.5121,7.4259,7.0149,,0.1051,0.3059,180.0543,18.5501,59.3589,6.7509,16.3664,71.9582,,0.668,6.4018,,15.0507,13.7006,0.32,1.0301,22.0781,8.1621,13.916,26.085,23.5547,2.5303,0.2,0.2,,,,174.4256,7.9023,0.105,7.7973,4.2459,3.4175,0.3988,0.4296,,47.9436,9.8873,8.6484,29.4079,0.7027,0.5912,0.1115,9.2814,10.1704,9.9679,,0.2025,14.7344,0.69,0.5638,0.5133,2.3095,10.6578,11.0944,0.005,10.3094,,0.4058,0.3742,
2002,1825.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1570.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1526.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
