年份,固定资产投资(不含农户)自筹资金,农、林、牧、渔业固定资产投资(不含农户)自筹资金,农业固定资产投资(不含农户)自筹资金,林业固定资产投资(不含农户)自筹资金,畜牧业固定资产投资(不含农户)自筹资金,渔业固定资产投资(不含农户)自筹资金,农、林、牧、渔服务业固定资产投资(不含农户)自筹资金,采矿业固定资产投资(不含农户)自筹资金,煤炭开采和洗选业固定资产投资(不含农户)自筹资金,石油和天然气开采业固定资产投资(不含农户)自筹资金,黑色金属矿采选业固定资产投资(不含农户)自筹资金,有色金属矿采选业固定资产投资(不含农户)自筹资金,非金属矿采选业固定资产投资(不含农户)自筹资金,其他采矿业固定资产投资(不含农户)自筹资金,制造业固定资产投资(不含农户)自筹资金,农副食品加工业固定资产投资(不含农户)自筹资金,食品制造业固定资产投资(不含农户)自筹资金,饮料制造业固定资产投资(不含农户)自筹资金,烟草制品业固定资产投资(不含农户)自筹资金,纺织业固定资产投资(不含农户)自筹资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)自筹资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)自筹资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)自筹资金,家具制造业固定资产投资(不含农户)自筹资金,造纸及纸制品业固定资产投资(不含农户)自筹资金,印刷业和记录媒介的复制固定资产投资(不含农户)自筹资金,文教体育用品制造业固定资产投资(不含农户)自筹资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)自筹资金,化学原料及化学制品制造业固定资产投资(不含农户)自筹资金,医药制造业固定资产投资(不含农户)自筹资金,化学纤维制造业固定资产投资(不含农户)自筹资金,橡胶制品业固定资产投资(不含农户)自筹资金,塑料制品业固定资产投资(不含农户)自筹资金,非金属矿物制品业固定资产投资(不含农户)自筹资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)自筹资金,有色金属冶炼及压延加工业固定资产投资(不含农户)自筹资金,金属制品业固定资产投资(不含农户)自筹资金,通用设备制造业固定资产投资(不含农户)自筹资金,专用设备制造业固定资产投资(不含农户)自筹资金,交通运输设备制造业固定资产投资(不含农户)自筹资金,电气机械及器材制造业固定资产投资(不含农户)自筹资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)自筹资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)自筹资金,工艺品及其他制造业固定资产投资(不含农户)自筹资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)自筹资金,电力燃气水的生产供应业固定资产投资(不含农户)自筹资金,电力、热力的生产和供应业固定资产投资(不含农户)自筹资金,燃气生产和供应业固定资产投资(不含农户)自筹资金,水的生产和供应业固定资产投资(不含农户)自筹资金,建筑业固定资产投资(不含农户)自筹资金,房屋和土木工程建筑业固定资产投资(不含农户)自筹资金,建筑安装业固定资产投资(不含农户)自筹资金,建筑装饰业固定资产投资(不含农户)自筹资金,其他建筑业固定资产投资(不含农户)自筹资金,交通运输、仓储和邮政业固定资产投资(不含农户)自筹资金,铁路运输业固定资产投资(不含农户)自筹资金,道路运输业固定资产投资(不含农户)自筹资金,城市公共交通业固定资产投资(不含农户)自筹资金,水上运输业固定资产投资(不含农户)自筹资金,航空运输业固定资产投资(不含农户)自筹资金,管道运输业固定资产投资(不含农户)自筹资金,装卸搬运和其他运输服务业固定资产投资(不含农户)自筹资金,仓储业固定资产投资(不含农户)自筹资金,邮政业固定资产投资(不含农户)自筹资金,信息传输、计算机服务和软件业固定资产投资(不含农户)自筹资金,电信和其他信息传输服务业固定资产投资(不含农户)自筹资金,计算机服务业固定资产投资(不含农户)自筹资金,软件业固定资产投资(不含农户)自筹资金,批发和零售业固定资产投资(不含农户)自筹资金,批发业固定资产投资(不含农户)自筹资金,零售业固定资产投资(不含农户)自筹资金,住宿和餐饮业固定资产投资(不含农户)自筹资金,住宿业固定资产投资(不含农户)自筹资金,餐饮业固定资产投资(不含农户)自筹资金,金融业固定资产投资(不含农户)自筹资金,银行业固定资产投资(不含农户)自筹资金,证券业固定资产投资(不含农户)自筹资金,保险业固定资产投资(不含农户)自筹资金,其他金融活动固定资产投资(不含农户)自筹资金,房地产业固定资产投资(不含农户)自筹资金,租赁和商务服务业固定资产投资(不含农户)自筹资金,租赁业固定资产投资(不含农户)自筹资金,商务服务业固定资产投资(不含农户)自筹资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)自筹资金,研究与试验发展固定资产投资(不含农户)自筹资金,专业技术服务业固定资产投资(不含农户)自筹资金,科技交流和推广服务业固定资产投资(不含农户)自筹资金,地质勘查业固定资产投资(不含农户)自筹资金,水利、环境和公共设施管理业固定资产投资(不含农户)自筹资金,水利管理业固定资产投资(不含农户)自筹资金,环境管理业固定资产投资(不含农户)自筹资金,公共设施管理业固定资产投资(不含农户)自筹资金,居民服务和其他服务业固定资产投资(不含农户)自筹资金,居民服务业固定资产投资(不含农户)自筹资金,其他服务业固定资产投资(不含农户)自筹资金,教育固定资产投资(不含农户)自筹资金,卫生、社会保障和社会福利业固定资产投资(不含农户)自筹资金,卫生固定资产投资(不含农户)自筹资金,社会保障业固定资产投资(不含农户)自筹资金,社会福利业固定资产投资(不含农户)自筹资金,文化、体育和娱乐业固定资产投资(不含农户)自筹资金,新闻出版业固定资产投资(不含农户)自筹资金,广播、电视、电影和音像业固定资产投资(不含农户)自筹资金,文化艺术业固定资产投资(不含农户)自筹资金,体育固定资产投资(不含农户)自筹资金,娱乐业固定资产投资(不含农户)自筹资金,公共管理和社会组织固定资产投资(不含农户)自筹资金,中国共产党机关固定资产投资(不含农户)自筹资金,国家机构固定资产投资(不含农户)自筹资金,人民政协和民主党派固定资产投资(不含农户)自筹资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)自筹资金,基层群众自治组织固定资产投资(不含农户)自筹资金,国际组织固定资产投资(不含农户)自筹资金
2009,127557.6668,2228.507,531.1957,278.7994,803.0097,100.9596,514.5426,6913.1499,2616.4902,2244.4425,743.4565,739.2911,551.3758,18.0938,49856.0621,2453.1306,1256.252,966.4819,212.2815,1557.7255,927.0042,410.1163,916.5156,586.3531,986.2267,518.2461,179.5132,1456.1027,4748.543,1311.1191,245.59,542.9571,1248.2355,5153.9204,2650.0604,1822.6736,2528.0887,3974.0563,2684.5129,4335.8375,2962.5605,1874.8982,471.833,669.0226,206.2039,6778.7919,5259.2949,472.4925,1047.0045,1134.3348,914.9682,60.5093,50.315,108.5423,9402.8649,1627.5096,4414.5007,685.0042,1020.3198,266.3472,75.6145,196.3068,1087.3849,29.8772,2294.3892,2055.187,54.3528,184.8494,3954.0802,1860.6793,2093.4009,2041.7138,1267.6651,774.0487,337.1812,247.7815,38.4493,17.6175,33.3329,23024.8715,1426.0125,107.5002,1318.5123,877.0659,274.505,244.2337,189.9775,168.3497,9749.6881,950.2577,692.3237,8107.1067,435.1723,260.5708,174.6015,1958.2754,1134.1412,987.329,35.9076,110.9046,1499.0639,48.0488,132.6381,439.8075,206.9487,671.6208,2512.301,9.8103,1794.9648,2.6362,80.6624,624.2273,
2008,97846.4513,1470.0777,308.9115,192.0869,522.8428,82.9058,363.3307,5666.0789,2076.4263,2041.3203,603.9863,557.3222,376.4739,10.5499,38172.6736,1795.588,987.88,764.4717,138.721,1289.9368,779.6963,356.9778,714.7116,448.5579,739.2752,399.2802,159.5784,1457.7766,3583.5217,950.9214,209.3351,391.7581,972.9652,3544.7041,2642.9834,1515.0537,1871.495,2886.222,1936.895,3216.5994,2045.7591,1369.7739,362.1233,518.0104,122.1013,5302.02,4352.7091,324.8147,624.4962,933.2996,773.2381,45.7168,33.3223,81.0224,6949.8047,1167.8553,3332.4031,531.9073,762.873,260.9412,79.5513,95.1038,700.9287,18.241,1935.8174,1763.3755,46.9515,125.4904,2827.1346,1366.3883,1460.7463,1483.7921,988.1482,495.6439,225.2963,173.4115,19.6363,13.7546,18.4939,18838.8981,941.0544,39.9391,901.1153,537.586,203.9456,163.6925,94.8842,75.0637,6853.3917,638.6915,426.4574,5788.2428,272.0803,172.5813,99.499,1595.7732,810.7085,711.7007,9.8938,89.114,1076.2383,59.367,119.8763,327.2015,158.7611,411.0324,1954.7259,10.8737,1329.2845,5.3947,60.6846,548.4884,
2007,74520.8817,909.178,206.6278,140.8236,249.7281,56.4257,255.5728,4254.5479,1547.0561,1686.6755,354.2553,413.7733,243.9902,8.7975,28629.9135,1388.4808,805.1879,609.1539,124.0557,1250.3869,598.8772,279.5933,566.703,331.7466,525.336,321.8318,122.5003,1134.3421,2658.2686,740.185,198.2698,308.7666,728.0924,2394.1693,2216.8244,1074.4499,1353.9578,2046.9463,1474.4585,2271.6105,1372.818,985.0624,236.873,430.1643,80.8012,4215.912,3451.7313,271.7473,492.4334,703.1583,584.6398,43.2783,23.0836,52.1566,5515.5649,802.0614,2796.9144,383.1334,646.9139,288.2709,43.3852,88.0722,452.9052,13.9083,1694.2237,1607.8939,26.1677,60.1621,2149.9907,1013.0643,1136.9264,1073.1699,730.4489,342.721,137.0065,103.6343,12.0021,9.7316,11.6385,14230.544,656.6584,30.3729,626.2855,378.2351,134.5676,109.0714,64.4863,70.1098,5231.5059,458.159,355.6097,4417.7372,202.9448,125.5449,77.3999,1479.9975,577.794,529.1203,5.261,43.4127,813.2767,32.3931,118.4733,209.8613,181.5907,270.9583,1667.2599,7.4946,1259.3493,7.4062,49.6288,343.381,
2006,56547.5065,631.8324,165.7416,103.6331,155.5426,35.5322,171.3829,3352.83,1245.2381,1388.8038,292.6318,245.5667,174.8532,5.7364,20289.4184,980.1455,614.6047,472.6716,108.4514,1016.6208,430.3962,222.8904,336.9265,223.1032,481.3597,250.0845,82.6083,752.2373,1792.5145,651.7647,129.5974,243.2251,588.4852,1521.1644,1758.5893,763.1505,883.6255,1335.8634,907.6626,1545.4566,882.5094,779.5485,170.8837,332.0211,31.2564,3655.233,3045.8229,218.3486,391.0615,594.6718,493.5538,34.7241,15.1292,51.2647,4885.4522,710.5129,2744.2544,359.926,575.0617,130.6444,37.8708,45.0772,265.8368,16.268,1594.9339,1506.2705,31.0778,57.5856,1618.9633,727.9834,890.9799,743.6002,480.8755,262.7247,102.0167,77.0044,9.6564,8.1276,7.2283,10057.4214,546.8316,24.0406,522.791,292.1677,121.4431,69.9898,53.5561,47.1787,4061.4753,381.4104,272.0151,3408.0498,151.734,100.0965,51.6375,1348.3541,489.9423,458.8489,6.5921,24.5013,548.7771,24.5933,89.7675,132.0799,98.3683,203.9681,1581.7161,9.4989,1291.5901,5.0222,24.088,251.5169,0.135
2005,44154.5146,456.9842,120.2628,62.6372,119.8975,40.1368,114.0499,2570.5329,954.1153,1099.5563,238.7302,156.8754,118.0281,3.2276,14987.6225,701.4542,415.6972,282.1942,87.6732,804.2825,288.1291,146.1774,223.2157,149.2869,339.542,190.3523,53.8157,619.7424,1345.9755,559.2602,110.8809,145.6531,359.7855,1090.602,1799.7319,565.6436,585.1911,848.4968,592.0046,1191.0675,588.6269,545.1944,112.5187,232.2555,13.1715,3159.5129,2697.3823,175.7013,286.4293,449.4106,389.279,21.6593,10.2499,28.2224,3872.1859,388.3638,2359.249,262.2938,441.067,152.8483,38.1089,32.6494,182.3694,15.2363,1379.0469,1319.1591,17.5878,42.3,1275.7797,578.3488,697.4309,531.188,346.0113,185.1767,91.0942,66.2788,10.1098,7.1719,7.5337,7821.1119,391.2684,13.7674,377.501,255.3832,105.4803,65.0395,45.5729,39.2905,3298.6047,347.3478,168.8312,2782.4257,106.0255,72.0704,33.9551,1253.4301,406.2855,381.1195,6.2882,18.8778,455.5401,16.5663,69.1358,135.4736,85.3122,149.0522,1393.5074,11.6307,1136.3803,4.9618,22.6817,217.8529,
2004,32196.07,333.64,96.01,56.34,84.33,20.54,76.42,1627.13,532.43,837.65,110.07,88.67,56.76,1.56,10178.84,392.88,283.45,195.23,88.66,528.31,175.78,77.05,129.77,78.47,217.64,128.96,33.48,509.95,972.74,450.65,87.99,109.92,211.91,789.83,1427.28,394.21,314.0,448.32,350.37,787.34,356.9,423.91,93.56,110.29,10.02,2411.11,2067.11,128.3,215.7,358.95,303.98,16.61,6.52,31.84,2959.01,252.57,1830.63,219.62,304.27,110.67,54.11,36.21,127.34,23.59,1468.58,1438.24,8.98,21.36,874.78,354.8,519.98,322.82,200.97,121.85,75.65,63.99,1.19,4.37,6.1,1085.78,5450.24,5.17,237.51,198.24,99.26,47.31,32.52,19.15,2504.43,251.31,120.65,2132.47,80.27,44.03,36.24,1056.6,303.26,286.22,2.07,14.96,357.77,13.55,58.62,89.95,65.2,130.44,1179.23,9.85,1019.52,0.88,19.58,129.41,0.1
2003,23617.35,247.7504,70.3578,47.2012,58.2423,13.8202,58.1289,1185.3771,339.7085,718.4379,40.1881,50.8584,35.4342,0.75,7120.8995,278.8575,201.0487,152.6559,70.4899,396.3685,120.5933,54.071,79.8565,52.0388,200.8965,93.8183,29.9212,239.2107,655.8522,384.6589,64.5364,73.5446,152.9461,526.8337,1056.2425,319.563,194.3348,273.9206,228.39,517.7647,201.5983,311.7288,58.0421,128.0181,3.0979,1345.614,1126.4935,77.634,141.4865,312.8657,280.3895,9.9217,9.029,13.5255,2280.6868,232.4408,1358.3138,218.4534,209.0109,95.9227,53.9064,23.9897,65.4219,23.2272,1390.3976,1363.6755,7.8021,18.92,579.5317,238.2954,341.2363,221.6827,141.5793,80.1034,73.3605,60.7108,1.6521,4.7489,6.2487,4030.5484,199.0173,1.7655,197.2518,163.4048,68.3938,49.4517,23.9564,21.6029,2003.3969,251.1688,118.7494,1633.4787,42.4659,31.5444,10.9215,864.966,217.8233,203.6139,1.9462,12.2632,314.481,15.9273,58.5416,73.7265,61.1934,105.0922,1022.8187,11.4744,913.9892,1.4412,15.674,80.2399,0.26
2002,16567.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,13708.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,11227.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
