年份,固定资产投资(不含农户)施工项目,农、林、牧、渔业固定资产投资(不含农户)施工项目,农业固定资产投资(不含农户)施工项目,林业固定资产投资(不含农户)施工项目,畜牧业固定资产投资(不含农户)施工项目,渔业固定资产投资(不含农户)施工项目,农、林、牧、渔服务业固定资产投资(不含农户)施工项目,采矿业固定资产投资(不含农户)施工项目,煤炭开采和洗选业固定资产投资(不含农户)施工项目,石油和天然气开采业固定资产投资(不含农户)施工项目,黑色金属矿采选业固定资产投资(不含农户)施工项目,有色金属矿采选业固定资产投资(不含农户)施工项目,非金属矿采选业固定资产投资(不含农户)施工项目,其他采矿业固定资产投资(不含农户)施工项目,制造业固定资产投资(不含农户)施工项目,农副食品加工业固定资产投资(不含农户)施工项目,食品制造业固定资产投资(不含农户)施工项目,饮料制造业固定资产投资(不含农户)施工项目,烟草制品业固定资产投资(不含农户)施工项目,纺织业固定资产投资(不含农户)施工项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)施工项目,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)施工项目,木材加工及木竹藤棕草制品业固定资产投资(不含农户)施工项目,家具制造业固定资产投资(不含农户)施工项目,造纸及纸制品业固定资产投资(不含农户)施工项目,印刷业和记录媒介的复制固定资产投资(不含农户)施工项目,文教体育用品制造业固定资产投资(不含农户)施工项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)施工项目,化学原料及化学制品制造业固定资产投资(不含农户)施工项目,医药制造业固定资产投资(不含农户)施工项目,化学纤维制造业固定资产投资(不含农户)施工项目,橡胶制品业固定资产投资(不含农户)施工项目,塑料制品业固定资产投资(不含农户)施工项目,非金属矿物制品业固定资产投资(不含农户)施工项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)施工项目,有色金属冶炼及压延加工业固定资产投资(不含农户)施工项目,金属制品业固定资产投资(不含农户)施工项目,通用设备制造业固定资产投资(不含农户)施工项目,专用设备制造业固定资产投资(不含农户)施工项目,交通运输设备制造业固定资产投资(不含农户)施工项目,电气机械及器材制造业固定资产投资(不含农户)施工项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)施工项目,仪器仪表文化办公用机械制造业固定资产投资(不含农户)施工项目,工艺品及其他制造业固定资产投资(不含农户)施工项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)施工项目,电力、燃气及水的生产和供应业固定资产投资(不含农户)施工项目,电力、热力的生产和供应业固定资产投资(不含农户)施工项目,燃气生产和供应业固定资产投资(不含农户)施工项目,水的生产和供应业固定资产投资(不含农户)施工项目,建筑业固定资产投资(不含农户)施工项目,房屋和土木工程建筑业固定资产投资(不含农户)施工项目,建筑安装业固定资产投资(不含农户)施工项目,建筑装饰业固定资产投资(不含农户)施工项目,其他建筑业固定资产投资(不含农户)施工项目,交通运输、仓储和邮政业固定资产投资(不含农户)施工项目,铁路运输业固定资产投资(不含农户)施工项目,道路运输业固定资产投资(不含农户)施工项目,城市公共交通业固定资产投资(不含农户)施工项目,水上运输业固定资产投资(不含农户)施工项目,航空运输业固定资产投资(不含农户)施工项目,管道运输业固定资产投资(不含农户)施工项目,装卸搬运和其他运输服务业固定资产投资(不含农户)施工项目,仓储业固定资产投资(不含农户)施工项目,邮政业固定资产投资(不含农户)施工项目,信息传输、计算机服务和软件业固定资产投资(不含农户)施工项目,电信和其他信息传输服务业固定资产投资(不含农户)施工项目,计算机服务业固定资产投资(不含农户)施工项目,软件业固定资产投资(不含农户)施工项目,批发和零售业固定资产投资(不含农户)施工项目,批发业固定资产投资(不含农户)施工项目,零售业固定资产投资(不含农户)施工项目,住宿和餐饮业固定资产投资(不含农户)施工项目,住宿业固定资产投资(不含农户)施工项目,餐饮业固定资产投资(不含农户)施工项目,金融业固定资产投资(不含农户)施工项目,银行业固定资产投资(不含农户)施工项目,证券业固定资产投资(不含农户)施工项目,保险业固定资产投资(不含农户)施工项目,其他金融活动固定资产投资(不含农户)施工项目,房地产业固定资产投资(不含农户)施工项目,租赁和商务服务业固定资产投资(不含农户)施工项目,租赁业固定资产投资(不含农户)施工项目,商务服务业固定资产投资(不含农户)施工项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)施工项目,研究与试验发展固定资产投资(不含农户)施工项目,专业技术服务业固定资产投资(不含农户)施工项目,科技交流和推广服务业固定资产投资(不含农户)施工项目,地质勘查业固定资产投资(不含农户)施工项目,水利、环境和公共设施管理业固定资产投资(不含农户)施工项目,水利管理业固定资产投资(不含农户)施工项目,环境管理业固定资产投资(不含农户)施工项目,公共设施管理业固定资产投资(不含农户)施工项目,居民服务和其他服务业固定资产投资(不含农户)施工项目,居民服务业固定资产投资(不含农户)施工项目,其他服务业固定资产投资(不含农户)施工项目,教育固定资产投资(不含农户)施工项目,卫生、社会保障和社会福利业固定资产投资(不含农户)施工项目,卫生固定资产投资(不含农户)施工项目,社会保障业固定资产投资(不含农户)施工项目,社会福利业固定资产投资(不含农户)施工项目,文化、体育和娱乐业固定资产投资(不含农户)施工项目,新闻出版业固定资产投资(不含农户)施工项目,广播、电视、电影和音像业固定资产投资(不含农户)施工项目,文化艺术业固定资产投资(不含农户)施工项目,体育固定资产投资(不含农户)施工项目,娱乐业固定资产投资(不含农户)施工项目,公共管理和社会组织固定资产投资(不含农户)施工项目,中国共产党机关固定资产投资(不含农户)施工项目,国家机构固定资产投资(不含农户)施工项目,人民政协和民主党派固定资产投资(不含农户)施工项目,群众团体、社会团体和宗教组织固定资产投资(不含农户)施工项目,基层群众自治组织固定资产投资(不含农户)施工项目,国际组织固定资产投资(不含农户)施工项目
2009,451262.0,21845.0,4419.0,3565.0,5991.0,625.0,7245.0,14474.0,5844.0,377.0,2296.0,2530.0,3324.0,103.0,159150.0,11412.0,5375.0,3662.0,422.0,6734.0,4805.0,2138.0,5146.0,2936.0,3522.0,2241.0,1063.0,1811.0,11940.0,3922.0,487.0,1523.0,5723.0,18683.0,3660.0,3774.0,9434.0,13378.0,8600.0,9210.0,8723.0,4007.0,1413.0,2745.0,661.0,23431.0,14218.0,2203.0,7010.0,7155.0,5217.0,332.0,1121.0,485.0,33416.0,864.0,26072.0,768.0,1350.0,290.0,120.0,552.0,3210.0,190.0,13853.0,13162.0,357.0,334.0,17748.0,7584.0,10164.0,9482.0,4718.0,4764.0,1381.0,1110.0,38.0,76.0,157.0,26238.0,3665.0,160.0,3505.0,3236.0,985.0,1143.0,754.0,354.0,50187.0,10664.0,4884.0,34639.0,3030.0,2098.0,932.0,20797.0,12299.0,10213.0,441.0,1645.0,7360.0,112.0,765.0,3274.0,878.0,2331.0,22515.0,182.0,18143.0,35.0,683.0,3472.0,
2008,359213.0,16041.0,3052.0,2637.0,4776.0,522.0,5054.0,12256.0,5042.0,336.0,2112.0,2127.0,2573.0,66.0,137959.0,9415.0,4639.0,2908.0,323.0,6283.0,4146.0,2121.0,4655.0,2414.0,2961.0,1998.0,1016.0,1426.0,10351.0,3286.0,495.0,1381.0,5209.0,15581.0,3672.0,3253.0,8165.0,11822.0,7412.0,8024.0,6964.0,3693.0,1209.0,2607.0,530.0,17947.0,11847.0,1371.0,4729.0,5737.0,4855.0,208.0,250.0,424.0,28071.0,902.0,22326.0,712.0,1115.0,241.0,77.0,342.0,2220.0,136.0,9926.0,9457.0,243.0,226.0,13265.0,5698.0,7567.0,7406.0,3866.0,3540.0,900.0,716.0,21.0,72.0,91.0,19442.0,2724.0,139.0,2585.0,2374.0,785.0,874.0,450.0,265.0,37565.0,7966.0,3099.0,26500.0,2218.0,1520.0,698.0,13749.0,6539.0,5268.0,170.0,1101.0,5105.0,119.0,655.0,1915.0,696.0,1720.0,19989.0,185.0,16659.0,42.0,461.0,2642.0,
2007,326204.0,12317.0,2559.0,2305.0,2574.0,356.0,4523.0,11157.0,4642.0,310.0,1690.0,2213.0,2251.0,51.0,126112.0,8618.0,4284.0,2832.0,316.0,6698.0,4287.0,1930.0,4341.0,2095.0,2827.0,1892.0,926.0,1507.0,9598.0,3183.0,440.0,1275.0,4856.0,12948.0,3460.0,2984.0,7211.0,10837.0,6669.0,6751.0,6110.0,3173.0,1084.0,2618.0,362.0,16650.0,11438.0,1286.0,3926.0,4769.0,4050.0,205.0,192.0,322.0,24783.0,683.0,20086.0,537.0,875.0,272.0,74.0,229.0,1898.0,129.0,12994.0,12609.0,184.0,201.0,12139.0,5241.0,6898.0,6707.0,3571.0,3136.0,812.0,652.0,15.0,70.0,75.0,17514.0,2203.0,114.0,2089.0,2195.0,736.0,786.0,372.0,301.0,30847.0,6450.0,2515.0,21882.0,1776.0,1164.0,612.0,13720.0,5965.0,4965.0,123.0,877.0,4348.0,123.0,609.0,1519.0,670.0,1427.0,19196.0,208.0,16157.0,60.0,462.0,2309.0,
2006,283920.0,10681.0,2555.0,2151.0,1900.0,300.0,3775.0,9776.0,4120.0,437.0,1667.0,1607.0,1893.0,52.0,106930.0,7089.0,3667.0,2465.0,274.0,6132.0,3444.0,1595.0,3546.0,1708.0,2562.0,1769.0,769.0,1273.0,8595.0,3291.0,388.0,1098.0,4217.0,10612.0,3441.0,2397.0,5942.0,8246.0,5361.0,5597.0,4998.0,2963.0,917.0,2322.0,252.0,15665.0,11207.0,1018.0,3440.0,5049.0,4346.0,212.0,172.0,319.0,21288.0,882.0,16874.0,651.0,781.0,271.0,54.0,193.0,1378.0,204.0,6638.0,6299.0,156.0,183.0,11423.0,4776.0,6647.0,5529.0,2873.0,2656.0,741.0,606.0,16.0,64.0,55.0,12344.0,2102.0,124.0,1978.0,2048.0,742.0,687.0,357.0,262.0,26297.0,5633.0,2048.0,18616.0,1624.0,1142.0,482.0,15112.0,5664.0,4902.0,118.0,644.0,4137.0,119.0,675.0,1491.0,610.0,1242.0,20871.0,259.0,17706.0,64.0,439.0,2403.0,1.0
2005,261535.0,12772.0,2572.0,2054.0,2095.0,320.0,5731.0,8958.0,4242.0,330.0,1497.0,1259.0,1578.0,52.0,90627.0,5850.0,3244.0,2067.0,310.0,5310.0,2946.0,1345.0,2480.0,1356.0,2220.0,1531.0,712.0,1282.0,7438.0,3201.0,394.0,938.0,3299.0,7888.0,3767.0,2154.0,4860.0,6683.0,4311.0,4932.0,4302.0,2774.0,888.0,1982.0,163.0,15025.0,10907.0,879.0,3239.0,6393.0,5828.0,195.0,131.0,239.0,21795.0,1571.0,17094.0,576.0,822.0,213.0,53.0,173.0,1077.0,216.0,7740.0,7460.0,106.0,174.0,11021.0,4980.0,6041.0,4701.0,2431.0,2270.0,857.0,719.0,13.0,69.0,56.0,5107.0,1763.0,110.0,1653.0,2060.0,777.0,730.0,329.0,224.0,24477.0,5454.0,1963.0,17060.0,1272.0,896.0,376.0,16598.0,6118.0,5458.0,90.0,570.0,3625.0,102.0,712.0,1270.0,498.0,1043.0,20626.0,464.0,17836.0,68.0,465.0,1793.0,
2004,215440.0,8318.0,2195.0,1879.0,1557.0,274.0,2413.0,5996.0,2782.0,266.0,1011.0,882.0,1027.0,28.0,72293.0,4481.0,2573.0,1600.0,417.0,4166.0,2300.0,887.0,1794.0,966.0,1751.0,1170.0,488.0,1412.0,6588.0,3222.0,339.0,673.0,2376.0,6207.0,4636.0,2085.0,3383.0,4139.0,3229.0,3924.0,3120.0,2144.0,682.0,1432.0,109.0,14842.0,11064.0,850.0,2928.0,3938.0,3495.0,149.0,129.0,165.0,17822.0,1167.0,13387.0,509.0,1018.0,229.0,38.0,217.0,933.0,324.0,10697.0,10472.0,89.0,136.0,8498.0,3592.0,4906.0,3534.0,1906.0,1628.0,934.0,817.0,6.0,70.0,41.0,3787.0,1350.0,53.0,1297.0,1802.0,767.0,618.0,264.0,153.0,19821.0,4931.0,1503.0,13387.0,927.0,640.0,287.0,13813.0,5408.0,4877.0,72.0,459.0,3099.0,99.0,627.0,1108.0,461.0,804.0,18724.0,304.0,16656.0,61.0,406.0,1297.0,5.0
2003,203215.0,7803.0,2065.0,1850.0,1410.0,286.0,2192.0,5318.0,2989.0,270.0,443.0,736.0,859.0,21.0,66598.0,3681.0,2296.0,1593.0,456.0,4355.0,1996.0,859.0,1520.0,833.0,1744.0,1043.0,597.0,1538.0,6446.0,3171.0,317.0,634.0,2354.0,5886.0,4103.0,1731.0,2894.0,3373.0,2896.0,3278.0,2616.0,2281.0,685.0,1359.0,63.0,13570.0,10239.0,686.0,2645.0,4384.0,3955.0,145.0,131.0,153.0,16154.0,1361.0,11143.0,823.0,873.0,182.0,33.0,240.0,935.0,564.0,10245.0,10015.0,84.0,146.0,7973.0,3605.0,4368.0,3047.0,1756.0,1291.0,1189.0,1025.0,11.0,114.0,39.0,2420.0,1431.0,41.0,1390.0,1877.0,859.0,615.0,240.0,163.0,18564.0,5377.0,1359.0,11828.0,814.0,617.0,197.0,14416.0,4458.0,3892.0,96.0,470.0,3131.0,114.0,778.0,1085.0,468.0,686.0,19821.0,365.0,17565.0,90.0,401.0,1400.0,2.0
2002,181363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,173950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,170430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
