年份,广播播出时间,中央级广播播出时间,省级广播播出时间,电视播出时间,中央级电视播出时间,省级电视播出时间,广播新闻咨讯类节目播出时间,中央级广播新闻咨讯类节目播出时间,省级广播新闻咨讯类节目播出时间,电视新闻咨讯类节目播出时间,中央级电视新闻咨讯类节目播出时间,省级电视新闻咨讯类节目播出时间,广播专题服务类节目播出时间,中央级广播专题服务类节目播出时间,省级广播专题服务类节目播出时间,电视专题服务类节目播出时间,中央级电视专题服务类节目播出时间,省级电视专题服务类节目播出时间,广播综艺益智类节目播出时间,中央级广播综艺益智类节目播出时间,省级广播综艺益智类节目播出时间,电视综艺益智类节目播出时间,中央级电视综艺益智类节目播出时间,省级电视综艺益智类节目播出时间,广播(影视)剧类节目播出时间,中央级广播(影视)剧类节目播出时间,省级广播(影视)剧类节目播出时间,电视广播(影视)剧类节目播出时间,中央级电视广播(影视)剧类节目播出时间,省级电视广播(影视)剧类节目播出时间,广播广告类节目播出时间,中央级广播广告类节目播出时间,省级广播广告类节目播出时间,电视广告类节目播出时间,中央级电视广告类节目播出时间,省级电视广告类节目播出时间,广播其他类节目播出时间,中央级广播其他类节目播出时间,省级广播其他类节目播出时间,电视其他类节目播出时间,中央级电视其他类节目播出时间,省级电视其他类节目播出时间
2009,12265513.2166667,173114.916666667,12092398.3,15776767.1166667,174313.633333333,15602453.4833333,2416269.03333333,49502.3333333333,2366766.7,1959742.58333333,49851.8,1909890.78333333,2738047.76666667,60644.3,2677403.46666667,1703188.66666667,54963.9833333333,1648224.68333333,3495246.5,43520.8333333333,3451725.66666667,1314713.48333333,22827.3333333333,1291886.15,538451.1,2265,536186.1,6982129.83333333,37587.8166666667,6944542.01666666,1135408.1,8412.15,1126995.95,2047041.48333333,9082.7,2037958.78333333,1942090.71666667,8770.3,1933320.41666667,1769951.06666667,,1769951.0
2008,11629729.1166667,148808.1,1657004.48333333,14953361.6166667,138738.183333333,1993202.46666667,2304020.61666667,47791.4,255292.55,1813994.78333333,40601.4,200379.183333333,2602136.23333333,52535.1666666667,421578.15,1576236.33333333,36934.5166666667,326888.2,3381502.31666667,29102.8333333333,481209.5,1214110.83333333,17840.55,141176.433333333,506122.75,1277.5,52146.7833333333,6629025.78333333,33871.95,727592.566666667,1086299.46666667,6668.45,235721.033333333,1986190.4,8587.76666666667,331885.333333333,1749647.73333333,11432.75,211056.466666667,1733803.48333333,902.0,265280.75
2007,11272365.0,,,14546657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,10780486.0,,,13604469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
