年份,广播节目综合人口覆盖率,农村广播人口覆盖率,广播节目套数,公共广播节目套数,付费广播节目套数,公共广播节目播出时间,制作广播节目时间,电视节目综合人口覆盖率,农村电视人口覆盖率,全国有线广播电视用户数,农村有线广播电视用户数,数字电视用户数,电视节目套数,公共电视节目套数,付费电视节目套数,公共电视节目播出时间,电视剧播出部数,进口电视剧播出部数,电视剧播出集数,进口电视剧播出集数,动画电视播出数,进口动画电视播出数,制作电视节目时间,国有电影制片厂数,电影故事片厂数,电影院线,电影院线内影院,电影院线内银幕,全国电影综合收入,国内电影票房收入,全国电影票房收入,国产电影票房收入,进口电影票房收入,电视播映收入,国产影片海外销售收入,全国广播电视总收入,全国广播电视从业人员数,中、短波转播发射台,调频转播发射台,电视转播发射台,微波实有站
2009,96.31,95.1,2521.0,2520,1.0,12265513.2166667,6716500,97.23,91.9,17523.0,6863.0,6322.0,3337.0,3250,87.0,15776767.1166667,23.825,9099,605.0882,22.4139,,,2653552,38.0,,37,1687.0,4723,106.65,62.06,,,,16.89,27.7,1852.85,70.58,809.0,12100.0,17700.0,2591.0
2008,95.96,94.74,2437.0,2436,1.0,11629729.1166667,6494035,96.95,91.6,16398.0,6558.0,4528.0,3288.0,3199,89.0,14953361.6166667,22.569,9251,550.4326,22.9565,,,2641949,38.0,,34,1545.0,4097,84.33,43.41,,,,25.28,15.6,1583.91,67.17,808.0,12087.0,18490.0,2674.0
2007,95.43,94.12,2433.0,2432,1.0,11272365.0,6332506,96.58,95.6,15325.0,6180.0,2686.0,3214.0,3127,87.0,14546657.0,22.5676,10652,534.972,26.4228,,,2553283,38.0,,34,1427.0,3527,67.26,33.27,,,,13.79,20.2,1316.4,64.53,802.0,10582.0,18249.0,2745.0
2006,95.04,94.11,2366.0,2365,1.0,10780486.0,6192339,96.23,95.56,13995.0,5490.0,1266.0,3092.0,2983,109.0,13604469.0,22.7269,13311,490.2687,25.08,,,2618034,36.0,,34,1325.0,3034,57.3,26.2,,,,12.0,19.1,1099.12,62.43,800.0,16657.0,27163.0,
2005,94.48,,2306.0,,,,6139227,95.81,,,,,2899.0,,,,,,,,,,2553861,,,,,,,,,,,,,931.147267000001,59.5377,,,,
2004,94.05,,,,,,5267457,95.29,,,,,,,,,,,,,,,2117158,,,,,,,,,,,,,,,,,,
2003,93.72,,2064.0,,,,5023387,94.94,,,,,2262.0,,,,,,,,,,1791110,,,,,,,,,,,,,,,,,,
2002,93.34,,1983.0,,,,4414043,94.61,,,,,2124.0,,,,,,,,,,1680909,,,,,,,,,,,,,,,,,,
2001,92.92,,1935.0,,,,4159478,94.18,,,,,2194.0,,,,,,,,,,1578755,,,,,,,,,,,,,,,,,,
2000,92.5,,1934.0,,,,4043046,93.7,,,,,1206.0,,,,,,,,,,871081,,,,,,,,,,,,,,,,,,
