年份,音像、电子出版物出口种数,录音出版物出口种数,录音带出口种数,激光唱片出口种数,数码激光唱盘出口种数,录像出版物出口种数,VT出口种数,DVD—V出口种数,VCD出口种数,电子出版物出口种数,音像、电子出版物出口数量,录音出版物出口数量,录音带出口数量,激光唱片出口数量,数码激光唱盘出口数量,录像出版物出口数量,VT出口数量,DVD—V出口数量,VCD出口数量,电子出版物出口数量,音像、电子出版物出口金额,录音出版物出口金额,录音带出口金额,激光唱片出口金额,数码激光唱盘出口金额,录像出版物出口金额,VT出口金额,DVD—V出口金额,VCD出口金额,电子出版物出口金额,音像、电子出版物进口种数,录音出版物进口种数,录音带进口种数,激光唱片进口种数,数码激光唱盘进口种数,录像出版物进口种数,VT进口种数,DVD—V进口种数,VCD进口种数,电子出版物进口种数,音像、电子出版物进口数量,录音出版物进口数量,录音带进口数量,激光唱片进口数量,数码激光唱盘进口数量,录像出版物进口数量,VT进口数量,DVD—V进口数量,VCD进口数量,电子出版物进口数量,音像、电子出版物进口金额,录音出版物进口金额,录音带进口金额,激光唱片进口金额,数码激光唱盘进口金额,录像出版物进口金额,VT进口金额,DVD—V进口金额,VCD进口金额,电子出版物进口金额
2009,19771.0,1878.0,1764.0,,,17864.0,,10859.0,7005.0,29.0,100053,39250,37879.0,,,60673,,29499.0,31174.0,130.0,61.113983,7.3572,7.0951,,,53.192433,,8.392833,44.7996,0.56435,9479.0,5258.0,5258.0,,,2274.0,,2254.0,,1947.0,167428,93655,93655.0,,,8507,,8481.0,,65266.0,6527.05895,91.65,91.65,,,33.89,,33.59,,6401.51895
2008,16521.0,4318.0,15.0,4303.0,,12192.0,,9023.0,3169.0,11.0,271204.0325,98804,2115.0,96689.0,,172226.0325,,118835.0325,53391.0,174.0,101.315414,23.1682,,23.1682,,77.140354,,70.828885,6.311469,0.81686,11717.0,9485.0,,9485.0,,592.0,,592.0,,1640.0,163822.036,108216,,108216.0,,4082,,4082.0,,51524.036,4556.80649049275,95.2226086956522,,95.2226086956522,,5.33840579710145,,5.33840579710145,,4456.245476
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
