年份,连锁餐饮企业餐饮营业面积,内资连锁餐饮企业餐饮营业面积,国有连锁餐饮企业餐饮营业面积,集体连锁餐饮企业餐饮营业面积,股份合作连锁餐饮企业餐饮营业面积,有限责任公司连锁餐饮企业餐饮营业面积,国有独资公司连锁餐饮企业餐饮营业面积,其他有限责任公司连锁餐饮企业餐饮营业面积,股份有限公司连锁餐饮企业餐饮营业面积,私营连锁餐饮企业餐饮营业面积,私营独资连锁餐饮企业餐饮营业面积,私营合伙连锁餐饮企业餐饮营业面积,私营有限责任公司连锁餐饮企业餐饮营业面积,私营股份有限公司连锁餐饮企业餐饮营业面积,其他连锁餐饮企业餐饮营业面积,港、澳、台商投资连锁餐饮企业餐饮营业面积,港、澳、台商合资经营连锁餐饮企业餐饮营业面积,港、澳、台商合作经营连锁餐饮企业餐饮营业面积,港、澳、台商独资经营连锁餐饮企业餐饮营业面积,港、澳、台商投资股份有限公司连锁餐饮企业餐饮营业面积,其他港澳台商投资连锁餐饮企业餐饮营业面积,外商投资连锁餐饮企业餐饮营业面积,中外合资经营连锁餐饮企业餐饮营业面积,中外合作经营连锁餐饮企业餐饮营业面积,外资连锁餐饮企业餐饮营业面积,外商投资股份有限公司连锁餐饮企业餐饮营业面积,其他外商投资连锁餐饮企业餐饮营业面积,正餐服务业餐饮营业面积,快餐服务业餐饮营业面积,饮料及冷饮服务业餐饮营业面积,其他餐饮服务业餐饮营业面积
2009,691.5547,389.3953,1.7294,1.8703,6.884,130.4871,,130.4871,64.5386,181.7279,8.6748,1.8913,152.6396,18.5222,2.158,57.3828,11.1731,2.3707,33.319,10.52,,244.7766,56.8129,8.297,147.6157,32.051,,,,,
2008,651.8555,374.1519,1.063,1.644,3.4681,114.9722,,114.9722,66.6994,183.0142,19.9849,1.0585,150.7868,11.184,3.291,45.1126,8.3855,1.7884,25.1937,9.745,,232.591,54.6556,5.9698,146.4686,25.497,,443.2579,191.7911,4.2755,12.531
2007,629.2478,352.3535,1.0268,1.644,2.6781,113.2034,1.556,113.2034,68.1745,163.6227,18.6676,0.825,142.1921,1.938,2.004,40.7429,7.2737,1.6713,23.1643,8.6336,,186.386,45.0244,5.6652,116.2934,19.403,,408.3636,158.7575,3.366,8.9953
2006,588.2,381.5822,3.5878,1.6699,9.0429,101.9675,1.496,100.4715,25.028,239.3561,54.0821,3.3356,164.5565,17.3819,0.93,17.3755,9.2969,0.3395,7.7391,,,173.03,33.6647,19.8801,93.0747,26.4105,,397.5063,152.0988,12.6864,9.6962
2005,478.1,320.8256,3.0903,0.3652,3.0921,82.3876,1.2619,81.1257,18.748,212.3224,27.2766,4.502,175.2326,5.3112,0.82,18.9154,10.8108,1.7387,6.3659,,,138.3562,45.603,16.7384,56.3308,19.7,,338.1582,123.6409,10.296,6.0021
2004,352.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
