年份,建筑业企业单位数,建筑业企业从业人员,建筑业企业固定资产原价,建筑业企业固定资产净价,建筑业企业自有施工机械设备年末总台数,建筑业企业自有施工机械设备年末净值,建筑业企业自有施工机械设备年末总功率,建筑业企业建筑业总产值,建筑业企业建筑业增加值,建筑业企业本年固定资产折旧,建筑业企业应付职工薪酬,建筑业企业主营业务税金及附加,建筑业企业管理费用中的税金,建筑业企业房屋施工面积,建筑业企业房屋竣工面积,建筑业企业利润总额,建筑业企业税金总额,建筑业企业按总产值计算劳动生产率,建筑业企业按增加值计算劳动生产率,建筑业企业技术装备率,建筑业企业动力装备率,建筑业企业房屋建筑面积竣工率,建筑业企业产值利润率,建筑业企业产值利税率
2009,70817,3672.5571,11631.37932,7591.91589,9734910,37049783.7,19022.5552,76807.74164,15619.8,756.31386,8151.77586,2524.60441,129.08128,588593.9096,245401.6392,2718.75516,2653.68569,185087.231133373,37639.808543498,10088.0,5.2,41.6928607648644,3.53968897138374,6.99466061009941
2008,71095,3314.9503,10257.999,6654.68575,9448056,32869150.6,18195.3677,62036.80608,12488.9,715.77977,7501.36749,2147.63752,117.34582,530518.6276,223592.02,2201.83887,2264.98334,161804.731227174,32444.0,9915.0,5.5,42.1458560864301,3.54924601882406,7.20027753240516
2007,62074,3133.71,9175.82,5990.69,9487515,28856330.6,15579.3935,51043.71,9944.4,541.9,5375.5,1634.808,79.46681,482005.5,203992.7,1561.12248,1714.27481,148100.556180994,28852.9789123068,9208.35554873652,4.97154667966254,42.3216481006276,3.05840298805262,6.41684748450708
2006,60166,2878.16,8395.68,5520.02,8973042,26217542.3,14156.2931,41557.16,8116.4,487.45,4369.28,1335.41,66.07385,410154.4,179673.0,1193.0744,1401.49,131800.29,25741.0,9109.13587091138,4.91852347564803,43.8061753377222,2.85,6.22356447142597
2005,58750,2699.92,7621.45,5056.5,8798527,25037702.0,13765.5574,34552.1,6899.7,445.28,3772.16,1101.4,58.4,352744.7,159406.2,906.6623,1159.79,117317.44,23427.13,9273.48090311697,5.09849640632597,45.1902505004541,2.62,5.98067845369746
2004,59018,2500.3,,,8466386,23245244.3,14584.05,29021.45,5615.8,,,894.1,42.09,310985.71,147364.04,719.24681,,101938.64541414,,9297.0,5.8,47.4,,5.7
2003,48688,2414.27,,,8001782,24039576.0,11712.38,23083.87,4654.7,,,720.29,38.36,259377.13,122827.61,519.8716,,86666.0,,9957.0,4.85,47.4,,5.5
2002,47820,2245.19,,,7540011,21722927.0,11022.52,18527.18,3822.4,,,566.76,32.67,215608.7,110217.1,370.3532,,76171.0,,9675.0,4.91,51.1,,5.2
2001,45893,2110.66,,,7022174,15062491.0,10251.72,15361.56,4023.6,,,472.33,26.7,188328.7,97699.0,294.3904,,67275.0,,7136.0,4.86,51.9,,5.2
2000,47518,1994.3,,,6259885,12572317.0,9228.1,12497.6,3341.1,,,362.19,24.96,160141.1,80714.9,192.0635,,59585.0,,6304.0,4.6,50.4,,4.6
