年份,中国对拉丁美洲承包工程完成营业额,中国对安提瓜和巴布达承包工程完成营业额,中国对阿根廷承包工程完成营业额,中国对阿鲁巴岛承包工程完成营业额,中国对巴哈马承包工程完成营业额,中国对巴巴多斯承包工程完成营业额,中国对伯利兹承包工程完成营业额,中国对玻利维亚承包工程完成营业额,中国对博内尔承包工程完成营业额,中国对巴西承包工程完成营业额,中国对开曼群岛承包工程完成营业额,中国对智利承包工程完成营业额,中国对哥伦比亚承包工程完成营业额,中国对多米尼克承包工程完成营业额,中国对哥斯达黎加承包工程完成营业额,中国对古巴承包工程完成营业额,中国对库腊索岛承包工程完成营业额,中国对多米尼加共和国承包工程完成营业额,中国对厄瓜多尔承包工程完成营业额,中国对法属圭亚那承包工程完成营业额,中国对格林纳达承包工程完成营业额,中国对瓜德罗普岛承包工程完成营业额,中国对危地马拉承包工程完成营业额,中国对圭亚那承包工程完成营业额,中国对海地承包工程完成营业额,中国对洪都拉斯承包工程完成营业额,中国对牙买加承包工程完成营业额,中国对马提尼克岛承包工程完成营业额,中国对墨西哥承包工程完成营业额,中国对蒙特塞拉特承包工程完成营业额,中国对尼加拉瓜承包工程完成营业额,中国对巴拿马承包工程完成营业额,中国对巴拉圭承包工程完成营业额,中国对秘鲁承包工程完成营业额,中国对波多黎各承包工程完成营业额,中国对萨巴承包工程完成营业额,中国对圣卢西亚承包工程完成营业额,中国对圣马丁岛承包工程完成营业额,中国对圣文森特和格林纳丁斯承包工程完成营业额,中国对萨尔瓦多承包工程完成营业额,中国对苏里南承包工程完成营业额,中国对特立尼达和多巴哥承包工程完成营业额,中国对特克斯和凯科斯岛承包工程完成营业额,中国对乌拉圭承包工程完成营业额,中国对委内瑞拉承包工程完成营业额,中国对英属维尔京群岛承包工程完成营业额,中国对圣其茨-尼维斯承包工程完成营业额,中国对荷属安地列斯群岛承包工程完成营业额,中国对拉美其他国家(地区)承包工程完成营业额
2009,364418,844,18058,,1291,1560,2597.0,111,,111156,,8218,6928,,3283,4698,,1002,22247,,164,,2200,1395,,,9776,,16557,,,7,,18967,0.0,,,,404.0,,7711,27538,309.0,2269,92847,,,,
2008,299547,193,10810,,536,1755,3634.0,150,,93145,,2961,10532,,,5306,,104,10754,,1074,,39,932,,,4660,,52329,,,187,,7527,,,,,1170.0,,1737,10274,2320.0,,77418,,,,
2007,287786,667,14196,,,1524,1608.0,359,,76882,,4620,7483,194,,7593,,4,15113,,562,,,3463,,,7946,,43324,,,5359,,8573,,,943.0,,806.0,,3604,14026,1698.0,217,67022,,,,
2006,191296,2690,4648,,,1784,,39,,15539,,2955,4166,991,,14830,,689,4600,,2645,,2,13295,,,9081,,40801,,,8080,,5275,0.0,,1327.0,,,,2160,1868,,109,53284,277.0,0.0,,
2005,141309,759,12267,,82,603,990.0,,,24868,,2734,2260,933,,2091,,645,3394,,148,,,910,,,1482,,38006,,8,3127,,6581,,,60.0,,,,2310,,,183,36868,,,,
2004,80789,1137,3242,,740,984,1380.0,225,,6460,,2893,320,43,0,7569,,3739,4244,,0,,0,399,,87,137,,16479,,12,1093,0.0,9286,,,27.0,,0.0,0,1122,148,,185,18838,,,,
2003,64800,846,2249,,1260,636,602.0,33,,1325,,437,249,,,8876,,3366,4836,,,,,10,,,,,24756,,,3270,,1326,,,147.0,,,,1304,580,,35,8657,,,,
2002,34722,624,1039,,,1207,,13,,1382,,203,49,207,7,7475,,207,1039,,85,,,30,,,,,604,,,,,1587,,,789.0,,,,2275,150,,153,15811,,,,
2001,26284,2209,1776,,6,508,,,,2444,,,,,,5025,,40,149,,347,,,370,,70,2267,,880,,208,,,1549,,,868.0,,116.0,,1576,170,,,5706,,,,
2000,16820,2528,332,,39,383,,600,,1267,,180,,,,771,,159,134,,292,,,328,,49,,,1369,,,,,2312,,,863.0,,10.0,,1271,472,,10,3451,,,,
