年份,借方资本和金融项目,借方资本项目,借方金融项目,借方直接投资金融项目,借方金融项目我国在外直接投资,借方金融项目外国在华直接投资,借方金融项目的证券投资,借方金融项目中证券投资资产,借方金融项目中证券投资的股本证券资产,借方金融项目中证券投资的债务证券资产,借方金融项目中证券投资的中长期债务证券资产,借方金融项目中证券投资的货币市场工具债务证券资产,借方金融项目中证券投资负债,借方金融项目中证券投资的股本证券负债,借方金融项目中证券投资的债务证券负债,借方金融项目中证券投资的中长期债务证券负债,借方金融项目中证券投资的货币市场工具债务证券负债,借方金融项目中其它投资,借方金融项目中其它投资的资产,借方金融项目中其它投资的贸易信贷资产,借方金融项目中其它投资的长期贸易信贷资产,借方金融项目中其它投资的短期贸易信贷资产,借方金融项目中其它投资贷款资产,借方金融项目中其它投资长期贷款资产,借方金融项目中其它投资短期贷款资产,借方金融项目中其它投资货币和存款资产,借方金融项目中其它投资其它资产,借方金融项目中其它投资的长期其它资产,借方金融项目中其它投资的短期其它资产,借方金融项目其它投资中负债,借方金融项目其它投资的贸易信贷负债,借方金融项目的其它投资长期贸易信贷负债,借方金融项目其它投资的短期贸易信贷负债,借方金融项目中其它投资贷款负债,借方金融项目其它投资的长期贷款负债,借方金融项目其它投资中短期贷款负债,借方金融项目中其它投资货币和存款负债,借方金融项目其它投资中其它负债,借方金融项目其它投资长期其它负债,借方金融项目其它投资短期其它负债
2009,66493887.0137493,26500.516,66467386.4977494,7990374.132975,4806077.3293,3184296.803675,8306398.108026,8067488.122574,5524771.700214,2542716.42236,1813739.89676,728976.525599999,238909.985452,68901.025452,170008.96,169921.6,87.36,50170614.2567483,14172180.7475321,3427060.89723569,239894.262806499,3187166.63442919,4225988.018106,4129295.296065,96692.722041,5615910.79559913,903221.036591272,0.0,903221.036591272,35998433.5092163,574850.04519325,40239.5031635275,534610.542029722,31746803.81,2318291.26,29428512.55,3490928.37585313,185851.278169877,39044.5781698766,146806.7
2008,94440031.5949644,26843.8686444318,94413187.72632,7200517.68624763,5891806.21162019,1308711.47462743,5235864.13681474,5196026.48681474,870547.8,4325478.68681474,3009267.45477474,1316211.23204,39837.65,27286.25,12551.4,12551.4,0.0,81976805.9032576,26973050.2851171,1720887.66142367,120462.136299657,1600425.52512401,4884642.75391117,1837500.0,3047142.75391117,9851326.64795221,10516193.22183,0.0,10516193.22183,55003755.6181405,3972746.85689485,278092.279982639,3694654.57691221,44048693.73,1387524.92,42661168.81,6584189.49813659,398125.533109065,281692.243109065,116433.29
2007,89941008.7542463,21562.3923473409,89919446.361899,3029530.72563239,1908478.21572954,1121052.50990285,6063143.58733867,6030143.58733867,1694180.0,4335963.58733867,4099163.58733867,236800.0,33000.0,0.0,33000.0,33000.0,0.0,80826772.0489279,21030474.0917182,2426601.0690103,169862.074830721,2256738.99417957,3555731.12670455,411900.0,3143831.12670455,3301011.97985673,11747129.9161466,0.0,11747129.9161466,59796297.9572097,0.0,0.0,0.0,53166435.23,1389492.77,51776942.46,6335477.18092118,294385.546288563,50691.6812885626,243693.865
2006,68528993.1823417,8236.23342678091,68520756.9489149,3312271.13210024,2464996.94216574,847274.189934499,11813408.7870696,11813408.7870696,167800.0,11645608.7870696,10905378.7870696,740230.000000001,0.0,0.0,0.0,0.0,0.0,53395077.029745,7694946.02665028,2779645.0408605,181229.80163442,2598415.23922608,1836466.96613602,294700.0,1541766.96613602,2084475.90944183,994358.110211942,0.0,994358.110211942,45700131.0030947,0.0,0.0,0.0,42740963.64,961451.51,41779512.13,2487716.11309472,471451.25,43456.84,427994.41
2005,38973077.2241452,5335.45462922,38967741.7695159,2083109.81848439,1429442.37513716,653667.44334723,3076427.40992248,3006534.23992248,0.0,3006534.23992248,2543500.54987697,463033.690045512,69893.17,0.0,69893.17,69600.57,292.6,33808204.5411091,7511127.47289899,2290528.09706535,91621.123882614,2198906.97318274,2007269.2783576,150500.0,1856769.2783576,1981300.31596863,1232029.78150741,342176.366821724,889853.414685684,26297077.0682101,0.0,0.0,0.0,22726274.6575,1601898.99,21124375.6675,3162952.55779761,407849.852912463,82439.272912463,325410.58
2004,29027129.8468353,6934.5308409,29020195.3159944,797260.171371155,227908.496876175,569351.67449498,1499324.39518508,1449656.90518508,0.0,1449656.90518508,520856.905185079,928800.000000001,49667.49,499.999999999998,49167.49,48084.51,1082.98,26723610.7494382,7609090.8394382,1589700.0,133600.0,1456100.0,2506009.82003087,105700.0,2400309.82003087,142371.20973272,3371009.80967461,0.0,3371009.80967461,19114519.91,143000.0,0.0,143000.0,17220027.32,2650096.82,14569930.5,1297791.52,453701.07,243891.45,209809.62
2003,18831820.1255503,4808.25091579,18827011.8746346,845608.372356332,202780.245662111,642828.12669422,586892.54435683,499604.11435683,0.0,499604.11435683,1704.11435683,497900.0,87288.43,1000.0,86288.43,81378.4,4910.03,17394510.9579214,8092000.07719957,390289.976278839,0.0,390289.976278839,794740.59783812,80100.0,714640.59783812,1089697.62705112,5817271.87603149,4500000.0,1317271.87603149,9302510.88072182,97085.7007218195,0.0,97085.7007218195,7651875.44,2502405.7,5149469.74,805670.74,747879.0,494592.95,253286.05
2002,9603046.92853175,4963.14178138,9598083.78675037,628404.971862298,284902.634778198,343502.3370841,1262910.07769596,1210924.39769596,0.0,1210924.39769596,330546.38916967,1090200.0,72615.06,0.0,72669.56,72615.06,1484.5,7706768.73719211,1811850.29714103,244533.40478847,0.0,244533.40478847,1049719.71004303,6100.0,1052219.71004303,516592.11377002,775983.506813948,236594.997295708,726743.24177952,6021756.43,219532.0830513,0.0,219532.0830513,5621686.04,2290089.25,3331596.79,381568.46,869101.99,612255.2,300609.91
2001,6475570.81894748,6803.65060828,6470216.8683392,969652.77430787,709181.88835937,260470.8859485,2853576.34925703,2145194.65575211,0.0,2145194.65575211,1575043.9,1509786.0,711776.12,750138.0,110203.12,110203.12,0.0,5259815.3945384,2952779.9966675,2087817.2,0.0,2087817.2,42273.53844411,21000.0,24573.53844411,400371.68623179,891672.89360332,538729.7878875,352943.10571582,3553737.26,2112494.34,1505.1,2112226.84,1179462.32,878096.0,346901.58,7534.34,672522.6,490355.7,296699.6
2000,9006416.76873322,4320.0,9002888.46873322,461268.7903,223935.1903,237333.6,1180521.5,1167819.0,0.0,1167819.0,1167819.0,0.0,44283.0,0.0,44283.0,44283.0,0.0,7361098.17843322,5445410.7927975,2300207.95,0.0,2300207.95,1852072.2,16100.0,1852072.2,1388968.1,1041490.644045,726085.044045,355345.78,2510397.29,419585.344049249,0.0,419585.344049249,1459159.29,1059850.99,399308.3,6234.94,1045003.34,493430.13,551573.21
