年份,发明、实用新型专利国际标准分类申请量,A部(人类生活需要)专利申请受理量,农、林、牧、渔专利申请受理量,烘烤、食用面团专利申请受理量,屠宰、加工专利申请受理量,食品、食物及处理专利申请受理量,烟类及用品专利申请受理量,服装专利申请受理量,帽类制品专利申请受理量,鞋类专利申请受理量,男用服饰用品、珠宝专利申请受理量,手携及旅行用品专利申请受理量,刷类用品专利申请受理量,家具、家庭日用品或设备专利申请受理量,医学、兽医学、卫生学专利申请受理量,救生、消防专利申请受理量,体育、游戏、娱乐活动专利申请受理量,本部其他类目中不包括的技术主题专利申请受理量,B部(作业、运输)专利申请受理量,物理或化学的方法或装置专利申请受理量,破碎、研磨、粉碎专利申请受理量,分选、分离专利申请受理量,离心装置、离心机专利申请受理量,喷射、雾化专利申请受理量,机械振动的产生和传递专利申请受理量,固体分离、分选专利申请受理量,清洁专利申请受理量,固体废料的处理专利申请受理量,金属加工、冲裁专利申请受理量,铸造、粉末冶金专利申请受理量,机床、其他金属加工专利申请受理量,磨削、抛光专利申请受理量,简单工具专利申请受理量,手工、切割工具、切断专利申请受理量,木材加工、保存、钉钉机专利申请受理量,加工水泥、粘土和石料专利申请受理量,塑料制品的加工专利申请受理量,压力机专利申请受理量,纸品制作、纸的加工专利申请受理量,叠层产品专利申请受理量,印刷、打字机、印刷机专利申请受理量,装订、图册、文件夹专利申请受理量,绘图具、办公附属用品专利申请受理量,装饰艺术专利申请受理量,一般车辆专利申请受理量,铁路专利申请受理量,无轨陆用车牌专利申请受理量,船舶、船只、有关设备专利申请受理量,飞行器、航空、宇宙航行专利申请受理量,输送、包装、存贮、搬运专利申请受理量,卷扬、提升、牵引专利申请受理量,液体的贮运专利申请受理量,鞍具、室内装璜专利申请受理量,微观结构技术专利申请受理量,超微观技术专利申请受理量,C部(化学、冶金)专利申请受理量,无机化学专利申请受理量,水、废污水、泥浆的处理专利申请受理量,玻璃、石棉和渣棉专利申请受理量,水泥、陶瓷等、隔音材料专利申请受理量,肥料及制造专利申请受理量,炸药、火柴专利申请受理量,有机化学专利申请受理量,有机高分子化合物专利申请受理量,染料、涂料、抛光剂等专利申请受理量,石油、煤气及炼焦工业专利申请受理量,动植物油、脂类专利申请受理量,生化、酒、醋、酶、专利申请受理量,糖或淀粉工业专利申请受理量,大小原皮、毛皮、皮革专利申请受理量,黑色冶金专利申请受理量,冶金学、合金或有色合金专利申请受理量,金属加工涂料、防腐防锈专利申请受理量,电解电泳方法及设备专利申请受理量,晶体生长专利申请受理量,组合技术专利申请受理量,D部(纺织、造纸)专利申请受理量,线、纤维、纺纱专利申请受理量,纺纱、整经或络经专利申请受理量,织造专利申请受理量,编带、花边、针织、整理专利申请受理量,缝纫、绣花、簇绒专利申请受理量,织物等的处理、洗涤专利申请受理量,绳、除电缆外的缆绳专利申请受理量,造纸、纤维素的生产专利申请受理量,E部(固定建筑物)专利申请受理量,道路、铁路和桥梁的建筑专利申请受理量,水利工程、基础、运土专利申请受理量,给水、排水专利申请受理量,建筑物专利申请受理量,锁、钥匙、门窗、保险箱专利申请受理量,一般门、窗、百叶窗、梯子专利申请受理量,钻井、采矿专利申请受理量,F部(机械工程)专利申请受理量,一般机器、发动机、蒸汽机专利申请受理量,内燃机等专利申请受理量,液力机械和其他发动机专利申请受理量,液体变容机械、泵专利申请受理量,液压调节器、液压技术专利申请受理量,工程元件或部件专利申请受理量,气体或液体的贮藏或分配专利申请受理量,照明专利申请受理量,蒸汽的生产专利申请受理量,燃烧设备、燃烧技术专利申请受理量,采暖、炉灶、通风专利申请受理量,制冷气体的液化和固化专利申请受理量,干燥专利申请受理量,炉、窑、灶、罐专利申请受理量,一般热交换专利申请受理量,武器专利申请受理量,弹药、爆破专利申请受理量,G部(物理)专利申请受理量,测量、测试专利申请受理量,光学技术专利申请受理量,照相术、电影术、电刻术专利申请受理量,测时技术专利申请受理量,控制、调节技术专利申请受理量,计算、推算、计数技术专利申请受理量,核算装置专利申请受理量,信号装置专利申请受理量,教育、密码、显示、广告等专利申请受理量,乐器、声学专利申请受理量,信息的存储专利申请受理量,仪器的零部件专利申请受理量,核物理、核工程专利申请受理量,其他的技术主题专利申请受理量,H部(电学)专利申请受理量,基本电器元件专利申请受理量,电力的发电、变电或配电专利申请受理量,基本电子电路专利申请受理量,电信技术专利申请受理量,其他类不包括的电技术专利申请受理量
2009,580845,103822,12849,768,218,9265,1226,3089,495,2509,914,4267,1106,23040,37863,1291,4922,,110998,11875,1737,776,391,2686,92,947,1383,435,5356,2879,11151,2539,3896,2141,1430,2047,5290,1011,567,1486,2498,1196,3300,1210,12305,1629,6746,1598,878,13671,4557,872,36,211,176,57267,3645,5258,1604,3001,1223,124,10545,6895,4449,2963,810,7301,55,159,2013,2744,2114,1611,728,25,10059,1935,426,871,1052,1193,3297,117,1168,31686,3078,2970,2521,9559,4057,3115,6386,76489,2686,4559,3079,6470,1289,20034,958,12659,630,2821,11998,2911,1122,1822,2255,470,726,83299,29438,7071,3703,627,4242,20976,2515,3079,6928,1234,2903,213,370,,107225,37731,17881,2685,42068,6860
2008,541734,101789,10978,771,205,8512,1161,2761,509,2298,881,4066,894,20965,41269,1119,5400,,98214,10828,1265,746,291,2231,92,741,916,303,4125,2171,8324,2270,3082,1735,1454,2396,4612,1058,471,1385,2613,1265,3207,1075,11613,1495,6911,1358,827,12200,3967,874,63,193,57,58541,3633,5164,1628,3081,1229,103,11301,7302,4673,2918,861,7501,46,127,1729,2501,2299,1702,717,26,9529,2068,319,826,962,974,3127,148,1105,29828,2901,2593,2812,9517,3645,2872,5488,66444,2574,4415,2349,5247,1044,17881,808,9641,545,2670,11084,3026,880,1214,2098,419,549,79556,24955,7996,4087,793,3867,20229,2099,3333,6614,1323,3661,266,333,,97833,34871,13283,2602,39409,7665
2007,421376,80438,8778,647,203,7027,836,2206,452,1695,695,3249,767,16374,31780,1107,4622,,71136,6009,1014,508,207,1802,89,572,747,203,2704,1672,5419,1620,2594,1359,1234,1433,3193,586,416,1140,2534,1141,2833,1058,8203,904,4845,936,546,10009,2681,669,60,143,53,42510,2254,3119,1017,1640,651,87,8721,5782,4877,2219,647,4651,48,116,1120,2212,1935,981,417,16,7353,1656,241,606,735,803,2303,131,878,24180,2149,2138,2418,7439,3469,2462,4105,49779,1900,3623,1578,4490,628,12853,609,6412,412,2344,8602,2240,826,829,1612,356,465,64751,18706,7303,3838,602,2614,16272,1708,2394,5173,1115,4157,609,259,1,81229,27091,9366,2338,36344,6090
2006,384090,74733,7903,490,113,5624,894,1993,399,1619,633,2590,655,13630,33401,934,3855,,63605,5372,991,482,207,1547,72,483,655,310,2193,1271,4806,1395,2388,1237,1234,1332,2987,492,461,1082,2347,981,2528,978,7277,674,4491,783,428,9025,2184,694,43,104,71,39720,2221,2986,1096,1939,722,84,8234,5221,4112,2143,659,4872,48,90,927,1615,1578,868,301,4,6780,1265,239,633,637,659,2288,87,972,21042,1815,1709,2294,6663,2887,2173,3501,44359,1696,3282,1246,3713,549,11636,707,4341,290,2265,8420,2311,729,776,1473,395,530,61225,15329,7247,3944,567,2295,15638,1626,2092,5377,1071,5323,539,177,,72626,25253,8090,2102,31142,6039
2005,287162,57692,6802,460,113,3610,855,1433,291,1295,490,2140,606,10865,24875,621,3236,,47676,4296,750,321,163,1102,68,401,523,218,1547,1075,3397,851,1786,997,635,561,2145,330,206,970,2008,704,1828,847,5561,465,3770,624,247,7143,1586,361,21,114,55,29451,1460,2104,785,1213,350,45,6507,4310,2853,1656,590,3546,35,82,716,1146,1163,653,237,,5352,1044,215,390,582,410,1993,106,612,16015,1372,1461,1944,4725,2382,1778,2353,32691,1332,2464,970,3065,423,9047,276,2301,209,1702,6491,1890,391,497,1094,298,241,45951,11507,5587,2991,482,1352,12441,786,1558,4153,931,3699,326,138,,52334,18911,5769,1886,21578,4190
2004,240026,47173,5856,455,92,3297,698,1513,232,1175,367,1794,592,10020,17448,762,2872,,41558,3010,659,274,135,981,79,314,379,182,1207,700,2687,627,1447,696,618,685,1771,209,220,613,1803,724,1905,857,5860,513,3502,672,293,6339,1230,251,19,63,34,21163,1117,1971,814,984,358,74,4082,2979,1904,934,402,2553,28,69,510,845,834,536,169,,4795,920,170,364,464,402,1736,87,652,14671,1178,1222,1783,4219,2199,1716,2354,28567,1190,2170,768,2843,410,7385,213,1746,131,1463,6490,1552,300,442,912,285,267,38768,9548,4890,2510,453,997,10607,644,982,3178,793,3864,213,89,,43331,16054,4673,1607,17449,3548
2003,195123,41507,4835,276,58,2884,499,1159,222,973,295,1495,447,8125,16583,920,2736,,35126,2796,521,242,113,1022,39,286,308,189,1053,730,1966,498,1079,595,478,561,1338,214,90,465,1363,545,1497,573,5216,598,2823,511,219,6089,843,196,14,40,16,18939,924,1733,480,768,348,60,4075,2565,1857,928,397,2471,22,38,393,697,605,427,151,,3722,699,153,305,384,309,1461,43,368,12313,981,958,1605,3518,1873,1604,1774,22908,813,1477,461,2399,275,5809,204,1479,165,1426,5389,1244,288,363,714,209,193,29981,7408,3729,1909,386,654,8876,518,626,2375,651,2555,223,71,,30627,12529,4011,1013,10985,2089
2002,181373,34973,4782,268,40,2503,393,886,194,894,306,1298,421,6931,13196,539,2322,,32915,2795,609,244,141,895,40,233,310,218,974,546,1824,379,899,490,509,496,1304,211,75,489,1158,560,1608,570,4297,542,2675,472,244,5969,910,218,11,,,18992,945,2083,439,831,339,42,4164,2628,1623,1101,456,2308,27,33,400,617,474,396,86,,7727,4912,98,245,354,286,1348,57,427,11488,1087,848,1376,2985,1868,1576,1748,21832,728,1420,490,2089,184,5434,192,1312,137,1510,5537,1173,215,340,708,189,174,24102,6087,2600,1129,493,624,7408,414,645,2002,561,1980,91,69,,29344,11646,3751,1103,10980,1864
2001,156504,34555,4027,225,21,2067,311,1347,165,1080,326,1535,485,7748,12509,413,2296,,29771,2121,534,201,118,769,27,225,175,145,901,406,2446,316,877,429,657,435,901,177,74,375,951,707,1083,502,4578,367,2385,361,181,5545,633,157,12,,,15987,1467,669,317,495,315,34,3832,2140,1324,1076,438,2406,32,54,265,446,309,277,91,,3111,436,91,365,277,152,907,29,854,9931,824,896,1758,3304,1878,947,324,19835,759,1434,729,1515,487,4098,213,2668,317,1647,3903,753,137,140,554,249,232,23421,5587,1518,816,197,294,10009,643,599,1408,736,1288,7,319,,19893,8049,2237,998,7775,834
2000,116769,26255,3420,202,36,1891,303,780,168,828,257,1042,277,5235,9296,312,2208,,23323,1873,400,153,68,670,22,178,155,111,595,327,1143,296,698,337,471,355,836,106,76,438,594,406,1030,468,3704,391,1900,374,177,4280,540,138,13,,,13683,468,1021,243,445,254,33,4208,1545,887,794,389,2237,18,37,247,311,297,198,51,,2054,276,57,139,274,150,782,26,350,7513,613,548,1161,1775,1434,1178,804,14979,524,929,319,1343,173,3632,132,739,148,1361,3886,654,160,237,490,134,118,14097,3790,1147,637,273,232,4263,273,501,1360,332,1189,23,77,,14865,5769,2110,695,5338,953
