省份编码,省份,年份,录像制品出版种数(种),录像制品出版数量(万盒),新版录像制品出版种数(种),新版录像制品出版数量(万盒),录像制品发行数量(万盒),数码激光视盘出版出版种数(种),数码激光视盘出版数量(万盒),新版数码激光视盘出版种数(种),新版数码激光视盘出版数量(万盒),高密度激光视盘出版出版种数(种),高密度激光视盘出版数量(万盒),新版高密度激光视盘出版种数(种),新版高密度激光视盘出版数量(万盒),录像带及其他出版出版种数(种),录像带及其他出版数量(万盒),新版录像带及其他出版种数(种),新版录像带及其他出版数量(万盒)
140000,山西省,2016,36,6.61,,,,,,,,,,,,,,,
140000,山西省,2015,45,7.84,,,,,,,,,,,,,,,
140000,山西省,2014,44,7.88,,,51.09,,,,,,,,,,,,
140000,山西省,2013,,,,,,,,,,,,,,,,,
140000,山西省,2012,,,,,,,,,,,,,,,,,
140000,山西省,2011,120,18.02,76,12.54,173.28,14,3.91,2,0.4,95,7.68,63,5.71,11,6.43,11,6.43
140000,山西省,2010,108,101.1,90,81.12,102.76,8,11.07,2,0.2,100,90.03,88,80.92,,,,
140000,山西省,2009,78,109.34,50,106.95,83.62,35,5.68,10,3.38,43,103.66,40,103.57,,,,
140000,山西省,2008,43,6.96,24,2.93,53.43,25,4.66,9,1.13,17,2.2,14,1.7,1,0.1,1,0.1
140000,山西省,2007,,,,,,32,48.5,,,7,2.05,,,,,,
140000,山西省,2006,,,,,,63,90.82,,,5,1.27,,,,,,
140000,山西省,2005,,,,,,106,78.94,,,,,,,3,0.3,,
140000,山西省,2004,,,,,,156,67.61,,,,,,,,,,
140000,山西省,2003,,,,,,101,100.0,,,,,,,,,,
140000,山西省,2002,,,,,,82,55.4,,,,,,,23,8.4,,
140000,山西省,2001,,,,,,107,42.013,,,,,,,13,5.19,,
140000,山西省,2000,,,,,,120,33.5,,,,,,,26,3.9,,
150000,内蒙古自治区,2019,8,2.18,,,,,,,,,,,,,,,
150000,内蒙古自治区,2018,7,1.83,,,,,,,,,,,,,,,
150000,内蒙古自治区,2017,32,4.98,,,,,,,,,,,,,,,
150000,内蒙古自治区,2016,27,2.2,,,,,,,,,,,,,,,
150000,内蒙古自治区,2015,20,4.623,,,,,,,,,,,,,,,
150000,内蒙古自治区,2014,54,14.97,,,8.0,,,,,,,,,,,,
150000,内蒙古自治区,2013,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2012,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2011,88,18.4,88,18.4,48.77,,,,,88,18.4,88,18.4,,,,
150000,内蒙古自治区,2010,13,3.75,13,3.75,2.13,,,,,13,3.75,13,3.75,,,,
150000,内蒙古自治区,2009,25,8.21,25,8.21,1.7,2,0.6,2,0.6,23,7.61,23,7.61,,,,
150000,内蒙古自治区,2008,18,7.57,18,7.57,1.72,4,0.4,4,0.4,14,7.17,14,7.17,,,,
150000,内蒙古自治区,2007,,,,,,8,7.5,,,25,27.51,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,,1,0.03,,,,,,
150000,内蒙古自治区,2005,,,,,,10,6.75,,,20,4.53,,,,,,
150000,内蒙古自治区,2004,,,,,,49,36.81,,,15,7.92,,,,,,
150000,内蒙古自治区,2003,,,,,,57,145.25,,,5,6.4,,,,,,
150000,内蒙古自治区,2002,,,,,,27,108.5,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,12,9.3,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,13,4.197,,,,,,,,,,
210000,辽宁省,2019,35,1.689,,,,,,,,,,,,,,,
210000,辽宁省,2018,51,30.356,,,,,,,,,,,,,,,
210000,辽宁省,2017,58,4.46,,,,,,,,,,,,,,,
210000,辽宁省,2016,127,48.44,,,,,,,,,,,,,,,
210000,辽宁省,2015,137,119.306,,,,,,,,,,,,,,,
210000,辽宁省,2014,158,4293.55,,,1680.53,,,,,,,,,,,,
210000,辽宁省,2013,,,,,,,,,,,,,,,,,
210000,辽宁省,2012,,,,,,,,,,,,,,,,,
210000,辽宁省,2011,426,8260.33,422,8259.29,304.2,55,65.01,55,65.01,366,8194.31,362,8193.27,5,1.01,5,1.01
210000,辽宁省,2010,639,5767.2,638,5767.01,483.95,137,109.29,137,109.3,500,5657.58,499,5657.39,2,0.33,2,0.32
210000,辽宁省,2009,731,1195.5,728,1194.25,618.65,215,269.99,215,269.99,516,925.51,513,924.26,,,,
210000,辽宁省,2008,471,628.18,469,625.58,419.94,214,354.42,214,354.42,257,273.76,255,271.16,,,,
210000,辽宁省,2007,,,,,,839,856.7,,,463,393.67,,,4,0.8,,
210000,辽宁省,2006,,,,,,79,729.5,,,17,93.6,,,,,,
210000,辽宁省,2005,,,,,,366,502.83,,,197,190.55,,,,,,
210000,辽宁省,2004,,,,,,897,3014.97,,,575,995.15,,,,,,
210000,辽宁省,2003,,,,,,876,2967.6061,,,245,1342.504,,,1,2.0,,
210000,辽宁省,2002,,,,,,750,1102.7,,,283,339.1,,,,,,
210000,辽宁省,2001,,,,,,270,207.07,,,1,0.1,,,4,2.35,,
210000,辽宁省,2000,,,,,,267,424.7,,,5,14.800046,,,15,2.76,,
220000,吉林省,2019,96,13.2106,,,,,,,,,,,,,,,
220000,吉林省,2018,99,9.15,,,,,,,,,,,,,,,
220000,吉林省,2017,127,44.951,,,,,,,,,,,,,,,
220000,吉林省,2016,110,58.31,,,,,,,,,,,,,,,
220000,吉林省,2015,109,21.262,,,,,,,,,,,,,,,
220000,吉林省,2014,93,54.1,,,39.0,,,,,,,,,,,,
220000,吉林省,2013,,,,,,,,,,,,,,,,,
220000,吉林省,2012,,,,,,,,,,,,,,,,,
220000,吉林省,2011,79,36.66,74,35.66,145.53,18,4.34,17,3.74,49,32.2,45,31.8,12,0.12,12,0.12
220000,吉林省,2010,79,100.92,78,100.32,63.81,23,5.71,22,5.21,47,73.71,47,73.61,9,21.5,9,21.5
220000,吉林省,2009,130,24.82,120,23.12,93.29,122,24.22,112,22.52,8,0.6,8,0.6,,,,
220000,吉林省,2008,84,78.77,84,78.77,132.45,66,72.54,66,72.54,18,6.23,18,6.23,,,,
220000,吉林省,2007,,,,,,121,85.32,,,42,33.68,,,,,,
220000,吉林省,2006,,,,,,102,171.1,,,30,46.57,,,,,,
220000,吉林省,2005,,,,,,350,478.24,,,35,14.56,,,,,,
220000,吉林省,2004,,,,,,206,120.08,,,16,55.9,,,,,,
220000,吉林省,2003,,,,,,218,83.915,,,,,,,,,,
220000,吉林省,2002,,,,,,172,58.7,,,,,,,,,,
220000,吉林省,2001,,,,,,126,38.1,,,1,0.5,,,1,0.08,,
220000,吉林省,2000,,,,,,79,26.08,,,,,,,11,9.6,,
230000,黑龙江省,2019,4,0.055,,,,,,,,,,,,,,,
230000,黑龙江省,2018,4,0.286,,,,,,,,,,,,,,,
230000,黑龙江省,2017,2,0.11,,,,,,,,,,,,,,,
230000,黑龙江省,2016,3,0.14,,,,,,,,,,,,,,,
230000,黑龙江省,2015,20,2.06,,,,,,,,,,,,,,,
230000,黑龙江省,2014,7,1.45,,,1.45,,,,,,,,,,,,
230000,黑龙江省,2013,,,,,,,,,,,,,,,,,
230000,黑龙江省,2012,,,,,,,,,,,,,,,,,
230000,黑龙江省,2011,12,48.7,8,46.7,48.62,1,5.5,1,5.5,11,43.2,7,41.2,,,,
230000,黑龙江省,2010,15,2.14,15,2.14,1.29,,,,,15,2.14,15,2.14,,,,
230000,黑龙江省,2009,3,2.4,3,2.4,2.4,1,0.4,1,0.4,2,2.0,2,2.0,,,,
230000,黑龙江省,2008,15,5.23,14,5.03,9.83,4,1.0,3,0.8,11,4.23,11,4.23,,,,
230000,黑龙江省,2007,,,,,,45,17.8,,,51,15.43,,,,,,
230000,黑龙江省,2006,,,,,,76,25.9,,,38,8.97,,,,,,
230000,黑龙江省,2005,,,,,,277,654.42,,,95,122.5,,,,,,
230000,黑龙江省,2004,,,,,,214,403.12,,,22,22.7,,,,,,
230000,黑龙江省,2003,,,,,,185,56.25,,,7,3.0,,,5,4.9,,
230000,黑龙江省,2002,,,,,,72,32.4,,,3,2.6,,,,,,
230000,黑龙江省,2001,,,,,,34,10.24,,,26,2.6,,,22,0.34,,
230000,黑龙江省,2000,,,,,,26,4.9,,,,,,,8,1.02,,
310000,上海市,2019,514,1466.88109999999,,,,,,,,,,,,,,,
310000,上海市,2018,534,2140.002,,,,,,,,,,,,,,,
310000,上海市,2017,750,1882.2576,,,,,,,,,,,,,,,
310000,上海市,2016,751,1931.65,,,,,,,,,,,,,,,
310000,上海市,2015,874,880.7207,,,,,,,,,,,,,,,
310000,上海市,2014,729,327.01,,,316.47,,,,,,,,,,,,
310000,上海市,2013,,,,,,,,,,,,,,,,,
310000,上海市,2012,,,,,,,,,,,,,,,,,
310000,上海市,2011,580,484.38,353,341.07,406.77,145,129.36,35,60.28,408,343.05,295,272.04,27,11.96,23,8.75
310000,上海市,2010,502,444.99,321,346.67,316.69,132,68.25,21,8.56,368,376.17,300,338.11,2,0.57,,
310000,上海市,2009,523,231.85,283,181.92,363.21,188,49.9,31,14.03,335,181.95,252,167.89,,,,
310000,上海市,2008,583,276.02,366,221.43,389.82,272,111.58,105,73.69,311,164.44,261,147.74,,,,
310000,上海市,2007,,,,,,917,242.79,,,264,159.12,,,8,1.15,,
310000,上海市,2006,,,,,,619,972.94,,,383,244.44,,,16,0.84,,
310000,上海市,2005,,,,,,832,684.87,,,81,36.9,,,16,3.32,,
310000,上海市,2004,,,,,,548,302.45,,,49,54.15,,,2,0.16,,
310000,上海市,2003,,,,,,558,502.428,,,22,67.38,,,10,0.4176,,
310000,上海市,2002,,,,,,622,318.3,,,33,20.8,,,10,1.2,,
310000,上海市,2001,,,,,,407,446.6031,,,6,2.9,,,5,0.7452,,
310000,上海市,2000,,,,,,329,338.7555,,,,,,,39,3.5351,,
320000,江苏省,2019,52,5.5538,,,,,,,,,,,,,,,
320000,江苏省,2018,66,16.558,,,,,,,,,,,,,,,
320000,江苏省,2017,95,149.2905,,,,,,,,,,,,,,,
320000,江苏省,2016,92,151.72,,,,,,,,,,,,,,,
320000,江苏省,2015,114,50.7286,,,,,,,,,,,,,,,
320000,江苏省,2014,167,96.95,,,66.9,,,,,,,,,,,,
320000,江苏省,2013,,,,,,,,,,,,,,,,,
320000,江苏省,2012,,,,,,,,,,,,,,,,,
320000,江苏省,2011,335,318.72,225,249.46,191.3,143,75.93,67,26.07,191,242.39,157,222.99,1,0.4,1,0.4
320000,江苏省,2010,304,311.56,227,252.43,289.42,134,93.64,81,59.31,170,217.92,146,193.12,,,,
320000,江苏省,2009,365,363.19,268,300.69,225.2,160,102.29,66,42.59,204,258.38,201,255.58,1,2.52,1,2.52
320000,江苏省,2008,379,300.63,302,257.87,238.59,225,166.19,158,126.93,154,134.44,144,130.94,,,,
320000,江苏省,2007,,,,,,419,212.85,,,89,126.67,,,,,,
320000,江苏省,2006,,,,,,368,192.49,,,56,42.15,,,,,,
320000,江苏省,2005,,,,,,363,507.83,,,32,12.05,,,,,,
320000,江苏省,2004,,,,,,210,238.27,,,16,7.3,,,,,,
320000,江苏省,2003,,,,,,217,237.42,,,12,33.8,,,,,,
320000,江苏省,2002,,,,,,165,291.0,,,20,3.9,,,1,0.1,,
320000,江苏省,2001,,,,,,159,161.46,,,1,1.5,,,4,0.2,,
320000,江苏省,2000,,,,,,73,56.12,,,,,,,,,,
330000,浙江省,2019,66,14.7937,,,,,,,,,,,,,,,
330000,浙江省,2018,111,66.908,,,,,,,,,,,,,,,
330000,浙江省,2017,173,37.993,,,,,,,,,,,,,,,
330000,浙江省,2016,95,40.1,,,,,,,,,,,,,,,
330000,浙江省,2015,96,36.1385,,,,,,,,,,,,,,,
330000,浙江省,2014,162,123.4,,,35.5,,,,,,,,,,,,
330000,浙江省,2013,,,,,,,,,,,,,,,,,
330000,浙江省,2012,,,,,,,,,,,,,,,,,
330000,浙江省,2011,318,108.64,257,83.22,237.65,101,57.29,61,34.03,217,51.35,196,49.19,,,,
330000,浙江省,2010,243,108.93,161,79.05,306.95,70,39.92,28,23.83,173,69.01,133,55.22,,,,
330000,浙江省,2009,171,79.21,151,69.09,281.69,74,35.55,54,25.43,97,43.66,97,43.66,,,,
330000,浙江省,2008,198,111.31,152,96.4,78.96,68,67.34,32,53.64,130,43.97,120,42.76,,,,
330000,浙江省,2007,,,,,,165,100.66,,,188,59.13,,,,,,
330000,浙江省,2006,,,,,,349,153.85,,,179,50.68,,,,,,
330000,浙江省,2005,,,,,,319,244.06,,,150,192.77,,,,,,
330000,浙江省,2004,,,,,,373,465.55,,,86,284.92,,,,,,
330000,浙江省,2003,,,,,,393,233.727,,,109,7.64,,,,,,
330000,浙江省,2002,,,,,,184,233.9,,,36,10.8,,,,,,
330000,浙江省,2001,,,,,,187,285.05,,,13,6.8,,,1,0.3,,
330000,浙江省,2000,,,,,,205,102.459,,,18,2.6,,,21,5.9,,
340000,安徽省,2019,44,3.71,,,,,,,,,,,,,,,
340000,安徽省,2018,23,7.38,,,,,,,,,,,,,,,
340000,安徽省,2017,54,11.5,,,,,,,,,,,,,,,
340000,安徽省,2016,43,19.2,,,,,,,,,,,,,,,
340000,安徽省,2015,55,10.388,,,,,,,,,,,,,,,
340000,安徽省,2014,55,12.92,,,17.25,,,,,,,,,,,,
340000,安徽省,2013,,,,,,,,,,,,,,,,,
340000,安徽省,2012,,,,,,,,,,,,,,,,,
340000,安徽省,2011,150,64.14,141,57.79,53.45,20,10.05,20,10.05,130,54.09,121,47.74,,,,
340000,安徽省,2010,162,90.44,160,89.44,59.44,41,27.2,41,27.2,112,59.72,110,58.72,9,3.52,9,3.52
340000,安徽省,2009,221,105.69,221,105.69,80.9,77,33.78,77,33.78,144,71.91,144,71.91,,,,
340000,安徽省,2008,214,85.82,209,84.32,34.9,180,49.53,180,49.53,34,36.29,29,34.79,,,,
340000,安徽省,2007,,,,,,85,79.6,,,8,2.75,,,,,,
340000,安徽省,2006,,,,,,278,187.5,,,22,5.3,,,1,0.5,,
340000,安徽省,2005,,,,,,412,397.84,,,11,6.48,,,,,,
340000,安徽省,2004,,,,,,686,834.61,,,5,1.41,,,,,,
340000,安徽省,2003,,,,,,1081,805.248,,,2,0.6,,,,,,
340000,安徽省,2002,,,,,,641,293.9,,,18,15.8,,,,,,
340000,安徽省,2001,,,,,,307,115.4,,,,,,,,,,
340000,安徽省,2000,,,,,,86,42.28,,,,,,,,,,
350000,福建省,2019,32,5.8703,,,,,,,,,,,,,,,
350000,福建省,2018,48,17.781,,,,,,,,,,,,,,,
350000,福建省,2017,50,18.5497,,,,,,,,,,,,,,,
350000,福建省,2016,43,7.53,,,,,,,,,,,,,,,
350000,福建省,2015,28,16.72,,,,,,,,,,,,,,,
350000,福建省,2014,35,29.65,,,212.135,,,,,,,,,,,,
350000,福建省,2013,,,,,,,,,,,,,,,,,
350000,福建省,2012,,,,,,,,,,,,,,,,,
350000,福建省,2011,190,112.22,54,36.22,169.22,33,35.6,17,25.6,157,76.62,37,10.62,,,,
350000,福建省,2010,413,321.01,103,111.41,358.95,36,37.6,29,33.1,377,283.41,74,78.31,,,,
350000,福建省,2009,330,398.55,184,242.59,354.3,157,239.49,84,148.15,173,159.06,100,94.44,,,,
350000,福建省,2008,546,2091.91,134,434.31,1114.81,101,504.28,43,209.08,445,1587.63,91,225.23,,,,
350000,福建省,2007,,,,,,158,450.13,,,514,1541.23,,,,,,
350000,福建省,2006,,,,,,164,711.2,,,494,1999.98,,,,,,
350000,福建省,2005,,,,,,445,1303.27,,,291,353.99,,,,,,
350000,福建省,2004,,,,,,649,3091.24,,,301,690.85,,,,,,
350000,福建省,2003,,,,,,734,6514.5885,,,240,651.92,,,,,,
350000,福建省,2002,,,,,,521,5226.3,,,153,512.2,,,,,,
350000,福建省,2001,,,,,,347,765.7653,,,25,11.4,,,,,,
350000,福建省,2000,,,,,,237,404.8867,,,16,8.0,,,,,,
360000,江西省,2019,219,517.4268,,,,,,,,,,,,,,,
360000,江西省,2018,80,35.667,,,,,,,,,,,,,,,
360000,江西省,2017,104,97.34,,,,,,,,,,,,,,,
360000,江西省,2016,80,43.87,,,,,,,,,,,,,,,
360000,江西省,2015,60,21.65,,,,,,,,,,,,,,,
360000,江西省,2014,77,52.26,,,211.0,,,,,,,,,,,,
360000,江西省,2013,,,,,,,,,,,,,,,,,
360000,江西省,2012,,,,,,,,,,,,,,,,,
360000,江西省,2011,132,43.33,125,42.23,73.15,109,23.57,102,22.47,23,19.76,23,19.76,,,,
360000,江西省,2010,279,114.54,126,31.05,138.8,218,79.99,94,13.5,61,34.55,32,17.55,,,,
360000,江西省,2009,405,177.97,132,67.72,161.41,362,161.97,101,55.09,43,16.0,31,12.63,,,,
360000,江西省,2008,361,142.5,213,104.06,123.01,304,99.6,160,62.17,57,42.9,53,41.89,,,,
360000,江西省,2007,,,,,,214,174.83,,,20,24.44,,,,,,
360000,江西省,2006,,,,,,345,258.53,,,19,11.09,,,,,,
360000,江西省,2005,,,,,,274,259.37,,,18,12.73,,,,,,
360000,江西省,2004,,,,,,268,119.93,,,12,6.62,,,,,,
360000,江西省,2003,,,,,,284,114.85,,,,,,,,,,
360000,江西省,2002,,,,,,314,145.0,,,1,0.5,,,,,,
360000,江西省,2001,,,,,,521,446.365,,,,,,,,,,
360000,江西省,2000,,,,,,233,117.83,,,,,,,,,,
370000,山东省,2019,120,35.3744,,,,,,,,,,,,,,,
370000,山东省,2018,61,24.78,,,,,,,,,,,,,,,
370000,山东省,2017,82,23.12,,,,,,,,,,,,,,,
370000,山东省,2016,206,98.48,,,,,,,,,,,,,,,
370000,山东省,2015,190,109.6254,,,,,,,,,,,,,,,
370000,山东省,2014,259,175.37,,,63.54,,,,,,,,,,,,
370000,山东省,2013,,,,,,,,,,,,,,,,,
370000,山东省,2012,,,,,,,,,,,,,,,,,
370000,山东省,2011,217,146.24,214,144.32,237.72,17,17.12,16,16.8,199,129.02,197,127.42,1,0.1,1,0.1
370000,山东省,2010,210,168.8,210,168.8,87.73,40,16.1,40,16.1,170,152.7,170,152.7,,,,
370000,山东省,2009,255,271.49,237,227.84,157.45,128,115.76,127,101.06,127,155.73,110,126.78,,,,
370000,山东省,2008,325,335.24,322,326.59,261.74,158,155.43,158,155.43,167,179.81,164,171.16,,,,
370000,山东省,2007,,,,,,574,714.21,,,204,336.46,,,1,0.4,,
370000,山东省,2006,,,,,,814,475.12,,,360,163.69,,,,,,
370000,山东省,2005,,,,,,804,3581.55,,,507,1476.35,,,,,,
370000,山东省,2004,,,,,,398,1538.46,,,153,401.55,,,,,,
370000,山东省,2003,,,,,,133,1706.17,,,60,338.92,,,,,,
370000,山东省,2002,,,,,,105,281.7,,,4,19.2,,,3,0.7,,
370000,山东省,2001,,,,,,140,923.628,,,,,,,2,1.99,,
370000,山东省,2000,,,,,,83,54.565,,,1,0.3,,,2,0.5,,
410000,河南省,2019,21,3.034,,,,,,,,,,,,,,,
410000,河南省,2018,35,3.407,,,,,,,,,,,,,,,
410000,河南省,2017,63,6.5614,,,,,,,,,,,,,,,
410000,河南省,2016,51,21.52,,,,,,,,,,,,,,,
410000,河南省,2015,137,43.79,,,,,,,,,,,,,,,
410000,河南省,2014,107,110.9,,,183.1,,,,,,,,,,,,
410000,河南省,2013,,,,,,,,,,,,,,,,,
410000,河南省,2012,,,,,,,,,,,,,,,,,
410000,河南省,2011,246,207.66,222,137.64,81.32,44,72.52,31,32.0,202,135.14,191,105.64,,,,
410000,河南省,2010,98,31.53,64,17.2,135.66,17,15.02,4,1.5,77,15.31,56,14.5,4,1.2,4,1.2
410000,河南省,2009,174,84.07,135,75.9,174.0,80,22.61,57,15.04,94,61.46,78,60.86,,,,
410000,河南省,2008,175,66.72,128,62.84,116.02,100,24.63,53,20.75,75,42.09,75,42.09,,,,
410000,河南省,2007,,,,,,173,330.96,,,97,22.26,,,,,,
410000,河南省,2006,,,,,,130,65.4,,,57,38.38,,,,,,
410000,河南省,2005,,,,,,175,109.61,,,25,163.16,,,,,,
410000,河南省,2004,,,,,,266,174.95,,,1,0.1,,,,,,
410000,河南省,2003,,,,,,231,77.99,,,1,0.5,,,,,,
410000,河南省,2002,,,,,,338,144.3,,,12,2.4,,,15,3.8,,
410000,河南省,2001,,,,,,296,208.5216,,,1,0.1,,,29,2.27,,
410000,河南省,2000,,,,,,173,208.99,,,1,2.0,,,26,2.2766,,
420000,湖北省,2019,28,11.5096,,,,,,,,,,,,,,,
420000,湖北省,2018,65,21.484,,,,,,,,,,,,,,,
420000,湖北省,2017,82,27.3882,,,,,,,,,,,,,,,
420000,湖北省,2016,83,23.88,,,,,,,,,,,,,,,
420000,湖北省,2015,65,36.724,,,,,,,,,,,,,,,
420000,湖北省,2014,93,52.98,,,121.9,,,,,,,,,,,,
420000,湖北省,2013,,,,,,,,,,,,,,,,,
420000,湖北省,2012,,,,,,,,,,,,,,,,,
420000,湖北省,2011,293,558.42,287,555.52,298.1,223,379.91,218,377.11,69,178.31,68,178.21,1,0.2,1,0.2
420000,湖北省,2010,403,432.12,379,420.97,351.09,327,379.86,303,368.71,76,52.26,76,52.26,,,,
420000,湖北省,2009,189,380.87,173,356.97,818.1,157,366.07,141,342.17,32,14.8,32,14.8,,,,
420000,湖北省,2008,134,239.06,127,228.63,238.99,105,194.43,102,191.98,29,44.63,25,36.65,,,,
420000,湖北省,2007,,,,,,192,280.2,,,120,93.0,,,,,,
420000,湖北省,2006,,,,,,193,292.24,,,24,207.8,,,,,,
420000,湖北省,2005,,,,,,224,468.12,,,31,46.29,,,,,,
420000,湖北省,2004,,,,,,534,794.18,,,29,25.82,,,,,,
420000,湖北省,2003,,,,,,329,884.1804,,,13,57.4,,,1,1.5,,
420000,湖北省,2002,,,,,,465,490.2,,,,,,,,,,
420000,湖北省,2001,,,,,,321,281.407,,,1,0.3,,,25,7.65,,
420000,湖北省,2000,,,,,,513,219.23,,,3,0.9,,,,,,
430000,湖南省,2019,131,118.0026,,,,,,,,,,,,,,,
430000,湖南省,2018,145,113.171,,,,,,,,,,,,,,,
430000,湖南省,2017,141,121.4996,,,,,,,,,,,,,,,
430000,湖南省,2016,223,111.19,,,,,,,,,,,,,,,
430000,湖南省,2015,219,180.6797,,,,,,,,,,,,,,,
430000,湖南省,2014,265,126.57,,,82.06,,,,,,,,,,,,
430000,湖南省,2013,,,,,,,,,,,,,,,,,
430000,湖南省,2012,,,,,,,,,,,,,,,,,
430000,湖南省,2011,228,450.62,167,393.35,570.67,78,38.94,40,16.45,150,411.67,127,376.9,,,,
