省份编码,省份,年份,出版物发行机构数(处),国有书店及国有发行点数(处),供销社数(处),出版社数(处),网上书店数(处),文化教育广电邮政系统数(处),新华书店系统外批发网点数(处),集体个体零售数(处),新华书店系统出版社自办发行从业人数(人),国有书店及国有发行点从业人数(人)
510000,四川省,2019,,,,,,,,,,
510000,四川省,2018,8693,198,,,,3100,295,5100,7724,7724
510000,四川省,2017,8986,213,,,,3100,273,5400,8910,8910
510000,四川省,2016,9693,230,,,,3200,263,6000,8830,8830
510000,四川省,2015,9532,151,,,,3148,233,6000,7852,7852
510000,四川省,2014,10668,154,,,,3160,233,7121,8223,8223
510000,四川省,2013,10496,217,,,1,3200,238,6840,9024,9024
510000,四川省,2012,10565,214,,,1,3270,240,6840,,9370
510000,四川省,2011,9820,242,,,1,3389,224,5964,8511,8511
510000,四川省,2010,9370,240,,16,1,3270,186,5600,8068,7762
510000,四川省,2009,,,,,,,,,,
510000,四川省,2008,,,,,,,,,,
510000,四川省,2007,,,,,,,,,,
510000,四川省,2006,,,,,,,,,,
510000,四川省,2005,,,,,,,,,,
510000,四川省,2004,,,,,,,,,,
510000,四川省,2003,,,,,,,,,,
510000,四川省,2002,,,,,,,,,,
510000,四川省,2001,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,
520000,贵州省,2019,,,,,,,,,,
520000,贵州省,2018,3594,94,,6,,772,137,2585,425,404
520000,贵州省,2017,3253,189,,6,,833,148,2077,1611,1556
520000,贵州省,2016,3552,195,,3,,835,142,2377,1513,1483
520000,贵州省,2015,3430,220,,3,,869,126,2212,1480,1438
520000,贵州省,2014,3900,220,,3,,875,133,2669,1320,1279
520000,贵州省,2013,3739,221,,3,1,875,128,2511,2239,2116
520000,贵州省,2012,3736,221,,2,1,839,132,2541,34,1617
520000,贵州省,2011,3317,222,,2,1,672,115,2305,1725,1684
520000,贵州省,2010,2862,313,,1,,736,134,1678,1812,1807
520000,贵州省,2009,,,,,,,,,,
520000,贵州省,2008,,,,,,,,,,
520000,贵州省,2007,,,,,,,,,,
520000,贵州省,2006,,,,,,,,,,
520000,贵州省,2005,,,,,,,,,,
520000,贵州省,2004,,,,,,,,,,
520000,贵州省,2003,,,,,,,,,,
520000,贵州省,2002,,,,,,,,,,
520000,贵州省,2001,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,
530000,云南省,2019,,,,,,,,,,
530000,云南省,2018,5653,288,,5,,1831,129,3400,3733,3728
530000,云南省,2017,5781,272,,8,,1831,145,3525,3767,3751
530000,云南省,2016,7414,238,,8,,1831,132,5205,3751,3735
530000,云南省,2015,7280,234,,8,,1828,115,5095,3722,3708
530000,云南省,2014,8301,235,,8,,1810,134,6114,3550,3536
530000,云南省,2013,8929,253,,7,,1814,120,6735,3534,3518
530000,云南省,2012,8769,241,,8,,1812,121,6587,16,3591
530000,云南省,2011,11020,309,,7,,1736,121,8847,5695,5684
530000,云南省,2010,11726,306,,5,,1736,93,9586,5757,5749
530000,云南省,2009,,,,,,,,,,
530000,云南省,2008,,,,,,,,,,
530000,云南省,2007,,,,,,,,,,
530000,云南省,2006,,,,,,,,,,
530000,云南省,2005,,,,,,,,,,
530000,云南省,2004,,,,,,,,,,
530000,云南省,2003,,,,,,,,,,
530000,云南省,2002,,,,,,,,,,
530000,云南省,2001,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,
540000,西藏自治区,2019,,,,,,,,,,
540000,西藏自治区,2018,243,64,,2,,1,21,155,326,310
540000,西藏自治区,2017,361,64,,2,,1,,294,336,320
540000,西藏自治区,2016,178,93,,2,,12,,71,433,420
540000,西藏自治区,2015,178,93,,2,,12,,71,475,465
540000,西藏自治区,2014,159,76,,1,,12,,70,386,382
540000,西藏自治区,2013,140,61,,1,,8,,70,335,331
