省份编码,省份,年份,公共图书馆业机构数(个),公共图书馆总藏量(万册),人均拥有公共图书馆藏量(册/人),公共图书馆累计发放有效借书证数(万个),公共图书馆总流通人次(万人次),公共图书馆书刊文献外借人次(万人次),公共图书馆书刊文献外借册次(万册次),公共图书馆阅览室座席数(万个),每万人拥有公共图书馆建筑面积(平方米),公共图书馆组织各类讲座次数(次),公共图书馆参加讲座人次(万人次),公共图书馆举办展览数(个),公共图书馆参观展览人次(万人次),公共图书馆举办培训班数(个),公共图书馆参加培训人次(万人次),公共图书馆计算机台数(台),公共图书馆电子阅览室终端数(台)
120000,天津市,2014,31,1598.09,1.05,67.3442,681.002,284.728,779.085,1.4258,169.4,706,10.463,240,74.06,746,3.556,3605,1806
120000,天津市,2013,31,1473.786,1.0,58.0,713.548,291.886,658.046,1.3526,168.1,921,12.331,191,90.279,520,2.858,3148,1522
120000,天津市,2012,31,1469.223,1.03967943954994,49.8022,629.872,227.986,562.446,1.2446,181.686303647879,709,7.098,118,18.615,422,2.348,2924,1556
120000,天津市,2011,31,1353.947,1.0,42.2152,571.854,274.471,601.203,0.9969,121.4,495,6.752,128,14.063,367,2.285,2540,1434
120000,天津市,2010,31,1258.328,,36.4322,606.249,253.572,571.712,0.9072,,,,,,,,,
120000,天津市,2009,31,1158.719,,,676.34,252.108,637.009,0.9486,,,,,,,,,
120000,天津市,2008,32,1106.7,,,567.0,221.1,428.7,0.9826,,,,,,,,,
120000,天津市,2007,32,,,,,,,,,,,,,,,,
120000,天津市,2006,32,,,,,,,,,,,,,,,,
120000,天津市,2005,32,,,,,,,,,,,,,,,,
120000,天津市,2004,32,827.0,0.89,,,,,,,,,,,,,,
120000,天津市,2003,31,839.6,0.9067,,,,,,,,,,,,,,
120000,天津市,2002,31,822.3,0.89,,,,,,,,,,,,,,
120000,天津市,2001,31,804.0,0.88,,,,,,,,,,,,,,
120000,天津市,2000,31,786.1,0.86,,,,,,,,,,,,,,
130000,河北省,2019,173,3063.591,0.4,177.7678,2562.575,872.256,1713.499,4.5575,75.0,3894,46.366,1131,199.683,1969,11.137,8135,5711
130000,河北省,2018,173,2717.474,0.36,163.7318,2371.146,752.174,1412.84,4.2995,71.5,3593,43.932,1014,302.036,1644,9.37,8052,5639
130000,河北省,2017,173,2546.886,0.34,144.0,2308.002,740.305,1416.226,4.0683,65.5,3178,32.153,893,128.684,1465,8.62,7994,5585
130000,河北省,2016,172,2339.928,0.31,104.7337,1622.165,585.223,1054.136,3.8424,63.2,2460,32.479,797,256.075,899,6.047,7696,5087
130000,河北省,2015,172,2199.825,0.2962759195,89.2722,1427.563,596.1,971.814,3.3112,59.1508056652,2042,28.241,703,134.508,864,5.77,7400,4673
130000,河北省,2014,172,2104.78,0.29,73.0696,1210.495,442.7,837.653,3.212,65.3,1788,26.633,578,77.622,631,4.516,6968,4473
130000,河北省,2013,173,1937.399,0.26,66.0,1078.558,477.914,726.854,3.0348,52.9,1941,32.574,500,120.561,635,5.531,6774,4171
130000,河北省,2012,172,1934.531,0.26545843504846,61.4488,1023.389,423.246,693.043,2.7259,46.6510509076488,1500,21.184,396,108.334,445,4.424,5869,3160
130000,河北省,2011,166,1738.626,0.24,60.8291,795.834,334.853,503.967,2.6541,41.9,1305,13.536,338,23.383,434,3.297,5221,2982
130000,河北省,2010,165,1610.915,,56.4891,736.4,359.867,492.518,2.1858,,,,,,,,,
130000,河北省,2009,164,1549.205,,,712.481,382.03,527.888,2.0457,,,,,,,,,
130000,河北省,2008,163,1450.5,,,593.8,336.4,474.8,2.1394,,,,,,,,,
130000,河北省,2007,160,,,,,,,,,,,,,,,,
130000,河北省,2006,156,,,,,,,,,,,,,,,,
130000,河北省,2005,153,,,,,,,,,,,,,,,,
130000,河北省,2004,149,1247.9,,,,,,,,,,,,,,,
130000,河北省,2003,147,,,,,,,,,,,,,,,,
130000,河北省,2002,145,,,,,,,,,,,,,,,,
130000,河北省,2001,146,,,,,,,,,,,,,,,,
130000,河北省,2000,145,,,,,,,,,,,,,,,,
140000,山西省,2019,128,2026.221,0.54,155.287,2030.369,666.408,1044.374,3.9483,148.8,3089,334.839,844,451.223,1805,21.691,7110,4703
140000,山西省,2018,128,1859.923,0.5,133.7494,1620.397,506.594,961.27,3.7112,139.9,2463,31.068,693,339.362,1090,20.986,6887,4816
140000,山西省,2017,128,1751.188,0.47,121.0,1189.572,382.112,809.918,3.3917,138.5,2120,35.96,593,196.742,816,6.028,6587,4810
140000,山西省,2016,127,1727.14,0.47,109.2227,981.356,361.456,650.252,3.1719,129.9,1982,32.914,468,81.366,658,5.522,6503,4653
140000,山西省,2015,126,1548.461,0.4226010611,73.8973,830.287,305.257,547.342,2.691,114.3303166927,1714,25.852,470,147.623,499,4.258,5638,4213
140000,山西省,2014,126,1471.753,0.4,45.7864,675.767,298.494,445.58,2.5925,111.8,1799,22.386,452,51.02,749,4.746,5686,4264
140000,山西省,2013,127,1465.682,0.4,25.0,602.85,279.992,404.298,2.605,108.1,1647,23.627,489,69.961,1041,6.395,5821,3976
140000,山西省,2012,126,1461.922,0.404871456147202,24.4462,475.158,243.909,392.111,1.9681,81.6377397994367,1417,22.329,331,122.145,883,6.755,5019,3618
140000,山西省,2011,126,1320.156,0.37,21.6953,398.003,197.462,342.882,1.7164,76.9,1000,16.154,327,69.431,704,5.209,4327,3083
140000,山西省,2010,126,1207.852,,23.3496,373.932,190.389,282.408,1.5983,,,,,,,,,
140000,山西省,2009,126,1176.418,,,349.674,144.924,241.522,1.4732,,,,,,,,,
140000,山西省,2008,122,1101.5,,,298.1,148.0,218.8,1.3437,,,,,,,,,
140000,山西省,2007,122,,,,,,,,,,,,,,,,
140000,山西省,2006,122,,,,,,,,,,,,,,,,
140000,山西省,2005,122,,,,,,,,,,,,,,,,
140000,山西省,2004,122,728.9,,,,,,,,,,,,,,,
140000,山西省,2003,122,,,,,,,,,,,,,,,,
140000,山西省,2002,122,,,,,,,,,,,,,,,,
140000,山西省,2001,121,,,,,,,,,,,,,,,,
140000,山西省,2000,121,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2019,117,1995.958,0.79,80.6413,1377.439,387.471,784.469,3.3023,170.4,1032,16.063,588,57.035,561,3.523,6603,4597
150000,内蒙古自治区,2018,117,1904.086,0.75,72.3502,1251.524,400.945,829.646,3.0735,168.1,1153,16.83,689,91.278,550,3.93,7024,4814
150000,内蒙古自治区,2017,117,1786.858,0.71,64.0,1003.066,381.145,780.003,3.1973,160.7,1393,21.35,495,36.872,530,4.206,7201,4943
150000,内蒙古自治区,2016,117,1703.87,0.68,43.0368,742.748,295.764,705.243,2.8315,154.3,1433,19.593,388,44.047,460,3.228,6474,4468
150000,内蒙古自治区,2015,117,1513.384,0.6026921116,28.4897,648.962,267.097,573.992,2.6251,135.5135720658,1024,14.101,306,33.842,302,2.041,6256,4195
150000,内蒙古自治区,2014,116,1448.655,0.58,26.0701,621.101,261.922,571.4,2.5577,137.0,971,15.15,257,34.474,315,2.198,6928,4079
150000,内蒙古自治区,2013,116,1324.805,0.53,22.0,574.933,285.357,577.946,2.4363,131.5,971,14.398,295,50.231,401,2.438,5918,3885
150000,内蒙古自治区,2012,114,1209.764,0.485878265758981,18.2322,417.053,219.544,446.177,1.9222,104.990260457457,832,9.196,210,31.483,211,1.463,5043,3169
150000,内蒙古自治区,2011,114,1097.862,0.44,14.4829,373.084,172.953,357.132,1.7189,94.6,540,11.748,152,19.777,192,2.491,4215,2639
150000,内蒙古自治区,2010,113,940.038,,14.7284,311.644,195.864,312.206,1.6537,,,,,,,,,
150000,内蒙古自治区,2009,113,870.403,,,309.56,151.34,241.948,1.6607,,,,,,,,,
150000,内蒙古自治区,2008,113,831.1,,,286.4,106.6,234.1,1.6038,,,,,,,,,
150000,内蒙古自治区,2007,113,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2006,110,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2005,110,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2004,109,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2003,108,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2002,108,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2001,108,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2000,108,,,,,,,,,,,,,,,,
210000,辽宁省,2019,130,4395.094,1.01,172.9234,3122.855,759.266,1981.583,4.072,141.2,2636,23.21,1115,310.325,2533,7.968,9771,5845
210000,辽宁省,2018,130,4175.168,0.96,151.1235,2849.775,764.995,1913.9,3.9674,137.3,2719,23.842,986,351.922,3164,8.383,9638,5870
210000,辽宁省,2017,130,3964.011,0.91,140.0,2579.672,878.77,1900.475,3.8011,132.8,2696,25.486,1000,292.902,2730,8.273,9592,5945
210000,辽宁省,2016,130,3928.701,0.9,137.7291,2313.126,718.154,1795.007,3.7772,128.3,2534,27.222,791,237.51,2031,10.379,9282,5154
210000,辽宁省,2015,129,3736.29,0.8525670865,126.1544,2068.181,751.451,1708.392,3.5125,126.6908543264,2321,26.42,774,181.074,1784,7.758,7703,4259
210000,辽宁省,2014,129,3562.949,0.81,109.9919,1891.777,723.528,1622.798,3.1073,112.6,2343,35.355,732,226.69,1786,7.355,7367,3908
210000,辽宁省,2013,129,3355.419,0.76,102.0,1939.378,772.61,1749.883,3.0523,103.4,2099,34.603,635,178.204,1374,6.966,7032,3508
210000,辽宁省,2012,129,3470.594,0.790748234221918,91.8208,1939.331,732.792,1615.846,3.1977,108.345864661654,1820,38.088,519,145.963,1710,9.665,6294,2813
210000,辽宁省,2011,128,3092.592,0.71,101.7803,1553.233,648.791,1426.054,3.0312,103.4,1188,21.852,503,93.038,1008,5.391,5787,2486
210000,辽宁省,2010,128,2953.254,,86.2435,1457.292,601.055,1455.87,3.022,,,,,,,,,
210000,辽宁省,2009,128,2784.864,,,1665.619,607.685,1407.089,2.8395,,,,,,,,,
210000,辽宁省,2008,128,2584.4,,,1404.9,631.0,1410.3,2.7814,,,,,,,,,
210000,辽宁省,2007,128,,,,,,,,,,,,,,,,
210000,辽宁省,2006,127,,,,,,,,,,,,,,,,
210000,辽宁省,2005,126,,,,,,,,,,,,,,,,
210000,辽宁省,2004,126,,,,,,,,,,,,,,,,
210000,辽宁省,2003,128,,,,,,,,,,,,,,,,
210000,辽宁省,2002,128,,,,,,,,,,,,,,,,
210000,辽宁省,2001,129,,,,,,,,,,,,,,,,
210000,辽宁省,2000,128,,,,,,,,,,,,,,,,
220000,吉林省,2019,66,2168.017,0.81,115.5538,970.766,358.382,710.297,2.2973,114.2,915,9.105,547,118.351,532,3.881,4534,2883
220000,吉林省,2018,66,2051.625,0.76,117.1887,812.413,416.307,757.346,2.1943,106.5,949,10.194,501,90.879,493,3.947,4666,2980
220000,吉林省,2017,66,1972.76,0.73,112.0,866.936,433.503,766.104,2.143,105.9,835,10.429,333,95.79,413,3.157,4722,2912
220000,吉林省,2016,66,1861.739,0.68,102.9329,806.088,356.791,736.91,2.0836,101.6,858,13.258,273,99.368,472,2.661,4779,2744
220000,吉林省,2015,66,1768.026,0.6421433034,88.4269,732.485,352.504,747.898,1.9138,98.8951520346,897,15.597,240,89.167,438,3.773,4791,2549
220000,吉林省,2014,66,1662.195,0.6,72.2876,599.113,323.086,608.391,1.8953,89.6,757,13.433,204,83.958,319,2.705,4718,2668
220000,吉林省,2013,66,1597.036,0.58,28.0,540.181,241.47,462.264,1.5645,70.6,973,20.407,259,45.101,279,2.521,4335,2146
220000,吉林省,2012,66,1709.561,0.621568135543921,25.37,691.406,256.407,476.073,1.5863,67.9246655031995,937,20.174,163,33.241,296,4.031,3968,2015
220000,吉林省,2011,65,1575.472,0.57,19.1801,610.525,234.366,403.262,1.4905,64.5,837,22.349,250,21.457,211,3.142,3269,1783
220000,吉林省,2010,65,1380.189,,17.9833,503.179,213.166,412.428,1.382,,,,,,,,,
220000,吉林省,2009,66,1338.41,,,490.283,190.611,443.143,1.3486,,,,,,,,,
220000,吉林省,2008,64,1345.4,,,805.7,355.7,558.5,1.3763,,,,,,,,,
220000,吉林省,2007,64,,,,,,,,,,,,,,,,
220000,吉林省,2006,64,,,,,,,,,,,,,,,,
220000,吉林省,2005,63,,,,,,,,,,,,,,,,
220000,吉林省,2004,63,1118.0,,,,,,,,,,,,,,,
220000,吉林省,2003,62,,,,,,,,,,,,,,,,
220000,吉林省,2002,61,,,,,,,,,,,,,,,,
220000,吉林省,2001,61,,,,,,,,,,,,,,,,
220000,吉林省,2000,60,,,,,,,,,,,,,,,,
230000,黑龙江省,2019,110,2319.139,0.62,87.8448,1151.823,424.957,883.968,2.8477,91.8,1323,19.341,857,133.064,1708,7.675,5897,3752
230000,黑龙江省,2018,109,2232.933,0.59,74.896,1130.568,461.843,929.447,2.9202,89.0,1259,16.743,822,165.832,1658,8.144,6099,3929
230000,黑龙江省,2017,109,2158.408,0.57,82.0,1071.71,379.048,794.439,2.8168,86.2,1357,19.456,781,75.053,1302,5.125,6332,4189
230000,黑龙江省,2016,108,1926.024,0.51,69.6089,985.98,309.717,646.783,2.3447,78.0,1191,14.712,638,98.074,856,4.471,5946,3837
230000,黑龙江省,2015,107,1827.261,0.4793821654,61.362,967.784,330.186,688.029,2.3324,76.6298501981,886,12.579,484,70.187,780,4.056,5990,3821
230000,黑龙江省,2014,107,1720.608,0.45,54.7492,893.067,311.3,631.125,2.331,75.7,934,15.354,464,70.602,650,5.279,5824,3923
230000,黑龙江省,2013,107,1843.47,0.48,90.0,821.98,303.264,575.417,2.1952,72.3,918,17.679,421,60.096,403,3.081,5649,3834
230000,黑龙江省,2012,106,1823.066,0.475499739175796,77.3133,835.682,369.423,636.743,2.1103,70.2999478351591,806,18.745,387,58.217,395,5.52,5161,3333
230000,黑龙江省,2011,107,1770.447,0.46,71.2036,693.905,251.425,483.011,1.9688,67.5,750,16.462,287,41.1,453,3.294,4875,3369
230000,黑龙江省,2010,107,1643.949,,76.4006,621.941,241.859,478.631,1.8013,,,,,,,,,
230000,黑龙江省,2009,100,1571.615,,,616.613,235.026,560.447,1.6705,,,,,,,,,
230000,黑龙江省,2008,101,1505.6,,,612.8,228.2,673.7,1.4701,,,,,,,,,
230000,黑龙江省,2007,98,,,,,,,,,,,,,,,,
230000,黑龙江省,2006,95,,,,,,,,,,,,,,,,
230000,黑龙江省,2005,96,,,,,,,,,,,,,,,,
230000,黑龙江省,2004,96,1260.0,,,,,,,,,,,,,,,
230000,黑龙江省,2003,97,,,,,,,,,,,,,,,,
230000,黑龙江省,2002,96,,,,,,,,,,,,,,,,
230000,黑龙江省,2001,97,,,,,,,,,,,,,,,,
230000,黑龙江省,2000,97,,,,,,,,,,,,,,,,
310000,上海市,2019,23,8062.807,3.32,263.1777,2733.572,505.745,2151.19,2.3771,182.9,2488,26.173,379,213.772,1752,7.56,6643,3009
310000,上海市,2018,23,7894.21,3.26,247.9234,3036.031,621.595,2505.08,2.3099,180.7,2221,32.186,459,158.803,1699,8.943,6285,2987
310000,上海市,2017,24,7773.076,3.21,280.0,2992.533,671.213,2792.091,2.2684,177.4,2665,39.985,422,97.562,1605,9.852,6283,3029
310000,上海市,2016,24,7676.411,3.17,204.4999,4170.418,1981.721,8624.24,2.2217,173.2,2905,31.411,388,93.592,1173,6.969,6170,2758
310000,上海市,2015,25,7568.178,3.1334707921,304.9225,3931.389,1922.337,8681.374,2.2037,173.1773259304,2853,28.334,398,96.762,1007,7.838,6545,2348
310000,上海市,2014,25,7362.608,3.04,172.9544,3961.488,1898.949,7854.351,2.1656,170.8,2363,26.918,371,78.342,1116,8.332,7016,2129
310000,上海市,2013,25,7238.999,3.0,158.0,3605.364,1717.289,6316.295,2.2593,171.5,1643,22.195,389,84.061,652,7.251,7071,3121
310000,上海市,2012,25,7202.425,3.02568233470423,131.3133,2061.711,580.01,1972.561,2.1594,162.424435921241,1795,25.966,425,87.184,1519,12.624,5885,1816
310000,上海市,2011,25,6893.189,2.94,111.719,1925.735,606.364,1714.922,2.0017,158.6,1486,18.011,332,80.676,1357,8.795,5447,1613
310000,上海市,2010,28,6808.728,,107.9855,1852.539,579.118,1461.227,1.9427,,,,,,,,,
310000,上海市,2009,29,6593.428,,,1459.915,556.135,1452.508,1.6839,,,,,,,,,
310000,上海市,2008,29,6394.1,,,1370.4,509.1,1072.4,1.6282,,,,,,,,,
310000,上海市,2007,30,,,,,,,,,,,,,,,,
310000,上海市,2006,28,,,,,,,,,,,,,,,,
310000,上海市,2005,28,,,,,,,,,,,,,,,,
310000,上海市,2004,28,5852.25,4.4,,,,,,,,,,,,,,
310000,上海市,2003,35,5893.8,4.3926,,,,,,,,,,,,,,
310000,上海市,2002,32,5816.6,4.36,,,,,,,,,,,,,,
310000,上海市,2001,32,5667.7,4.27,,,,,,,,,,,,,,
310000,上海市,2000,31,5500.2,4.18,,,,,,,,,,,,,,
320000,江苏省,2019,117,9887.036,1.23,1655.6959,8424.548,2512.347,6153.311,7.2873,195.4,4763,69.575,1969,390.434,2641,12.911,12545,7211
320000,江苏省,2018,116,9322.719,1.16,1423.0991,8114.411,2939.0,5956.21,7.0332,167.0,4460,68.428,1886,376.295,3050,12.791,12027,6954
320000,江苏省,2017,115,8597.616,1.07,1301.0,7975.092,2970.201,5585.737,6.5425,152.4,3545,54.095,1566,374.375,2359,10.846,11739,6769
320000,江苏省,2016,114,7601.5,0.95,1100.1088,6488.588,2887.505,5088.055,5.4037,145.2,3393,64.542,1237,384.336,2086,10.374,10586,6009
320000,江苏省,2015,114,6846.929,0.8584091621,1107.3175,6001.251,2881.747,4979.838,5.0707,129.2855083184,3007,60.854,1127,282.417,1809,8.625,10291,5810
320000,江苏省,2014,114,6279.679,0.79,525.7729,5424.543,3216.574,4481.444,4.4782,119.4,2934,60.607,1160,191.619,1536,11.53,10026,5279
320000,江苏省,2013,113,5769.825,0.73,367.0,5046.693,2450.095,3996.838,4.4431,112.1,3003,63.906,911,171.334,1665,12.005,10100,5300
320000,江苏省,2012,112,6489.708,0.819409644973851,290.9009,4526.733,2039.825,3430.044,4.2085,104.281828994518,2556,52.144,787,148.2,1955,14.226,9289,4509
320000,江苏省,2011,112,5381.848,0.68,241.7274,3542.101,1544.781,2739.162,3.9798,85.8,2083,41.98,640,119.693,1689,10.158,8843,4337
320000,江苏省,2010,111,4369.97,,206.7302,3005.838,1596.294,2542.219,3.8912,,,,,,,,,
320000,江苏省,2009,109,4070.955,,,2786.617,1481.058,2444.813,3.5436,,,,,,,,,
320000,江苏省,2008,106,3775.8,,,2383.5,1343.4,2143.4,3.1612,,,,,,,,,
320000,江苏省,2007,105,,,,,,,,,,,,,,,,
320000,江苏省,2006,104,,,,,,,,,,,,,,,,
320000,江苏省,2005,103,,,,,,,,,,,,,,,,
320000,江苏省,2004,100,2974.2,,,,,,,,,,,,,,,
320000,江苏省,2003,100,,,,,,,,,,,,,,,,
320000,江苏省,2002,101,,,,,,,,,,,,,,,,
320000,江苏省,2001,101,,,,,,,,,,,,,,,,
320000,江苏省,2000,101,,,,,,,,,,,,,,,,
330000,浙江省,2019,103,9432.942,1.61,1286.4483,13935.058,2542.714,7846.38,8.4904,223.4,7415,105.624,3519,1191.49,12030,101.251,12994,8573
330000,浙江省,2018,103,8607.632,1.5,957.316,11874.644,2432.24,7148.54,7.8012,208.8,5587,300.789,3818,875.364,10189,53.588,13082,8666
330000,浙江省,2017,101,7812.908,1.38,1041.0,10846.508,2862.42,6982.161,6.8536,190.4,5258,89.981,2618,745.575,6769,39.479,11813,7551
330000,浙江省,2016,102,6969.148,1.25,844.7385,9788.474,2705.863,6520.166,6.4909,189.0,4403,67.78,2199,556.321,4752,16.786,11590,7063
330000,浙江省,2015,100,6249.786,1.1283238852,1638.5975,7941.992,2253.081,5726.659,6.0777,171.6609496299,3633,72.248,2030,405.284,4793,35.014,20445,6599
330000,浙江省,2014,98,5634.08,1.02,925.5952,5479.52,1953.328,4935.914,5.093,155.9,3741,65.951,1786,352.537,2721,13.83,9851,5755
330000,浙江省,2013,98,5164.785,0.94,322.0,4946.296,1911.51,3918.938,4.2423,135.8,2645,53.952,1228,334.164,2280,13.189,9521,5396
330000,浙江省,2012,97,5344.343,0.975779258718276,240.7446,4572.073,1677.076,3900.221,4.0263,125.716633193354,2399,55.493,875,290.474,1192,11.192,8918,4905
330000,浙江省,2011,97,4464.401,0.82,202.9422,3970.533,1766.089,3659.706,3.5889,114.6,2797,38.957,803,221.271,4609,24.747,8853,4746
330000,浙江省,2010,97,3761.208,,177.4309,3454.091,1376.061,2923.918,3.5068,,,,,,,,,
330000,浙江省,2009,96,3551.671,,,4253.241,1214.392,2785.444,3.4924,,,,,,,,,
330000,浙江省,2008,94,3179.0,,,2690.7,1110.8,2385.8,3.0743,,,,,,,,,
330000,浙江省,2007,93,,,,,,,,,,,,,,,,
330000,浙江省,2006,92,,,,,,,,,,,,,,,,
330000,浙江省,2005,90,,,,,,,,,,,,,,,,
330000,浙江省,2004,84,2087.0,,,,,,,,,,,,,,,
330000,浙江省,2003,83,,,,,,,,,,,,,,,,
330000,浙江省,2002,83,,,,,,,,,,,,,,,,
330000,浙江省,2001,83,,,,,,,,,,,,,,,,
330000,浙江省,2000,83,,,,,,,,,,,,,,,,
340000,安徽省,2019,127,3122.523,0.49,248.1483,3581.902,1371.526,2339.698,4.5855,89.5,3020,51.275,1508,329.114,3220,23.261,8288,6009
340000,安徽省,2018,126,2909.68,0.46,199.1057,3340.867,1316.195,2229.142,4.2573,80.7,3396,60.378,2028,360.041,3061,24.542,7999,5896
340000,安徽省,2017,124,2537.097,0.41,179.0,2376.327,1069.637,1899.004,3.9852,76.6,2374,45.087,900,207.135,1008,8.673,7823,5792
340000,安徽省,2016,123,2162.477,0.35,119.5867,1994.367,938.172,1681.85,3.558,71.7,2137,34.346,757,113.92,775,6.47,7549,5514
340000,安徽省,2015,122,1942.361,0.316160069,96.642,1738.952,913.518,1480.946,3.2944,64.9912103653,2023,55.673,603,120.619,941,6.877,7675,5603
340000,安徽省,2014,113,1753.373,0.29,75.2542,1545.834,845.995,1394.135,2.9453,60.6,1768,44.719,584,94.325,797,6.121,7488,5376
340000,安徽省,2013,107,1776.487,0.29,65.0,1346.791,798.203,1258.111,2.7298,58.7,1431,24.456,538,73.8,718,5.17,7132,5003
340000,安徽省,2012,102,2264.41,0.378157982631931,52.9348,1264.225,719.421,1186.062,2.1188,47.0925183700735,1191,15.819,358,52.494,674,5.436,5849,3859
340000,安徽省,2011,100,1375.416,0.23,44.0488,1176.493,547.015,843.199,1.7026,41.0,847,15.831,253,46.903,622,9.746,5337,3669
340000,安徽省,2010,88,1235.797,,24.6163,759.901,382.63,683.241,1.5778,,,,,,,,,
340000,安徽省,2009,89,1136.221,,,671.414,355.185,577.733,1.538,,,,,,,,,
340000,安徽省,2008,85,1073.4,,,527.5,274.7,462.5,1.1642,,,,,,,,,
340000,安徽省,2007,85,,,,,,,,,,,,,,,,
340000,安徽省,2006,85,,,,,,,,,,,,,,,,
340000,安徽省,2005,88,,,,,,,,,,,,,,,,
340000,安徽省,2004,85,813.0,,,,,,,,,,,,,,,
340000,安徽省,2003,84,,,,,,,,,,,,,,,,
340000,安徽省,2002,84,,,,,,,,,,,,,,,,
340000,安徽省,2001,84,,,,,,,,,,,,,,,,
340000,安徽省,2000,84,,,,,,,,,,,,,,,,
350000,福建省,2019,94,4253.538,1.07,303.5969,3895.464,1555.485,4176.472,4.4544,152.2,3055,40.308,1050,211.687,2165,17.091,7457,4952
350000,福建省,2018,91,3744.987,0.95,258.6075,3354.926,1335.238,3497.17,4.0262,143.0,2451,29.334,971,265.309,2395,19.889,8062,5191
350000,福建省,2017,90,3322.262,0.85,235.0,2970.123,1165.544,3350.671,3.7364,130.2,2327,28.597,1092,241.668,2396,110.323,7051,4585
350000,福建省,2016,90,3051.02,0.79,205.0471,2603.501,1219.541,2658.772,3.2602,102.6,3384,41.557,836,173.808,1368,11.871,6725,4390
350000,福建省,2015,90,2821.13,0.7348606408,102.489,2396.334,980.745,2465.148,3.1799,99.116957541,2891,28.66,712,142.038,1083,5.749,6101,3902
350000,福建省,2014,88,2660.195,0.7,91.5708,2051.908,851.182,2117.511,3.0453,98.5,2364,32.302,751,135.754,740,4.092,5911,3650
