年份,连锁零售企业零售营业面积,内资连锁零售企业零售营业面积,国有连锁零售企业零售营业面积,集体连锁零售企业零售营业面积,股份合作连锁零售企业零售营业面积,联营连锁零售企业零售营业面积,国有联营连锁零售企业零售营业面积,集体联营连锁零售企业零售营业面积,国有与集体联营连锁零售企业零售营业面积,其他联营连锁零售企业零售营业面积,有限责任公司连锁零售企业零售营业面积,国有独资公司连锁零售企业零售营业面积,其他有限责任公司连锁零售企业零售营业面积,股份有限公司连锁零售企业零售营业面积,私营连锁零售企业零售营业面积,私营独资连锁零售企业零售营业面积,私营合伙连锁零售企业零售营业面积,私营有限责任公司连锁零售企业零售营业面积,私营股份有限公司连锁零售企业零售营业面积,其他连锁零售企业零售营业面积,港澳台商投资连锁零售企业零售营业面积,港澳台商合资经营连锁零售企业零售营业面积,港澳台商合作经营连锁零售企业零售营业面积,港澳台商独资经营连锁零售企业零售营业面积,港澳台商投资股份有限公司连锁零售企业零售营业面积,其他港澳台商投资连锁零售企业零售营业面积,外商投资连锁零售企业零售营业面积,中外合资经营连锁零售企业零售营业面积,中外合作经营连锁零售企业零售营业面积,外资连锁零售企业零售营业面积,外商投资股份有限公司连锁零售企业零售营业面积,其他外商投资连锁零售企业零售营业面积
2009,11809.2021,10075.5487,833.2469,179.0773,28.5073,5.3813,2.8898,,0.078,2.4135,2395.6415,6.0702,2389.5713,5553.3773,1064.0965,41.5536,19.5916,904.2676,98.6837,16.2206,616.6919,148.2641,272.459,183.8228,12.146,,1116.9615,700.4608,64.511,339.876,12.1137,
2008,10197.8294,8800.6245,727.5217,58.5704,16.9895,4.0345,2.4384,0.8946,0.088,0.6135,2479.2421,63.6955,2415.5466,4669.2814,832.109,25.8112,19.0303,715.6784,71.5891,12.8759,343.7831,189.5098,9.2481,133.7854,11.2398,,1053.4218,687.6231,82.4785,277.4753,5.8449,
2007,10044.0175,7798.2978,668.2821,49.9232,13.9787,3.538,2.3594,0.5268,0.088,0.5638,2099.9287,55.2602,2044.6685,4244.4033,706.9596,23.867,15.1372,621.4404,46.515,11.2842,289.4728,164.2873,9.1555,105.238,10.792,,804.3614,527.4922,79.2834,196.1554,1.4304,
2006,8979.0,8024.5421,750.1746,42.3711,36.1126,34.2348,3.4138,1.4,29.421,2.45,1707.903,189.4065,1518.4965,4686.2081,748.042,46.2901,23.9037,632.2285,45.6197,19.4959,198.3502,147.0967,7.2065,42.447,1.6,,756.0972,492.2411,125.8729,137.6482,0.335,
2005,8687.5,7793.5205,1687.958,31.2559,100.2742,37.4934,2.0247,4.4,28.0687,3.0,1399.0697,55.0949,1343.9748,3893.353,638.2322,16.5463,19.1731,564.2575,38.2553,5.8841,380.0246,333.9525,1.6329,29.6536,14.7856,,513.9393,305.1645,172.8396,35.9352,,
2004,7202.6,3021.3516,534.1757,41.4968,40.6644,23.3008,0.9441,0.0,19.2067,3.15,999.3528,40.388,940.7465,973.4746,406.4145,22.6061,2.0322,336.2815,34.3884,2.472,242.8021,209.1609,23.5325,0.6227,1.8088,,250.5094,160.6697,83.8982,5.9415,,
2003,2780.1905,2379.4846,435.843,36.0127,30.0128,20.0181,0.8881,0.0,17.13,2.0,759.0476,33.9235,706.5071,737.6978,358.6016,30.518,1.7602,288.904,29.1237,2.251,185.4556,164.1743,11.1951,0.6002,1.8088,,213.2945,135.9428,72.9097,4.442,,
2002,1732.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
