年份,零售业企业主营业务利润,内资零售业企业主营业务利润,国有零售业企业主营业务利润,集体零售业企业主营业务利润,股份合作零售业企业主营业务利润,联营零售业企业主营业务利润,国有联营零售业企业主营业务利润,集体联营零售业企业主营业务利润,国有与集体联营零售业企业主营业务利润,其他联营零售业企业主营业务利润,有限责任公司零售业企业主营业务利润,国有独资公司零售业企业主营业务利润,其他有限责任公司零售业企业主营业务利润,股份有限公司零售业企业主营业务利润,私营零售业企业主营业务利润,私营独资零售业企业主营业务利润,私营合伙零售业企业主营业务利润,私营有限责任公司零售业企业主营业务利润,私营股份有限公司零售业企业主营业务利润,其他零售业企业主营业务利润,港澳台商投资零售业企业主营业务利润,港澳台商合资经营零售业企业主营业务利润,港澳台商合作经营零售业企业主营业务利润,港澳台商独资经营零售业企业主营业务利润,港澳台商投资股份有限公司零售业企业主营业务利润,其他港澳台商投资零售业企业主营业务利润,外商投资零售业企业主营业务利润,中外合资经营零售业企业主营业务利润,中外合作经营零售业企业主营业务利润,外资零售业企业主营业务利润,外商投资股份有限公司零售业企业主营业务利润,其他外商投资零售业企业主营业务利润
2009,4185.68009,3444.59067,274.87647,104.13125,29.59593,12.22243,5.13111,3.06393,2.48587,1.54152,1215.91379,25.44558,1190.46821,675.20671,1100.30779,139.50452,24.27608,868.97749,67.5497,32.3363,280.09941,93.07126,11.08423,169.35892,6.585,,460.99001,195.26453,41.17046,211.99725,12.55777,
2008,3923.2213,3303.1144,275.8198,86.9154,30.4062,31.8868,8.5049,1.5655,17.617,4.1994,1048.0152,27.577,1020.4382,723.3975,1061.2105,142.2668,25.6247,837.0064,56.3126,45.463,234.1412,81.5371,9.8685,136.824,5.9116,,385.9658,178.8761,48.3584,146.8042,11.9271,
2007,2165.70659,1790.7831,162.72233,41.7805,17.73867,13.12882,3.5807,2.87406,3.34392,3.33014,625.33399,26.517,598.81699,416.24152,498.36725,30.3166,8.91331,433.13922,25.99812,15.47002,140.25507,69.22613,13.92145,56.78602,0.32147,,234.66842,126.54223,39.29908,67.5763,1.25081,
2006,1752.496,1481.16,144.4546,32.5211,17.4914,10.0486,4.0778,1.2477,3.3284,1.3946,512.5839,37.1809,475.403,377.678,378.1125,21.8748,8.7967,325.8481,21.5929,8.27,98.313,59.3763,9.5846,29.3328,,,173.023,94.4278,31.7396,42.3852,4.4704,
2005,1359.96,1171.47514,139.1582,27.62711,15.97217,10.42875,3.69937,0.94712,3.33155,2.45071,392.23884,18.36428,373.87456,307.95883,274.80655,11.47328,5.25597,244.62274,13.45466,3.28469,58.5995,49.5522,6.95343,1.89918,0.19469,,129.88536,74.2894,34.94521,20.54124,0.10951,
2004,1043.13407,899.10134,124.86899,29.2775,12.01356,10.72281,6.14417,0.47599,2.9818,1.12085,286.30316,12.58322,273.71994,228.41277,206.43096,10.31584,4.03807,179.50355,12.5735,1.07159,57.04447,47.19867,5.72021,4.09551,0.03008,0.0,86.98826,43.25297,25.52676,18.25545,-0.04692,0.0
2003,345.89868,319.43568,72.2287,15.64565,7.76018,3.21737,1.10447,0.07721,1.63672,0.39897,77.98507,6.89049,71.09458,108.94328,33.31949,2.76568,1.1954,27.16679,2.19162,0.33594,15.8102,9.91017,3.80665,2.07372,,,10.65279,8.71241,6.1089,-4.80991,0.64139,
2002,319.2992,296.5982,73.9254,14.6396,7.3621,8.4436,6.3107,-0.1493,1.6702,0.612,65.0899,2.6993,62.3906,100.4048,26.4328,1.551,0.2175,22.5271,2.1372,0.3,12.1793,8.5834,2.9768,0.6279,-0.0088,,10.5217,9.0119,2.4747,-1.4898,0.5248,
2001,282.6664,256.9581,76.1167,14.6963,7.292,4.5515,1.843,0.5766,1.2926,0.8393,50.5947,4.035,46.5598,89.0636,14.2213,0.8484,0.3846,11.4733,1.5151,0.422,10.8003,8.7683,1.8625,0.4779,-0.3083,,14.908,13.0958,1.953,-0.1409,,
2000,265.492,238.1565,89.5836,16.2288,5.9677,4.7155,2.5374,0.6054,0.7296,0.8432,38.9051,4.4377,34.4675,75.4021,7.3573,1.0214,-0.0405,5.7159,0.6604,-0.0035,13.6901,6.7622,2.853,0.4669,3.608,,13.6454,8.1861,5.4472,0.0033,0.0088,
