年份,零售业企业主营业务税金及附加,内资零售业企业主营业务税金及附加,国有零售业企业主营业务税金及附加,集体零售业企业主营业务税金及附加,股份合作零售业企业主营业务税金及附加,联营零售业企业主营业务税金及附加,国有联营零售业企业主营业务税金及附加,集体联营零售业企业主营业务税金及附加,国有与集体联营零售业企业主营业务税金及附加,其他联营零售业企业主营业务税金及附加,有限责任公司零售业企业主营业务税金及附加,国有独资公司零售业企业主营业务税金及附加,其他有限责任公司零售业企业主营业务税金及附加,股份有限公司零售业企业主营业务税金及附加,私营零售业企业主营业务税金及附加,私营独资零售业企业主营业务税金及附加,私营合伙零售业企业主营业务税金及附加,私营有限责任公司零售业企业主营业务税金及附加,私营股份有限公司零售业企业主营业务税金及附加,其他零售业企业主营业务税金及附加,港澳台商投资零售业企业主营业务税金及附加,港澳台商合资经营零售业企业主营业务税金及附加,港澳台商合作经营零售业企业主营业务税金及附加,港澳台商独资经营零售业企业主营业务税金及附加,港澳台商投资股份有限公司零售业企业主营业务税金及附加,其他港澳台商投资零售业企业主营业务税金及附加,外商投资零售业企业主营业务税金及附加,中外合资经营零售业企业主营业务税金及附加,中外合作经营零售业企业主营业务税金及附加,外资零售业企业主营业务税金及附加,外商投资股份有限公司零售业企业主营业务税金及附加,其他外商投资零售业企业主营业务税金及附加
2009,196.24809,173.737,18.64198,7.90315,1.39976,0.44578,0.15975,0.15123,0.06708,0.06772,55.44663,1.0544,54.39223,24.40199,63.22423,15.08477,2.06821,42.15412,3.91713,2.27348,4.91857,2.2473,0.16804,2.13381,0.36942,,17.59252,12.7162,0.30796,4.20984,0.35852,
2008,195.3388,168.7224,12.8408,6.9605,2.2826,4.0688,1.0476,0.0773,2.8387,0.1052,46.8496,0.9217,45.9279,31.5871,59.4631,12.6076,2.3502,41.6676,2.8378,4.67,6.7907,1.6836,0.1308,4.7918,0.1846,,19.8257,13.627,1.9671,3.8278,0.4038,
2007,75.99236,72.07471,5.63406,2.71821,0.9442,0.40168,0.0706,0.0932,0.06719,0.17069,21.89115,0.58215,21.309,16.18407,23.47129,3.23359,0.55096,18.32657,1.36017,0.83005,2.01556,1.25866,0.19933,0.54224,,,1.90209,0.88077,0.29197,0.70061,,
2006,56.6286,51.5472,4.6384,2.0763,0.7238,0.1947,0.0558,,,,16.9577,1.0194,15.9382,11.3476,15.2677,1.7162,0.5409,11.8445,1.1662,0.341,1.2731,1.0159,0.1541,0.1032,,,3.8082,0.6592,0.7421,2.342,0.065,
2005,47.39526,45.40722,5.19057,2.76725,0.6348,0.17608,,,,0.07373,13.32119,0.37753,12.94366,11.07296,12.06936,0.72007,0.29199,10.36127,0.69613,0.17501,0.99521,0.91152,0.05387,,,,0.99283,0.59565,0.28235,0.11112,,
2004,42.2948,40.56317,5.39698,1.94251,0.75749,0.21896,0.10621,0.03881,0.04065,0.03329,12.22736,0.26705,11.96031,10.73081,9.21944,0.95859,0.20379,7.50124,0.55582,0.06962,0.81124,0.76534,0.04053,0.00417,0.0012,0.0,0.92039,0.35648,0.21979,0.26233,0.08179,0.0
2003,23.48213,22.32281,3.99052,1.24013,0.65727,0.19831,,,,0.08459,6.12823,0.37988,5.74835,6.42719,3.63893,0.38026,0.15948,2.7932,0.30599,,0.62338,0.30939,0.20946,0.10453,,,0.53594,0.38828,0.10331,,,
2002,22.9752,21.562,5.1885,1.4034,0.5201,0.7392,0.5861,0.0134,0.0713,0.0685,5.5638,0.1786,5.3852,5.6007,2.5211,0.1856,0.0643,2.0003,0.2708,0.0253,1.0813,0.3632,0.0954,0.0259,0.5968,,0.3318,0.1809,0.1052,0.0397,0.0061,
2001,17.6058,15.9994,4.7825,1.1352,0.5531,0.2632,0.1083,0.013,0.0642,0.0777,3.1328,0.2075,2.9253,4.6325,1.4807,0.0871,0.0396,1.2555,0.0985,0.0195,1.3131,0.5451,0.7381,0.0225,0.0075,,0.2934,0.1367,0.1531,0.0035,,
2000,16.5992,15.5884,5.938,1.821,0.4386,0.2478,0.157,0.0218,0.0221,0.0468,2.4451,0.2343,2.2108,4.0208,0.6687,0.1216,0.0233,0.4753,0.0486,0.0083,0.7923,0.2356,0.1235,0.0274,0.4058,,0.2184,0.1315,0.0852,0.0001,0.0016,
