年份,活猪出口数量,活家禽出口数量,牛肉出口数量,猪肉出口数量,冻鸡出口数量,水海产品出口数量,鲜蛋出口数量,谷物及谷物粉出口数量,稻谷和大米出口数量,玉米出口数量,蔬菜出口数量,鲜或冷藏蔬菜出口数量,橘、橙出口数量,苹果出口数量,松子仁出口数量,大豆出口数量,花生及花生仁出口数量,食用植物油出口数量,食糖出口数量,天然蜂蜜出口数量,茶叶出口数量,辣椒干出口数量,猪肉罐头出口数量,蘑菇罐头出口数量,啤酒出口数量,肠衣出口数量,填充用羽毛；羽绒出口数量,药材出口数量,烤烟出口数量,纸烟出口数量,锯材出口数量,生丝出口数量,山羊绒出口数量,棉花出口数量,天然石墨出口数量,天然碳酸镁；氧化镁出口数量,萤石出口数量,天然硫酸钡出口数量,滑石出口数量,氧化铝出口数量,煤出口数量,焦炭、半焦炭出口数量,原油出口数量,成品油出口数量,石蜡出口数量,仲钨酸铵出口数量,氧化锌及过氧化锌出口数量,合成有机染料出口数量,医药品出口数量,中式成药出口数量,医用敷料出口数量,洗衣粉出口数量,烟花、爆竹出口数量,松香及树脂酸出口数量,新的充气橡胶轮胎出口数量,纸及纸板出口数量,棉纱线出口数量,丝织物出口数量,棉机织物出口数量,亚麻及苎麻机织物出口数量,合成短纤与棉混纺机织物出口数量,地毯出口数量,塑料编织袋出口数量,水泥及水泥熟料出口数量,平板玻璃出口数量,玻璃制品出口数量,家用陶瓷器皿出口数量,生铁及镜铁出口数量,钢坯及粗锻件出口数量,钢材出口数量,未锻造铜及铜合金出口数量,铜材出口数量,未锻造铝及铝合金出口数量,铝材出口数量,未锻造的锌及锌合金出口数量,未锻造的锡及锡合金出口数量,未锻造的锑、粉末及废碎料出口数量,未锻造的锰出口数量,钢铁或铜制标准紧固件出口数量,手用或机用工具出口数量,电扇出口数量,纺织机械及零件出口数量,缝纫机出口数量,金属加工机床出口数量,电子计算器出口数量,自动数据处理设备及其部件出口数量,自动数据处理设备的零件出口数量,轴承出口数量,电动机及发电机出口数量,静止式变流器出口数量,原电池出口数量,蓄电池出口数量,电话机出口数量,收音设备出口数量,电视机出口数量,电容器出口数量,通断保护电路装置及零件出口数量,二极管及类似半导体器件出口数量,电线和电缆出口数量,集装箱出口数量,汽车出口数量,汽车零件出口数量,自行车出口数量,船舶出口数量,照相机出口数量,医疗仪器及器械出口数量,手表出口数量,日用钟出口数量,家具及其零件出口数量,非针织或钩编织物制服装出口数量,针织或钩编服装出口数量,皮鞋出口数量,橡胶或塑料底布鞋出口数量,塑料制品出口数量,玩具出口数量,足球、篮球、排球出口数量,伞出口数量,竹编结品出口数量,藤编结品出口数量,草编结品出口数量,柳编结品出口数量,机电产品出口数量,高新技术产品出口数量
2009,169.0,696.0,1.0,9.0,70000.0,209.0,1111.0,132.0,79.0,13.0,636.0,424.0,985127.0,1171805.0,7862.0,35.0,24.0,114019.0,63886.0,71831.0,302952.0,91025.0,36133.0,285791.0,21030.0,69219.0,27030.0,199552.0,99449.0,8078.0,560000.0,9227.0,2125.0,8249.0,460000.0,131.0,27.0,177.0,40.0,6.8581,2240.0,54.0,507.0,2504.0,54.0,3671.0,16423.0,237560.0,,13367.0,151565.0,281003.0,297107.0,193505.0,30214.0,362.0,537527.0,,,19980.0,237282.0,45725.0,508453.0,1561.0,16643.0,,1630000.0,24.0,4.0,2460.0,73142.0,455136.0,310240.0,1390000.0,29287.0,686.0,4580.0,94946.0,1620000.0,1060000.0,40470.0,,986.0,648.0,34234.0,131331,930000.0,266457.0,280481.0,261626.0,2252000.0,221729.0,71211.0,21957.0,5564.0,68098.0,,23178400.0,1430000.0,690000,350000,,4611.0,1774987.0,11778.0,,55942.0,35662.0,,,,88241.0,142355.0,6560000.0,,18493.0,42538.0,41641.0,17905.0,38350.0,93775.0,,
2008,164.0,1166.0,2.2729,8.2203,73098.0,175.0,1216.0,181.0,97.0,27.0,624.0,415.0,748814.0,1153325.0,4178.0,47.0,23.0,247623.0,58403.0,84865.0,296940.0,96476.0,31563.0,422371.0,24170.0,67642.0,29846.0,188296.0,116127.0,6834.0,690000.0,13431.0,2421.0,16361.0,600000.0,233.0,66.0,384.0,69.0,4.4142,4543.0,1221.0,424.0,1703.0,60.0,5421.0,32779.0,236214.0,602816.0,13180.0,186106.0,256178.0,313849.0,276517.0,31227.0,361.0,547247.0,25617.0,805966.0,19642.0,276913.0,41757.0,474191.0,2604.0,27762.0,,1720000.0,25.0,129.0,5923.0,102724.0,517522.0,841292.0,1900000.0,71320.0,559.0,9453.0,240547.0,2700000.0,1200000.0,48694.0,,1094.0,629.0,44739.0,143236,1180000.0,334998.0,370769.0,287078.0,2252300.0,286100.0,70023.0,29011.0,5138.0,74584.0,,25354700.0,1690000.0,3030000,640000,,5659.0,2173621.0,12364.0,,55036.0,26990.0,,,,112586.0,138050.0,7300000.0,,19652.0,92888.0,70845.0,31642.0,53580.0,143387.0,,
2007,161.0,1635.0,3.0,13.0,76123.0,183.0,1006.0,986.0,134.0,492.0,622.0,412.0,472579.0,1019235.0,7882.0,46.0,29.0,166348.0,110529.0,64354.0,289436.0,56064.0,44247.0,396144.0,20571.0,68802.0,31199.0,240556.0,120320.0,7831.0,747500.0,13753.0,3075.0,21004.0,670000.0,227.0,54.0,311.0,66.0,3.1893,5317.0,1529.93,389.0,1551.0,60.0,5526.0,54425.0,284333.0,532047.0,13404.0,150138.0,233966.0,358839.0,329214.0,32583.0,422.0,583776.0,25004.0,721696.0,22497.0,277157.0,32122.0,399722.0,3301.0,30917.0,,1954004.0,69.0,643.0,6265.0,126578.0,499678.0,545586.0,1853413.0,276714.0,23582.0,8230.0,281875.0,2587757.0,1310081.0,54001.0,,1201.0,832.0,47513.0,145137,1298127.0,326520.0,390569.0,283933.0,2209344.0,307493.0,67749.0,35640.0,5103.0,72396.0,,24121500.0,1617206.0,3130728,610000,,5923.0,1063881.0,2125.0,,63833.0,33443.0,,,,131178.0,144437.0,7660000.0,,18088.0,91340.0,72944.0,36037.0,57759.0,125234.0,,
2006,172.0,1899.0,3.0,27.0,50000.0,194.0,942.0,605.0,124.0,310.0,568.0,375.0,385510.0,804226.0,9948.0,38.0,32.0,399249.0,154389.0,81073.0,286594.0,69795.0,57505.0,318142.0,17749.0,69841.0,31274.0,200176.0,108060.0,,808174.0,6712.0,3255.0,12956.0,465608.0,210.0,64.0,359.0,65.0,,6327.3,1446.75,633.72,1235.0,60.0,7699.0,65116.0,251793.0,450451.0,12539.0,127020.0,175253.0,345282.0,367148.0,26619.0,305.0,577240.0,24682.0,684652.0,26574.0,276087.0,21890.0,335482.0,3613.0,26433.0,,2112483.0,87.0,904.0,4301.0,246757.0,559122.0,1212155.0,1240157.0,341465.0,21526.0,21170.0,326085.0,2080000.0,1219045.0,55036.0,,1283.0,769.0,48460.0,142607,1432905.0,280975.0,358571.0,253492.0,2131438.0,281894.0,69320.0,19748.0,9529.0,66667.0,,20930800.0,1409157.0,2195830,346206,,5599.0,181940.0,3510.0,,69153.0,37254.0,,,,139163.0,128814.0,7240000.0,,16747.0,88190.0,77225.0,34057.0,50927.0,109787.0,,
2005,176.0,2502.0,2.0,25.0,90000.0,176.0,921.0,1014.0,69.0,864.0,520.0,353.0,426175.0,824050.0,11655.0,40.0,45.0,225214.0,358278.0,88499.0,286563.0,70144.0,52059.0,322765.0,14694.0,63094.0,36466.0,203006.0,112128.0,,615324.0,10972.0,3662.0,4962.0,493747.0,184.0,73.0,308.0,56.0,,7172.4,1276.4,806.7,1401.0,73.0,8012.0,62205.0,231416.0,398085.0,12269.0,121466.0,121108.0,325592.0,347462.0,22522.0,167.0,469532.0,29017.0,610322.0,25093.0,243350.0,17503.0,277736.0,2216.0,19925.0,,2009288.0,223.0,707.0,2052.0,144671.0,463560.0,1318599.0,711484.0,146845.0,27014.0,29833.0,285019.0,1520000.0,1102075.0,52036.0,,1199.0,683.0,47547.0,130496,1406387.0,248260.0,326035.0,211406.0,2028915.0,258877.0,19806.0,19849.0,8592.0,59299.0,,17441555.0,1234056.0,2046530,1080886,,5385.0,136208.0,4593.0,,80524.0,40614.0,,,,136035.0,111575.0,6730000.0,,13297.0,82014.0,78409.0,32564.0,53512.0,104061.0,,
2004,197.0,1926.0,2.0,29.0,70000.0,176.0,1047.0,473.0,91.0,232.0,470.0,314.0,333264.0,774131.0,9542.0,33.0,40.0,65215.0,85191.0,81325.0,280193.0,73094.0,54090.0,298459.0,14080.0,62229.0,37590.0,169864.0,135206.0,,474626.0,11288.0,4159.0,9092.0,451735.0,194.0,83.0,239.0,64.0,,8666.36,1501.2,549.16,1146.0,64.0,5909.0,67063.0,226477.0,353349.0,12194.0,97627.0,116568.0,285395.0,342893.0,19969.0,101.0,431031.0,25221.0,530071.0,23774.0,219155.0,13632.0,235287.0,704.0,14464.0,,1870385.0,129.0,606.0,1423.0,126276.0,390023.0,1683369.0,430988.0,263149.0,38915.0,21490.0,269802.0,1140000.0,944717.0,46822.0,,1170.0,616.0,45689.0,112979,1327556.0,224557.0,336168.0,168915.0,1992596.0,219735.0,19900.0,20584.0,6309.0,58394.0,,14303577.0,1077072.0,1974716,401354,,5175.0,87322.0,5631.0,,96582.0,44910.0,,,,115311.0,93228.0,6330000.0,,12025.0,76944.0,84425.0,36641.0,45942.0,108780.0,,
2003,188.0,3908.0,1.0,21.0,226984.0,158.0,1292.0,2194.0,262.0,1639.0,432.0,296.0,265435.0,609052.0,6080.0,27.0,49.0,59705.0,103165.0,84088.0,259914.0,90518.0,52161.0,262402.0,15133.0,64724.0,36675.0,163280.0,134545.0,,523188.0,13931.0,4638.0,112020.0,339611.0,205.0,95.0,217.0,73.0,,9402.89,1472.11,813.33,1382.0,62.0,8548.0,96960.0,198667.0,303576.0,11960.0,85583.0,80526.0,258679.0,301173.0,15779.0,114.0,504060.0,19514.0,559344.0,23906.0,182655.0,9718.0,184217.0,533.0,12427.0,,1614392.0,71.0,147.0,696.0,67083.0,232879.0,1249249.0,273874.0,484231.0,41220.0,25243.0,165458.0,854814.0,790616.0,35847.0,,,623.0,43850.0,,,181869.0,326207.0,122546.0,1880848.0,158766.0,19327.0,20583.0,4762.0,48078.0,,10595428.0,848022.0,1773053,132216,,5044.0,70618.0,6121.0,,90781.0,43522.0,,,,103739.0,81845.0,5482683.0,,9635.0,68855.0,78138.0,37968.0,36367.0,102675.0,,
2002,188.0,4280.0,1.0,16.0,282423.0,163.0,1001.0,1482.0,199.0,1167.0,360.0,240.0,196641.0,438738.0,7015.0,28.0,52.0,97443.0,325826.0,76450.0,252272.0,70870.0,49060.0,210279.0,13042.0,55012.0,41792.0,144110.0,135138.0,,430721.0,14701.0,4140.0,149538.0,321795.0,201.0,101.0,171.0,73.0,,8384.0,1357.0,766.0,1068.0,62.0,6078.0,87057.0,203042.0,261189.0,11739.0,74699.0,54951.0,223475.0,356334.0,13391.0,74.0,388413.0,15280.0,457883.0,22000.0,196867.0,6533.0,136833.0,518.0,11359.0,,1365240.0,40.0,133.0,545.0,81328.0,171710.0,787341.0,188744.0,495990.0,42578.0,20276.0,126757.0,661783.0,662159.0,21285.0,,1119.0,555.0,47674.0,,,172097.0,301744.0,93118.0,1584982.0,108813.0,16880.0,19537.0,3164.0,41800.0,,8849800.0,690096.0,1078009,43491,,4556.0,50423.0,9156.0,,82413.0,43688.0,,,,95664.0,72649.0,4598847.0,,8277.0,61320.0,76892.0,31725.0,34609.0,89007.0,,
2001,196.0,4195.0,2.0,10.0,350000.0,154.0,614.0,876.0,186.0,600.0,298.0,176.0,149781.0,303578.0,6515.0,25.0,49.0,134007.0,200000.0,106666.0,249654.0,67954.0,45049.0,195765.0,8345.0,51368.0,36132.0,160960.0,133978.0,,433364.0,11265.0,2383.0,52366.0,372375.0,211.0,111.0,259.0,77.0,,9012.0,1385.0,755.0,922.0,54.0,6850.0,92720.0,177412.0,220356.0,12395.0,64906.0,49359.0,196614.0,302279.0,11073.0,68.0,246121.0,12664.0,333921.0,20508.0,219456.0,4945.0,123231.0,621.0,6123.0,,1118866.0,68.0,271.0,474.0,54125.0,123790.0,408829.0,135630.0,562021.0,57249.0,22007.0,116460.0,520000.0,546421.0,12352.0,,563.0,455.0,55306.0,,,152686.0,245617.0,77172.0,1374096.0,75514.0,14897.0,16756.0,2103.0,31616.0,,6123513.0,544667.0,915510,24839,,3494.0,68034.0,8693.0,,83403.0,41591.0,,,,86809.0,72843.0,3780000.0,,5411.0,61124.0,79527.0,24546.0,25866.0,73535.0,,
2000,203.0,4890.0,2.0,5.0,360000.0,120.0,757.0,1378.0,295.0,1047.0,245.0,139.0,191353.0,297651.0,3528.0,21.0,40.0,111505.0,410000.0,102888.0,227662.0,54075.0,38175.0,204334.0,8442.0,52316.0,36882.0,175661.0,93821.0,,422507.0,12532.0,3123.0,292475.0,333460.0,204.0,120.0,252.0,75.0,,5505.0,1520.0,1031.0,827.0,52.0,9276.0,135022.0,179632.0,193758.0,12322.0,57092.0,41675.0,201984.0,281420.0,10906.0,65.0,210602.0,13425.0,321248.0,24186.0,218571.0,3807.0,127727.0,605.0,5592.0,,1096692.0,333.0,434.0,621.0,118739.0,144484.0,209111.0,130052.0,593336.0,77733.0,44979.0,92971.0,510000.0,511285.0,11245.0,,600.0,438.0,41170.0,,,146224.0,275442.0,75247.0,1327192.0,77997.0,16030.0,20106.0,1944.0,32734.0,,6841553.0,534069.0,1107032,22779,,3286.0,43032.0,9073.0,,89440.0,46562.0,,,,82896.0,73484.0,3470000.0,,4605.0,55879.0,70901.0,25090.0,20533.0,64861.0,,
