年份,贷方资本和金融项目,贷方资本项目,贷方金融项目,贷方金融项目中直接投资,贷方金融项目中我国在外直接投资,贷方金融项目中外国在华直接投资,贷方金融项目中证券投资,贷方金融项目中证券投资资产,贷方金融项目中证券投资的股本证券资产,贷方金融项目中证券投资的债务证券资产,贷方金融项目中证券投资的(中)长期债务证券资产,贷方金融项目中证券投资的货币市场工具债务证券资产,贷方金融项目中证券投资负债,贷方金融项目中证券投资的股本证券负债,贷方金融项目中证券投资的债务证券负债,贷方金融项目中证券投资的(中)长期债券证券负债,贷方金融项目中证券投资的货币市场工具债券证券负债,贷方金融项目中其它投资,贷方金融项目中其它投资资产,贷方金融项目中其它投资的贸易信贷资产,贷方金融项目中其它投资的长期贸易信贷资产,贷方金融项目中其它投资的短期贸易信贷资产,贷方金融项目中其它投资的贷款资产,贷方金融项目中其它投资的长期资产贷款,贷方金融项目中其它投资的短期贷款资产,贷方金融项目中其它投资的货币和存款资产,贷方金融项目中其它投资的其它资产,贷方金融项目中其它投资的中长期其它资产,贷方金融项目中其它投资的短期其它资产,贷方金融项目中其它投资的负债,贷方金融项目中其它投资的贸易信贷负债,贷方金融项目中其它投资长期贸易信贷负债,贷方金融项目中其它投资短期贸易信贷负债,贷方金融项目中其它投资贷款负债,贷方金融项目中其它投资长期贷款负债,贷方金融项目中其它投资短期贷款负债,贷方金融项目中其它投资货币和存款负债,贷方金融项目中其它投资的其它负债,贷方金融项目中其它投资的长期其它负债,贷方金融项目中其它投资的短期其它负债
2009,86340899.4231709,420430.555756,85920468.8674149,16707080.869925,417078.7793,16290002.090625,11015134.4878261,7814918.270199,1460081.062289,6354837.20791,5286028.3921,1068808.81581,3200216.21762713,2980567.92762713,219648.29,219581.0,67.29,58198253.5096637,16013621.7240956,0.0,0.0,0.0,4535532.03105,0.0,4535532.03105,5819391.95227987,5658697.74076577,0.0,5658697.74076577,42184631.7855681,3783089.22911268,264816.246037888,3518272.98307479,32453421.94,1349537.07,31103884.87,4648476.49855633,1299644.11789908,1141925.67789908,157718.44
2008,98452651.5032022,331988.636363636,98120662.8668386,18679755.0544348,217578.548650455,18462176.5057843,8721103.66120594,7715822.77210912,652416.0,7063406.77210912,7006075.46190612,57331.310203,1005280.88909682,873689.049096817,131591.84,131463.0,128.84,70719804.1511979,17215294.9746084,2307582.96365816,161530.807456071,2146052.15620209,3034530.4852296,1180600.0,1853930.4852296,7452582.76380394,4420598.76191666,0.0,4420598.76191666,53504509.1765895,2067839.72703257,144748.78089228,1923090.94614029,44410791.52,2059932.62,42350858.9,6854419.19292363,171458.736633304,58074.276633304,113384.46
2007,99364162.2493681,331469.886363636,99032692.3630044,16938984.2757937,192998.245570682,16745986.030223,7707440.9573081,5577989.24080618,175320.0,5402669.24080618,4938469.24080618,464200.0,2129451.71650192,1847812.04650192,281639.67,281639.67,0.0,74386267.1299027,5553554.66662551,46601.0690102962,3262.07483072074,43338.9941795754,1473432.96170588,0.0,1473432.96170588,2674536.08474457,1358984.55116476,0.0,1358984.55116476,68832712.4632772,2910000.0,203700.0,2706300.0,54896038.03,2088303.79,52807734.24,10418511.9540396,608162.479237562,119296.114237563,488866.365
2006,73459530.0674743,410247.7,73049282.3674743,13327254.847197,71777.0954119127,13255477.7517851,4971757.27846606,685637.278466056,22400.0,663237.278466056,273137.278466056,390100.0,4286120.0,4286120.0,0.0,0.0,0.0,54750270.2418113,4500943.0549875,164800.0,11536.0,153264.0,2268411.29433711,0.0,2268411.29433711,835647.099289141,1232084.66136125,0.0,1232084.66136125,50249327.1868238,1322704.69252431,83404.4158561184,1239300.2766682,43795849.6266721,1370777.663257,42425071.9634151,3607599.8048435,1523173.06278386,429708.752783858,1093464.31
2005,48507982.0015056,415514.7,48092467.3015056,11121022.5749065,56485.74485079,11064536.8300557,2605443.69269624,390845.31128468,0.0,390845.31128468,314165.31128468,76680.0,2214598.38141156,2056900.0,157698.381411564,126332.381411564,31366.0,34366001.0339028,3045164.74181437,0.0,0.0,0.0,710427.29787184,0.0,710427.29787184,949566.14972279,1385171.29421974,0.0,1385171.29421974,31320836.2920884,2541152.37619129,116893.009304799,2424259.36688649,23259749.6095841,1937819.5972941,21321930.01229,4790067.07558709,729867.230725916,128584.650725916,601282.58
2004,39842347.9487423,0.0,39842347.9487423,6811727.21812193,31571.24354011,6780155.97458183,3473684.55438977,2103673.51438977,0.0,2103673.51438977,2103673.51438977,0.0,1370011.04,1092820.0,277191.04,276431.86,759.18,29556936.1762306,6995301.95623061,0.0,0.0,0.0,728461.48129048,0.0,728461.48129048,2163039.13606181,4103801.33887832,0.0,4103801.33887832,22561634.22,2002500.0,286200.0,1716300.0,18348410.59,2999553.37,15348857.22,1453893.59,756830.04,245262.15,511567.89
2003,24319120.2366336,0.0,24319120.2366336,5790093.74673863,201580.90979876,5588512.83693987,1730604.12635669,798952.106356693,0.0,798952.106356693,798952.106356693,0.0,931652.02,773900.0,157752.02,153056.93,4695.09,16798422.3635382,6291560.00260406,243790.876776351,0.0,243790.876776351,2179192.1231344,0.0,2179192.1231344,434487.07725922,3434089.92543409,0.0,3434089.92543409,10506862.3609342,569116.060934169,0.0,569116.060934169,8313678.48,1966817.64,6346860.84,879914.75,744153.07,393013.01,351140.06
2002,12832130.640775,0.0,12832130.640775,5307361.88974036,33061.88974036,5274300.0,228661.57251344,1473.40251344,0.0,1473.40251344,3227.39398715,208068.0,247817.55,224900.0,22972.05,22107.38,2294.67,7296107.17852118,1504176.3160904,354334.042000091,0.0,354334.042000091,510607.70939586,3200.0,516007.70939586,267963.36142158,1146249.64154731,236594.997295708,1097009.37651288,5918768.8523797,504467.065430999,0.0,504467.065430999,5207723.65,1836985.51,3370738.14,410250.22,866460.06,612970.09,297253.09
2001,9953113.5093163,1449.7,9953113.5093163,4705242.08069212,20642.08069212,4684600.0,912983.4,79766.82649508,3158.6,76608.22649508,1016243.47074297,0.0,836611.0,835038.0,150138.0,150138.0,0.0,6947715.67838828,5034055.84051738,2158050.08786226,0.0,2158050.08786226,1573629.02266145,3300.0,1573629.02266145,78990.10401083,1692741.94759456,0.0,1692741.94759456,3160361.7,1868300.8,1505.1,1868033.3,1030454.1,758276.66,317712.7,56752.87,623130.27,379760.86,357902.11
2000,9198639.19595075,791.7,9198639.19595075,4209557.5,132357.5,4077200.0,781448.32,37072.0,0.0,37072.0,37072.0,0.0,775956.82,691200.0,84756.82,84756.82,0.0,4207633.37595075,1059061.70436428,1004220.40561178,0.0,1004220.40561178,9107.5,16100.0,9107.5,784073.7,398988.2,0.0,438928.38,3743281.57595075,2242823.22,0.0,2242823.22,1220036.9,874227.6,345809.3,878.5,699128.58,541002.87,158125.71
