省份编码,省份,年份,外商投资企业数(户),外商投资企业投资总额(百万美元),外商投资企业注册资本(百万美元),外方外商投资企业注册资本(百万美元)
230000,黑龙江省,2000,3318,8343.9,5606.05,
310000,上海市,2019,90757,955229.17,647925.32,495536.6
310000,上海市,2018,87300,884911.38,596069.29,450602.37
310000,上海市,2017,84007,798239.05,547277.17,417366.71
310000,上海市,2016,79410,734246.36,508728.45,392211.34
310000,上海市,2015,74885,661273.46,449732.51,351460.37
310000,上海市,2014,68952,530467.08,335955.67,270684.25
310000,上海市,2013,64412,457932.84,282304.57,230287.87
310000,上海市,2012,61461,413767.6501,251091.6595,203357.1348
310000,上海市,2011,58993,377353.0766,226231.5714,184129.0079
310000,上海市,2010,55666,339384.8667,200918.6108,163976.3478
310000,上海市,2009,52278,308400.0,181900.0,147900.0
310000,上海市,2008,51532,293990.6222,169174.9127,137746.2609
310000,上海市,2007,34218,257031.81,145024.72,116970.71
310000,上海市,2006,31568,225500.0,121200.0,
310000,上海市,2005,28978,200670.0,108610.0,
310000,上海市,2004,26657,172188.0,92321.0,
310000,上海市,2003,24133,150816.29,80410.16,
310000,上海市,2002,20963,127963.92,69160.74,
310000,上海市,2001,18160,112688.43,60913.26,
310000,上海市,2000,15930,98539.71,53344.7,
320000,江苏省,2019,62360,1173514.5064,637280.5549,526513.7736
320000,江苏省,2018,59308,1056041.8401,563985.8412,463917.4533
320000,江苏省,2017,58577,965818.7344,522615.8642,436371.0648
320000,江苏省,2016,55938,879868.1266,471822.9169,395228.6473
320000,江苏省,2015,53551,782153.6314,422901.2641,357266.1427
320000,江苏省,2014,51634,718131.1571,383933.6618,325638.2304
320000,江苏省,2013,50514,666376.4681,354281.5801,300035.2247
320000,江苏省,2012,50461,624999.8962,330137.9659,280302.1477
320000,江苏省,2011,52959,572850.8081,305008.7769,261167.0362
320000,江苏省,2010,51666,508106.4502,273899.3609,232550.3607
320000,江苏省,2009,50241,444400.0,239500.0,204500.0
320000,江苏省,2008,49928,415929.6543,220310.101,190054.7255
320000,江苏省,2007,38998,382029.6,201618.53,173353.62
320000,江苏省,2006,36463,324300.0,165400.0,
320000,江苏省,2005,33321,265720.0,132130.0,
320000,江苏省,2004,29939,216981.0,108330.0,
320000,江苏省,2003,26925,150013.68,74726.39,
320000,江苏省,2002,22991,125483.91,62353.09,
320000,江苏省,2001,19602,92000.98,47953.2,
320000,江苏省,2000,18060,75004.28,40656.98,
330000,浙江省,2019,43121,500692.8189,323474.8998,243696.6353
330000,浙江省,2018,40191,445788.1991,284177.7522,210267.1246
330000,浙江省,2017,37422,373414.5653,228616.7638,175598.2628
330000,浙江省,2016,34442,319869.9584,192140.0776,151876.183
330000,浙江省,2015,32778,291813.44,171399.34,136437.2
330000,浙江省,2014,31005,262881.01,152680.73,119593.34
330000,浙江省,2013,30674,240408.13,140664.64,108787.73
330000,浙江省,2012,29595,217809.79,127466.18,97132.43
330000,浙江省,2011,29288,201918.86,117000.19,91243.13
330000,浙江省,2010,28769,183233.07,106941.68,82514.36
330000,浙江省,2009,28252,164000.0,95000.0,72200.0
330000,浙江省,2008,28533,158255.13,91701.19,68603.96
330000,浙江省,2007,22059,145658.29,82603.62,61711.72
330000,浙江省,2006,20956,125700.0,70200.0,
330000,浙江省,2005,19009,101910.0,56460.0,
330000,浙江省,2004,17792,83432.0,46710.0,
330000,浙江省,2003,15140,61225.7118,34646.9506,
330000,浙江省,2002,12111,43201.69,24337.35,
330000,浙江省,2001,11194,34063.69,19773.59,
330000,浙江省,2000,10002,29313.01,17121.91,
340000,安徽省,2019,7903,165642.582,85436.3698,63245.0065
340000,安徽省,2018,6611,112984.2242,59488.844,43438.1582
340000,安徽省,2017,6135,86641.2103,48903.6253,35226.7909
340000,安徽省,2016,5549,67256.2727,34576.8457,25510.1658
340000,安徽省,2015,5063,106486.4703,30916.4687,22343.8677
340000,安徽省,2014,4721,48026.2851,26074.7607,18808.8388
340000,安徽省,2013,4466,41612.0731,22660.4749,16737.748
340000,安徽省,2012,4466,39961.7726,20705.5608,15425.8712
340000,安徽省,2011,5427,32884.124,18433.2674,13719.4379
340000,安徽省,2010,5633,30324.2584,17349.0488,12930.3204
340000,安徽省,2009,5579,27900.0,16000.0,11600.0
340000,安徽省,2008,5523,25464.5344,14748.8209,10754.1525
340000,安徽省,2007,2637,23754.5484,14034.3493,10160.1547
340000,安徽省,2006,2436,18300.0,10600.0,
340000,安徽省,2005,2165,15480.0,8900.0,
340000,安徽省,2004,2114,12938.0,7635.0,
340000,安徽省,2003,2034,11643.9061,6963.3215,
340000,安徽省,2002,1914,9622.05,5957.07,
340000,安徽省,2001,2055,9208.2,5835.75,
340000,安徽省,2000,2216,9144.0,5867.88,
350000,福建省,2019,31608,297471.1545,176558.9127,134413.5132
350000,福建省,2018,30150,278697.739,163846.6055,126189.3734
350000,福建省,2017,28264,260720.6394,150268.3917,116143.9934
350000,福建省,2016,28351,226315.495,132126.5274,105094.1102
350000,福建省,2015,25895,196712.8138,110901.1045,90007.4365
350000,福建省,2014,24322,173245.025,94484.5599,77913.1893
350000,福建省,2013,23546,156515.5836,85374.8234,71156.1011
350000,福建省,2012,23381,145744.3927,80442.6384,68037.6261
350000,福建省,2011,23727,136898.3701,75386.2123,64088.6531
350000,福建省,2010,23463,124830.5926,69358.4498,59446.4007
350000,福建省,2009,23609,117500.0,65400.0,56200.0
350000,福建省,2008,23809,112128.77,62644.56,54024.43
350000,福建省,2007,18655,102706.08,56194.03,48083.16
350000,福建省,2006,18629,87800.0,50000.0,
350000,福建省,2005,17854,75330.0,43070.0,
350000,福建省,2004,17236,68877.0,38729.0,
350000,福建省,2003,16884,66117.7595,36079.0304,
350000,福建省,2002,15563,59399.7,33041.38,
350000,福建省,2001,15403,51259.69,29164.5,
350000,福建省,2000,16013,47084.46,27584.92,
360000,江西省,2019,6791,100985.4933,72583.3141,56710.388
360000,江西省,2018,6137,87720.2763,61349.1604,46348.4054
360000,江西省,2017,6059,80797.2297,56606.3149,42395.655
360000,江西省,2016,6918,77738.1172,55060.3653,43871.8594
360000,江西省,2015,7094,72578.2282,48095.2096,41629.9123
360000,江西省,2014,7020,67024.78,43769.38,37984.86
360000,江西省,2013,6667,58770.46,38435.81,33252.66
360000,江西省,2012,7334,53857.1367,34904.1983,30120.7326
360000,江西省,2011,6926,49080.5595,31284.7005,26989.4019
360000,江西省,2010,7574,43917.4601,28135.7292,24295.7979
360000,江西省,2009,6822,36900.0,23100.0,19500.0
360000,江西省,2008,6640,33484.8086,20855.4899,17268.9165
360000,江西省,2007,4542,28968.52,18371.4412,15446.4846
360000,江西省,2006,4276,23200.0,14000.0,
360000,江西省,2005,3980,18490.0,11390.0,
360000,江西省,2004,3415,16326.0,8817.0,
360000,江西省,2003,2939,13667.4,7064.53,
360000,江西省,2002,2478,9868.67,4835.33,
360000,江西省,2001,2284,7378.53,3525.89,
360000,江西省,2000,2246,6875.77,3300.88,
370000,山东省,2019,33760,575431.5785,409062.438,328368.4978
370000,山东省,2018,30733,345228.5584,205316.719,156358.3403
370000,山东省,2017,29512,304217.7528,181978.9213,138079.9421
370000,山东省,2016,28527,251873.739,147619.5968,115241.4233
370000,山东省,2015,27240,219333.5362,127245.7714,99266.01
370000,山东省,2014,26023,199227.1867,113130.7845,87071.1415
370000,山东省,2013,25755,176490.8939,99456.2625,76470.3477
370000,山东省,2012,25885,158114.2045,89679.0486,68384.4318
370000,山东省,2011,28915,143374.466,81748.6471,61615.271
370000,山东省,2010,29486,124523.2458,72865.0137,54495.1357
370000,山东省,2009,30579,112000.0,64700.0,47900.0
370000,山东省,2008,32052,101162.5153,57071.4517,42504.041
370000,山东省,2007,20084,96310.5495,53636.2962,38696.7736
370000,山东省,2006,20909,88500.0,51800.0,
370000,山东省,2005,20153,78620.0,47070.0,
370000,山东省,2004,19251,69410.0,41564.0,
370000,山东省,2003,17237,59661.71,35229.17,
370000,山东省,2002,14741,47086.56,28215.74,
370000,山东省,2001,13753,42515.69,25216.46,
370000,山东省,2000,12389,38950.46,23097.17,
410000,河南省,2019,10145,116307.0634,71360.3625,50820.9846
410000,河南省,2018,8257,105408.2814,59397.8169,44697.7218
410000,河南省,2017,7827,104537.7406,55529.0911,40868.7711
410000,河南省,2016,8058,82248.7634,44900.411,33163.2942
410000,河南省,2015,8316,68709.9278,34816.396,24843.8604
410000,河南省,2014,10056,58878.0715,29692.4223,22326.183
410000,河南省,2013,9934,47786.7438,24479.164,17910.3597
410000,河南省,2012,10168,46341.4912,23696.7666,17131.9267
410000,河南省,2011,10404,42352.828,22521.9889,16261.6025
410000,河南省,2010,10254,37865.9272,20535.2814,14866.0698
410000,河南省,2009,10676,34700.0,19100.0,13900.0
410000,河南省,2008,11166,29304.9497,16110.4565,11680.3834
410000,河南省,2007,2983,25656.3647,13738.7193,9440.3236
410000,河南省,2006,2813,23300.0,12300.0,
410000,河南省,2005,2877,20640.0,11220.0,
410000,河南省,2004,2600,14861.0,8712.0,
410000,河南省,2003,2403,12627.5772,7553.4135,
410000,河南省,2002,2437,11815.68,7040.18,
410000,河南省,2001,2401,10072.56,6386.93,
410000,河南省,2000,3004,11358.54,7336.53,
420000,湖北省,2019,12378,186437.7161,103186.5619,79534.6626
420000,湖北省,2018,11761,142274.9783,76744.9462,58440.6428
420000,湖北省,2017,10962,115102.7045,61061.9066,46114.9449
420000,湖北省,2016,8976,99316.2696,54406.7952,41997.2519
420000,湖北省,2015,8646,89231.3385,48165.6445,35877.834
420000,湖北省,2014,8160,77671.4129,41015.6969,29921.4864
420000,湖北省,2013,7693,65356.6011,34923.2858,25622.4608
420000,湖北省,2012,8023,58273.7725,32149.5318,23981.1261
420000,湖北省,2011,7473,51895.6634,29317.4336,21486.2425
420000,湖北省,2010,7486,42864.4304,24313.982,18132.6241
420000,湖北省,2009,7237,37700.0,22000.0,16200.0
420000,湖北省,2008,7560,34030.4336,20083.5792,14466.0968
420000,湖北省,2007,3964,31344.81,18104.55,12197.23
420000,湖北省,2006,4230,28000.0,15800.0,
420000,湖北省,2005,4284,25780.0,15140.0,
420000,湖北省,2004,4173,22694.0,13590.0,
420000,湖北省,2003,4031,17676.1437,10711.3007,
420000,湖北省,2002,3705,15854.11,9311.42,
420000,湖北省,2001,4443,14143.13,10106.91,
420000,湖北省,2000,5123,16669.78,10347.66,
430000,湖南省,2019,9870,184125.8231,79751.5338,60638.3238
430000,湖南省,2018,8765,183185.4772,79965.6047,62753.5864
430000,湖南省,2017,7733,163391.9276,68416.402,53282.6127
430000,湖南省,2016,6677,57999.9981,30887.695,22079.0378
430000,湖南省,2015,5865,52147.1897,28105.1952,20115.7801
430000,湖南省,2014,5353,46306.8025,24190.2257,18393.4904
430000,湖南省,2013,5020,40486.0788,20872.27,15790.0728
430000,湖南省,2012,4882,38380.6468,19647.0785,14739.5494
430000,湖南省,2011,5257,34958.4355,18295.3391,13540.17
430000,湖南省,2010,5410,32406.4293,16111.1098,11460.5375
430000,湖南省,2009,5220,28000.0,15800.0,12400.0
430000,湖南省,2008,5085,26621.612,15379.6476,11741.2384
430000,湖南省,2007,2964,24323.7,13643.7,9994.96
430000,湖南省,2006,2948,21300.0,11800.0,
430000,湖南省,2005,2712,15820.0,9470.0,
430000,湖南省,2004,2598,11908.0,7029.0,
430000,湖南省,2003,2337,10214.49,5867.25,
430000,湖南省,2002,2152,8681.38,4853.31,
430000,湖南省,2001,2080,6567.01,3770.39,
430000,湖南省,2000,2316,7305.85,4338.37,
440000,广东省,2019,179268,1953251.9999,854258.1998,635339.2546
440000,广东省,2018,170968,1923465.0086,796406.4588,593941.7261
440000,广东省,2017,135869,1762227.308,643186.3467,479160.1603
440000,广东省,2016,119688,781570.7756,508588.4854,372801.9215
440000,广东省,2015,111169,644309.5148,390613.9747,308090.8342
440000,广东省,2014,104555,562063.2683,337737.3383,273294.2658
440000,广东省,2013,100639,512640.314,303714.8621,251658.5602
440000,广东省,2012,98564,478645.3188,283268.9888,230198.4908
440000,广东省,2011,97084,452465.9712,268475.266,220682.2817
440000,广东省,2010,93756,421260.2271,249493.4881,209084.9628
440000,广东省,2009,90189,393900.0,234300.0,198800.0
440000,广东省,2008,90114,372646.335,225137.483,180616.6332
440000,广东省,2007,66789,350704.861,204086.4501,170172.1744
440000,广东省,2006,61999,314300.0,180500.0,
440000,广东省,2005,58762,288920.0,167730.0,
440000,广东省,2004,55259,260957.0,152016.0,
440000,广东省,2003,51672,241261.64,140505.87,
440000,广东省,2002,49875,236353.54,134949.31,
440000,广东省,2001,47102,221822.59,125890.12,
440000,广东省,2000,49865,216510.26,128086.07,
450000,广西壮族自治区,2019,5972,91639.9316,47068.4738,37860.8225
450000,广西壮族自治区,2018,5333,62722.5823,32174.5415,25531.5954
450000,广西壮族自治区,2017,4872,56200.2017,29874.8114,23960.027
450000,广西壮族自治区,2016,4485,43720.2518,22954.9488,18996.7436
450000,广西壮族自治区,2015,4215,42529.4684,21465.2116,17552.2856
450000,广西壮族自治区,2014,3949,37395.875,19373.8056,15726.5873
450000,广西壮族自治区,2013,3756,31927.4534,17267.9633,14024.244
450000,广西壮族自治区,2012,3773,31142.8779,16744.0793,13631.542
450000,广西壮族自治区,2011,4650,29942.094,16081.6777,13046.6442
450000,广西壮族自治区,2010,5327,27973.0919,15477.6545,12481.7805
450000,广西壮族自治区,2009,4391,27200.0,15000.0,12100.0
450000,广西壮族自治区,2008,4297,25826.1066,13907.025,10936.5506
450000,广西壮族自治区,2007,2468,21907.86,12411.53,9292.24
450000,广西壮族自治区,2006,2611,18000.0,9800.0,
450000,广西壮族自治区,2005,2441,14710.0,8250.0,
450000,广西壮族自治区,2004,2336,12678.0,7351.0,
450000,广西壮族自治区,2003,2311,10447.96,6057.1,
450000,广西壮族自治区,2002,2509,10443.64,6135.03,
450000,广西壮族自治区,2001,2436,10245.51,5928.98,
450000,广西壮族自治区,2000,2705,10849.56,6268.48,
460000,海南省,2019,3319,104528.4698,81336.4391,70495.1673
460000,海南省,2018,2707,92793.318,70669.5053,64401.4967
460000,海南省,2017,2442,76089.0227,61002.248,55462.9238
460000,海南省,2016,2660,76038.8065,60668.3884,54898.1297
460000,海南省,2015,3111,31173.5416,18015.3417,11722.4783
460000,海南省,2014,3038,27888.0027,15718.9651,11659.3789
460000,海南省,2013,3105,26993.5651,15283.124,11432.6367
460000,海南省,2012,3105,27071.9992,14336.9453,9640.6204
460000,海南省,2011,2960,22066.2759,13118.2201,8550.9623
460000,海南省,2010,4171,25885.8783,14545.2873,9825.6552
460000,海南省,2009,4531,90300.0,16200.0,11800.0
460000,海南省,2008,4921,96658.6856,15964.0658,11303.0546
460000,海南省,2007,3194,94101.7954,14225.9168,10193.9671
460000,海南省,2006,2536,11800.0,8300.0,
460000,海南省,2005,2456,9200.0,5790.0,
460000,海南省,2004,2329,8633.0,5496.0,
460000,海南省,2003,2366,8900.22,5595.69,
460000,海南省,2002,2251,9850.5,5022.44,
460000,海南省,2001,5940,21496.22,12259.74,
460000,海南省,2000,7248,23435.95,13925.53,
500000,重庆市,2019,6358,111069.97,70453.39,54081.73
500000,重庆市,2018,6299,110686.08,69746.88,53045.66
500000,重庆市,2017,5739,94558.39,60178.93,45436.29
500000,重庆市,2016,5555,88065.12,54900.78,42734.66
500000,重庆市,2015,5009,78844.59,49359.76,38786.95
500000,重庆市,2014,5147,67516.91,42542.75,33429.48
500000,重庆市,2013,5397,58840.87,36900.27,28896.39
500000,重庆市,2012,4461,53693.69,31154.9,23557.86
500000,重庆市,2011,3985,45193.72,25728.75,20156.52
500000,重庆市,2010,4827,34884.53,20350.0,15670.31
500000,重庆市,2009,4447,27800.0,16200.0,12000.0
500000,重庆市,2008,4333,23848.1569,13328.8166,10050.9799
500000,重庆市,2007,1519,19773.73,10500.49,7615.38
500000,重庆市,2006,1360,9300.0,4900.0,
500000,重庆市,2005,1315,8030.0,4230.0,
500000,重庆市,2004,1294,7245.0,3918.0,
500000,重庆市,2003,1129,6547.46,3543.35,
500000,重庆市,2002,1388,6892.57,3965.49,
500000,重庆市,2001,1502,7023.62,4193.98,
500000,重庆市,2000,1708,6602.01,4419.4,
510000,四川省,2019,12950,289060.3488,155361.6398,85644.7266
510000,四川省,2018,12502,125556.9007,70875.3777,48648.2138
510000,四川省,2017,11462,112797.2279,65822.3169,44800.7449
510000,四川省,2016,10370,94192.64,55282.45,41102.83
510000,四川省,2015,10594,88409.38,50965.61,38534.19
510000,四川省,2014,10253,82751.9735,46715.9703,35712.9884
510000,四川省,2013,9147,72489.7202,41338.0091,32415.0924
510000,四川省,2012,9107,64045.3018,37444.9878,28297.7826
510000,四川省,2011,10026,57419.3174,34443.7085,25918.026
510000,四川省,2010,12050,54383.3219,33456.9948,25933.7302
510000,四川省,2009,11521,46100.0,28000.0,21400.0
510000,四川省,2008,9398,42112.7737,25765.8113,19602.8695
510000,四川省,2007,4247,26867.77,16339.6844,11561.2602
510000,四川省,2006,4491,19900.0,12600.0,
510000,四川省,2005,4075,16600.0,10860.0,
510000,四川省,2004,3789,13982.0,9403.0,
510000,四川省,2003,4162,13632.36,8947.8,
510000,四川省,2002,3913,11997.85,8112.3,
510000,四川省,2001,3678,10938.67,7514.11,
510000,四川省,2000,3539,10106.51,7028.08,
520000,贵州省,2019,3056,48721.7692,27439.0953,22276.6443
520000,贵州省,2018,1891,45302.5128,24343.4222,20168.1048
520000,贵州省,2017,1671,31251.3232,16709.1956,13484.8717
520000,贵州省,2016,1511,23719.2974,13121.7546,10000.5374
520000,贵州省,2015,1662,18146.8852,10180.3414,8297.516
520000,贵州省,2014,1515,15471.5825,7756.3,6121.9883
520000,贵州省,2013,1386,11855.6384,6251.5219,4928.0662
520000,贵州省,2012,1688,7669.6747,4196.571,3293.2145
520000,贵州省,2011,2029,5681.4709,3231.4393,2543.6218
520000,贵州省,2010,1936,4131.8988,2509.6495,1860.0577
520000,贵州省,2009,1966,3600.0,2100.0,1600.0
520000,贵州省,2008,2201,3215.263,1931.0227,1418.0116
520000,贵州省,2007,603,2797.4122,1697.1758,1195.0453
520000,贵州省,2006,601,2600.0,1600.0,
520000,贵州省,2005,649,2340.0,1490.0,
520000,贵州省,2004,641,2234.0,1448.0,
520000,贵州省,2003,595,2100.29,1377.58,
520000,贵州省,2002,639,1891.46,1234.43,
520000,贵州省,2001,714,1599.36,1196.63,
520000,贵州省,2000,715,1493.49,1166.35,
530000,云南省,2019,5602,67099.4326,36307.7575,29499.0377
