年份,煤油消费总量,农、林、牧、渔业煤油消费总量,工业煤油消费总量,采矿业煤油消费总量,煤炭开采和洗选业煤油消费总量,石油和天然气开采业煤油消费总量,黑色金属矿采选业煤油消费总量,有色金属矿采选业煤油消费总量,非金属矿采选业煤油消费总量,开采专业及辅助性活动煤油消费总量,其他采矿业煤油消费总量,制造业煤油消费总量,农副食品加工业煤油消费总量,食品制造业煤油消费总量,酒、饮料和精制茶制造业煤油消费总量,烟草制品业煤油消费总量,纺织业煤油消费总量,纺织服装、服饰业煤油消费总量,皮革、毛皮、羽毛及其制品和制鞋业煤油消费总量,木材加工及木、竹、藤、棕、草制品业煤油消费总量,家具制造业煤油消费总量,造纸及纸制品业煤油消费总量,印刷和记录媒介复制业煤油消费总量,文教、工美、体育和娱乐用品制造业煤油消费总量,石油、煤炭及其他燃料加工业煤油消费总量,化学原料及化学制品制造业煤油消费总量,医药制造业煤油消费总量,化学纤维制造业煤油消费总量,橡胶和塑料制品业煤油消费总量,橡胶制品业煤油消费总量,塑料制品业煤油消费总量,非金属矿物制品业煤油消费总量,黑色金属冶炼及压延加工业煤油消费总量,有色金属冶炼及压延加工业煤油消费总量,金属制品业煤油消费总量,通用设备制造业煤油消费总量,专用设备制造业煤油消费总量,汽车制造业煤油消费总量,铁路、船舶、航空航天和其他运输设备制造业煤油消费总量,电气机械及器材制造业煤油消费总量,计算机、通信和其他电子设备制造业煤油消费总量,仪器仪表制造业煤油消费总量,其他制造业煤油消费总量,废弃资源综合利用业煤油消费总量,金属制品、机械和设备修理业煤油消费总量,电力、热力、燃气及水生产和供应业煤油消费总量,电力、热力的生产和供应业煤油消费总量,燃气生产和供应业煤油消费总量,水的生产和供应业煤油消费总量,建筑业煤油消费总量,交通运输、仓储和邮政业煤油消费总量,批发和零售业、住宿和餐饮业煤油消费总量,其他煤油消费总量,居民生活煤油消费总量
2009,1450.49,0.76,32.04,4.64,2.9,0.05,0.45,0.87,0.37,,0.0,27.28,0.22,0.11,0.29,0.0,0.43,0.28,0.29,0.2,0.13,0.41,0.23,0.12,1.24,3.69,0.07,0.11,0.31,0.08,0.23,1.23,1.39,1.65,1.64,3.88,0.53,7.16,,0.5,0.22,0.69,0.23,0.03,,0.12,0.12,0.0,0.0,10.39,1314.25,29.15,43.67,20.23
2008,1294.00864732,1.26,49.08389732,5.38,2.87,0.13,1.03,0.77,0.58,,0.0,43.45889732,0.42,0.26,0.48667392,0.0,1.3819136,0.4867678,0.24,0.455318,0.1774332,0.9125136,0.5266668,0.17,2.084136,3.8697336,0.43,0.2891504,1.1911468,0.1511468,1.04,2.32353,2.2474872,2.18,2.647416,6.3218792,0.9791684,9.0498512,,1.577184,0.863696,1.394118,0.4431136,0.05,,0.245,0.225,0.01,0.01,9.67,1174.59,20.82,25.9038,12.68095
2007,1243.7168508463,0.94,45.2422508463011,5.299728,2.710684,0.15,1.162276,0.619608,0.65716,,0.0,39.6352914106672,0.32858,0.272252,0.450624,0.03,1.717392,0.572668,0.300416,0.910636,0.197148,0.760428,0.619608,0.291028,1.72678,4.199704,0.431848,0.413072,0.735532,0.215924,0.519608,2.5817,1.605348,1.943316,2.20618,4.822984,1.378812,7.565088,,1.31432,0.75104,0.929412,0.553892,0.025483410667211,,0.30723143563387,0.25,0.03,0.02723143563387,0.0,1129.98,4.901,43.173,19.4806
2006,1124.7385143,1.54,48.1894883,5.7195,2.925,0.16,1.269,0.657,0.702,,0.0065,42.1849883,0.351,0.288,0.477,0.0314883,1.836,0.612,0.324,0.972,0.207,0.81,0.657,0.306,1.845,4.581,0.459,0.441,0.882,0.225,0.657,2.745,1.71,2.07,2.349,5.175,1.485,7.7625,,1.404,0.8,0.99,0.585,0.03,,0.285,0.24,0.015,0.03,0.0,1010.54,3.772026,37.969,22.728
2005,1076.84,1.6,57.5,6.4,3.26,0.17,1.42,0.74,0.8,,0.01,50.74,0.4,0.33,0.54,0.03,2.05,0.7,0.37,1.09,0.24,0.91,0.74,0.35,2.06,6.09,0.52,0.5,1.01,0.27,0.74,3.06,1.92,2.32,2.64,5.8,1.69,11.08,,1.6,0.82,1.13,0.7,0.04,,0.36,0.32,0.02,0.03,0.0,952.42,3.67,36.19,25.46
2004,1060.858962,1.08,60.89,6.79739188626363,4.37116515091745,0.169711170614085,0.710004897389668,0.840005794094819,0.700004828412349,,0.006500044835258,53.8328093217263,0.330002276251536,0.330002276251536,0.540003724775241,0.034987241330947,2.05001414035045,0.700004828412349,0.370002552160813,1.36000938091542,0.240001655455663,0.910006276936054,0.740005104321626,0.350002414206175,2.06001420932777,8.70006001026777,0.520003586820602,0.500003448865964,1.01000696670925,0.27000186238762,0.740005104321626,3.0600211070597,1.9200132436453,2.32001600273807,2.61001800308033,7.03004849105545,1.69490469091756,10.1560700533655,,1.60001103637108,0.82000565614018,1.12742177659954,0.704772861300735,0.044376306093752,,0.259798792010062,0.210001448523705,0.010000068977319,0.039797274509038,0.0,919.71,3.63,48.19,27.358962
2003,921.610477024354,1.35,87.77,8.09509132970622,6.36813413238288,0.276368434156448,0.0,1.32170315100568,0.128885612161213,,0.0,79.1448994692635,0.400006944173807,0.101487476121812,0.144808005877108,0.0,3.70781441541981,0.500008680217258,0.183127823403418,0.205903177749636,-0.001371789263171,1.90003298482558,6.0001041626071,1.63002829750826,16.7937673575603,9.67708517927626,0.083517933398927,0.41777364604874,0.750967852967727,0.08238356418468,0.668584288783048,1.51879886515308,3.00005208130355,1.14431483531302,2.39924169013013,5.71721572010628,1.63554410921227,7.17560359826445,,0.491953530555605,0.301591442564148,0.415298390999752,12.8502230815835,0.0,,0.530009201030294,0.530009201030294,0.0,0.0,0.0,741.680477024354,11.24,43.19,36.38
2002,919.204337251723,1.4,107.35,10.0160560961649,7.36149398969662,0.491585575271895,0.036868918145392,1.60994275901545,0.516164854035489,,0.0,96.6703033772181,0.356399542072124,0.086027475672582,0.098317115054379,0.122896393817974,5.33370349170006,0.626771608471666,0.18434459072696,0.122896393817974,0.061448196908987,3.60086433886663,7.32462507155123,1.47475672581568,20.8923869490555,12.5968803663423,0.122896393817974,0.454716657126503,0.663640526617058,0.061448196908987,0.602192329708071,2.11381797366915,7.9391070406411,0.774247281053234,2.66685174585003,4.33824270177447,1.45017744705209,8.16032054951345,,0.393268460217516,0.307240984544934,0.405558099599313,13.9978992558672,0.0,,0.663640526617058,0.614481969089868,0.0,0.04915855752719,0.0,716.754337251723,13.0,40.0,40.7
2001,890.27,1.52,86.0,7.59,5.5,0.43,0.03,1.29,0.34,,0.0,77.92,0.26,0.09,0.09,0.09,3.87,0.43,0.17,0.09,0.05,3.7,5.85,1.29,18.47,8.94,0.14,0.43,0.51,0.08,0.43,2.49,5.5,0.6,1.72,3.35,1.38,6.45,,0.26,0.17,0.17,11.36,0.0,,0.49,0.44,0.01,0.04,3.5,560.69,12.47,151.09,75.0
2000,871.61,1.5,83.95,7.44,5.37,0.42,0.04,1.26,0.34,,0.01,76.05,0.25,0.08,0.08,0.08,3.78,0.42,0.17,0.08,0.04,3.61,5.71,1.26,18.06,8.73,0.15,0.42,0.49,0.07,0.42,2.43,5.37,0.59,1.68,3.27,1.34,6.3,,0.25,0.18,0.15,11.08,0.0,,0.46,0.42,0.01,0.03,4.0,535.9,14.0,160.09,72.17
