年份,能源消费总量,农、林、牧、渔业能源消费总量,工业能源消费总量,采矿业能源消费总量,煤炭开采和洗选业能源消费总量,石油和天然气开采业能源消费总量,黑色金属矿采选业能源消费总量,有色金属矿采选业能源消费总量,非金属矿采选业能源消费总量,开采专业及辅助性活动能源消费总量,其他采矿业能源消费总量,制造业能源消费总量,农副食品加工业能源消费总量,食品制造业能源消费总量,酒、饮料和精制茶制造业能源消费总量,烟草制品业能源消费总量,纺织业能源消费总量,纺织服装、服饰业能源消费总量,皮革、毛皮、羽毛及其制品和制鞋业能源消费总量,木材加工及木、竹、藤、棕、草制品业能源消费总量,家具制造业能源消费总量,造纸及纸制品业能源消费总量,印刷和记录媒介复制业能源消费总量,文教、工美、体育和娱乐用品制造业能源消费总量,石油、煤炭及其他燃料加工业能源消费总量,化学原料及化学制品制造业能源消费总量,医药制造业能源消费总量,化学纤维制造业能源消费总量,橡胶和塑料制品业能源消费总量,橡胶制品业能源消费总量,塑料制品业能源消费总量,非金属矿物制品业能源消费总量,黑色金属冶炼及压延加工业能源消费总量,有色金属冶炼及压延加工业能源消费总量,金属制品业能源消费总量,通用设备制造业能源消费总量,专用设备制造业能源消费总量,汽车制造业能源消费总量,铁路、船舶、航空航天和其他运输设备制造业能源消费总量,电气机械及器材制造业能源消费总量,计算机、通信和其他电子设备制造业能源消费总量,仪器仪表制造业能源消费总量,其他制造业能源消费总量,废弃资源综合利用业能源消费总量,金属制品、机械和设备修理业能源消费总量,电力、热力、燃气及水生产和供应业能源消费总量,电力、热力的生产和供应业能源消费总量,燃气生产和供应业能源消费总量,水的生产和供应业能源消费总量,建筑业能源消费总量,交通运输、仓储和邮政业能源消费总量,批发和零售业、住宿和餐饮业能源消费总量,其他能源消费总量,居民生活能源消费总量
2009,336126,6978.0,243567.0,16636.0,8771.0,3935.0,1468.0,911.0,1297.0,,254.0,206556.0,4111.0,1967.0,1767.0,229.0,6884.0,813.0,481.0,1362.0,226.0,4687.0,385.0,240.0,17580.0,33700.0,1723.0,1641.0,3541.0,1344.72,1894.96,30460.0,65353.0,12043.0,3227.0,3467.0,1643.0,3035.0,,2038.0,2229.0,301.0,1330.0,91.0,,20376.0,18937.0,565.0,873.0,4712.0,24460.0,7303.0,13933.0,35173.0
2008,320611,6013.13,209302.15,17050.44,9356.17,4210.04,1408.03,863.14,1028.27,,184.79,172106.52,2731.34,1544.66,1161.85,232.6,6396.38,725.34,388.73,981.91,181.801019114305,3998.65190363503,349.806052792829,219.761519381145,13747.0088911557,28961.1329496433,1360.49285736044,1448.57816225543,3188.20171777496,1335.83469778721,1852.36701998775,25460.52,51862.92,11287.99,3023.79,2758.11,1630.28,2732.58,,1791.1,2197.44,284.975809190263,1401.71557489035,56.8445942909059,,20145.1902690053,18676.4796176163,634.599668361936,834.110983027142,3812.53,22917.25,5733.58078576632,11771.336177367,31898.3223911031
2007,311442,6228.4,200531.38,15240.74,8269.88,3651.26,1330.32,828.89,1035.12,,125.27,164951.1,2537.65,1448.62,1098.77,249.03,6528.3,711.44,387.67,893.67,152.86,3643.36,327.08,210.09,13445.3,28621.16,1261.41,1575.02,2957.65,1305.16,1652.49,23111.66,50186.53,10867.61,2852.64,2649.23,1579.44,2467.64,,1557.01,1994.99,260.9,1323.74,50.64,,20339.53,18892.27,650.79,796.48,4127.52,21959.18,5689.38,11158.19,30813.9
2006,286467,6330.70640658762,184945.451266561,14247.1342907549,7672.90218938644,3586.78952782063,1138.05106708769,738.018301170435,978.208058646289,,133.165146643372,151274.666170721,2360.77353264482,1389.67078805942,1081.59600584819,255.375100556598,6108.59269920409,661.678607660321,364.145725529551,843.102963304138,149.323198995691,3791.56207426978,303.623513430247,202.845353851319,12498.7224633782,25995.3582892727,1255.97908543087,1465.04575849297,2851.8610453788,1246.94816686388,1604.91287851492,22637.6435697585,44729.9230042619,8861.83243266932,2632.41483175113,2406.23049747049,1438.18690528888,2247.85196775154,,1353.04130705093,1754.04682913009,232.819927284516,1349.9306895298,51.4880034659468,,19423.6508050852,18004.1214975195,663.113224167302,756.416083398368,3760.72902998631,20284.23,5314.04622465627,10275.9789989969,27765.1619148339
2005,261369,6860.0,187914.0,12429.0,5634.0,3741.0,1135.0,814.0,995.0,,111.0,158235.0,3096.0,1615.0,1523.0,278.0,6145.0,669.0,375.0,929.0,141.0,4078.0,298.0,213.0,12481.0,28626.0,1521.0,1789.0,2894.0,1137.05397708593,1486.34388453684,26215.0,44724.0,7966.0,2375.0,2495.0,1299.0,2060.0,,1410.0,1518.0,223.0,1237.0,41.0,,17250.0,15847.0,692.0,711.0,3486.0,19136.0,5917.0,10484.0,27573.0
2004,230281,5697.35107445097,152506.508846665,13182.6296541568,7180.21552162297,3637.69200256316,720.26097439996,646.115164748315,923.010561852447,,75.3354289699329,122998.63282689,2074.14277256994,1133.52677426276,966.466413596815,262.889702265994,4882.54356244717,506.616791070531,297.616395789829,619.697681575225,117.076675308396,3396.20296520607,348.672867378527,189.889377849791,12372.8914685207,21568.041287517,1128.22875881012,1352.57921411058,2286.82532056097,948.240444953129,1182.58510517636,20495.8971017547,31398.9633208914,6651.16066831672,2037.49064600426,1784.38139063187,1228.10257988476,2197.32557650234,,1157.45278044738,1299.32094942746,177.161514198943,1191.94742450031,31.520615921167,,16325.2463656179,15105.6217477764,553.361093141758,666.263524699756,3114.60122389589,16642.2055441156,4484.09083772169,8242.82074674615,22768.4097995442
2003,197083,4954.60182154282,131167.92,13187.6015023843,6193.697181009,4677.9624729859,593.143386782041,604.601001120112,885.604069268267,,232.593391219032,102841.73,1803.62434489176,1012.56700367487,867.262110631114,308.700746415837,3929.82284522368,443.275194622855,267.95024399696,500.586761137896,124.423347319942,2760.60108712978,390.167410215841,156.359143205476,9124.40354549049,19046.677454105,1181.98250941553,1826.17734324896,1757.30909847143,831.080160638621,876.56996594899,15628.518358498,25942.0976166238,5883.28528817369,1798.96248316977,1639.45315239103,1029.15174414272,1810.43419648876,,953.389476938837,1085.37336749623,213.480241755858,1365.28104965345,40.0362161135507,,15138.5929821524,14013.2693041856,557.234882229723,568.088795737058,2720.66072684524,14116.1942875556,3914.93183838611,7152.84412565391,19764.6622652708
2002,169577,4331.18322650766,113600.444588381,11685.5171958109,5132.79791882535,4680.62614832148,450.924213531179,467.773437760189,758.672055898785,,194.723421473935,88181.3010202773,1916.74580727244,1138.46875406497,842.276433630822,312.052941572088,3484.02469011987,404.533817960419,239.542609456238,400.249288131277,104.88859612187,2635.04786800545,223.330275346727,171.272211379274,8019.14533520129,16264.7207450696,1016.82049597865,2100.88776191781,1558.16785266061,748.646791250619,769.671118394548,12888.531536291,20639.7864614148,4818.73786095414,1613.56391903209,1468.11920664452,882.676434448164,1816.28746452263,,810.009346062142,854.343569510939,185.970903797107,1410.94877672597,0.0,,13733.6263722924,12564.539499767,593.598631123027,575.488241402424,2409.574963816,12313.22,3373.17317707797,6240.93036288767,17162.4620020478
2001,155547,4115.19743825921,107137.598038845,11440.0180051918,5440.29595692668,4215.30300962029,390.604660360985,453.500349268184,728.879758133319,,211.434270882367,83158.3615986722,1763.61461053493,1060.03267347626,794.629934889112,314.631705996152,3150.72227152202,380.123101050729,217.598299084842,391.921113966767,112.564233012312,2334.01559313308,226.462155573492,144.325933107966,7694.1526064642,14626.2708927413,1010.75252524338,1882.09867213002,1502.69946211821,750.257870078761,733.86298922013,13370.5110410882,19727.2940372865,4309.47568481679,1375.65841899926,1324.63728799589,866.345335305666,1652.50525377449,,673.405435564223,742.550809061369,163.744535876553,1364.19657767768,0.0,,12539.2184349809,11372.5040404852,551.372485680187,615.341908815465,2255.01706027869,11613.109629002,3170.22940308452,5931.57437708085,16183.0697154645
2000,146964,4233.0,103014.0,10286.0,4576.0,3966.0,376.0,427.0,708.0,,234.0,80914.0,1669.0,1092.0,844.0,313.0,3020.0,357.0,208.0,376.0,104.0,2281.0,207.0,123.0,7956.0,14070.0,977.0,1911.0,1405.0,687.98028847688,696.392720463855,11515.0,20563.0,4129.0,1218.0,1266.0,883.0,1530.0,,658.0,692.0,158.0,1389.0,0.0,,11814.0,10584.0,618.0,611.0,2207.0,11447.0,3251.0,6118.0,16695.0
