年份,原油消费总量,农、林、牧、渔业原油消费总量,工业原油消费总量,采矿业原油消费总量,煤炭开采和洗选业原油消费总量,石油和天然气开采业原油消费总量,黑色金属矿采选业原油消费总量,有色金属矿采选业原油消费总量,非金属矿采选业原油消费总量,开采专业及辅助性活动原油消费总量,其他采矿业原油消费总量,制造业原油消费总量,农副食品加工业原油消费总量,食品制造业原油消费总量,酒、饮料和精制茶制造业原油消费总量,烟草制品业原油消费总量,纺织业原油消费总量,纺织服装、服饰业原油消费总量,皮革、毛皮、羽毛及其制品和制鞋业原油消费总量,木材加工及木、竹、藤、棕、草制品业原油消费总量,家具制造业原油消费总量,造纸及纸制品业原油消费总量,印刷和记录媒介复制业原油消费总量,文教、工美、体育和娱乐用品制造业原油消费总量,石油、煤炭及其他燃料加工业原油消费总量,化学原料及化学制品制造业原油消费总量,医药制造业原油消费总量,化学纤维制造业原油消费总量,橡胶和塑料制品业原油消费总量,橡胶制品业原油消费总量,塑料制品业原油消费总量,非金属矿物制品业原油消费总量,黑色金属冶炼及压延加工业原油消费总量,有色金属冶炼及压延加工业原油消费总量,金属制品业原油消费总量,通用设备制造业原油消费总量,专用设备制造业原油消费总量,汽车制造业原油消费总量,铁路、船舶、航空航天和其他运输设备制造业原油消费总量,电气机械及器材制造业原油消费总量,计算机、通信和其他电子设备制造业原油消费总量,仪器仪表制造业原油消费总量,其他制造业原油消费总量,废弃资源综合利用业原油消费总量,金属制品、机械和设备修理业原油消费总量,电力、热力、燃气及水生产和供应业原油消费总量,电力、热力的生产和供应业原油消费总量,燃气生产和供应业原油消费总量,水的生产和供应业原油消费总量,建筑业原油消费总量,交通运输、仓储和邮政业原油消费总量,批发和零售业、住宿和餐饮业原油消费总量,其他原油消费总量,居民生活原油消费总量
2009,38128.59,,37975.17,1078.98,,1078.98,,,,,,36891.89,0.1,,0.2,,0.2,0.33,0.03,0.28,,0.36,0.001956460153416,0.04,34047.74,2821.81,0.03,10.01,0.42,0.4,0.02,8.89,0.04,0.61,0.18,0.06,0.05,0.1,,0.12,0.25,0.01,0.02,,,4.3,4.09,0.21,0.00060822595443,,153.42,,,
2008,35498.2393286467,,35332.5793286467,1294.5644736,,1294.5644736,,,,,,34027.7836757807,0.08,0.10968408,0.60210416,,0.231938016,0.305,0.05,0.16968,0.05,0.6,0.001956460153416,0.097658112,31204.73067083,2785.448736704,0.096882284861296,14.51155476,0.92,0.85,0.07,17.78245188,0.15,0.38092304,0.11,0.23028,0.156,0.14,,0.29088,0.48829056,0.04,0.00898489371144,,,10.2311792659544,9.92538944,0.3051816,0.00060822595443,,165.66,,,
2007,34031.5956350014,,33867.9356350014,1203.93088,,1203.93088,,,,,,32655.3339947755,0.06,0.090648,0.493528,,0.191368,0.25,0.04,0.14,0.03,0.52,0.001956460153416,0.080576,30309.23541,2315.052192,0.096882284861296,11.97323,0.83,0.78,0.05,14.66199,0.1,0.312232,0.055254286830187,0.191862849905074,0.13,0.11,,0.24,0.40288,0.035,0.00898489371144,,,8.67076022595443,8.418352,0.2518,0.00060822595443,,163.66,,,
2006,32245.1989894,0.0,32081.5389894,1171.40749,0.0,1171.40749,0.0,0.0,0.0,,0.0,30898.4814994,0.06,0.09,0.49,0.0,0.19,0.23,0.035,0.11,0.025,0.5,0.0,0.08,28726.342542,2141.342388,0.0,11.8944,0.89,0.81,0.08,14.567,0.1317,0.3112,0.06,0.15,0.11,0.15,,0.26,0.4022694,0.05,0.01,0.0,,11.65,11.4,0.25,0.0,0.0,163.66,0.0,0.0,0.0
2005,30088.94,,29962.07,1373.95,,1373.95,,0.00045,,,,28559.26,0.07,0.1,0.5,,0.2,0.24,0.04,0.12,0.03,0.68,,0.09,26019.28,2510.59,,10.62,0.9,0.82,0.08,14.17,0.13,0.31,0.06,0.15,0.11,0.15,,0.26,0.4,0.05,0.01,,,28.86,28.6,0.26,0.004552,,126.87,,,
2004,28749.31,,28625.49,1313.74275437837,,1313.74230437858,,0.00045,,,,27302.4840210293,0.144545931742103,0.199999905555468,0.429332797259229,,0.199999905555468,0.46999977805535,0.069999966944414,0.099999952777734,0.039999981111094,0.3811918199925,,0.068184967801498,25480.0224421865,1797.67032154976,,8.47888599607601,0.819999612777418,0.719999659999684,0.099999952777734,11.6222225117206,0.109241948413452,0.436569793841753,0.099999952777734,0.249999881944335,0.079999962222187,0.104072950854371,,0.160921924008985,0.446965788932526,0.059121972081252,0.019999990555547,,,9.26322459236559,8.74317283794593,0.515499756569218,0.004552,,123.82,,,
2003,24922.0019827586,,24768.4019827586,3909.69568280444,1.33722210243336,3908.35846070201,,,,,,20793.7880160299,0.342707833576034,0.396140627268924,0.606800369589991,,0.025201542604779,0.404969516150277,,,,0.62509455261353,,0.09678545127146,18008.3196252942,2002.5288997997,,712.784677077396,0.99877495920595,0.099999721055761,0.898775238150189,55.7959833171516,8.38684564550787,0.99999721055761,,,0.271105123632846,0.269642104989641,,0.534766720215411,,,0.399998884223044,,,64.9182839243254,64.9182839243254,,,4.0,148.31,0.09,1.2,
2002,22544.05,,22362.5,3382.25882978723,1.18896656534954,3381.06986322188,,,,,,18910.9613677812,0.302279635258359,0.433267477203647,0.594483282674772,,0.050379939209726,0.120911854103343,,,,0.503799392097264,,0.090683890577508,16318.7585258359,1877.44316109422,,646.45623100304,0.564255319148936,0.060455927051672,0.503799392097264,49.6830243161094,13.5723556231003,1.00759878419453,0.040303951367781,0.090683890577508,0.251899696048632,0.050379939209726,,0.503799392097264,,,0.443343465045593,,,69.2798024316109,69.2798024316109,,,4.2,175.94,0.12,1.29,
2001,21342.74,,21168.21,3205.98,2.33,3203.65,,,,,,17885.96,0.4,0.45,0.5,,0.06,0.17,,,,0.51,,0.11,15383.52,1823.31,,611.31,0.41,0.06,0.35,53.12,9.85,0.77,0.03,0.12,0.26,0.07,,0.45,,,0.54,,,76.27,76.27,,,3.37,169.81,0.15,1.2,
2000,21232.01,,21052.08,3196.35,2.32,3194.03,,,,,,17779.14,0.42,0.48,0.52,,0.05,0.16,,,,0.48,,0.1,15295.82,1809.79,,604.71,0.45,0.05,0.4,53.54,10.25,0.8,0.03,0.11,0.27,0.06,,0.5,,,0.6,,,76.59,76.59,,,3.3,175.05,0.18,1.4,
