年份,焦炭消费总量,农、林、牧、渔业焦炭消费总量,工业焦炭消费总量,采矿业焦炭消费总量,煤炭开采和洗选业焦炭消费总量,石油和天然气开采业焦炭消费总量,黑色金属矿采选业焦炭消费总量,有色金属矿采选业焦炭消费总量,非金属矿采选业焦炭消费总量,开采专业及辅助性活动焦炭消费总量,其他采矿业焦炭消费总量,制造业焦炭消费总量,农副食品加工业焦炭消费总量,食品制造业焦炭消费总量,酒、饮料和精制茶制造业焦炭消费总量,烟草制品业焦炭消费总量,纺织业焦炭消费总量,纺织服装、服饰业焦炭消费总量,皮革、毛皮、羽毛及其制品和制鞋业焦炭消费总量,木材加工及木、竹、藤、棕、草制品业焦炭消费总量,家具制造业焦炭消费总量,造纸及纸制品业焦炭消费总量,印刷和记录媒介复制业焦炭消费总量,文教、工美、体育和娱乐用品制造业焦炭消费总量,石油、煤炭及其他燃料加工业焦炭消费总量,化学原料及化学制品制造业焦炭消费总量,医药制造业焦炭消费总量,化学纤维制造业焦炭消费总量,橡胶和塑料制品业焦炭消费总量,橡胶制品业焦炭消费总量,塑料制品业焦炭消费总量,非金属矿物制品业焦炭消费总量,黑色金属冶炼及压延加工业焦炭消费总量,有色金属冶炼及压延加工业焦炭消费总量,金属制品业焦炭消费总量,通用设备制造业焦炭消费总量,专用设备制造业焦炭消费总量,汽车制造业焦炭消费总量,铁路、船舶、航空航天和其他运输设备制造业焦炭消费总量,电气机械及器材制造业焦炭消费总量,计算机、通信和其他电子设备制造业焦炭消费总量,仪器仪表制造业焦炭消费总量,其他制造业焦炭消费总量,废弃资源综合利用业焦炭消费总量,金属制品、机械和设备修理业焦炭消费总量,电力、热力、燃气及水生产和供应业焦炭消费总量,电力、热力的生产和供应业焦炭消费总量,燃气生产和供应业焦炭消费总量,水的生产和供应业焦炭消费总量,建筑业焦炭消费总量,交通运输、仓储和邮政业焦炭消费总量,批发和零售业、住宿和餐饮业焦炭消费总量,其他焦炭消费总量,居民生活焦炭消费总量
2009,36350.0,45.0,36243.0,156.0,49.0,0.0,84.0,15.0,8.0,,0.0,36055.0,17.0,22.0,2.0,0.0,4.0,1.0,3.0,16.0,3.0,4.0,1.0,5.0,112.0,2485.0,6.0,3.0,19.0,3.25325,3.066525,368.0,31253.0,646.0,98.0,664.0,77.0,194.0,,23.0,8.0,8.0,2.0,10.0,,32.0,8.0,24.0,0.09009,6.0,0.14,4.0,3.0,49.0
2008,29900.2347483708,53.144,29756.69897216,181.8702008,55.7977008,0.01,102.92,12.17,10.9725,,0.0,29538.47691136,13.2,7.9222,1.0494,0.83,5.28105,3.234,0.2244,2.5872,1.0593,5.6628,0.32,5.3,103.48432,2248.818368,1.55232,18.48204,6.88325,2.5025,4.38075,305.49,25477.77856336,498.07,90.83,473.5,91.5849,139.6956,,25.78,0.8712,3.77,2.18,3.036,,36.35186,7.13,29.15256,0.0693,10.7,0.29,7.54,6.93,64.9317762108
2007,29168.12,57.23,28932.22,219.643797448537,75.835677861422,0.345826678085529,107.909079261978,19.6563421544097,15.8968714926412,,0.0,28673.29,8.92455943446526,6.18025740836719,1.18250412506665,0.006693731935429,3.57053368192294,1.63988779608299,0.379293775964773,2.18651706144399,1.19365982435973,4.78579499673199,0.189646887982387,5.77623854972203,98.9659175881035,2250.46685802163,1.43117480385425,62.4788122917289,5.24317866774834,1.95224737628928,3.29093129145906,261.835418107918,24577.44,477.958028411421,96.4298646893971,572.666667511049,84.4374879493344,118.060765618682,,18.9484623265396,0.803210349101873,3.38017688580372,4.16107583631943,2.56581083740876,,39.2894391123329,7.45220995867473,31.7591392586066,0.078089895051571,17.48,0.55,71.0,8.23,81.402324
2006,27892.766199,55.727,27653.553879,196.089006996213,65.629661040267,0.313717658868183,97.8920534762487,17.8345427891618,14.4190320316678,,0.0,27421.2544600307,8.09593958369505,5.6044379513086,1.07760529204315,0.006072238045657,3.26692294122397,1.4898598358555,0.339272289765627,1.98141476568523,1.08179968702229,4.34175119949086,0.168882213039063,3.72919217073953,92.3379208470977,2024.27819259942,1.27127294834975,57.1952831776856,4.74978655450909,1.76602802093828,2.98375853357081,237.520028888474,23731.5391709497,423.117032096852,87.4717703865773,519.49215526696,76.5949760066253,107.09713678291,,17.5084208645078,0.725345587076678,3.06785510599644,3.77870652838846,2.3262552716698,,36.2104119730696,6.69760039806268,29.4389785287893,0.073833046217648,18.5,0.85,65.39,8.3,90.44532
2005,25106.0,63.0,24861.0,150.0,37.0,0.292848989520416,84.0,16.0,13.0,,0.0,24646.0,9.0,5.0,1.0,0.005808501779843,3.0,1.0,0.305119912736736,2.0,1.0,4.0,0.151235611999447,4.0,77.0,1724.0,1.0,51.0,4.0,1.76976790314949,2.61631753191234,208.0,21429.0,397.0,78.0,456.0,69.0,94.0,,17.0,1.0,3.0,4.0,2.0,,65.0,6.0,59.0,0.066118188112129,18.0,1.0,64.0,8.0,90.0
2004,18067.008466,68.686,17811.13,135.203389382716,47.8740165873489,0.222010878293196,64.6667249052319,12.6931503906072,9.74748662123493,,0.0,17619.4259547731,6.07627940930368,4.07299935134486,1.45127893332717,0.004403466045153,2.26610275489596,1.01145390236388,0.300707616915696,1.48894347011471,1.21735476939417,7.14671205135718,0.11465278095783,3.35822005350117,68.6858472037961,1187.22701945121,0.859399995003951,36.6858947939954,4.89040795291108,2.90695923381195,1.98344871909913,213.810810148757,15313.0007515382,273.331725002423,76.6395801215576,268.584143216423,60.4193783125907,61.9486655494294,,15.6009313388885,0.813470039109722,2.1962402339017,3.97015910942522,2.25242220595301,,56.5006558441818,6.03953208636825,50.3959616954504,0.065162062363123,16.79,1.79,53.36,10.09,105.162466
2003,15298.466,73.686,15021.85,166.793740180994,45.700215847073,7.47096236364489,60.2943139492997,30.1410445184156,23.0102325894879,,0.176970913073278,14813.5428197025,15.460334160613,12.7489274099005,3.90330388339062,0.849928493993365,3.2403523833497,1.45483615798209,2.71784617071497,2.49973346662005,0.913673131042868,2.12482123498341,0.0,1.48614033247629,87.9248997629183,1195.2206257007,1.06241061749171,31.8723185247512,3.64543966224005,2.12482123498341,1.52061842725663,302.723281348087,12325.9860040637,252.329683520951,134.926148421447,261.414617108742,56.6621839156265,55.753955913601,,16.802204373594,0.0,7.94683141883796,31.8723185247512,0.0,,41.5134401164907,0.0,41.5134401164907,0.0,20.79,10.79,47.46,11.39,112.5
2002,12343.616,73.686,12065.05,167.209617927994,48.0806980161646,5.03673769287289,52.5331741366642,28.3266127847171,32.8596767083027,,0.372718589272594,11865.780382072,14.3345554739162,14.1028655400441,3.32424687729611,1.26925789860397,4.57335782512858,2.18594415870683,1.5412417340191,1.5613886847906,1.14837619397502,1.74271124173402,0.26191036002939,1.71249081557678,68.0272520205731,1177.56783982366,0.725290227773696,25.7478030859662,7.55510653930933,2.38741366642175,5.16769287288758,374.441153563556,9387.66897869214,234.859456282146,153.691013960323,229.161491550331,69.8494783247612,43.6886627479794,,10.5368552534901,0.493600293901543,5.7217340191036,28.2863188831741,,,32.06,,32.06,,23.38,11.44,42.6,12.34,115.12
2001,11931.461,67.461,11642.4,164.254142921863,52.267662557524,5.84039080569399,55.8836643696798,21.4439865042085,28.4897112472877,,0.328727437468705,11438.4358570781,17.5321299983309,16.9842509358831,3.17769856219748,1.32586733112378,4.60218412456187,1.78608574357996,1.80800090607788,1.51214621235604,1.19437635613629,1.70938267483726,0.317769856219748,1.81895848732683,67.2848105581917,1159.51274684661,0.712242781182193,26.8789468036911,10.1138474927871,2.87088628722669,7.24296120556046,345.328173060874,8989.7363108324,242.831146665395,143.642932592575,225.430319034789,77.0756265051623,42.6140334771931,,13.203885404993,0.383515343713489,5.58836643696798,34.3301020529817,0.0,,39.71,0.0,39.71,0.0,23.91,11.68,39.73,12.08,134.2
2000,10841.0,71.0,10555.0,161.0,53.0,6.0,52.0,22.0,27.0,,0.314309174777212,10357.0,16.0,15.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,0.293355229792064,2.0,65.0,1105.0,1.0,27.0,9.0,2.61924312314343,6.28618349554423,312.0,8085.0,218.0,126.0,208.0,74.0,32.0,,11.0,0.314309174777212,4.0,30.0,0.0,,37.0,0.0,37.0,0.0,19.0,11.0,36.0,12.0,137.0
