年份,天然气消费总量,农、林、牧、渔业天然气消费总量,工业天然气消费总量,采矿业天然气消费总量,煤炭开采和洗选业天然气消费总量,石油和天然气开采业天然气消费总量,黑色金属矿采选业天然气消费总量,有色金属矿采选业天然气消费总量,非金属矿采选业天然气消费总量,开采专业及辅助性活动天然气消费总量,其他采矿业天然气消费总量,制造业天然气消费总量,农副食品加工业天然气消费总量,食品制造业天然气消费总量,酒、饮料和精制茶制造业天然气消费总量,烟草制品业天然气消费总量,纺织业天然气消费总量,纺织服装、服饰业天然气消费总量,皮革、毛皮、羽毛及其制品和制鞋业天然气消费总量,木材加工及木、竹、藤、棕、草制品业天然气消费总量,家具制造业天然气消费总量,造纸及纸制品业天然气消费总量,印刷和记录媒介复制业天然气消费总量,文教、工美、体育和娱乐用品制造业天然气消费总量,石油、煤炭及其他燃料加工业天然气消费总量,化学原料及化学制品制造业天然气消费总量,医药制造业天然气消费总量,化学纤维制造业天然气消费总量,橡胶和塑料制品业天然气消费总量,橡胶制品业天然气消费总量,塑料制品业天然气消费总量,非金属矿物制品业天然气消费总量,黑色金属冶炼及压延加工业天然气消费总量,有色金属冶炼及压延加工业天然气消费总量,金属制品业天然气消费总量,通用设备制造业天然气消费总量,专用设备制造业天然气消费总量,汽车制造业天然气消费总量,铁路、船舶、航空航天和其他运输设备制造业天然气消费总量,电气机械及器材制造业天然气消费总量,计算机、通信和其他电子设备制造业天然气消费总量,仪器仪表制造业天然气消费总量,其他制造业天然气消费总量,废弃资源综合利用业天然气消费总量,金属制品、机械和设备修理业天然气消费总量,电力、热力、燃气及水生产和供应业天然气消费总量,电力、热力的生产和供应业天然气消费总量,燃气生产和供应业天然气消费总量,水的生产和供应业天然气消费总量,建筑业天然气消费总量,交通运输、仓储和邮政业天然气消费总量,批发和零售业、住宿和餐饮业天然气消费总量,其他天然气消费总量,居民生活天然气消费总量
2009,895.2,,577.9,122.93,4.7,117.4,0.03,0.04,0.76,,0.01,321.14,0.65,2.31,1.43,0.52,1.35,0.24,0.07,0.34,0.44,1.06,0.52,0.11,26.72,176.84,2.35,0.29,2.05,0.69,1.36,44.62,18.81,6.73,2.47,6.06,4.67,12.18,,3.03,4.88,0.36,0.06,,,133.82,127.91,5.79,0.12,0.97,91.07,23.96,23.64,177.67
2008,812.937593249446,,531.6043029,109.6746425,5.1359225,104.41272,0.036,0.04,0.05,,0.01142,337.9194604,0.54,2.1,0.95004,0.384,1.4945,0.2,0.05712,0.2187864,0.39,1.111296,0.46,0.120068,26.03,200.03,1.80875,0.4838768,1.6178656,0.5278656,1.09,43.7472,17.0583936,6.0774,2.060528,5.50494,5.08,11.62,,2.332564,6.26,0.25,0.0522,0.056547,,84.0102,73.9202,9.99,0.1,0.99,71.5536647094464,17.75,20.91726,170.1
2007,705.226662682212,,479.66995,90.9659896635455,4.9823702288701,85.8940372955768,0.027751832006489,0.02482786441672,0.037002442675318,,,309.080357152378,0.333021984077864,1.38759160032443,0.676034627678064,0.296019541402546,0.691251882228288,0.092506106688296,0.037742491528825,0.149919096743319,0.053542534551185,0.685344442255174,0.267712672755927,,24.9998870929149,207.046850441952,1.33856336377964,0.406923262589009,1.16722725321584,0.406923262589009,0.760303990626833,28.9063082179586,13.1500464857711,5.35425345511854,0.953057115011101,2.99553274678039,3.48026474582705,6.62006369451391,,1.65981857108675,6.15942660773347,0.117793576012608,0.053653541879211,,,79.6236031840767,70.7444774800973,8.8040107453485,0.075114958630896,2.09,46.8823479822119,17.108,16.0902,143.3861647
2006,561.410722718288,0.0,383.9664,81.7189632004341,4.22201800709525,77.4352089655921,0.019817694409827,0.017351898331185,0.02456663500573,,0.0,263.118432180217,0.273977342071335,1.27856092966623,0.577635562867065,0.258055605465763,0.555994132800194,0.089133961953874,0.030137507627847,0.128858498434349,0.043691468115192,0.58613068698689,0.228245044132788,0.0,21.0298030712083,177.420969128619,1.13767222769649,0.345754063135855,0.991387012285126,0.344800484996775,0.646586527288351,23.7812332917919,11.2166323844005,4.56217875337587,0.809418567743801,2.35072559497206,2.96854450134292,5.64742657727194,,1.41783274521916,5.24322311873404,0.096987979093253,0.048222423205165,0.0,,39.1290046193492,29.4908177124517,9.57638693375589,0.061799973141663,1.66,47.2367037182881,13.1638,12.768,102.615819
2005,466.08,,327.24,82.28,4.33,77.88,0.02,0.02,0.03,,,220.24,0.27,1.28,0.5,0.26,0.56,0.09,0.03,0.11,0.04,0.55,0.19,,17.76,142.3,0.97,0.29,0.89,0.345198294576426,0.548586880534646,23.81,9.76,3.87,0.69,1.81,3.09,4.98,,1.23,4.77,0.08,0.04,,,24.73,17.49,7.18,0.06,1.49,38.01,10.79,9.12,79.43
2004,396.721748044876,,278.63,73.9355754749186,1.07490476639441,72.7728591120305,0.036295321927924,0.023341239631001,0.028175034934798,,,187.210752182144,0.188122019995977,1.39929579340478,0.529238035194083,0.265784433510916,0.46670439452722,0.094061009997989,0.018812201999598,0.077567411894841,0.025423750392356,0.350826873870298,0.188122019995977,,18.2560857216939,122.898486630558,0.662003269586044,0.201191797335198,0.73137138323936,0.355127343247406,0.376244039991954,18.3983335556066,7.18626116384633,2.65469893493483,0.752488079983909,1.24160533197345,1.85300189696038,3.44221643495407,,0.846549089981897,4.39800406020525,0.056436605998793,0.0280602805026,,,17.4836723429372,12.7438684439912,4.70122759752567,0.038576301420375,1.39,26.162748044876,9.179,14.14,67.22
2003,339.08,,260.82,79.4374337039383,,79.4374337039383,,,0.01,,,169.990354653168,0.15,0.1,0.02,0.12,0.9022030420065,,,,,0.27,0.1,,19.4642117216346,128.132525786917,0.955234182560833,,,,0.1,3.74444063068299,3.16244247141251,0.800135594714554,0.970700952931189,0.22,2.35975365546347,1.83892081713227,,1.23192729668963,5.45715754809116,0.03,0.970700952931189,,,11.3922116428937,7.54269101363414,3.8495206292596,0.02,0.7,18.82,6.85,9.4,51.89
2002,291.84358974359,,222.53,78.442665454178,,78.4329180559766,,,0.009747398201475,,,135.262149136102,0.146210973022128,0.097473982014752,0.01949479640295,0.116968778417702,0.789539254319491,,,,,0.26317975143983,0.097473982014752,,15.0084975245024,99.4429564514499,0.955245023744569,,0.097473982014752,,0.097473982014752,3.41158937051632,2.24190158633929,0.643328281297363,0.799286652520966,0.214442760432454,2.16392240072749,1.74478427806406,,0.99423461655047,4.70799333131252,0.029242194604426,1.27690916439325,,,8.82518540972012,6.92444276043245,1.88124785288471,0.01949479640295,0.68,16.3735897435897,6.1,0.0,46.16
2001,274.3,,214.81,78.5265924895689,0.1,78.4970739274634,,,0.029518562105488,,,127.078712956029,0.157432331229271,0.078716165614636,0.019679041403659,0.088555686316465,1.05282871509575,,,,,0.255827538247566,0.088555686316465,,15.1025601797368,93.9674227024714,0.659247887022574,0.07,0.088555686316465,,0.088555686316465,2.75506579651225,1.64319995720552,0.521494597196962,0.73796405263721,0.167271851931101,1.57432331229271,2.0195089333476,,0.688766449128062,3.91612923932813,0.029518562105488,1.46608858457259,,,9.20469455440248,7.28598801754574,1.88918797475126,0.029518562105488,0.72,10.96,5.0,0.7,42.11
2000,245.03,,199.0,72.12,0.1,71.98,,,0.04,,,118.75,0.15,0.07,0.03,0.08,1.09,,,,,0.29,0.08,,13.24,88.73,0.59,0.07,0.1,,0.098242427793075,2.46,1.68,0.49,0.59,0.2,1.29,1.68,,0.79,3.35,0.02,1.69,,,8.14,6.44,1.68,0.02,0.82,8.81,3.44,0.64,32.32
