年份,柴油消费总量,农、林、牧、渔业柴油消费总量,工业柴油消费总量,采矿业柴油消费总量,煤炭开采和洗选业柴油消费总量,石油和天然气开采业柴油消费总量,黑色金属矿采选业柴油消费总量,有色金属矿采选业柴油消费总量,非金属矿采选业柴油消费总量,开采专业及辅助性活动柴油消费总量,其他采矿业柴油消费总量,制造业柴油消费总量,农副食品加工业柴油消费总量,食品制造业柴油消费总量,酒、饮料和精制茶制造业柴油消费总量,烟草制品业柴油消费总量,纺织业柴油消费总量,纺织服装、服饰业柴油消费总量,皮革、毛皮、羽毛及其制品和制鞋业柴油消费总量,木材加工及木、竹、藤、棕、草制品业柴油消费总量,家具制造业柴油消费总量,造纸及纸制品业柴油消费总量,印刷和记录媒介复制业柴油消费总量,文教、工美、体育和娱乐用品制造业柴油消费总量,石油、煤炭及其他燃料加工业柴油消费总量,化学原料及化学制品制造业柴油消费总量,医药制造业柴油消费总量,化学纤维制造业柴油消费总量,橡胶和塑料制品业柴油消费总量,橡胶制品业柴油消费总量,塑料制品业柴油消费总量,非金属矿物制品业柴油消费总量,黑色金属冶炼及压延加工业柴油消费总量,有色金属冶炼及压延加工业柴油消费总量,金属制品业柴油消费总量,通用设备制造业柴油消费总量,专用设备制造业柴油消费总量,汽车制造业柴油消费总量,铁路、船舶、航空航天和其他运输设备制造业柴油消费总量,电气机械及器材制造业柴油消费总量,计算机、通信和其他电子设备制造业柴油消费总量,仪器仪表制造业柴油消费总量,其他制造业柴油消费总量,废弃资源综合利用业柴油消费总量,金属制品、机械和设备修理业柴油消费总量,电力、热力、燃气及水生产和供应业柴油消费总量,电力、热力的生产和供应业柴油消费总量,燃气生产和供应业柴油消费总量,水的生产和供应业柴油消费总量,建筑业柴油消费总量,交通运输、仓储和邮政业柴油消费总量,批发和零售业、住宿和餐饮业柴油消费总量,其他柴油消费总量,居民生活柴油消费总量
2009,13551.43,1134.15,2043.58,455.47,108.7,188.01,51.92,18.85,87.64,,0.35,1460.02,51.88,26.23,15.73,4.73,41.11,33.62,13.05,15.23,12.62,29.0,13.74,15.9,81.95,161.24,17.15,4.59,54.39,7.72,46.67,272.25,102.32,60.1,68.24,63.25,42.81,95.68,,68.66,64.75,10.56,15.15,4.08,,128.09,121.66,2.23,4.2,415.29,7991.96,181.74,1131.8,652.91
2008,13532.5829883634,1098.8742264,2517.0164596,525.913705,93.484224,272.77,54.655317,19.638504,83.46726,,1.8984,1688.641505,59.27872,30.173,20.573,6.655311,51.24,38.06,20.49,16.8,13.81,36.32,17.19,18.49,59.2563,194.215174,15.03,13.62,60.52,9.09,51.43,329.57,124.97,75.37,74.89,71.25,41.04,118.85,,69.4,76.22,13.49,18.13,3.74,,302.4612496,284.234,14.5472496,3.68,370.786835943438,7649.3053028,152.72,1151.803688,592.07647562
2007,12496.6734822751,1218.971,1972.783,380.576788930418,66.3232007226461,198.439718463236,35.4540507571168,14.331589775814,64.9726899784875,,1.05553923311762,1302.8417134132,57.8116582804903,21.7661348107419,15.3258742725367,5.9776564577087,44.8185364746655,31.4639759904757,15.5675463256079,13.0774772244661,8.83974992067523,26.1025654824699,7.32668780805882,12.6531701422865,53.3532740720323,149.462686538863,9.15152515112977,8.9556787212667,50.5980407836561,10.4133732637823,40.1846675198738,272.306183716479,97.964602101724,56.4640625187936,55.9126336113171,60.2501794263538,28.0778220307169,72.3687495668661,,51.0047900332164,52.7642138132428,9.57943361214719,12.612409440671,1.28439508454578,,289.364497656378,275.743884779615,10.8883542423663,2.73225863439738,433.81728,7184.36773927513,133.9378,1007.4808,545.315863
2006,11835.4284889788,1365.5303828,1961.58392559434,363.073188,62.8245,190.59224,33.573,13.566,61.519948,,0.9975,1240.33373759434,54.77,20.613492510832,14.524583751808,5.662,42.690912,30.81996860015,15.1835,11.6,8.3695,25.76135454854,6.9675,12.257,50.88776,141.30578045,8.6735,7.75,48.591435669705,9.860935669705,38.7305,258.914678287584,92.784,53.9015,53.24599141912,57.332281039,26.65730964,68.88,,48.90447008,50.82009596,9.398,11.8671236376,1.2,,358.177,345.371,10.266,2.54,428.664,6547.32348058444,129.7727,932.96,469.594
2005,10974.94,1286.35,1710.04,358.27,62.13,187.31,33.32,13.46,61.05,,0.99,1217.86,54.79,20.89,14.27,5.61,42.93,27.87,14.7,11.11,8.3,25.22,6.91,11.59,50.65,138.0,8.65,7.44,47.12,9.92803321166992,38.9174972518574,253.14,92.05,53.04,52.24,56.61,27.06,68.4,,47.58,50.22,8.8,11.52,1.15,,133.91,121.78,9.73,2.39,386.64,6169.41,116.03,900.06,406.4
2004,9895.85885159262,1092.012324,2084.82,363.717576821635,68.0626541323999,184.89117087811,34.2350714023612,17.4778663770996,57.8024652143938,,1.24834881726982,1327.89895619761,44.9997355781323,21.9245151688789,14.042112203932,6.68132680435833,60.1165651324992,29.6877783174879,18.9263194685081,9.66547862207018,5.99314947389783,26.9051542770416,8.14849575711379,15.8895246942461,95.1953738624717,140.555406423827,10.2170782422106,8.44701597602029,58.0232302955351,10.8947331717068,47.1284971238283,242.932239390516,88.1047382070677,64.0695321232207,55.2278922234641,64.3895902387089,37.6488875279871,74.048028217635,,53.4634032725073,46.6300551053114,9.3461162006804,15.2621792625337,1.35803412975089,,393.203466980752,373.219755802346,17.9248588346217,2.05885234378428,333.13,4985.23632759262,108.992105,918.0,373.668095
2003,8409.43267147053,939.08,1915.50597161421,326.170651094762,52.7863737363897,177.830519816556,20.4324566911162,16.7930416595043,46.3976246454013,,11.9306345457952,1272.63619844243,34.1069223461253,22.3323763464765,9.51060381205968,5.41986534332439,43.9935074846635,19.337855771907,19.4266960894461,7.38158074271309,4.21804613869319,37.7195139848593,7.16706920803979,17.8177278565652,93.2134058235116,139.590795759871,5.27255767336649,10.3998396481015,54.1339126486129,9.08459127462021,44.9073919381652,307.678606810271,100.422040550048,55.0098799977453,46.6492120626683,36.9079037135654,19.1392219119035,50.8165536643183,,32.6550008189882,52.8250709114834,18.1152586950271,21.1871020639036,0.33,,316.699122077021,301.319757996339,12.6541384160796,2.72522566460247,276.23,4135.19669985631,105.53,790.0,247.89
2002,7666.85815690381,819.017,1876.33,346.834128369671,60.0717990620059,204.720430201815,17.014944663664,15.0415619062803,37.3667061261908,,12.6186864097147,1257.38261881037,36.2265294219246,21.7412029176133,12.9775835359454,4.98827308116439,47.487603863579,16.8285696254667,15.2588631139809,6.67661166248157,3.60690515099579,32.4916020301062,8.58086930527323,16.8744145508656,83.0093257337213,137.171446716356,7.46596476543505,11.4939727902002,54.0993480542602,8.02775160428873,44.0715964499714,330.267419719133,88.8328709793136,46.9143551622889,47.832605391473,34.8959850930687,12.2568995708611,46.2504138599918,,29.8615791781259,66.6240647295628,12.5638702220096,26.1034685851701,0.0,,272.113252819961,257.466367465157,12.0595612951227,2.58732405968087,241.99,3664.81115690381,110.79,740.0,213.92
2001,7157.968,742.948,1799.81,311.663479325704,56.7885673364747,180.304078858796,13.5570664986179,13.3960556279629,35.1103679408774,,12.5073430629753,1207.05972916458,34.1176481287865,18.6343237707853,12.2793285687687,3.9643810601395,48.7721378954756,16.1925423583163,18.5690882399278,7.59374400252073,3.01516305982441,24.6430973489351,8.50992939087094,15.5293285687687,78.5298832729408,131.642167972387,7.81708941435958,11.1538889445869,55.7498776872288,7.91708941435958,47.8327882728692,330.410210108707,82.0300644505235,46.6858456624798,45.6629694504519,29.0320635625385,12.2393285687687,57.0267382306183,,26.8263588318701,46.3723553085748,11.2789432978617,22.7812320075622,0.0,,281.086791509718,269.919520917775,8.48712564987611,2.68014494206614,223.08,3421.0,98.07,673.89,199.17
2000,6806.23,697.1,1696.46,289.49,54.46,166.62,12.54,13.71,29.39,,12.77,1139.17,39.71,17.88,10.75,4.29,46.31,14.69,15.55,6.97,2.58,24.18,7.7,12.2,74.18,123.4,7.18,10.41,50.55,8.25180596142607,42.2935943892461,319.33,73.95,44.09,39.86,33.28,13.62,51.3,,25.83,38.02,10.4,20.98,0.0,,267.8,257.82,7.18,2.8,205.86,3293.81,95.94,638.7,178.36
