年份,电力消费总量,农、林、牧、渔业电力消费总量,工业电力消费总量,采矿业电力消费总量,煤炭开采和洗选业电力消费总量,石油和天然气开采业电力消费总量,黑色金属矿采选业电力消费总量,有色金属矿采选业电力消费总量,非金属矿采选业电力消费总量,开采专业及辅助性活动电力消费总量,其他采矿业电力消费总量,制造业电力消费总量,农副食品加工业电力消费总量,食品制造业电力消费总量,酒、饮料和精制茶制造业电力消费总量,烟草制品业电力消费总量,纺织业电力消费总量,纺织服装、服饰业电力消费总量,皮革、毛皮、羽毛及其制品和制鞋业电力消费总量,木材加工及木、竹、藤、棕、草制品业电力消费总量,家具制造业电力消费总量,造纸及纸制品业电力消费总量,印刷和记录媒介复制业电力消费总量,文教、工美、体育和娱乐用品制造业电力消费总量,石油、煤炭及其他燃料加工业电力消费总量,化学原料及化学制品制造业电力消费总量,医药制造业电力消费总量,化学纤维制造业电力消费总量,橡胶和塑料制品业电力消费总量,橡胶制品业电力消费总量,塑料制品业电力消费总量,非金属矿物制品业电力消费总量,黑色金属冶炼及压延加工业电力消费总量,有色金属冶炼及压延加工业电力消费总量,金属制品业电力消费总量,通用设备制造业电力消费总量,专用设备制造业电力消费总量,汽车制造业电力消费总量,铁路、船舶、航空航天和其他运输设备制造业电力消费总量,电气机械及器材制造业电力消费总量,计算机、通信和其他电子设备制造业电力消费总量,仪器仪表制造业电力消费总量,其他制造业电力消费总量,废弃资源综合利用业电力消费总量,金属制品、机械和设备修理业电力消费总量,电力、热力、燃气及水生产和供应业电力消费总量,电力、热力的生产和供应业电力消费总量,燃气生产和供应业电力消费总量,水的生产和供应业电力消费总量,建筑业电力消费总量,交通运输、仓储和邮政业电力消费总量,批发和零售业、住宿和餐饮业电力消费总量,其他电力消费总量,居民生活电力消费总量
2009,37032.14,939.9,26854.49,1761.77,691.13,333.34,289.73,215.72,155.26,,76.59,19685.98,389.32,166.54,117.03,41.7,1147.5,132.54,78.45,191.53,35.59,482.73,83.01,48.09,475.07,2907.12,188.99,269.93,740.57,280.28,460.29,2126.16,4020.52,2576.15,744.4,502.04,256.94,565.4,,423.49,558.96,68.54,335.49,12.15,,5406.74,5079.98,70.23,256.53,421.9,617.01,1136.77,2189.92,4872.16
2008,34541.349261948,887.05,25388.630061948,1701.273,639.933,318.43,320.08,222.46,146.0,,54.37,18588.877061948,362.28424,166.44042,110.9727,38.615616,1126.38,130.07225763,76.988441472,175.4,34.8953752,471.79,77.26,47.72,423.79532365,2761.34328584,182.9,264.28,706.943501996,271.063501996,435.88,1959.68006,3693.1,2511.22814128,728.521928,490.994028,251.2836,471.9313384,,402.2510888,530.9305852,66.35,313.06,11.46513048,,5098.48,4804.88,55.08,238.52,367.3392,571.82,1017.44,1912.97,4396.1
2007,32711.805248,878.955248,24290.81,1589.78574403174,600.278895418579,310.704643150901,304.561808882179,203.615751730848,135.133174369818,,35.4914704794139,17832.779452471,334.954953887309,151.789914007975,101.204602765559,36.5710555220195,1124.38286586805,124.50224163253,73.6772856914558,148.800813760654,29.6290516085365,435.686295061872,74.1755055524123,46.0063452974794,409.628196682198,2779.32847695904,170.709050887586,276.921486069564,644.132759804802,263.086433614279,381.046326190523,1855.92192235531,3661.69535243929,2398.43743126596,677.094422549569,447.775494008902,229.164983094938,417.690279292657,,341.544350829769,479.754562736385,61.1645053087877,289.364251443941,11.0709960864814,,4868.24480349723,4602.94253055078,44.8736692732426,220.428603673216,309.0,531.91,929.82,1708.6,4062.71
2006,28587.9708534968,827.040394,21267.74,1479.27416757232,580.448063655427,316.315915554848,248.84639845495,173.769042631621,122.756481928197,,37.1382653472732,15387.3964404805,296.022506275802,134.150021241663,89.4450595619505,34.4104547523589,1032.21353942967,108.801341273232,64.3882172447375,127.341205790475,28.4927160455484,447.761350130331,66.5385578876886,43.4447632364327,357.360916200058,2439.33336289871,159.604448166287,244.8022315546,592.398209337549,237.252285350876,355.145923986673,1675.47632412395,3039.00122964491,1829.50502733109,605.774158353163,389.301115729233,207.233522700606,345.41589867197,,282.333744483837,401.971706130071,51.805777993483,281.770321562007,11.2987127290594,,4401.06939194722,4165.40657717485,31.4023553623709,204.260459410002,271.04525,467.373739496842,847.25,1555.94,3351.58147
2005,24940.32,776.33,18521.69,1480.34,589.53,385.35,205.63,157.66,114.14,,28.04,13126.01,253.35,114.81,76.55,35.86,823.57,87.6,54.85,105.57,24.28,407.73,60.71,42.54,313.49,2129.77,153.21,233.2,531.71,209.296951380897,322.415559503291,1419.51,2550.47,1473.1,507.25,344.77,182.9,300.72,,245.8,327.89,42.52,275.62,6.66,,3915.34,3698.28,29.86,187.2,233.93,430.34,752.31,1340.91,2884.81
2004,21971.373311,768.87,16424.29,1387.08042003349,582.750331017033,363.060405237486,141.644867894669,146.176208998412,133.10814492244,,20.3404619634518,11432.551232545,204.345277497572,101.196098508356,67.476610124761,31.6081271187404,727.563455969675,73.4016571202237,45.960745480818,62.2654817737491,20.8259627959957,363.447946162464,79.2681255134619,38.7591497980842,417.581288991103,1870.39195737519,132.420352076336,227.912297077305,383.918886474661,151.121237269884,232.797649204777,1223.10808698678,2087.27933971348,1272.34596308727,437.749802743029,282.986297768998,154.055482926571,361.768922449916,,225.474678313907,280.386845394753,35.7551133967191,218.131478221682,5.16580168339147,,3604.65834742152,3392.80051095797,34.7208347897899,177.13700167376,202.14,449.649828,705.353788,1036.581312,2384.488383
2003,19031.5997314456,693.15,14169.68,1276.56857530161,533.990382401742,356.799380967521,111.328507322087,129.713031467019,114.913489530349,,29.8237836128894,9720.34530075829,174.199215103249,95.0325196533782,66.3885594122537,32.0360117393719,556.438264119936,67.2711695853939,43.3718231301832,54.4434805697892,15.3617118163802,318.276967446869,79.6662712947045,29.6195111223901,342.776984214883,1665.16806080267,126.64894410953,211.973563391064,305.077933368091,130.424953991239,174.652979376852,1052.95319315192,1683.20532171376,1094.55328584209,363.451828720777,253.29788821906,122.563494299545,288.54172082535,,172.61025447186,221.635652191678,36.611956938027,236.956088979121,10.2136245249621,,3172.76612394011,2995.44369831577,29.8089024336005,147.513523190742,179.78,406.939731445558,612.97,911.04,2058.04
2002,16465.4486686391,606.23,12402.16,1177.65630059953,520.843469814565,364.941263651996,78.8856183482828,91.8852999953525,99.7686410744993,,21.3320077148301,8365.28991913371,203.80786029651,118.709542687178,70.8456545986894,32.608839986987,474.159472510108,61.5735925082493,37.2761955662964,39.2496412139239,11.7049342380443,297.551749314496,35.2923084073059,33.4650439187619,345.217248687085,1415.4095143375,102.253720778919,215.575443602733,263.543746804852,113.676734210159,149.867012594693,918.477105544453,1381.52680996421,860.18214760422,294.555035553284,210.417336989357,107.401385880931,269.944393270437,,135.718764697681,156.77929311707,33.4546024073988,238.588534647023,0.0,,2859.21378026677,2674.57653483292,38.581384486685,146.055860947158,154.14,302.998668639053,500.0,728.5,1771.42
2001,14723.46,582.39,10944.66,1096.95829471887,467.353178265038,355.537662934853,67.7527541813184,89.4816205338489,93.1639488211477,,23.6691299826653,7334.46774155659,177.346354709252,98.1710807698825,62.7038961330107,33.9024559028922,402.521251053815,56.4449811970922,31.2945746795928,38.5966421048311,14.6041348504766,262.196378190521,36.5103371261916,26.078812232994,277.833234005425,1235.95836392073,103.501589990306,204.687381454323,243.88905200296,111.262644510845,132.626407492114,827.272081655035,1214.30251824245,747.867314168015,233.196738987432,175.47911175337,98.1710807698825,238.068261112555,,102.343690727162,135.724570385394,27.1219647223137,228.679888708678,0.0,,2513.23396372454,2321.75289278501,38.6592312541903,152.821839685345,154.91,309.32,459.89,663.06,1609.23
2000,13472.38,532.96,10004.62,993.71,417.16,321.64,63.46,80.79,84.83,,25.84,6731.44,161.24,98.83,58.98,32.85,370.42,49.07,27.12,32.24,12.48,237.41,31.21,20.81,245.6,1153.74,88.36,194.79,219.56,98.7421020981059,120.816558551138,763.74,1121.08,697.58,196.3,160.77,94.49,203.42,,90.68,125.88,25.37,217.42,0.0,,2279.47,2094.11,34.41,150.94,159.77,281.2,418.68,623.2,1451.95
