年份,零售业企业期末商品库存额,内资零售业企业期末商品库存额,国有零售业企业期末商品库存额,集体零售业企业期末商品库存额,股份合作零售业企业期末商品库存额,联营零售业企业期末商品库存额,国有联营零售业企业期末商品库存额,集体联营零售业企业期末商品库存额,国有与集体联营零售业企业期末商品库存额,其他联营零售业企业期末商品库存额,有限责任公司零售业企业期末商品库存额,国有独资公司零售业企业期末商品库存额,其他有限责任公司零售业企业期末商品库存额,股份有限公司零售业企业期末商品库存额,私营零售业企业期末商品库存额,私营独资零售业企业期末商品库存额,私营合伙零售业企业期末商品库存额,私营有限责任公司零售业企业期末商品库存额,私营股份有限公司零售业企业期末商品库存额,其他零售业企业期末商品库存额,港澳台商投资零售业企业期末商品库存额,港澳台商合资经营零售业企业期末商品库存额,港澳台商合作经营零售业企业期末商品库存额,港澳台商独资经营零售业企业期末商品库存额,港澳台商投资股份有限公司零售业企业期末商品库存额,其他港澳台商投资零售业企业期末商品库存额,外商投资零售业企业期末商品库存额,中外合资经营零售业企业期末商品库存额,中外合作经营零售业企业期末商品库存额,外资零售业企业期末商品库存额,外商投资股份有限公司零售业企业期末商品库存额,其他外商投资零售业企业期末商品库存额
2009,4175.7,3730.82824,301.05655,147.11416,27.93733,9.20857,4.05716,1.70901,1.64361,1.79879,1398.30825,25.5002,1372.80805,463.46025,1347.49456,156.65757,23.19949,1067.3557,100.2818,36.24857,170.93782,36.1932,15.41788,117.0638,2.26294,,273.93932,132.54295,13.73103,120.64623,7.01911,
2008,3692.4,3204.6652,251.7993,67.1674,35.9168,11.4656,4.6597,0.9303,2.5397,3.3359,1122.5762,28.7672,1093.809,533.1535,1150.9319,115.6292,20.1719,960.4416,54.6892,31.6544,215.5172,42.3315,2.7532,165.8842,4.5483,,272.2032,116.2507,29.1686,118.0623,8.7216,
2007,2543.3,2279.63587,192.52272,65.19175,28.90386,10.01994,3.41562,1.15027,3.06825,2.3858,857.92585,36.70531,821.22054,292.14405,809.56951,46.86668,10.45116,718.67654,33.57513,23.35819,78.04566,29.33276,2.141,44.68432,1.88758,,185.63844,102.05786,34.7132,45.90374,2.96364,
2006,1997.0,1821.25534,161.03135,53.99857,20.76868,11.2867,4.60459,1.64592,2.13589,2.9003,641.13502,30.87594,610.25908,296.51343,623.39857,34.93518,12.91184,537.41769,38.13386,13.12302,44.89553,23.97397,5.28073,14.9682,0.67263,,130.80224,70.55094,31.04191,27.93851,1.27088,
2005,1786.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1033.18114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,902.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,774.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,738.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
