年份,零售业企业商品购进额,内资零售业企业商品购进额,国有零售业企业商品购进额,集体零售业企业商品购进额,股份合作零售业企业商品购进额,联营零售业企业商品购进额,国有联营零售业企业商品购进额,集体联营零售业企业商品购进额,国有与集体联营零售业企业商品购进额,其他联营零售业企业商品购进额,有限责任公司零售业企业商品购进额,国有独资公司零售业企业商品购进额,其他有限责任公司零售业企业商品购进额,股份有限公司零售业企业商品购进额,私营零售业企业商品购进额,私营独资零售业企业商品购进额,私营合伙零售业企业商品购进额,私营有限责任公司零售业企业商品购进额,私营股份有限公司零售业企业商品购进额,其他零售业企业商品购进额,港澳台商投资零售业企业商品购进额,港澳台商合资经营零售业企业商品购进额,港澳台商合作经营零售业企业商品购进额,港澳台商独资经营零售业企业商品购进额,港澳台商投资股份有限公司零售业企业商品购进额,其他港澳台商投资零售业企业商品购进额,外商投资零售业企业商品购进额,中外合资经营零售业企业商品购进额,中外合作经营零售业企业商品购进额,外资零售业企业商品购进额,外商投资股份有限公司零售业企业商品购进额,其他外商投资零售业企业商品购进额
2009,36194.2,31485.48918,2552.51414,752.1954,243.75067,148.78039,84.77214,21.28988,26.75268,15.96569,11568.59168,207.51191,11361.07977,5148.33274,10813.2047,1017.5994,175.2826,9011.80938,608.51332,258.11946,1914.12354,574.11405,314.2975,986.56653,39.14546,,2794.61711,1334.69671,226.88366,1149.61558,83.42116,
2008,31481.9,27636.768,1880.9788,665.4723,224.0854,198.8129,78.075,13.5672,73.1172,34.0535,9319.1771,182.1165,9137.0606,5912.2563,9159.6469,874.7987,158.5538,7636.1245,490.1699,276.3382,1338.3177,495.7751,34.9148,770.5455,37.0823,,2506.7961,1299.7618,341.7822,770.4357,94.8165,
2007,24080.1,21239.41471,1692.40003,560.21388,251.05667,161.17315,59.39946,22.02245,42.98637,36.76487,7352.12956,207.54848,7144.58108,4346.56766,6633.56651,357.02876,91.93718,5832.67929,351.92128,242.30725,880.91001,489.91065,96.12212,281.33162,13.54562,,1959.74791,1009.28491,377.62212,432.64011,140.20077,
2006,19759.1,17656.03464,1486.32168,466.38869,232.4321,148.28177,63.19884,18.0615,44.88866,22.13277,5909.14733,334.4689,5574.67843,3894.22611,5419.94268,294.91798,97.40111,4727.63739,299.9862,99.29428,594.62558,394.18102,78.55914,111.67915,10.20627,,1508.46705,831.40048,353.14534,305.3253,18.59593,
2005,15880.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,8687.47163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6875.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,5444.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,4804.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
