年份,零售业企业商品销售额,内资零售业企业商品销售额,国有零售业企业商品销售额,集体零售业企业商品销售额,股份合作零售业企业商品销售额,联营零售业企业商品销售额,国有联营零售业企业商品销售额,集体联营零售业企业商品销售额,国有与集体联营零售业企业商品销售额,其他联营零售业企业商品销售额,有限责任公司零售业企业商品销售额,国有独资公司零售业企业商品销售额,其他有限责任公司零售业企业商品销售额,股份有限公司零售业企业商品销售额,私营零售业企业商品销售额,私营独资零售业企业商品销售额,私营合伙零售业企业商品销售额,私营有限责任公司零售业企业商品销售额,私营股份有限公司零售业企业商品销售额,其他零售业企业商品销售额,港澳台商投资零售业企业商品销售额,港澳台商合资经营零售业企业商品销售额,港澳台商合作经营零售业企业商品销售额,港澳台商独资经营零售业企业商品销售额,港澳台商投资股份有限公司零售业企业商品销售额,其他港澳台商投资零售业企业商品销售额,外商投资零售业企业商品销售额,中外合资经营零售业企业商品销售额,中外合作经营零售业企业商品销售额,外资零售业企业商品销售额,外商投资股份有限公司零售业企业商品销售额,其他外商投资零售业企业商品销售额
2009,43331.6,37475.62795,3123.39587,940.42776,287.371,161.43961,91.15306,22.34849,29.8992,18.03886,13223.31557,232.16065,12991.15492,7059.29487,12320.32037,1122.60801,202.74536,10201.26054,793.70646,360.0629,2246.72782,705.3885,304.71532,1183.96191,52.66209,,3609.23573,1842.0854,278.75486,1387.42063,100.97484,
2008,37969.6,32935.2407,2427.5061,739.0595,251.2293,219.1612,89.299,14.8524,77.1908,37.819,10842.4346,200.7157,10641.7189,7685.1748,10408.3745,981.2762,182.5424,8688.7429,555.813,362.3008,1678.2902,640.2794,71.9905,923.9508,42.0695,,3356.0233,1743.5471,556.9429,935.5846,119.9487,
2007,27121.0,23873.41257,1861.76533,602.60314,285.23446,173.06127,62.04474,26.32871,45.5114,39.17642,8020.71067,218.32348,7802.38719,5455.71001,7216.68658,366.5395,100.37814,6365.79287,383.97607,257.64111,1045.65914,610.45295,103.59161,317.32042,14.29416,,2201.89083,1198.59305,438.95952,538.80342,25.53484,
2006,22460.5,19987.32957,1595.2013,499.58517,248.9383,153.47726,63.89241,19.66026,46.68828,23.23631,6675.2373,361.15472,6314.08258,4871.80104,5832.82845,300.16378,101.09344,5111.16518,320.40605,110.26075,714.25699,491.57664,86.20335,125.61723,10.85977,,1758.92861,926.8963,394.67584,414.56573,22.79074,
2005,17640.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,14940.0,13629.33783,1381.53634,468.49291,206.13231,165.73251,68.6672,10.74816,70.26263,16.05452,4808.39664,115.53803,4692.85861,2654.99961,3907.39199,137.58349,53.84846,3493.15777,222.80227,36.65552,386.06885,316.07404,49.22258,18.36523,2.407,,924.60155,494.8163,308.50464,120.05676,1.22385,
2003,9688.88313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,7669.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6217.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,5318.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
