年份,餐饮业企业资产总计,内资餐饮业企业资产总计,国有餐饮业企业资产总计,集体餐饮业企业资产总计,股份合作餐饮业企业资产总计,联营餐饮业企业资产总计,国有联营餐饮业企业资产总计,集体联营餐饮业企业资产总计,国有与集体联营餐饮业企业资产总计,其他联营餐饮业企业资产总计,有限责任公司餐饮业企业资产总计,国有独资公司餐饮业企业资产总计,其他有限责任公司餐饮业企业资产总计,股份有限公司餐饮业企业资产总计,私营餐饮业企业资产总计,私营独资餐饮业企业资产总计,私营合伙餐饮业企业资产总计,私营有限责任公司餐饮业企业资产总计,私营股份有限公司餐饮业企业资产总计,其他餐饮业企业资产总计,港、澳、台商投资餐饮业企业资产总计,港、澳、台商合资经营餐饮业企业资产总计,港、澳、台商合作经营餐饮业企业资产总计,港、澳、台商独资经营餐饮业企业资产总计,港、澳、台商投资股份有限公司餐饮业企业资产总计,其他港澳台商投资餐饮业企业资产总计,外商投资餐饮业企业资产总计,中外合资经营餐饮业企业资产总计,中外合作经营餐饮业企业资产总计,外资餐饮业企业资产总计,外商投资股份有限公司餐饮业企业资产总计,其他外商投资餐饮业企业资产总计,正餐服务业资产总计,快餐服务业资产总计,饮料及冷饮服务业资产总计,餐饮配送及外卖送餐服务资产总计,其他餐饮服务业资产总计
2009,2213.9,1807.1,113.3,30.8,32.2,1.2,,0.2,0.1,1.0,451.9,1.3,450.6,116.0,1023.9,243.7,36.0,691.6,52.6,37.7,160.9,44.9,10.2,95.0,10.7,,246.0,59.9,18.8,158.5,8.8,,1903.3,233.7,14.9,,62.1
2008,2112.0,1709.0,122.6,28.8,34.3,6.6,5.3,0.2,,1.1,375.2,2.4,372.8,107.7,993.0,270.4,35.6,635.9,51.0,40.7,149.6,46.7,10.0,82.8,10.1,,253.4,60.3,14.0,171.2,7.9,,1826.4,218.2,11.6,,55.8
2007,1548.1,1207.9,106.5,27.2,19.7,5.7,3.2,0.7,,1.8,307.5,3.1,304.4,67.3,657.6,129.5,23.4,465.4,39.2,16.4,123.4,55.1,8.3,59.0,1.0,,216.7,69.7,29.1,115.8,2.1,,1351.4,156.2,9.2,,31.2
2006,1340.1476,1046.7944,99.0736,34.4097,25.7001,5.2019,2.6066,1.0343,0.0572,1.5038,237.4081,3.5846,233.8234,57.6239,570.2087,118.1374,17.9953,401.2622,32.8138,17.1685,107.6269,44.9466,10.3044,52.1224,0.2535,,185.7263,75.2328,24.6028,85.039,0.8517,,1155.7776,131.8605,24.7456,,27.764
2005,1111.0,865.5,106.1,37.3,24.7,4.1,2.5,0.2,,1.4,197.6,1.7,195.9,56.5,431.2,72.4,14.2,321.5,23.0,7.9,96.7,48.8,17.8,30.0,0.2,,148.8,56.7,28.4,61.1,2.6,,959.5,114.2,12.3,,25.0
2004,1165.0,893.87936,127.03787,39.56954,22.10591,5.76266,2.72846,0.48866,0.66836,1.87718,231.2708,1.87401,229.39679,50.00359,412.98263,68.24718,13.31622,308.38041,23.03882,5.14636,120.69604,66.17352,26.53669,27.73828,0.24755,0.0,150.40447,60.44405,35.4434,53.00454,1.51248,,1021.18413,111.16382,5.01957,,27.61235
2003,1110.8,813.5,189.3,65.8,20.0,4.9,2.8,1.2,0.8,0.5,200.1,4.1,196.0,50.4,282.6,50.2,18.1,201.4,12.9,1.8,138.9,73.7,35.9,27.1,2.2,,158.4,88.1,27.9,41.6,0.8,,1006.0,88.6,1.6,,14.6
2002,891.4033,630.7931,197.1206,63.9401,23.0681,6.9082,2.9777,0.983,1.7756,1.172,126.1696,5.2645,120.9051,37.2375,172.8872,30.3497,8.5258,123.2069,10.8048,3.4618,122.287,75.3548,19.4803,24.7816,2.6704,,138.3231,88.3467,17.6787,31.8255,0.4724,,785.6849,85.0443,,,20.674
2001,797.9153,534.1062,181.8426,69.6218,19.3796,5.6396,2.4117,0.3846,1.6995,1.1438,114.8586,5.3896,109.469,36.3676,106.0687,25.3069,4.3283,69.8577,6.5758,0.3278,140.1895,91.5321,25.8455,21.4147,1.3972,,123.6196,80.929,15.0041,27.1229,0.5637,,716.4313,75.846,75.846,,5.6
2000,764.2861,486.5268,214.0589,69.4335,17.2289,10.1483,4.8241,0.388,2.1608,2.7754,76.9899,6.5391,70.4508,42.5316,56.1065,18.7531,2.5639,31.3396,3.4499,0.0292,138.4189,92.6677,26.0794,15.4969,4.1749,,139.3404,90.2413,20.8176,28.0234,0.2582,,691.0311,60.6651,,,12.5899
