年份,餐饮业企业所有者权益合计,内资餐饮业企业所有者权益合计,国有餐饮业企业所有者权益合计,集体餐饮业企业所有者权益合计,股份合作餐饮业企业所有者权益合计,联营餐饮业企业所有者权益合计,国有联营餐饮业企业所有者权益合计,集体联营餐饮业企业所有者权益合计,国有与集体联营餐饮业企业所有者权益合计,其他联营餐饮业企业所有者权益合计,有限责任公司餐饮业企业所有者权益合计,国有独资公司餐饮业企业所有者权益合计,其他有限责任公司餐饮业企业所有者权益合计,股份有限公司餐饮业企业所有者权益合计,私营餐饮业企业所有者权益合计,私营独资餐饮业企业所有者权益合计,私营合伙餐饮业企业所有者权益合计,私营有限责任公司餐饮业企业所有者权益合计,私营股份有限公司餐饮业企业所有者权益合计,其他餐饮业企业所有者权益合计,港、澳、台商投资餐饮业企业所有者权益合计,港、澳、台商合资经营餐饮业企业所有者权益合计,港、澳、台商合作经营餐饮业企业所有者权益合计,港、澳、台商独资经营餐饮业企业所有者权益合计,港、澳、台商投资股份有限公司餐饮业企业所有者权益合计,其他港澳台商投资餐饮业企业所有者权益合计,外商投资餐饮业企业所有者权益合计,中外合资经营餐饮业企业所有者权益合计,中外合作经营餐饮业企业所有者权益合计,外资餐饮业企业所有者权益合计,外商投资股份有限公司餐饮业企业所有者权益合计,其他外商投资餐饮业企业所有者权益合计,正餐服务业所有者权益合计,快餐服务业所有者权益合计,饮料及冷饮服务业所有者权益合计,餐饮配送及外卖送餐服务所有者权益合计,其他餐饮服务业所有者权益合计
2009,782.9,637.3,50.7,11.8,12.7,0.3,,0.1,,0.2,138.8,0.4,138.4,60.7,344.7,128.9,17.9,179.5,18.5,17.6,56.7,13.0,4.2,32.9,6.6,,88.9,25.4,4.1,56.4,3.0,,659.3,90.2,7.1,,26.4
2008,752.7,623.8,59.8,12.2,12.9,1.5,1.0,,,0.4,114.9,0.9,114.0,49.4,352.5,148.2,17.8,170.4,16.2,20.6,51.1,13.5,4.4,27.9,5.2,,77.8,23.9,1.8,50.3,1.8,,655.3,71.6,4.6,,21.2
2007,506.6,386.03625,46.7,9.1,6.0,0.4,-0.6,0.1,,0.9,88.3,1.0,87.3,28.1,200.4,61.3,9.0,119.4,10.7,7.0,36.9,12.8,4.0,19.7,0.4,,83.6,30.7,13.9,38.1,1.0,,430.1,59.7,3.8,,13.0
2006,446.9301,344.9093,42.0249,8.1579,8.3394,1.7034,0.8001,0.1534,,0.7393,69.5855,1.8244,67.7611,22.6208,186.6713,60.5754,7.384,108.7107,10.0012,5.8061,32.5892,10.5413,5.0095,16.967,0.0715,,69.4316,27.4763,9.5407,32.1802,0.2345,,368.6815,46.7499,19.9847,,11.5141
2005,375.4,294.6,44.2,11.1,11.5,1.4,0.7,0.1,,0.6,64.2,0.7,63.4,23.3,135.7,34.5,5.3,88.2,7.7,3.2,23.4,13.0,1.8,8.6,,,57.4,20.3,11.5,24.7,0.8,,316.0,44.1,8.6,,6.7
2004,408.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,365.8,290.1,69.9,26.3,6.0,0.7,0.9,-0.6,0.3,0.2,62.2,2.7,59.4,18.0,106.6,23.2,9.4,68.9,5.0,1.0,22.5,9.5,5.2,7.9,,,53.2,27.1,10.9,14.8,0.5,,,36.3,0.4,,6.7
2002,307.0429,233.601,79.6422,21.2015,6.5099,2.4918,0.7031,0.2674,0.7606,0.7608,42.8632,2.9704,39.8927,15.7665,64.396,14.2631,3.0335,43.4466,3.6528,0.7301,29.6429,21.3918,3.5873,4.6855,-0.0217,,43.799,31.2809,6.7674,5.4415,0.3092,,270.8926,28.9474,,,7.2028
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
