年份,住宿业企业营业额,内资住宿业企业营业额,国有住宿业企业营业额,集体住宿业企业营业额,股份合作住宿业企业营业额,联营住宿业企业营业额,国有联营住宿业企业营业额,集体联营住宿业企业营业额,国有与集体联营住宿业企业营业额,其他联营住宿业企业营业额,有限责任公司住宿业企业营业额,国有独资公司住宿业企业营业额,其他有限责任公司住宿业企业营业额,股份有限公司住宿业企业营业额,私营住宿业企业营业额,私营独资住宿业企业营业额,私营合伙住宿业企业营业额,私营有限责任公司住宿业企业营业额,私营股份有限公司住宿业企业营业额,其他住宿业企业营业额,港、澳、台商投资住宿业企业营业额,港、澳、台商合资经营住宿业企业营业额,港、澳、台商合作经营住宿业企业营业额,港、澳、台商独资经营住宿业企业营业额,港、澳、台商投资股份有限公司住宿业企业营业额,其他港澳台商投资住宿业企业营业额,外商投资住宿业企业营业额,中外合资经营住宿业企业营业额,中外合作经营住宿业企业营业额,外资住宿业企业营业额,外商投资股份有限公司住宿业企业营业额,其他外商投资住宿业企业营业额,旅游饭店营业额,一般旅馆营业额,民宿服务营业额,露营地服务营业额,其他住宿业营业额
2009,2260.69973,1834.49774,499.46479,63.9389,18.55894,11.03149,5.90178,0.96024,3.07395,1.09552,558.4162,27.48365,530.93255,84.69095,569.07895,109.70324,28.58307,399.85185,30.94079,29.31752,234.46801,129.40655,37.78345,61.54008,5.73793,,191.73398,93.5161,30.11404,63.0575,5.04634,,1933.07023,289.59586,,,38.03364
2008,2231.6117,1773.8907,507.2536,68.3452,23.598,11.9505,6.1975,0.7777,2.5815,2.3938,519.4733,31.4925,487.9808,85.2342,537.5879,107.8285,29.3272,371.0222,29.41,20.448,244.4471,142.2953,41.4317,56.2648,4.4553,,213.2738,111.1382,37.3412,60.1218,4.6727,,1932.6959,265.4856,,,33.4302
2007,1804.28477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1551.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1353.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1170.5,852.13617,330.71129,52.56877,14.9761,17.18087,10.10344,1.2127,4.58503,1.2797,220.53432,22.19138,198.34294,50.0253,161.25869,28.47046,5.99637,115.83932,10.95254,4.88083,188.8245,129.32426,45.36869,13.17473,0.95682,0.0,129.58081,72.35726,31.45084,24.44206,1.33065,0.0,1112.8967,51.01701,,,6.62777
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
