年份,住宿业企业餐费收入,内资住宿业企业餐费收入,国有住宿业企业餐费收入,集体住宿业企业餐费收入,股份合作住宿业企业餐费收入,联营住宿业企业餐费收入,国有联营住宿业企业餐费收入,集体联营住宿业企业餐费收入,国有与集体联营住宿业企业餐费收入,其他联营住宿业企业餐费收入,有限责任公司住宿业企业餐费收入,国有独资公司住宿业企业餐费收入,其他有限责任公司住宿业企业餐费收入,股份有限公司住宿业企业餐费收入,私营住宿业企业餐费收入,私营独资住宿业企业餐费收入,私营合伙住宿业企业餐费收入,私营有限责任公司住宿业企业餐费收入,私营股份有限公司住宿业企业餐费收入,其他住宿业企业餐费收入,港、澳、台商投资住宿业企业餐费收入,港、澳、台商合资经营住宿业企业餐费收入,港、澳、台商合作经营住宿业企业餐费收入,港、澳、台商独资经营住宿业企业餐费收入,港、澳、台商投资股份有限公司住宿业企业餐费收入,其他港澳台商投资住宿业企业餐费收入,外商投资住宿业企业餐费收入,中外合资经营住宿业企业餐费收入,中外合作经营住宿业企业餐费收入,外资住宿业企业餐费收入,外商投资股份有限公司住宿业企业餐费收入,其他外商投资住宿业企业餐费收入,旅游饭店住宿业企业餐费收入,一般旅馆住宿业企业餐费收入,民宿服务住宿业企业餐费收入,露营地服务住宿业企业餐费收入,其他住宿业住宿业企业餐费收入
2009,931.7793,769.94018,204.90703,28.39759,7.17936,4.30567,2.24208,0.41595,1.29295,0.35469,228.10876,9.90855,218.20021,34.71585,250.3042,50.86871,12.77965,173.64398,13.01186,12.02172,91.81709,50.88625,13.89088,24.75665,2.28331,,70.02203,33.95201,13.01307,20.89808,2.15887,,824.74292,93.45085,,,13.58553
2008,887.6696,726.7952,199.8268,29.7454,8.9467,4.5672,2.2453,0.4051,0.9899,0.9269,206.345,11.3976,194.9474,34.0376,234.1973,49.446,13.1206,159.8441,11.7867,9.1292,89.606,51.1995,14.4932,21.9602,1.953,,71.2685,36.8834,14.1127,18.4738,1.7985,,794.314,82.0512,,,11.3044
2007,715.70944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,607.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,507.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,438.8,333.8842,122.02765,20.98144,6.45157,5.36145,2.93122,0.53637,1.43043,0.46343,86.12018,7.51415,78.60603,18.21169,73.08977,13.38322,2.98207,51.49987,5.22461,1.64045,61.44481,38.23235,17.05119,5.828,0.33327,0.0,43.4366,23.37588,10.75786,8.50298,0.79988,0.0,414.4019,21.76196,,,2.60175
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
