年份,农产品生产价格指数(上年=100),种植业产品生产价格指数(上年=100),谷物生产价格指数(上年=100),小麦生产价格指数(上年=100),稻谷生产价格指数(上年=100),玉米生产价格指数(上年=100),豆类生产价格指数(上年价格=100),大豆生产价格指数(上年=100),油料生产价格指数(上年=100),花生生产价格指数(上年价格=100),油菜籽生产价格指数(上年价格=100),棉花生产价格指数(上年=100),糖料生产价格指数(上年=100),麻类生产价格指数(上年价格=100),烟叶生产价格指数(上年价格=100),蔬菜生产价格指数(上年=100),水果生产价格指数(上年=100),茶叶生产价格指数(上年价格=100),林业产品生产价格指数(上年=100),畜牧业产品生产价格指数(上年=100),猪(毛重)生产价格指数(上年=100),牛(毛重)生产价格指数(上年=100),羊(毛重)生产价格指数(上年=100),家禽(毛重)生产价格指数(上年=100),蛋类生产价格指数(上年=100),奶类生产价格指数(上年=100),渔业产品生产价格指数(上年=100),海水养殖产品生产价格指数(上年=100),海水捕捞产品生产价格指数(上年=100),淡水养殖产品生产价格指数(上年=100),淡水捕捞产品生产价格指数(上年=100)
2009,97.6,102.9,104.9,107.9,105.2,98.5,93.79,92.3,94.2,92.88,89.5,111.8,101.5,96.87,104.72,111.8,107.0,96.83,94.9,90.1,81.6,101.0,101.1,102.2,102.8,91.6,99.0,,,,
2008,114.063928332644,108.43,107.07,108.67,106.6,107.32,117.91,119.72,128.0,114.94,135.69,90.58,98.44,83.12,119.89,104.73,101.35,83.66,108.47,123.94,130.84,123.6,118.76,111.94,112.23,125.54,111.24,,,,
2007,118.49,109.8,109.0,105.5,105.4,115.0,122.62,124.2,133.4,121.09,138.53,109.6,100.0,85.62,106.26,106.9,101.3,112.34,104.4,131.4,145.9,117.5,121.0,117.0,115.9,106.2,108.1,,,,
2006,101.2,104.5,102.14,100.07,102.02,103.02,99.3,99.29,104.83,103.9,102.8,97.06,121.13,94.6,99.7,109.29,111.35,107.0,112.78,94.33,90.59,100.58,101.77,97.17,95.98,102.9,103.93,,,,
2005,101.39,101.55,99.23,96.41,101.57,97.97,95.7,94.24,91.33,97.6,87.0,111.82,111.57,104.8,103.3,107.22,107.41,110.2,104.79,100.52,97.58,101.66,101.7,105.61,106.38,99.62,104.67,,,,
2004,113.09,115.86,128.06,131.16,136.3,116.92,120.3,120.17,116.58,117.1,116.3,79.538,104.86,125.0,108.4,105.17,98.63,111.2,104.62,111.08,112.84,103.93,103.72,111.8,112.58,103.73,110.19,,,,
2003,104.37,107.42,102.34,102.99,99.89,104.58,119.3,120.62,119.4,124.2,119.2,135.33,90.5,111.1,97.2,110.44,102.04,92.0,107.01,101.76,102.86,101.68,96.34,101.0,101.06,103.68,100.34,,,,
2002,99.7,100.035425,95.828625,98.1368,97.166075,91.503975,,98.94665,104.8235,,,103.3519,86.009475,,,95.06175,109.912775,,98.308475,100.1527,97.960975,91.441275,140.0112,106.0858,102.799825,99.7066,95.892725,,,,
2001,103.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
