年份,商品零售价格指数(上年=100),食品类商品零售价格指数(上年=100),粮食类商品零售价格指数(上年=100),油脂类商品零售价格指数(上年=100),肉禽及其制品类商品零售价格指数(上年=100),蛋类商品零售价格指数(上年=100),水产品类商品零售价格指数(上年=100),菜类商品零售价格指数(上年=100),调味品类商品零售价格指数(上年=100),糖类商品零售价格指数(上年=100),干鲜瓜果类商品零售价格指数(上年=100),糕点饼干面包类商品零售价格指数(上年=100),液体乳及乳制品类商品零售价格指数(上年=100),在外用膳食品类商品零售价格指数(上年=100),主食类商品零售价格指数(上年=100),炒菜类商品零售价格指数(上年=100),地方小吃类商品零售价格指数(上年=100),其它食品类商品零售价格指数(上年=100),饮料、烟酒类商品零售价格指数(上年=100),茶及饮料类商品零售价格指数(上年=100),烟草类商品零售价格指数(上年=100),酒类商品零售价格指数(上年=100),服装、鞋帽类商品零售价格指数(上年=100),服装类商品零售价格指数(上年=100),鞋袜帽类商品零售价格指数(上年=100),纺织品类商品零售价格指数(上年=100),衣着材料类商品零售价格指数(上年=100),床上用品类商品零售价格指数(上年=100),家用电器及音像器材类商品零售价格指数(上年=100),文化办公用品类商品零售价格指数(上年=100),日用品类商品零售价格指数(上年=100),日用百货类商品零售价格指数(上年=100),日用杂品类商品零售价格指数(上年=100),体育娱乐用品类商品零售价格指数(上年=100),交通、通信用品类商品零售价格指数(上年=100),家具类商品零售价格指数(上年=100),化妆品类商品零售价格指数(上年=100),金银珠宝类商品零售价格指数(上年=100),中西药品及医疗保健用品类商品零售价格指数(上年=100),医疗器具及用品类商品零售价格指数(上年=100),中药材及中成药类商品零售价格指数(上年=100),西药类商品零售价格指数(上年=100),书报杂志及电子出版物类商品零售价格指数(上年=100),燃料类商品零售价格指数(上年=100),建筑材料及五金电料类商品零售价格指数(上年=100),建筑装璜材料类商品零售价格指数(上年=100),五金电料类商品零售价格指数(上年=100)
2009,98.7986,100.85966,105.72175,81.77699,91.68616,101.56093,102.30968,113.2288,103.47800761,102.49392142,106.7336,102.8539389,101.40725193,102.735049,102.39619505,102.6389889,103.73370204,101.60201921,101.66897,101.86349665,100.38615905,103.32917246,97.89851,97.98182462,97.57584327,99.55476,100.8352933,98.79322212,94.23924,96.22316,101.98561,101.48943449,101.89294451,97.75555,93.69996,99.65721,100.80104,95.62554,101.53177,101.50881428,102.42869818,101.13198196,105.00162,92.72342,98.44566,97.89511618,100.2445805
2008,105.8956,114.37918,106.96729,125.0258,121.73975,104.3167,114.49194,110.40226,105.56388021,103.86603379,111.26266,109.28601175,117.35212019,111.58549411,111.61183226,110.52977924,116.00273417,108.32532096,103.42887,103.83037753,100.46313559,107.49104473,98.38245,98.48539873,98.1360967,100.53301,101.92280848,99.70968824,96.8963,96.76614,103.70994,103.19507977,101.77918738,97.69506,93.16606,102.55203,100.66127,116.82174,103.06489,99.62118023,106.88783896,101.33784706,101.54832,116.0275,107.85451,109.46973007,102.87336498
2007,103.7949,112.30409465,106.44929723,126.32555383,131.03084711,121.83067743,105.30988673,107.90894765,103.91439865,101.5457001,102.50126565,103.48153349,102.90708721,107.05553304,108.19022481,105.85001342,110.24980477,104.2812203,101.79658851,101.42423164,100.89330052,103.39399945,99.39150685,99.6187174,98.93662788,100.24403765,101.38038234,99.57374914,97.41004893,97.00708764,101.11094311,100.74011323,101.45297528,97.36484403,92.68494165,101.61221527,100.16527454,107.85781697,101.95011197,98.45715922,108.03469427,98.96621801,99.704802,104.22131843,105.08444685,105.62928351,103.41222409
2006,101.0282,102.55605,102.54413,98.74525,97.29256,96.28044,101.58496,108.14909,102.22485801,,117.00752,,101.04626539,101.86199987,101.42331382,102.07165344,101.74829137,101.2976522,100.72397,100.95633478,100.18645331,101.29442359,99.77771,99.39827844,100.83742684,100.01571,,,97.26437,97.63842,100.79585,100.45264532,101.22376992,98.49142,92.31293,100.08379,99.83888,119.65421,99.13365,98.30880934,99.99927065,98.43626211,100.18317,112.36859,102.99914,102.81503178,103.5933604
2005,100.7774,103.1339,101.4173,94.7384,102.9957,104.7431,105.7714,108.1137,101.4047,,101.6656,,100.9034,102.7548,102.2,103.2,102.0,101.1953,100.4901,100.2212,100.3473,100.8628,97.9492,97.8853,98.1401,99.7663,,,96.3154,96.6892,100.1969,99.9565,100.6957,98.4397,91.696,99.1021,99.2889,104.4439,97.6355,98.3831,96.5057,97.8124,100.3409,115.4052,102.1418,102.3482,101.4783
2004,102.8,109.8994,126.5075,116.8265,117.0833,119.8222,112.5478,95.2097,101.8255,,104.0565,,100.4331,103.8085,106.7982,102.2656,104.8778,100.8202,100.9951,99.8153,100.6807,102.2232,98.1613,98.1748,98.0463,100.0111,,,94.6685,96.8569,99.6136,99.7069,100.2711,98.2204,91.7658,98.825,98.9307,111.6314,96.7221,101.9016,98.4183,94.5277,101.0463,112.3848,103.6721,104.2123,102.0055
2003,99.9,103.3825,102.2478,112.4926,103.0491,98.5052,100.3215,116.2565,100.3382,,102.1802,,99.6798,100.0411,100.7417,99.671,100.3431,99.2016,99.8614,99.3404,99.822,100.2787,97.5067,97.4938,97.4297,99.2686,,,94.1855,95.8328,98.4542,98.0032,99.7403,98.0595,91.0849,97.8423,98.9302,108.6119,98.3702,100.5565,104.3967,94.2669,100.3067,109.3317,99.6895,99.6865,99.6973
2002,98.7,99.9,98.6,100.1,,,96.2,100.8,101.2,,,,99.4,100.0,100.1,99.7,101.1,99.1,99.9,,,,97.9,97.5,,99.4,,,94.2,,98.7,98.8,99.0,,,98.4,98.4,100.9,96.5,,,,100.8,102,,100.1,
2001,99.2,100.6,101.5,89.3,,,96.3,,100.8,,,,99.9,100.4,99.9,100.4,101.1,101.8,99.5,,,,98.9,98.3,,99.1,,,93.9,98.4,98.3,98.4,99.6,99.2,,97.6,98.8,90.7,98.5,98.8,102.3,95.8,108.1,102.4,,100.1,
2000,98.5,97.5,90.1,86.2,,,102.7,,101.2,,,,100.0,99.8,99.0,99.7,101.3,100.9,98.0,,,,99.2,98.7,,98.6,,,93.6,,98.1,97.9,99.4,,,97.8,98.9,97.6,100.2,99.6,104.6,97.3,105.4,117.7,98.9,98.4,
