年份,城市传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,城市呼吸道结核死亡人数占总死亡人数的比重,城市寄生虫病死亡人数占总死亡人数的比重,城市恶性肿瘤死亡人数占总死亡人数的比重,"城市血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","城市内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市精神障碍死亡人数占总死亡人数的比重,城市神经系统疾病死亡人数占总死亡人数的比重,城市心脏病死亡人数占总死亡人数的比重,城市脑血管病死亡人数占总死亡人数的比重,城市呼吸系统疾病死亡人数占总死亡人数的比重,城市消化系统疾病死亡人数占总死亡人数的比重,城市肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市泌尿生殖系统疾病死亡人数占总死亡人数的比重,"城市妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",城市围生期疾病死亡人数占总死亡人数的比重,"城市先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市诊断不明死亡人数占总死亡人数的比重,城市其他疾病死亡人数占总死亡人数的比重,城市损伤和中毒外部原因死亡人数占总死亡人数的比重,城市男性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,城市男性呼吸道结核死亡人数占总死亡人数的比重,城市男性寄生虫病死亡人数占总死亡人数的比重,城市男性恶性肿瘤死亡人数占总死亡人数的比重,"城市男性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","城市男性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市男性精神障碍死亡人数占总死亡人数的比重,城市男性神经系统疾病死亡人数占总死亡人数的比重,城市男性心脏病死亡人数占总死亡人数的比重,城市男性脑血管病死亡人数占总死亡人数的比重,城市男性呼吸系统疾病死亡人数占总死亡人数的比重,城市男性消化系统疾病死亡人数占总死亡人数的比重,城市男性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市男性泌尿生殖系统疾病死亡人数占总死亡人数的比重,城市男性围生期疾病死亡人数占总死亡人数的比重,"城市男性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市男性诊断不明死亡人数占总死亡人数的比重,城市男性其他疾病死亡人数占总死亡人数的比重,城市男性损伤和中毒外部原因死亡人数占总死亡人数的比重,城市女性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,城市女性呼吸道结核死亡人数占总死亡人数的比重,城市女性寄生虫病死亡人数占总死亡人数的比重,城市女性恶性肿瘤死亡人数占总死亡人数的比重,"城市女性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","城市女性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市女性精神障碍死亡人数占总死亡人数的比重,城市女性神经系统疾病死亡人数占总死亡人数的比重,城市女性心脏病死亡人数占总死亡人数的比重,城市女性脑血管病死亡人数占总死亡人数的比重,城市女性呼吸系统疾病死亡人数占总死亡人数的比重,城市女性消化系统疾病死亡人数占总死亡人数的比重,城市女性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市女性泌尿生殖系统疾病死亡人数占总死亡人数的比重,"城市女性妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",城市女性围生期疾病死亡人数占总死亡人数的比重,"城市女性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市女性诊断不明死亡人数占总死亡人数的比重,城市女性其他疾病死亡人数占总死亡人数的比重,城市女性损伤和中毒外部原因死亡人数占总死亡人数的比重
2009,0.711749673038699,0.302400341573518,,27.0139468944376,0.252863890829124,3.27769636850145,0.57972155954841,1.11115026125814,20.7671724635368,20.3563722736816,10.5425588582159,2.67248115438584,0.295975111560647,1.18265685333687,,0.247474988237684,0.37639411946368,0.654544399375716,1.72983773185235,5.58684112893364,0.84390664879455,0.412772442665394,,29.5995299388553,0.219973926295881,2.63528029231927,0.484016084904794,1.09362663190173,19.2372523457153,19.5585832063311,10.7923100934614,2.78951910541488,0.185453810984007,1.13585868786838,0.265511099686014,0.385597032739024,0.747323772975157,1.12410715925157,6.29918657387856,0.540519964980397,0.159396292489818,,23.6639260020555,0.295477903391572,4.11004529709566,0.703722736096837,1.13385482090518,22.7494195120094,21.3900308324769,10.2189676829965,2.52084047048076,0.439172471546572,1.24329108142058,,0.2241064291424,0.364470328499105,0.534334437212135,2.5146549427125,4.66388793726923
2008,0.77,,,27.12,,3.43,,1.03,19.65,19.62,11.86,2.86,,1.13,,,,,,5.08,0.9,,,30.0,,2.75,,0.97,18.15,18.79,12.26,2.97,,1.07,,,,,5.66,,,,23.49,,4.27,0.76,1.1,21.54,20.66,11.35,2.72,,1.21,,,,,,4.35
2007,,,,28.53,,3.3,,0.95,16.29,18.04,13.1,2.83,,1.28,,,,,,6.09,,,,32.04,,2.6,,0.92,14.91,16.82,13.5,2.93,,1.25,,,,,6.68,,,,25.04,,2.83,,1.08,19.53,20.17,11.37,4.93,,1.37,,,,,,4.61
2006,,,,27.25,,3.32,,0.93,17.1,17.66,13.06,2.94,,1.37,,,,,,6.1,,,,30.45,,2.53,,0.9,16.11,16.34,12.91,3.14,,1.29,,,,,6.87,,,,23.02,,2.67,,0.98,19.71,18.11,13.26,4.35,,1.48,,,,,,5.09
2005,,,,22.94,,2.5,,,17.89,21.23,12.57,3.3,,1.56,,,,,,8.25,,,,26.05,,1.93,,,16.22,19.01,12.37,3.67,,1.45,,,,,9.27,,,,18.36,,2.79,,,20.09,21.82,12.83,3.27,,1.7,,,,,,6.9
2004,,,,23.92,,2.82,,0.86,18.8,19.09,13.12,3.24,,1.81,,0.52,,,,5.89,,,,27.23,,2.14,,0.86,17.23,18.47,12.77,3.67,,1.7,0.52,,,,6.56,,,,20.37,,3.71,,0.88,20.87,19.89,13.57,2.68,,1.91,,0.52,,,,5.02
2003,,,,25.465,,2.659931,,0.91046,14.42838,19.95032,14.62878,3.655242,,1.340293,,0.89,,,,6.159987,,,,28.77944,,2.731298,,0.874057,13.21998,19.22509,15.04292,2.747927,,1.278347,0.680746,,,,6.665074,,,,21.6188573175857,,4.707216451,,0.807360181568151,13.7149033375248,20.79,16.26,2.577420732,,1.41236933028758,,0.41,,,,5.57385117756037
2002,,,,23.53,,2.45,,0.91,14.62,17.49,15.63,3.41,,1.68,,0.85,,,,8.77,,,,26.38,,1.82,,0.85,13.33,17.11,14.94,3.68,,1.62,0.82,,,,9.67,,,,19.66,,3.03,,0.98,16.39,18.01,16.56,3.31,,1.77,,0.88,,,,7.54
2001,,,,24.93,,3.16,,0.96,17.61,20.41,13.36,3.14,,1.57,,,,,,5.87,,,,27.64,,2.36,,1.0,16.46,19.97,12.9,3.45,,1.5,,,,,6.63,,,,21.55,,2.74,,1.13,19.06,20.97,13.93,4.16,,1.66,,,,,,4.92
2000,,,,24.38,,2.99,,0.92,17.74,21.28,13.29,3.06,,1.5,,,,,,5.91,,,,27.23,,2.26,,0.96,16.49,20.81,12.77,3.37,,1.48,,,,,6.69,,,,20.88,,2.68,,0.86,19.27,21.86,13.93,3.89,,1.52,,,,,,4.96
