省份编码,省份,年份,焦炭生产量(万吨),原油生产量(万吨),汽油生产量(万吨),煤油生产量(万吨),柴油生产量(万吨),燃料油生产量(万吨),天然气生产量(亿立方米),发电量(亿千瓦小时),水力发电量(亿千瓦小时),火力发电量(亿千瓦小时)
120000,天津市,2012,228.9604,3098.3089,183.6358,94.504,607.1266,23.3389,18.7264,589.7,,585.245785
120000,天津市,2011,234,3187.8,178.1773,114.9511,645.9878,21.878124,18.4,621.06,,619.52
120000,天津市,2010,238.37,3332.7,164.6257,81.218,602.7477,62.6816,17.2,589.08,,559.604265
120000,天津市,2009,307.58,2296.96,136.41,32.74,338.69,18.31,14.3,415.77,,389.67
120000,天津市,2008,267.14,1993.86,117.17,21.8,340.19,54.56,14.01,382.26,0.14,377.93
120000,天津市,2007,339.09,1924.28,150.1,35.12,383.48,32.76,13.34,393.27,0.14,393.13
120000,天津市,2006,376.22,1943.09,129.83,27.42,386.99,25.92,10.5,359.24,,359.24
120000,天津市,2005,360.55,1792.99,145.42,25.83,364.54,29.38,8.79,369.06,,365.69
120000,天津市,2004,376.68,1446.21,130.89,29.19,310.24,102.02,8.72,339.76,,339.76
120000,天津市,2003,310.84,1316.3,124.61,27.07,278.71,50.17,8.49,320.07,,320.07
120000,天津市,2002,282.38,1215.94,110.44,26.9,259.89,32.6,8.88,268.83,,268.83
120000,天津市,2001,219.3,970.29,131.3,22.37,274.0,41.33,8.95,217.43,,217.43
120000,天津市,2000,170.92,763.99,122.02,32.57,246.82,40.6,9.1,211.49,0.14,211.35
130000,河北省,2019,4982.97,550.0031,,,,,5.84,3297.66,16.44,
130000,河北省,2018,4747.11634,537.2054,,,,,6.1506,3133.178417,10.544808,
130000,河北省,2017,4813.843098,539.106,385.86,42.64,437.34,194.12,7.3901,2817.104322,18.641668,2484.51
130000,河北省,2016,5312.1803,545.9601,475.8801,57.8969,501.9184,160.3135,7.7798,2630.5888,22.2581,2372.4708
130000,河北省,2015,5481,580.1,432.83,44.15,497.79,123.01,10.43,2498.0,9.98,2271.73
130000,河北省,2014,5614,592.33,322.21,13.5,394.36,132.27,17.5,2499.9,10.97,2292.92
130000,河北省,2013,6382,591.01,304.68,13.72,438.5,109.49,15.58,2507.2784,10.9265,2334.0588
130000,河北省,2012,6677.736922,584.0224,293.605025,0.3189,547.022923,24.954734,13.3561,2370.9,3.272227,2193.169292
130000,河北省,2011,6290,586.1,292.806832,0.0,538.27139,17.388729,12.2,2326.98,7.25,2214.67
130000,河北省,2010,5045.7,599.0,270.0087,4.3096,486.926512,116.942734,12.7,1993.12,5.55,1926.275903
130000,河北省,2009,4800.33,599.09,275.24,7.05,482.34,34.57,10.87,1742.46,5.71,1707.18
130000,河北省,2008,3878.94,643.1,272.49,12.21,513.58,166.51,8.74,1527.75,10.95,1407.6
130000,河北省,2007,3820.89,660.01,230.15,11.14,425.82,64.85,7.14,1646.24,5.68,1633.04
130000,河北省,2006,3312.2,610.81,212.85,13.15,412.08,28.56,6.55,1461.0,14.42,1438.88
130000,河北省,2005,2613.43,562.45,223.6,11.94,403.42,25.37,6.92,1338.63,5.61,1332.17
130000,河北省,2004,1941,537.78,210.79,12.08,374.98,41.53,6.63,1255.56,4.02,1251.11
130000,河北省,2003,1128.23,511.01,173.76,11.43,293.59,41.46,6.34,1088.34,3.01,1085.17
130000,河北省,2002,972.61,503.26,135.22,8.71,230.85,63.88,5.9,1014.26,3.64,1010.32
130000,河北省,2001,920.55,513.22,134.88,9.15,228.46,34.99,5.21,901.63,3.62,897.88
130000,河北省,2000,792.47,518.26,159.04,12.69,271.19,30.17,5.14,844.42,4.7,839.53
140000,山西省,2019,9699.53,,,,,,64.62,3361.67,49.07,
140000,山西省,2018,9256.16112,,,,,,52.419013,3180.517356,43.184331,
140000,山西省,2017,8383.137561,,0.11,,,,46.759282,2823.939589,42.221418,2589.12
140000,山西省,2016,8185.9889,,,,,,43.2209,2535.0775,37.5018,2362.846
140000,山西省,2015,8040,,0.34,,,,43.08,2449.0,29.26,2319.77
140000,山西省,2014,8766,,2.99,,,,31.6,2647.02,32.93,2546.03
140000,山西省,2013,9022,,10.03,,,,25.11,2641.1071,38.8657,2551.316
140000,山西省,2012,8612.661131,,,,,,,2454.8,40.916807,2396.415242
140000,山西省,2011,9010,,2.7729,,,,,2343.97,34.63,2301.73
140000,山西省,2010,8504.75,,3.232752,,0.2383,,,2151.0,36.63,2104.0
140000,山西省,2009,7682.04,,,,,,,1873.8,21.66,1848.76
140000,山西省,2008,8295.87,,,,,0.18,5.21,1793.78,23.36,1764.93
140000,山西省,2007,9897.29,,,,,,,1760.5,47.32,1713.18
140000,山西省,2006,9202,,,,,,6.02,1526.37,23.87,1502.5
140000,山西省,2005,7981.05,,,,,,3.24,1311.97,20.32,1291.65
140000,山西省,2004,6582.31,,0.03,,0.01,,,1078.99,21.0,1058.0
140000,山西省,2003,6747.41,,,,,,2.5,965.01,19.29,945.71
140000,山西省,2002,5852,,,,,,2.06,842.01,18.83,823.18
140000,山西省,2001,4987.72,,,,,,1.58,710.33,16.73,691.14
140000,山西省,2000,4967.22,,,,,,1.14,620.31,13.04,607.27
150000,内蒙古自治区,2019,3677.23,11.824099,,,,,22.07,5495.08,58.07,
150000,内蒙古自治区,2018,3374.118238,10.665221,,,,,16.071,5002.958228,36.488016,
150000,内蒙古自治区,2017,3046.366204,12.206366,176.69,24.0,192.04,7.96,0.1903,4435.938639,19.990617,3750.33
150000,内蒙古自治区,2016,2816.7169,44.9247,176.6213,14.2224,177.5751,5.1845,0.2736,3949.806,27.484,3374.8849
150000,内蒙古自治区,2015,3041,45.8,147.91,9.13,177.29,6.81,9.24,3929.0,36.42,3421.92
150000,内蒙古自治区,2014,3446,21.48,151.87,7.75,214.67,7.97,15.45,3857.81,34.62,3409.33
150000,内蒙古自治区,2013,3180,,147.5,2.17,207.87,9.26,10.04,3567.1416,19.7446,3167.6434
150000,内蒙古自治区,2012,2569.058395,,15.3117,0.0,76.353477,7.2403,,3116.9,17.451991,2793.302349
150000,内蒙古自治区,2011,2482,,34.2629,,93.551475,11.1964,,2972.83,12.21,2639.00052
150000,内蒙古自治区,2010,2034.29,,42.0977,,79.3498,30.7752,,2489.28,16.29,2226.55
150000,内蒙古自治区,2009,1838.39,0.0,49.65,,51.13,48.1,,2242.37,14.82,2073.49
150000,内蒙古自治区,2008,1412.77,,41.97,,42.8,64.57,,2183.85,11.18,2071.98
150000,内蒙古自治区,2007,1440.25,,45.93,,53.73,26.4,,1931.95,11.86,1876.83
150000,内蒙古自治区,2006,1060.15,,60.57,,53.96,2.97,,1412.54,12.8,1395.93
150000,内蒙古自治区,2005,1034.19,,44.99,,41.01,13.56,,1056.59,11.55,1042.28
150000,内蒙古自治区,2004,877.85,113.22,40.2,,48.66,16.07,17.19,816.44,8.49,805.84
150000,内蒙古自治区,2003,805.25,5.0,39.2,,45.63,16.32,,647.73,7.07,639.53
150000,内蒙古自治区,2002,506.74,3.73,30.44,,42.62,21.93,8.49,514.85,6.69,507.3
150000,内蒙古自治区,2001,445.72,81.55,28.99,,45.14,23.43,7.01,465.49,6.19,456.93
150000,内蒙古自治区,2000,393.65,,,,,,4.55,439.22,5.59,432.09
210000,辽宁省,2019,2281.42,1053.2629,,,,,6.18,2072.94,43.58,
210000,辽宁省,2018,2213.734,1036.8985,,,,,5.873469,1982.685439,33.567119,
210000,辽宁省,2017,2215.6072,1044.2006,1316.49,504.59,2015.24,149.2,5.10689,1829.27244,34.530375,1408.9
210000,辽宁省,2016,2131.4706,1017.3097,1212.1121,495.9056,2044.3068,165.7875,5.5228,1778.7603,47.029,1399.5643
210000,辽宁省,2015,2097,1037.1,1128.52,429.1,2270.88,194.8,6.59,1665.0,32.28,1353.99
210000,辽宁省,2014,2141,1021.89,1057.66,380.5,2331.03,297.25,8.11,1647.82,42.46,1364.11
210000,辽宁省,2013,2147,1001.01,1059.99,355.9,2391.33,377.6,8.32,1553.8626,61.1083,1333.65
210000,辽宁省,2012,2021.23621,1000.0099,1088.0872,293.267,2357.915,454.177758,7.2099,1414.7,36.5042,1282.270328
210000,辽宁省,2011,2026.978905,1000.0,1017.43,221.9615,2284.75,572.775328,7.2,1369.93,31.69,1260.4
210000,辽宁省,2010,1875.76,950.0,1057.74,224.2319,2379.82,602.361118,8.0,1295.11,43.98,1204.043871
210000,辽宁省,2009,1876.5,1000.02,1043.57,231.9,2101.38,504.84,8.1,1162.51,28.81,1117.15
210000,辽宁省,2008,1736.36,1199.33,1017.33,230.06,2048.35,580.5,8.71,1137.84,38.58,1085.26
210000,辽宁省,2007,1625.31,1207.17,1005.4,206.19,2048.93,526.1,8.72,1115.03,43.81,1065.26
210000,辽宁省,2006,1503.4,1226.46,1032.33,218.74,1911.19,497.38,11.94,1014.54,47.03,962.82
210000,辽宁省,2005,1237.89,1260.96,965.6,220.0,1899.6,466.15,11.72,904.21,56.73,845.0
210000,辽宁省,2004,1013.77,1283.19,925.79,213.46,1831.6,420.47,10.3,874.85,38.59,834.48
210000,辽宁省,2003,923.01,1332.22,823.04,214.19,1567.72,338.28,13.28,837.11,22.97,812.3
210000,辽宁省,2002,871.5,1351.15,766.86,200.21,1350.79,394.37,13.31,725.27,14.46,709.29
210000,辽宁省,2001,801.39,1385.01,747.33,205.39,1304.15,390.5,14.71,662.12,22.72,638.68
210000,辽宁省,2000,788.9,1401.12,683.88,231.53,1202.07,413.4,14.7,645.58,14.89,628.0
220000,吉林省,2019,337.61,385.69526,,,,,10.33,946.38,66.76,
220000,吉林省,2018,297.923962,387.808039,,,,,18.429102,838.240802,63.323288,
220000,吉林省,2017,313.676151,420.93778,221.16,29.54,317.87,28.68,18.57994,800.334585,67.094822,642.85
220000,吉林省,2016,314.8335,610.7034,211.307,28.2156,349.6499,28.1611,19.7658,760.2623,82.4179,592.2834
220000,吉林省,2015,372,665.5,196.79,21.61,349.61,23.2,20.31,731.0,58.42,573.4
220000,吉林省,2014,448,663.93,208.23,8.79,382.09,22.48,22.28,771.73,72.45,626.67
220000,吉林省,2013,489,703.69,201.73,,387.95,27.19,23.91,778.6826,118.4837,606.1289
220000,吉林省,2012,524.030641,810.37204,195.253,,383.3585,31.8779,22.2258,684.4,65.72706,570.355091
220000,吉林省,2011,485,739.4,193.491833,,412.90241,39.9954,15.0,709.87,62.9,591.97
220000,吉林省,2010,411.2908,702.3,162.969438,,322.172377,36.8284,13.7,604.56,105.5,463.289268
220000,吉林省,2009,423.78,639.9,151.67,,320.88,38.2,11.62,541.83,56.28,458.61
220000,吉林省,2008,318.25,698.46,166.8,0.05,321.68,41.52,8.74,577.67,58.91,398.63
220000,吉林省,2007,364.73,623.93,153.95,,320.73,33.92,5.22,494.76,61.83,422.74
220000,吉林省,2006,285.52,680.35,159.74,,344.02,43.43,2.41,443.2,54.6,385.76
220000,吉林省,2005,269.91,550.57,164.72,,367.43,34.76,5.4,433.43,78.3,354.16
220000,吉林省,2004,224.64,481.11,155.48,0.05,332.73,27.26,3.44,386.19,56.35,329.15
220000,吉林省,2003,177.76,476.4,172.93,0.31,290.52,47.42,2.32,338.83,40.8,297.39
220000,吉林省,2002,153.79,477.01,160.43,0.22,226.89,73.21,2.41,295.65,44.57,250.37
220000,吉林省,2001,149.07,388.83,160.44,1.23,199.92,75.35,2.05,329.57,58.13,270.83
220000,吉林省,2000,153.88,348.46,159.45,1.28,178.81,95.59,2.05,313.5,47.84,265.48
230000,黑龙江省,2019,1075.89,3110.0208,,,,,45.66,1111.91,27.71,
230000,黑龙江省,2018,875.803799,3224.2079,,,,,43.541233,1029.206233,26.203785,
230000,黑龙江省,2017,761.254506,3420.2601,519.24,87.75,425.86,17.73,40.54139,917.280789,18.62135,805.77
230000,黑龙江省,2016,674.5221,3656.0317,501.9212,82.1435,482.2806,26.6775,38.0428,900.4116,16.8747,803.48
230000,黑龙江省,2015,687,3838.6,480.42,68.46,534.42,44.27,35.82,874.0,16.86,771.09
230000,黑龙江省,2014,803,4000.04,429.52,73.98,530.46,53.7,35.39,881.3,19.86,782.35
230000,黑龙江省,2013,821,4000.98,480.71,63.97,584.5,42.73,34.99,839.3025,30.5234,732.6623
230000,黑龙江省,2012,957.211024,4001.5001,463.5171,42.2663,572.9667,46.5093,33.6817,843.1,13.3392,763.495169
230000,黑龙江省,2011,1011,4006.0,481.6792,34.7205,609.12,40.3875,31.0,834.55,17.02,771.57
230000,黑龙江省,2010,957.02,4004.9,462.8997,31.4987,615.4605,55.3784,30.0,777.43,22.53,720.35
230000,黑龙江省,2009,968.01,4000.7,430.53,28.46,589.15,47.37,30.04,722.95,17.09,685.91
230000,黑龙江省,2008,784.27,4020.47,390.84,24.96,547.3,51.28,27.1,732.96,17.56,696.62
230000,黑龙江省,2007,683.1,4169.83,402.71,23.54,583.59,48.44,25.5,685.21,10.41,670.32
230000,黑龙江省,2006,562.63,4340.51,387.44,20.57,577.03,44.12,24.65,646.59,14.74,629.64
230000,黑龙江省,2005,474.4,4516.01,384.85,19.28,627.52,44.69,24.43,596.02,14.7,581.13
230000,黑龙江省,2004,414.84,4666.49,405.27,20.53,616.8,76.88,20.34,501.83,13.96,484.98
230000,黑龙江省,2003,298.96,4840.12,395.43,22.07,596.76,63.97,20.96,493.78,11.72,483.12
230000,黑龙江省,2002,192.64,5029.35,391.27,22.61,593.85,70.88,20.22,459.28,15.09,444.19
230000,黑龙江省,2001,148.56,5161.13,378.34,24.05,609.19,100.65,22.03,438.37,12.76,425.41
230000,黑龙江省,2000,128.64,5306.73,347.46,23.27,532.61,120.56,23.04,426.73,13.19,413.54
310000,上海市,2019,549.28,39.101705,,,,,12.47,822.13,,
310000,上海市,2018,544.9128,6.474191,,,,,14.543595,839.699228,,
310000,上海市,2017,556.9172,6.832555,570.01,292.8,707.14,12.99,1.71157,859.250651,,841.99
310000,上海市,2016,542.85,6.5302,536.1249,292.3928,708.7895,21.701,2.0176,807.2894,,800.1357
310000,上海市,2015,534,6.8,537.31,292.93,761.0,27.82,1.88,793.0,,785.18
310000,上海市,2014,489,5.74,471.59,244.61,685.12,42.94,2.12,792.3,,787.17
310000,上海市,2013,540,7.94,499.24,222.69,859.25,40.79,2.35,958.77,,951.51
310000,上海市,2012,632.6006,5.269833,305.0347,165.0883,822.1429,17.2572,2.891623,886.2,,882.449287
310000,上海市,2011,640.6234,8.1,274.371,150.1168,798.8512,29.3306,3.0,949.24,,945.975978
310000,上海市,2010,630.7463,8.3,259.672,149.3019,773.6076,29.5719,3.3,876.19,,864.79
310000,上海市,2009,660.79,9.1,260.04,149.71,682.63,15.15,4.03,778.2,,767.77
310000,上海市,2008,705.8,14.6,244.88,136.98,747.98,51.5,4.29,773.62,,765.25
310000,上海市,2007,749.89,20.69,211.1,121.19,603.47,109.65,5.07,739.14,,736.25
310000,上海市,2006,735.57,21.48,248.16,112.27,639.32,112.99,5.64,720.74,,720.33
310000,上海市,2005,762.16,25.27,263.45,144.25,717.86,119.67,6.04,733.97,,728.74
310000,上海市,2004,746.58,31.86,290.56,137.05,637.89,118.63,5.73,705.02,,703.77
310000,上海市,2003,741.65,38.02,297.94,105.06,571.35,94.75,4.97,687.63,,687.51
310000,上海市,2002,692.79,47.32,268.01,65.62,452.46,80.2,4.33,608.92,,608.92
310000,上海市,2001,739.79,58.93,240.38,53.12,448.19,112.5,3.3,574.88,,572.86
310000,上海市,2000,776.39,52.73,263.69,48.38,401.3,139.03,2.6,553.09,,553.09
320000,江苏省,2019,1611.02,151.4385,,,,,12.19,5166.43,30.76,
320000,江苏省,2018,1472.706187,151.3609,,,,,9.9669,5085.083316,33.223365,
320000,江苏省,2017,2060.193294,156.1076,678.17,390.89,844.97,320.7,2.944909,4914.739399,29.022476,4529.84
320000,江苏省,2016,2527.4551,166.0169,698.6476,434.3505,761.1352,365.0139,1.3315,4709.3712,17.3508,4403.0231
320000,江苏省,2015,2433,190.5,657.52,410.6,718.67,300.12,0.37,4361.0,11.69,4053.3
320000,江苏省,2014,2396,206.01,564.26,290.39,687.31,317.74,0.52,4347.57,11.28,4049.84
320000,江苏省,2013,2253,201.46,451.95,244.84,759.08,281.16,0.51,4320.681,11.0948,4099.2448
320000,江苏省,2012,2048.369584,194.5298,344.3949,231.6282,678.7284,283.968229,0.5703,3928.4,11.128941,3669.736519
320000,江苏省,2011,1855,189.0,298.4793,201.2871,746.7863,232.355047,0.5,3762.5,2.02,3562.63
320000,江苏省,2010,1393.58,186.0,286.5026,165.5742,808.3164,187.605938,0.6,3359.18,2.98,3166.32302
320000,江苏省,2009,1212.84,184.03,318.24,156.87,751.1,154.89,0.57,2928.41,2.23,2762.15
320000,江苏省,2008,1085.51,184.01,232.18,108.93,738.33,283.71,0.58,2815.03,6.65,2631.34
320000,江苏省,2007,1073.05,195.72,223.65,141.03,696.3,290.59,0.58,2674.6,2.95,2577.39
320000,江苏省,2006,954.3,188.49,200.58,99.45,702.33,181.38,0.61,2535.52,3.05,2512.58
320000,江苏省,2005,575.63,164.7,233.25,99.41,725.87,159.43,0.64,2120.0,2.66,2114.03
320000,江苏省,2004,490.54,168.94,219.0,69.18,544.96,217.44,0.53,1554.89,3.0,1550.78
320000,江苏省,2003,410.97,166.35,215.18,59.16,433.99,156.43,0.33,1336.77,4.0,1332.77
320000,江苏省,2002,358.44,162.97,184.94,66.94,369.26,113.84,0.23,1116.56,1.03,1115.53
320000,江苏省,2001,243.31,157.02,172.03,55.1,383.83,74.47,0.23,987.47,0.2,986.49
320000,江苏省,2000,237.15,155.02,171.53,67.21,408.69,136.29,0.24,909.7,0.13,909.57
330000,浙江省,2019,208.88,,,,,,0.01,3537.65,256.58,
330000,浙江省,2018,203.022623,,,,,,,3438.440316,180.039109,
330000,浙江省,2017,228.549652,,352.08,246.55,671.51,139.63,6.1387,3312.3261,198.730566,2554.51
330000,浙江省,2016,227.5142,,307.6937,213.3056,630.5042,108.7393,,3197.6564,274.4102,2374.0123
330000,浙江省,2015,294,,333.27,226.26,685.23,110.5,,3011.0,229.06,2222.25
330000,浙江省,2014,297,,308.46,218.77,713.93,98.85,,2885.29,176.24,2314.72
330000,浙江省,2013,296,,285.1,208.97,769.07,104.12,,2941.7994,173.2783,2412.7975
330000,浙江省,2012,294.802666,,284.2439,156.2266,801.755151,115.546,,2710.0,121.971003,2214.771464
330000,浙江省,2011,292,,315.2,162.8883,870.8982,157.823,,2777.4,161.72,2323.1
330000,浙江省,2010,282.25,,305.055,154.5575,832.5686,134.659545,,2568.36,230.85,2075.47
330000,浙江省,2009,229.69,,321.32,146.08,825.89,113.32,,2246.28,152.67,1840.32
330000,浙江省,2008,166.21,,288.75,129.41,862.33,174.37,0.31,1905.09,143.49,1519.53
330000,浙江省,2007,52.53,,259.64,153.78,758.73,208.57,,1915.15,118.15,1570.01
330000,浙江省,2006,52.29,,254.94,127.29,749.5,192.42,,1766.36,139.76,1403.49
330000,浙江省,2005,55.2,,288.69,130.97,728.09,109.76,0.03,1456.42,135.11,1094.64
330000,浙江省,2004,57.79,,292.47,130.69,688.46,160.89,,1231.9,95.38,915.34
330000,浙江省,2003,58.81,,245.05,110.31,549.69,75.41,,1101.74,125.0,827.5
330000,浙江省,2002,60.55,,198.94,100.4,488.88,57.62,0.05,778.2,95.29,630.12
330000,浙江省,2001,59.38,,174.52,85.35,437.89,74.99,0.05,734.94,86.4,614.29
330000,浙江省,2000,60.13,,178.98,107.28,387.4,123.4,0.04,624.83,65.23,539.18
340000,安徽省,2019,1167.17,,,,,,2.12,2886.67,51.09,
340000,安徽省,2018,1109.33832,,,,,,2.253,2734.490327,53.838492,
340000,安徽省,2017,1057.5622,,243.43,34.83,251.88,0.53,2.6009,2456.27901,52.973236,2318.32
340000,安徽省,2016,972.6367,,176.3822,12.9829,197.4658,1.2319,3.3828,2252.694,63.1669,2134.6866
340000,安徽省,2015,958,,216.55,0.44,280.04,1.81,,2062.0,48.67,1959.0
340000,安徽省,2014,930,,230.85,,303.32,4.6,,2033.91,41.51,1956.08
340000,安徽省,2013,904,,126.88,,225.14,4.6,,1970.0398,34.1498,1928.35
340000,安徽省,2012,898.93683,,83.047,,180.0107,6.0213,,1767.5,19.621537,1649.476031
340000,安徽省,2011,868.73977,,96.3166,,208.2157,7.8852,,1635.35,17.9,1609.86
340000,安徽省,2010,874.9,,96.971,,195.9655,12.4447,,1443.85,18.85,1420.18
340000,安徽省,2009,773.14,,97.49,,184.93,16.57,,1320.24,16.39,1300.24
340000,安徽省,2008,765.11,,87.87,,177.95,13.64,,1124.83,28.14,1096.32
340000,安徽省,2007,684.15,,89.38,,188.2,13.41,,873.43,19.67,853.76
340000,安徽省,2006,509.42,,86.91,,193.75,8.07,,734.39,15.72,718.67
340000,安徽省,2005,488.37,,86.0,,177.36,8.3,,648.41,12.52,636.37
340000,安徽省,2004,438.15,,86.99,,181.39,10.69,,607.1,18.11,587.58
340000,安徽省,2003,367.31,,71.9,,146.31,2.19,,557.15,15.6,541.6
340000,安徽省,2002,351.03,,66.86,,134.89,7.44,,465.66,10.51,455.15
340000,安徽省,2001,349.29,,63.29,,129.15,5.67,,398.62,8.41,381.22
340000,安徽省,2000,330.16,,79.38,,151.85,10.68,,355.44,4.58,350.87
350000,福建省,2019,201.92,,,,,,,2577.96,442.35,
350000,福建省,2018,174.183043,,,,,,,2494.164022,374.591156,
350000,福建省,2017,157.681973,,368.65,332.32,388.11,29.79,,2200.665528,454.605921,1121.19
350000,福建省,2016,127.306,,394.1454,359.3423,422.4648,35.8092,,2007.4312,644.3915,900.1997
350000,福建省,2015,152,,391.3,274.82,506.29,68.75,,1901.0,466.07,1081.26
350000,福建省,2014,196,,324.3,118.4,559.96,53.48,,1873.41,415.08,1246.13
350000,福建省,2013,167,,149.38,79.34,283.36,21.75,,1777.1842,402.6758,1263.03
350000,福建省,2012,189.9126,,170.268519,103.201476,327.727728,4.320862,,1622.6,476.21,1118.29
350000,福建省,2011,150.4805,,137.102552,106.818503,253.170431,3.67199,,1580.45,285.2,1272.58
350000,福建省,2010,143.0462,,149.615,94.6915,388.0087,2.6,,1356.32,453.69,890.43
350000,福建省,2009,117.93,,122.38,32.28,273.5,31.02,,1170.71,275.92,882.3
350000,福建省,2008,99.88,,83.36,6.41,112.86,18.85,,1127.27,399.61,715.97
350000,福建省,2007,90.89,,98.55,5.55,135.51,22.75,,1038.28,311.59,723.63
350000,福建省,2006,91.12,,102.63,6.31,155.89,20.73,,904.25,346.82,555.8
350000,福建省,2005,90.94,,95.19,5.81,150.34,8.86,,778.25,291.0,486.88
350000,福建省,2004,68.69,,108.72,5.64,174.44,105.1,,674.64,184.84,489.52
350000,福建省,2003,49.09,,103.48,5.24,147.38,19.27,,610.7,188.99,421.46
350000,福建省,2002,45.77,,96.48,4.93,147.08,11.56,,533.08,224.35,308.5
350000,福建省,2001,45.04,,98.34,5.61,161.26,3.75,,501.24,287.75,211.7
350000,福建省,2000,44.89,,102.22,8.64,161.49,10.01,,403.73,195.22,208.45
360000,江西省,2019,660.78,,,,,,0.03,1375.9,167.74,
360000,江西省,2018,573.941357,,,,,,0.1976,1281.293112,120.921814,
360000,江西省,2017,593.597474,,208.39,57.47,288.26,0.24,0.21067,1128.81854,144.171228,939.42
360000,江西省,2016,749.1088,,219.3725,54.9504,307.3163,,0.2277,1085.3539,198.5341,856.9282
360000,江西省,2015,815,,193.79,34.17,211.92,0.2,0.35,982.0,178.31,780.47
360000,江西省,2014,868,,173.51,24.35,179.61,1.4,0.43,873.33,133.5,729.19
360000,江西省,2013,831,,178.22,21.93,204.78,5.38,,875.4079,128.9279,745.34
360000,江西省,2012,809.573669,,130.6065,3.2412,229.0081,4.2919,,664.7,48.244095,609.266788
360000,江西省,2011,875.84553,,100.6946,0.0,193.8819,7.7671,,729.92,79.82,648.685281
360000,江西省,2010,798.844668,,108.592,0.0,190.8459,20.8861,,664.45,117.85,545.36
360000,江西省,2009,626.06,,96.57,0.0,187.47,22.07,,532.91,85.07,447.42
360000,江西省,2008,526.08,,86.56,0.07,182.86,18.55,0.03,576.14,167.26,407.54
360000,江西省,2007,557.11,,81.33,1.29,166.86,15.76,,502.01,85.06,416.95
360000,江西省,2006,492.61,,86.85,1.57,179.04,20.0,,439.9,95.4,344.49
360000,江西省,2005,400.98,,86.1,4.67,132.53,39.53,,373.49,67.88,305.61
360000,江西省,2004,340.54,,83.19,5.34,137.25,58.95,,378.98,75.55,303.43
360000,江西省,2003,239.76,,78.46,5.08,116.62,52.1,,320.94,47.64,273.3
360000,江西省,2002,223.63,,73.99,4.08,112.82,42.25,,247.99,61.51,186.48
360000,江西省,2001,184.76,,71.38,2.21,111.01,53.78,,216.95,54.73,162.22
360000,江西省,2000,186.71,,82.51,4.44,127.09,54.27,,203.35,53.5,149.85
370000,山东省,2019,4920.9,2237.8202,,,,,5.1,5897.22,5.23,
370000,山东省,2018,4098.594797,2231.4418,,,,,4.7987,5825.608392,4.644043,
370000,山东省,2017,3934.088098,2234.9068,3145.3,289.02,5083.25,1245.07,4.147362,5162.737179,6.264475,4913.85
