年份,国有农场农场数,国有农场职工人数,国有农场耕地面积,国有农场农用机械总动力,国有农场大中型农用拖拉机数,国有农场小型及手扶拖拉机数,国有农场农用排灌动力机械数,国有农场联合收割机数,国有农场农用载重汽车数,国有农场农用化肥施用量(折纯量)数,按当年价格计算国有农场农业总产值,国有农场农作物播种面积,国有农场粮食作物播种面积,国有农场棉花播种面积,国有农场油料播种面积,国有农场糖料播种面积,国有农场麻类播种面积,国有农场茶园年末实有面积,国有农场桑园年末实有面积,国有农场果园年末实有面积,国有农场橡胶园年末实有面积,国有农场粮食总产量,国有农场棉花总产量,国有农场油料总产量,国有农场糖料总产量,国有农场麻类总产量,国有农场茶叶产量,国有农场水果产量,国有农场干胶产量,国有农场大牲畜年末数,国有农场猪年末数,国有农场羊年末数,国有农场绵羊年末数,国有农场猪牛羊肉产量,国有农场猪肉产量,国有农场牛奶产量,国有农场禽蛋产量,国有农场羊毛产量,国有农场水产品产量
2009,1818,339.7,5598.3,197.1,13.19,32.36,24.7,3.2,7.35,210.8,1906.6,6073.3,4384.3,656.16,371.06,101.92,7.89,31.3,1.87,322.56,465.2,2773.15,141.2208,81.1445,758.2235,3.6048,4.7,307.77,31.7,317.16,1053.39,1268.87,949.4355,172.61,136.9,344.65,31.34,25202,107.72
2008,1893,334.45,5498.9,180.0,11.72,31.5,22.0,2.9,7.35,204.6,1667.65,5831.0,3948.8,756.0,409.6,117.62,31.0,31.5,1.86,296.7,471.8,2421.5,163.5659,78.4293,846.0304,11.7024,4.97,250.63,28.2,306.9,968.7,1452.3,1026.3,157.1,120.6,320.8,25.6,25056,97.1
2007,1885,330.1,5308.11,168.2,10.36,30.11,21.66,2.59,6.9307,194.23,1452.32,5633.38,3725.45,803.8,338.89,121.18,39.5,31.8,2.0,270.6,465.8,2162.34,157.556761,60.441866,864.34428,13.7611,5.1,239.6,33.5,300.0,878.2,1345.7,983.8,145.1,109.3,291.2,24.0,29243,95.0
2006,1896,329.3,5187.02,153.9,9.03,28.6,20.4,2.3,6.1775,173.1,1252.7,5509.0,3677.3,674.0,361.7,116.53,41.1,30.9,1.9,263.6,446.1,2055.55,141.7,64.6,820.8541,21.9907,4.8,209.6,32.4,319.4,786.9,1625.0,1263.0,140.0,103.0,272.0,23.0,32158,87.0
2005,1923,335.9,5038.1,146.3,8.0,27.0,19.2,2.0,5.7299,159.6,1118.6,5145.0,3375.8,649.4,371.2,100.5,53.6,30.3,1.6,241.3,424.2,1858.9931,124.6856,66.9441,667.518,24.4871,4.6,178.7932,31.9851,305.0,722.8,1592.0,1221.0,121.0,88.0,246.0,22.0,29000,76.0
2004,1928,339.6,4820.06,136.397,7.38,26.35,18.56,1.9,5.4954,152.19,977.9,5019.0,3199.0,666.4,394.6,101.7,70.0,30.6,2.1,231.3,412.4,1666.2,116.2787,65.2104,688.7232,26.6825,3.9,163.1,39.0,281.9,652.3,1576.0,1155.0,102.0,74.0,210.0,21.0,27356,71.0
2003,1967,353.7,4690.1,129.9,7.0,24.5,17.7,1.8,5.0,143.9,846.3,4674.7,2831.1,627.6,446.9,115.1,67.0,29.6,2.6,224.4,404.3,1342.6,103.4,71.9,721.7,19.4,3.8,146.4,39.5,260.2,588.3,1510.0,432.0,88.0,64.0,177.0,21.0,24000,66.0
2002,1945,355.69,4740.66,124.4,7.2,23.2,16.86,1.63,4.6,134.24,726.38,4792.6,3073.7,571.6,405.4,148.9,44.1,31.228,2.3,230.0,385.3,1498.9,99.0,67.3,913.3447,18.0449,4.7,147.8,37.8,232.6,569.8,1240.0,946.0,79.0,59.0,159.0,20.0,21428,63.0
2001,1961,366.0,4814.6,120.1,6.7302,21.6,15.7,1.5,1.3,133.7,652.8,4750.4,3096.0,605.4,354.6,138.4,37.6,32.7,3.9,210.9,383.6,1480.2,84.9,52.8,824.9,12.0,3.9,127.6,34.7,217.4,500.0,1120.0,890.0,72.0,54.0,134.0,20.0,21031,55.0
2000,2026,391.9,4801.0,115.9,6.6562,21.4,13.9,1.5,1.2524,131.7,644.0,4755.8,3163.9,527.3,461.2,103.6,9.4,34.1,3.9,193.6,382.3,1465.2,83.2,71.2,589.5,3.0,3.9,118.6,34.7,214.6,478.1,1105.0,888.0,68.0,51.0,117.0,20.0,20866,49.0
