年份,农作物总播种面积,粮食作物播种面积,夏收粮食播种面积,秋收粮食播种面积,谷物播种面积,稻谷播种面积,早稻播种面积,中稻和一季晚稻播种面积,双季晚稻播种面积,小麦播种面积,冬小麦播种面积,春小麦播种面积,玉米播种面积,谷子播种面积,高粱播种面积,其他谷物播种面积,大麦播种面积,豆类播种面积,大豆播种面积,绿豆播种面积,红小豆播种面积,薯类播种面积,马铃薯播种面积,油料播种面积,花生播种面积,油菜籽播种面积,芝麻播种面积,葵花籽播种面积,胡麻籽播种面积,棉花播种面积,麻类播种面积,黄红麻播种面积,亚麻播种面积,大麻播种面积,苎麻播种面积,糖料播种面积,甘蔗播种面积,甜菜播种面积,烟叶播种面积,烤烟播种面积,蔬菜播种面积,药材播种面积,其他农作物播种面积,青饲料播种面积
2009,157242.446873329,110255.092058881,26869.8394229874,77578.4764029832,90382.8741473979,29793.0123798562,5806.77623291076,17742.2571458732,6243.97900107223,24425.24687313,22539.6199812856,1885.62689184438,32948.3443095868,795.910860287553,488.100857360806,1932.25886717659,622.549472057205,11784.6548121763,9338.63225782431,658.116321317338,153.354102683064,8087.56309930716,4845.19766968875,13444.6030657821,4281.4036521178,7170.32477536913,413.28676189262,964.864095861068,312.466543543859,4484.7029747357,114.602101633425,17.7509055006506,17.0336034178884,5.49970071891857,71.317322918634,1804.49117200286,1643.01070868254,161.480463320321,1328.62018411113,1222.5350239507,17817.612387018,1210.0645431937,4634.58423724279,1676.05508468343
2008,155565.52888453,107544.505606933,26465.0303826362,75432.5863579064,87499.4099180136,29350.2554266074,5646.88886639032,17565.098483899,6138.26807631808,23703.6117686061,22140.7696457273,1562.84212287884,30980.681315758,834.217763248941,517.262727424553,2113.3809163686,759.816754753774,11987.6527743996,9225.39445531479,741.276713246706,178.445880298278,8057.44291451971,4518.08889817995,13232.4954728256,4362.0809322552,6838.2434950172,427.625770756304,963.506042190643,319.95674298203,5278.08094783881,176.476171913716,24.2762789412164,54.2278214099729,11.524309229443,84.9219684166069,1926.2024837655,1708.62572553757,217.576758227936,1301.52715325494,1218.88571323189,17859.3190995926,1234.96048296167,4869.93453053635,1766.39890128134
2007,153010.067104621,105998.623678019,26427.5783205828,73848.7259972103,86388.180160099,28972.751534713,5722.31936022612,17104.715734515,6145.7164399719,23761.6196491859,22142.756382431,1618.86326675485,30023.7150732428,835.319992244036,522.730419563835,2272.04349114936,791.579887561346,11708.297258095,8800.84532985779,742.345750165666,192.041680584755,7902.14625982535,4360.7684271313,12343.6768760894,4128.08405800794,6139.68546917583,450.002906688437,814.507825372524,300.754087023616,5198.69208643689,218.849221778839,31.7933547399924,62.0261801297659,16.8152545862458,102.962905443068,1756.3037523918,1531.12510042576,225.178651966045,1179.80193603318,1094.30850544929,17556.5542690919,1158.65823285941,5439.36298089236,2127.70785081221
2006,152149.497772514,104957.695802612,26846.5248867679,72223.2884285011,84931.1105302739,28937.8928787274,5887.88248734285,16840.0297073572,6209.98068402739,23613.39578,21974.030722859,1639.36505714097,28462.9797288503,857.752035562412,732.778402701856,2326.31172347673,831.742942091072,12149.4019064289,9304.4154525235,547.02599178188,220.986246581147,7877.1833291757,4211.32666666667,11738.4222116563,3955.78412666667,5983.76326,564.115,781.283206666667,368.091,5815.6728,283.081466666667,31.2131333333333,86.668,19.173,141.689,1566.95579333333,1378.1667,188.788093333333,1188.76349333333,1088.16263333333,16639.1441333333,831.207826666667,6882.60796666667,2897.5202
2005,155487.728866667,104278.380033333,26339.6533333333,71910.6866666667,81873.9133333333,28847.18,6028.04,16272.16,6546.98,22792.5733333333,21116.0833333333,1676.49,26358.3,849.14,569.72,2457.0,830.87,12901.48,9590.752,708.16,236.574,9502.9867,4879.83,14317.7392666667,4662.25146666667,7278.4496,593.314866666667,1020.42,397.654,5061.79866666667,334.749866666667,31.0188,157.671,10.858,131.977066666667,1564.38566666667,1354.35466666667,210.031,1362.88226666667,1244.87395951307,17720.7061333333,1213.2682,7426.07926666667,3376.48593333333
2004,153552.5454,101606.034333333,25175.6202,70483.8741333333,79350.3678666667,28378.8,5946.54,16067.98,6364.31,21625.9702,19952.1901333333,1673.78006666667,25445.6749333333,915.6094,567.3433,2416.97,785.39,12798.8548,9588.75166666667,698.913292020374,217.351410649819,9456.8117,4596.68,14430.7380666667,4745.09966666667,7271.378,623.997333333333,934.547066666667,413.721,5692.86513333333,332.102533333333,31.9655333333333,152.99,19.922,125.823,1568.073,1378.08,189.986,1265.627,1145.117,17560.4160232,1284.72106666667,7665.207,3349.1748
2003,152414.962333333,99410.3696666667,25734.54,68085.6196666667,76810.0963333333,26507.8333333333,5590.21,14881.0133333333,6036.61,21996.92,20566.47,1430.55,24068.16,1024.47354299339,722.331055038539,2490.35173530141,912.813797439333,12898.5,9312.91333333333,932.556666666667,225.896306946361,9701.74666666667,4522.26973770691,14990.0116666667,5056.8,7220.93633333333,687.189333333333,1173.071,448.713333333333,5110.525,337.378,40.523,155.266333333333,9.92366666666667,127.584,1657.42433333333,1409.417,248.007333333333,1264.41466666667,1139.39033333333,17953.7553333333,1248.15566666667,8089.04833333334,3547.975
2002,154635.5134,103890.826666667,27413.9533333333,70603.9666666667,81466.2733333333,28201.6,5872.72666666667,15764.19,6564.61666666667,23908.3066666667,22078.2566666667,1830.05,24633.71,1139.72,843.226666666667,2739.63,914.433333333333,12543.1,8719.55,970.548,272.33,9881.35333333333,4667.45333333333,14766.3,4920.6,7143.4,758.639,1130.87853333333,452.674,4184.2,337.786266666667,55.4357333333333,138.549,14.885,125.063533333333,1817.52953333333,1393.47473333333,424.053,1327.63006666667,1191.65453333333,17352.9305333333,963.911133333333,7639.766,3013.5204
2001,155707.861466667,106080.033333333,27927.76,71763.8533333333,82595.59,28812.3766666667,6388.42,15370.3566666667,7053.6,24663.76,24663.76,,24282.05,1147.95,782.61,2906.82,,13267.8,9481.7,,,10216.63,4718.79,14630.9187333333,4991.3,7094.6,757.7768,1015.76673333333,402.22,4809.8,323.085333333333,51.814,141.43,12.31,113.86,1654.23,1248.04,406.19,1339.62253333333,1180.55546666667,16402.4516666667,827.292666666667,7372.9042,2590.32066666667
2000,156299.846,108462.54,29588.2166666667,72054.5966666667,85264.23,29961.7166666667,6819.72666666667,15572.9133333333,7569.07666666667,26653.28,24060.54,2592.74,23056.1066666667,1250.05333333333,889.253333333333,3453.92,,12660.0466666667,9306.58,,,10538.2633333333,4723.17,15400.31,4855.479,7494.188,784.354,1229.025,497.941,4041.209,261.66,50.024,96.2,12.848,95.555,1514.155,1184.877,329.288,1437.245,1269.184,15237.267,675.643,7351.524,2141.767
