省份编码,省份,年份,建筑业企业从业人员(万人),内资建筑业企业从业人员(万人),国有建筑业企业从业人员(万人),集体建筑业企业从业人员(万人),港澳台商投资建筑业企业从业人员(万人),港澳台商独资建筑业企业从业人员(万人),外商投资建筑业企业从业人员(万人),外商独资建筑业企业从业人员(万人)
120000,天津市,2017,58.7055,58.5896,8.1826,1.1596,0.0426,0.0146,0.0733,0.0214
120000,天津市,2016,73.6372,73.4452,13.8055,2.3674,0.1121,0.0157,0.0799,0.019
120000,天津市,2015,78.6641,78.5413,7.5618,2.8464,0.0472,0.0157,0.0756,0.0279
120000,天津市,2014,33.3583,33.2112,3.7577,2.7702,0.0645,0.0162,0.0826,0.0135
120000,天津市,2013,33.155,33.0252,6.0873,2.9737,0.0767,0.0088,0.0531,
120000,天津市,2012,32.2448,32.1236,5.6845,2.3745,0.0709,0.0093,0.0503,
120000,天津市,2011,32.3141,32.1276,6.03,3.4107,0.0794,0.0137,0.1071,0.006
120000,天津市,2010,47.8378,47.3457,14.9938,3.4929,0.3631,0.0769,0.129,0.0066
120000,天津市,2009,41.6314,41.2148,10.5011,2.5639,0.3176,0.0736,0.099,0.0066
120000,天津市,2008,36.3276,36.0594,10.8452,2.4007,0.1548,0.0421,0.1134,0.0033
120000,天津市,2007,34.8462,34.5964,10.2797,1.7698,0.1263,0.0255,0.1235,0.0045
120000,天津市,2006,30.7336,30.4466,8.9959,2.3599,0.1157,0.0266,0.1713,0.01
120000,天津市,2005,26.6522,26.2523,8.7254,2.6757,0.1414,0.0239,0.2585,0.0068
120000,天津市,2004,38.27,37.79,9.27,4.27,,,,
120000,天津市,2003,23.9,23.709,7.4372,5.748,0.1446,,0.0421,
120000,天津市,2002,27.12,26.94,9.05,5.26,0.12,,0.06,
120000,天津市,2001,17.73,17.73,8.52,4.17,0.1209,,0.0144,
120000,天津市,2000,20.31,20.21,12.91,4.98,0.079,,0.02,
130000,河北省,2019,89.3987,89.3437,7.1695,1.945,0.051,,0.004,
130000,河北省,2018,124.2457,124.2002,7.7073,3.1948,0.0455,,,
130000,河北省,2017,139.4691,139.3767,8.3121,3.5164,0.0456,,0.0468,
130000,河北省,2016,130.8848,130.8269,7.7558,3.6175,0.0509,,0.007,
130000,河北省,2015,130.4524,130.399,8.7601,3.8782,0.0508,,0.0026,
130000,河北省,2014,114.1104,113.9758,7.2882,2.6413,0.0595,,0.0751,
130000,河北省,2013,118.7225,118.5677,10.1331,3.8376,0.0715,,0.0833,
130000,河北省,2012,134.5377,134.4342,10.8323,4.7282,0.069,,0.0345,
130000,河北省,2011,120.063,119.9813,11.9073,4.2616,0.0652,,0.0165,
130000,河北省,2010,128.4719,128.3627,13.3551,6.1119,0.0782,,0.031,
130000,河北省,2009,117.7896,117.665,13.4141,5.7482,0.1053,,0.0193,
130000,河北省,2008,115.5515,115.4158,13.8088,5.8848,0.1064,,0.0293,
130000,河北省,2007,107.03,106.9246,15.8979,8.1123,0.0953,,0.0101,
130000,河北省,2006,106.3305,106.2021,17.2691,9.2847,0.1193,,0.0091,
130000,河北省,2005,108.0939,108.021,18.6338,11.4536,0.0295,,0.0434,
130000,河北省,2004,113.7604,113.5947,18.3343,10.6045,,,,
130000,河北省,2003,98.93,98.8668,21.1856,16.0377,0.0186,0.003,0.0463,
130000,河北省,2002,99.71,99.59,22.63,21.11,0.04,0.01,0.09,
130000,河北省,2001,94.59,94.59,29.6,29.32,0.0889,0.0064,0.0578,
130000,河北省,2000,87.6,87.39,32.62,36.14,0.0795,0.01,0.12,
140000,山西省,2019,80.865,80.8476,8.0802,1.2961,0.0124,,0.005,
140000,山西省,2018,78.1172,78.0663,8.1418,1.4039,0.0068,,0.0441,
140000,山西省,2017,78.716,78.5119,9.5765,1.6485,0.0362,,0.1679,0.0054
140000,山西省,2016,75.4344,75.2253,10.1492,1.8613,0.0438,,0.1653,
140000,山西省,2015,76.4479,76.1946,10.9356,2.2422,0.0637,,0.1896,
140000,山西省,2014,61.8397,61.4442,8.8195,2.3209,0.3279,,0.0676,
140000,山西省,2013,67.0873,66.5542,14.2173,2.6872,0.3087,,0.2244,0.0619
140000,山西省,2012,66.2735,65.8093,14.888,2.7189,0.1871,,0.2771,0.0643
140000,山西省,2011,62.4513,62.1217,12.9151,2.6682,0.0837,,0.2459,0.0827
140000,山西省,2010,75.159,74.8002,13.9921,3.5685,0.1973,,0.1615,
140000,山西省,2009,68.77,68.4387,13.4986,3.6359,0.1597,,0.1716,
140000,山西省,2008,62.0259,61.5917,16.0343,3.7235,0.2428,,0.1914,
140000,山西省,2007,59.34,59.0475,15.5393,4.5948,0.1089,,0.1836,
140000,山西省,2006,55.575,55.4133,16.5301,4.809,0.1031,,0.0586,
140000,山西省,2005,55.4568,55.2647,17.0535,4.8736,0.104,,0.0881,
140000,山西省,2004,,,,,,,,
140000,山西省,2003,59.13,58.7933,19.2435,9.8992,0.2658,,0.0685,
140000,山西省,2002,49.65,49.49,20.29,7.51,0.12,0.05,0.03,
140000,山西省,2001,35.56,35.56,18.6,6.92,0.0889,0.0612,,
140000,山西省,2000,37.33,37.29,23.97,9.66,0.0438,0.01,,
150000,内蒙古自治区,2019,20.5213,20.5213,1.8499,0.2073,,,,
150000,内蒙古自治区,2018,25.3053,25.3053,1.357,0.2902,,,,
150000,内蒙古自治区,2017,27.6974,27.6974,1.8779,0.3379,,,,
150000,内蒙古自治区,2016,29.7038,29.7038,1.8814,0.4773,,,,
150000,内蒙古自治区,2015,29.5126,29.5126,1.5815,0.4351,,,,
150000,内蒙古自治区,2014,33.4219,33.4219,1.4927,0.3641,,,,
150000,内蒙古自治区,2013,38.776,38.776,2.0218,0.6626,,,,
150000,内蒙古自治区,2012,36.6618,36.6618,2.2215,0.4786,,,,
150000,内蒙古自治区,2011,40.8471,40.8391,1.9348,0.4864,,,0.008,
150000,内蒙古自治区,2010,43.5636,43.5636,2.4355,0.6344,,,,
150000,内蒙古自治区,2009,49.7227,49.6956,5.3755,0.7324,,,0.0271,
150000,内蒙古自治区,2008,42.6281,42.601,5.3092,0.6544,,,0.0271,
150000,内蒙古自治区,2007,38.5223,38.5117,3.8737,0.2193,,,0.0106,
150000,内蒙古自治区,2006,29.4831,29.4725,2.9213,0.2053,,,0.0106,
150000,内蒙古自治区,2005,26.3065,26.3015,1.5613,0.3193,,,0.005,
150000,内蒙古自治区,2004,27.53,,1.69,0.15,,,,
150000,内蒙古自治区,2003,26.6,26.5528,2.0991,0.6468,0.0255,0.0007,0.017,
150000,内蒙古自治区,2002,27.61,27.56,5.0,1.87,0.04,,0.01,
150000,内蒙古自治区,2001,25.65,25.65,6.88,3.31,0.0449,0.026,,
150000,内蒙古自治区,2000,25.71,25.63,7.87,5.2,0.0522,0.03,0.03,
210000,辽宁省,2019,66.5639,66.0167,6.9487,3.8061,0.4473,0.4022,0.0999,0.003
210000,辽宁省,2018,73.8606,73.0991,6.7584,4.7127,0.5447,0.4609,0.2168,0.0674
210000,辽宁省,2017,104.3125,103.4025,9.3931,6.4575,0.6193,0.4963,0.2907,0.0686
210000,辽宁省,2016,126.1368,124.6846,10.1505,7.7748,1.1196,0.872,0.3326,0.0763
210000,辽宁省,2015,148.2641,144.3206,13.8807,8.9609,3.2228,2.9236,0.7207,0.1956
210000,辽宁省,2014,170.551,169.3671,16.744,10.2133,0.3726,0.0285,0.8113,0.3041
210000,辽宁省,2013,196.592,195.4634,16.6405,15.2749,0.301,0.0042,0.8276,0.0995
210000,辽宁省,2012,199.4018,198.0486,18.098,14.9224,0.4738,0.002,0.8794,0.2068
210000,辽宁省,2011,170.5236,167.0733,20.6922,12.9049,1.625,1.3054,1.8253,0.114
210000,辽宁省,2010,165.0655,163.035,20.8941,15.2946,0.3286,0.0255,1.7019,0.1159
210000,辽宁省,2009,132.3514,130.4075,18.0726,13.7874,0.4611,0.0202,1.4828,0.4116
210000,辽宁省,2008,108.8164,107.1237,19.093,12.2241,0.4141,0.0009,1.2786,0.3955
210000,辽宁省,2007,98.1265,95.8689,17.2648,11.3522,0.4115,0.0029,1.8461,0.0577
210000,辽宁省,2006,98.7308,96.7368,18.4497,14.0667,0.8038,0.007,1.1902,0.0586
210000,辽宁省,2005,90.9106,89.1127,20.6716,14.9632,0.3605,0.0075,1.4374,0.0376
210000,辽宁省,2004,100.35,,19.85,15.58,,,,
210000,辽宁省,2003,96.68,95.0451,23.4442,22.1808,0.3369,,1.297,0.0045
210000,辽宁省,2002,95.07,94.01,27.84,26.18,0.58,,0.49,0.02
210000,辽宁省,2001,96.81,96.81,33.05,31.17,0.8264,,0.3931,
210000,辽宁省,2000,95.26,94.33,37.77,40.05,0.4239,,0.51,0.01
220000,吉林省,2019,38.2156,38.1807,2.1754,0.3996,0.0349,0.0064,,
220000,吉林省,2018,40.6635,40.5459,1.6948,0.4619,0.1152,0.0072,0.0024,0.0024
220000,吉林省,2017,47.3754,47.229,2.3568,0.6148,0.1433,0.0042,0.0031,
220000,吉林省,2016,57.0236,56.8326,2.7541,0.6681,0.1879,,0.0031,
220000,吉林省,2015,62.9728,62.1935,3.4659,0.8006,0.7688,,0.0105,
220000,吉林省,2014,46.1069,45.5627,2.8978,1.0259,0.5378,,0.0064,
220000,吉林省,2013,45.4847,44.9557,4.3478,1.387,0.529,,,
220000,吉林省,2012,53.1343,52.3016,4.1523,0.9978,0.8327,,,
220000,吉林省,2011,33.9865,33.9067,4.2355,1.6016,0.0798,,,
220000,吉林省,2010,40.9904,40.9337,4.1974,0.6222,0.0567,,,
220000,吉林省,2009,37.9431,37.9009,4.0062,1.0348,0.0352,,0.007,
220000,吉林省,2008,38.3781,38.3172,5.2266,1.3916,0.0509,,0.01,
220000,吉林省,2007,31.5903,31.2045,7.1656,2.239,0.1183,,0.2675,
220000,吉林省,2006,30.1095,29.9101,6.6003,2.5495,0.0887,,0.1107,
220000,吉林省,2005,38.5761,38.1745,14.0737,3.0729,0.0883,,0.3133,
220000,吉林省,2004,,,,,,,,
220000,吉林省,2003,30.38,30.2474,12.6955,4.4544,0.075,0.0015,0.0613,0.002
220000,吉林省,2002,31.84,31.62,13.54,4.94,0.11,0.01,0.11,
220000,吉林省,2001,31.05,31.05,14.27,8.65,0.0246,,0.1813,
220000,吉林省,2000,28.96,28.95,18.01,6.28,,,,
230000,黑龙江省,2019,27.0596,27.0281,5.4696,0.7342,0.0015,,0.03,
230000,黑龙江省,2018,29.9354,29.8831,5.1942,1.6483,0.005,,0.0473,
230000,黑龙江省,2017,35.7783,35.7171,7.4599,2.4422,0.0315,,0.0297,
230000,黑龙江省,2016,37.357,37.3179,8.5799,2.0637,0.0065,,0.0326,
230000,黑龙江省,2015,46.887,46.8558,8.899,2.7245,0.003,,0.0282,
230000,黑龙江省,2014,36.2919,36.25,8.8629,2.6513,0.0035,,0.0384,0.016
230000,黑龙江省,2013,52.5468,52.5138,10.8102,4.6832,0.0019,,0.0311,0.0101
230000,黑龙江省,2012,49.2429,49.1952,11.2223,3.6216,0.0039,,0.0438,0.013
230000,黑龙江省,2011,49.0761,49.0402,16.2236,3.4891,0.0044,,0.0315,0.012
230000,黑龙江省,2010,56.1857,56.1627,15.7261,4.1797,0.0044,,0.0186,0.016
230000,黑龙江省,2009,67.4884,67.3567,28.1856,3.6629,0.1171,,0.0146,0.012
230000,黑龙江省,2008,47.9114,47.7754,16.9346,4.2901,0.1161,,0.0199,0.012
230000,黑龙江省,2007,47.1335,46.9535,14.9719,3.9004,0.1127,,0.0673,
230000,黑龙江省,2006,43.2016,43.0477,12.6846,4.0807,0.1464,,0.0075,
230000,黑龙江省,2005,43.0971,42.8138,10.1774,4.4202,0.006,,0.2773,
230000,黑龙江省,2004,48.0,47.62,10.79,4.36,,,,
230000,黑龙江省,2003,44.15,43.9999,11.5644,5.9646,0.006,0.0056,0.1459,
230000,黑龙江省,2002,44.95,44.85,13.46,7.29,0.07,0.01,0.03,
230000,黑龙江省,2001,48.42,48.42,19.84,10.92,0.1626,0.0093,0.0379,
230000,黑龙江省,2000,45.41,45.13,22.74,12.86,0.2497,0.01,0.03,
310000,上海市,2019,86.098,84.3072,22.2515,0.9846,0.8625,0.2983,0.9283,0.3762
310000,上海市,2018,85.3592,83.307,20.197,0.9652,0.8673,0.3559,1.1849,0.6919
310000,上海市,2017,92.036,89.6876,6.5522,1.2111,0.9657,0.3669,1.3827,0.8191
310000,上海市,2016,104.0183,101.4215,6.0999,1.2888,1.2609,0.3358,1.3359,0.6555
310000,上海市,2015,110.7791,107.9851,8.286,1.4007,1.444,0.4208,1.35,0.7925
310000,上海市,2014,76.527,74.7099,5.0856,1.0049,0.9554,0.3051,0.8617,0.2885
310000,上海市,2013,81.5356,79.1696,6.3438,1.6464,1.0476,0.2942,1.3184,0.7707
310000,上海市,2012,87.7288,85.0732,6.4778,1.5801,1.0827,0.2746,1.5729,1.0231
310000,上海市,2011,89.9009,87.1408,5.951,2.3958,1.1142,0.2498,1.6459,1.1511
310000,上海市,2010,95.7291,93.6218,6.8109,2.824,1.0695,0.2687,1.0378,0.3372
310000,上海市,2009,88.5413,86.8339,7.8099,2.4852,0.9384,0.2217,0.769,0.3059
310000,上海市,2008,80.4667,78.3731,6.7253,3.2532,1.2497,0.315,0.8439,0.3252
310000,上海市,2007,68.9692,66.9757,6.175,3.0931,1.0694,0.3408,0.9241,0.3176
310000,上海市,2006,73.0735,71.5905,11.7125,4.459,0.8171,0.1088,0.6659,0.2178
310000,上海市,2005,71.9586,70.2685,13.1879,4.1022,0.944,0.029,0.7461,0.1678
310000,上海市,2004,74.26,72.57,12.61,4.09,,,,
310000,上海市,2003,50.52,49.0656,9.1228,5.6786,0.8911,0.0005,0.5618,
310000,上海市,2002,41.97,40.67,8.91,5.87,0.7,0.02,0.6,
310000,上海市,2001,33.91,33.91,9.4,6.93,0.5736,0.012,0.4093,0.0182
310000,上海市,2000,35.1,34.1,10.65,7.16,0.5692,0.03,0.43,0.01
320000,江苏省,2019,800.9709,799.6757,21.722,2.7595,0.6454,0.3701,0.6498,0.291
320000,江苏省,2018,811.0275,809.1341,17.3103,3.1177,0.9025,0.4133,0.9909,0.47
320000,江苏省,2017,772.9042,771.0171,15.0164,4.3557,1.084,0.2741,0.8031,0.3984
320000,江苏省,2016,763.7458,760.6873,13.7581,5.0116,1.133,0.2163,1.9255,0.4021
320000,江苏省,2015,752.484,750.318,12.776,5.7095,1.1006,0.1194,1.0654,0.4422
320000,江苏省,2014,787.233,785.0497,14.6311,6.5642,1.2685,0.1349,0.9148,0.5165
320000,江苏省,2013,763.4753,761.2241,18.6556,16.5556,1.3577,0.2161,0.8935,0.484
320000,江苏省,2012,739.3438,736.8846,17.925,17.1452,1.352,0.1391,1.1072,0.5089
320000,江苏省,2011,619.4548,617.1342,17.7465,16.1179,1.2677,0.1942,1.0529,0.4608
320000,江苏省,2010,591.4998,589.0742,20.3103,21.8853,0.8448,0.2696,1.5808,0.9374
320000,江苏省,2009,518.7841,515.0037,19.4345,23.265,2.1021,1.1164,1.6783,0.4483
320000,江苏省,2008,479.3647,476.2629,16.8232,32.2698,1.3659,0.2498,1.7359,0.6347
320000,江苏省,2007,446.1936,443.5663,17.9143,43.3947,0.9325,0.3048,1.6948,0.4251
320000,江苏省,2006,378.2248,375.7109,19.5057,37.9911,0.8498,0.1477,1.6641,0.7035
320000,江苏省,2005,339.7347,336.9062,24.6705,33.9668,1.1237,0.3151,1.7048,0.3679
320000,江苏省,2004,305.64,,30.06,25.57,,,,
320000,江苏省,2003,272.7,271.2028,30.0169,53.1438,0.8382,,0.6596,0.0115
320000,江苏省,2002,248.42,246.8,42.19,65.49,0.97,0.04,0.64,
320000,江苏省,2001,226.49,226.49,39.15,84.15,0.9336,,0.7732,
320000,江苏省,2000,227.46,225.82,41.28,118.21,0.877,,0.77,
330000,浙江省,2019,602.2662,597.2691,4.749,4.241,3.1818,0.8287,1.8153,0.0137
330000,浙江省,2018,794.9311,788.8394,5.9968,9.8666,3.7326,1.0943,2.3591,0.005
330000,浙江省,2017,792.8855,788.4984,5.1053,9.6942,2.5131,1.1056,1.874,0.1004
330000,浙江省,2016,770.2752,767.0841,4.5256,9.1872,1.3938,0.0114,1.7973,
330000,浙江省,2015,783.1887,779.881,6.6137,8.3294,1.4745,0.0106,1.8332,0.0005
330000,浙江省,2014,723.3976,719.713,5.2205,8.1256,1.9877,0.0147,1.6969,0.0005
330000,浙江省,2013,671.0287,667.8032,6.811,8.6066,1.7353,0.013,1.4902,0.001
330000,浙江省,2012,640.7653,637.9257,7.5648,9.0949,1.9306,0.0147,0.909,0.0028
330000,浙江省,2011,541.3157,538.8153,5.3856,7.501,1.2788,0.0076,1.2216,0.0032
330000,浙江省,2010,566.0,563.2646,6.6873,7.6635,1.5555,0.0046,1.1799,0.0332
330000,浙江省,2009,487.6277,485.5588,6.8208,7.4301,1.0035,0.0055,1.0654,
330000,浙江省,2008,428.3418,426.7297,7.5858,7.6393,0.8723,0.0077,0.7398,
330000,浙江省,2007,406.5168,404.862,8.7711,9.082,0.369,0.0101,1.2858,
330000,浙江省,2006,356.7881,355.5247,8.0362,12.0515,0.3781,0.0087,0.8853,
330000,浙江省,2005,311.9927,308.4789,7.6088,15.8074,0.5716,0.0122,2.9422,
330000,浙江省,2004,276.43,,7.68,12.79,,,,
330000,浙江省,2003,242.94,241.7538,11.32,26.37,0.3726,0.0024,0.8088,0.0152
330000,浙江省,2002,198.84,197.67,10.65,28.3,0.43,0.01,0.74,0.02
330000,浙江省,2001,182.19,182.19,12.03,32.76,0.6125,0.0286,0.6059,0.008
330000,浙江省,2000,171.05,169.48,19.93,55.19,0.8578,0.04,0.71,0.02
340000,安徽省,2019,198.3357,198.2926,16.1998,2.9665,0.0421,0.0264,0.001,
340000,安徽省,2018,186.7934,186.6697,17.6743,3.0194,0.1182,,0.0055,
340000,安徽省,2017,171.4806,171.3551,18.9855,3.756,0.0723,0.0656,0.0532,0.0477
340000,安徽省,2016,167.9962,167.8575,19.2999,4.1829,0.0803,0.074,0.0584,0.0532
340000,安徽省,2015,168.6907,168.5191,17.8044,4.4664,0.0785,0.0748,0.0931,0.0554
340000,安徽省,2014,171.3525,171.1717,20.6269,4.8683,0.1233,0.0777,0.0575,0.0092
340000,安徽省,2013,171.2074,170.9444,26.2549,5.595,0.1394,0.084,0.1236,0.0106
340000,安徽省,2012,169.5966,169.3167,27.7318,5.8186,0.153,0.0997,0.1269,0.012
340000,安徽省,2011,166.5709,166.2953,29.8496,5.5984,0.1231,0.08,0.1525,0.0097
340000,安徽省,2010,157.8217,157.4751,31.7886,6.6771,0.1559,0.1049,0.1907,0.0108
340000,安徽省,2009,143.504,143.1093,26.9958,7.6667,0.1375,0.0914,0.2572,0.0206
340000,安徽省,2008,137.9306,137.5271,30.5374,8.7653,0.1827,0.1327,0.2208,0.0143
340000,安徽省,2007,123.228,122.4983,22.0887,8.7458,0.496,0.2401,0.2337,
340000,安徽省,2006,112.2376,111.6057,21.4734,9.8341,0.4384,0.1947,0.1935,
340000,安徽省,2005,99.4048,98.9689,16.6711,13.4386,0.3216,0.1839,0.1143,0.0066
340000,安徽省,2004,91.83,,16.79,17.68,,,,
340000,安徽省,2003,91.07,90.7115,20.0738,27.9715,0.1734,0.0613,0.1842,0.0268
340000,安徽省,2002,89.5,89.16,20.47,31.87,0.14,0.02,0.2,0.02
340000,安徽省,2001,86.79,86.79,24.13,36.13,0.093,0.035,0.4531,0.007
340000,安徽省,2000,71.2,70.9,20.87,36.14,0.0713,0.01,0.24,
350000,福建省,2019,456.7086,455.3994,20.2932,6.398,1.1033,0.3977,0.2059,0.0649
350000,福建省,2018,433.5851,431.8526,22.9206,6.9543,1.6188,0.439,0.1137,0.039
350000,福建省,2017,379.3599,375.9266,20.5508,4.7176,3.2752,0.1119,0.1581,
350000,福建省,2016,325.2705,322.3299,13.753,4.4958,2.8192,0.1328,0.1214,
350000,福建省,2015,294.8149,292.9638,15.8447,5.1732,1.7376,0.0342,0.1135,
350000,福建省,2014,250.51,249.7451,14.2712,6.1352,0.6619,0.0241,0.103,
350000,福建省,2013,219.0187,218.2986,13.2383,4.4521,0.6383,0.0786,0.0818,0.0165
350000,福建省,2012,185.3532,184.7399,12.3765,4.4096,0.5184,0.0873,0.0949,0.0286
350000,福建省,2011,168.6956,166.9235,14.7335,4.0607,1.6883,0.1336,0.0838,0.034
350000,福建省,2010,185.0369,183.2492,29.2465,3.7423,1.6799,0.0937,0.1078,0.0284
350000,福建省,2009,149.5139,148.1193,26.0883,3.9119,1.2667,0.1462,0.1279,0.0377
350000,福建省,2008,125.7256,123.7463,17.8751,4.8514,1.6716,0.1043,0.3077,0.0814
350000,福建省,2007,99.46,97.8804,11.3597,6.0795,1.3864,0.1344,0.1932,0.0439
350000,福建省,2006,79.7144,78.4476,10.7478,4.7203,0.9198,0.0944,0.347,0.1906
350000,福建省,2005,71.18,70.2541,12.5103,8.398,0.6181,0.0281,0.3078,0.0413
350000,福建省,2004,58.45,,9.37,9.66,,,,
350000,福建省,2003,55.36,54.6727,9.8128,14.6733,0.4231,0.0247,0.2653,0.0178
350000,福建省,2002,45.49,44.75,12.34,15.68,0.39,0.07,0.35,0.04
350000,福建省,2001,43.07,43.07,12.46,12.79,0.4238,0.1188,0.2966,0.1393
350000,福建省,2000,41.13,40.28,13.46,14.25,0.5767,0.2,0.28,0.14
360000,江西省,2019,165.8816,160.9062,7.9161,8.4482,4.9207,0.0015,0.0547,
360000,江西省,2018,160.1389,159.9637,5.9565,7.8074,0.1159,0.0015,0.0593,0.0251
360000,江西省,2017,160.8904,155.9201,7.5805,9.1397,4.8939,0.0021,0.0764,
360000,江西省,2016,152.5715,149.4104,9.3809,10.2496,3.1352,0.0027,0.0259,
360000,江西省,2015,142.1775,138.5824,8.4983,9.8029,3.5936,0.0018,0.0015,
360000,江西省,2014,132.6562,127.8606,10.9389,10.7269,4.7931,0.0018,0.0025,
360000,江西省,2013,123.4798,118.5286,16.6142,13.1311,4.9503,0.0024,0.0009,
360000,江西省,2012,107.2714,105.0608,18.2851,12.5023,2.2088,0.001,0.0018,
360000,江西省,2011,85.0178,84.8327,17.6966,13.2213,0.1848,0.0408,0.0003,
360000,江西省,2010,85.8006,85.5645,19.9604,17.8713,0.0686,0.001,0.1675,0.006
360000,江西省,2009,77.0707,76.8357,18.7189,16.2201,0.2218,0.0012,0.0132,0.006
360000,江西省,2008,65.8739,65.7655,16.6908,15.1077,0.0798,0.0051,0.0286,0.006
360000,江西省,2007,61.6927,60.9723,16.076,16.7277,0.7053,0.0103,0.0151,
360000,江西省,2006,61.505,61.0547,15.9077,17.8095,0.4205,0.004,0.0298,
360000,江西省,2005,60.2133,60.0687,16.7616,18.412,0.1278,0.0042,0.0168,
360000,江西省,2004,58.96,53.62,15.21,17.36,,,,
360000,江西省,2003,57.47,57.3274,16.5476,17.9484,0.1091,0.005,0.034,0.004
360000,江西省,2002,42.85,42.75,16.1,14.7,0.07,,0.03,
360000,江西省,2001,33.74,33.74,14.46,15.83,0.0476,,,
360000,江西省,2000,29.77,29.77,11.85,16.21,,,,
370000,山东省,2019,312.1836,312.0358,23.0432,9.6279,0.0625,,0.0853,
370000,山东省,2018,329.0521,327.4289,20.8451,12.6734,0.0826,,1.5406,0.1828
370000,山东省,2017,328.7104,327.8367,24.5104,17.0867,0.7843,,0.0894,0.006
370000,山东省,2016,293.1928,292.6326,21.5027,18.8662,0.4719,,0.0883,0.011
370000,山东省,2015,300.1354,299.237,25.0303,19.1919,0.7713,0.0285,0.1271,0.0115
370000,山东省,2014,268.2261,267.402,23.8619,20.5529,0.6933,0.0298,0.1308,0.0095
370000,山东省,2013,287.0859,286.165,28.0506,27.1801,0.7826,0.0668,0.1383,0.0125
370000,山东省,2012,277.4175,276.6653,29.8308,25.8838,0.6138,0.0131,0.1384,0.02
370000,山东省,2011,270.4116,269.6203,22.8951,29.2885,0.6569,0.0088,0.1344,0.0229
370000,山东省,2010,314.2893,313.764,31.2215,33.8351,0.2468,0.0476,0.2785,0.0675
370000,山东省,2009,276.4528,274.3202,24.3093,32.0155,0.2969,0.0452,1.8357,0.0769
370000,山东省,2008,265.6581,264.1863,24.3414,36.5412,0.3424,0.0352,1.1294,0.1002
370000,山东省,2007,269.8218,267.3467,29.7154,45.0072,0.5117,0.0186,1.9634,0.04
370000,山东省,2006,260.2988,259.4098,29.6332,46.6366,0.296,0.0222,0.593,0.0444
370000,山东省,2005,249.584,248.5622,33.4329,52.2321,0.5861,0.0291,0.4357,0.0631
370000,山东省,2004,261.89,,70.19,,,,,
370000,山东省,2003,207.25,206.1192,31.578,59.7983,0.5321,0.0482,0.6017,0.0145
370000,山东省,2002,182.72,181.9,25.7,67.3,0.59,0.04,0.23,0.05
370000,山东省,2001,179.59,179.59,30.76,70.91,0.6965,0.0606,0.1762,0.0552
370000,山东省,2000,170.72,169.7,32.57,84.83,0.7554,0.06,0.26,0.08
410000,河南省,2019,296.6899,296.5195,15.8539,7.038,0.0104,,0.16,0.0616
410000,河南省,2018,291.9551,290.232,26.3668,7.1646,1.5205,,0.2026,0.106
410000,河南省,2017,275.8901,275.3184,15.0843,8.8318,0.4568,,0.1149,0.0018
410000,河南省,2016,260.9049,260.7715,16.3643,7.5809,0.0546,,0.0788,0.0016
410000,河南省,2015,259.5096,259.418,13.8589,7.6323,0.0092,,0.0824,0.0051
