省份编码,省份,年份,资产合计(亿元),流动资产(亿元),固定资产(亿元),无形及递延资产(亿元)
140000,山西省,2016,4845.38972,4045.71882,295.86138,
140000,山西省,2015,4033.79223,3322.9426,282.19258,
140000,山西省,2014,3793.99349,3088.8128,298.21448,
140000,山西省,2013,,,,
140000,山西省,2012,2976.16373,2378.09166,267.78686,
140000,山西省,2011,2503.47855,2061.42828,243.75985,
140000,山西省,2010,2026.8277,1693.9104,221.1711,21.0372
140000,山西省,2009,1635.87515,1339.33597,211.371,17.69517
140000,山西省,2008,1354.91619,1089.11052,189.29135,17.63677
140000,山西省,2007,1085.97898,800.87191,186.23466,26.9227
140000,山西省,2006,949.78717,690.05168,186.72151,9.85648
140000,山西省,2005,850.4544,595.02807,183.10194,12.20383
140000,山西省,2004,,,,
140000,山西省,2003,631.0377,399.0472,177.2504,11.58
140000,山西省,2002,554.8743,350.0698,158.2021,13.0694
140000,山西省,2001,381.90891,266.16437,88.92812,10.91761
140000,山西省,2000,322.12916,228.69096,74.90346,7.28109
150000,内蒙古自治区,2019,2168.9185,1725.57412,237.8201,
150000,内蒙古自治区,2018,2219.17903,1752.1206,250.24069,
150000,内蒙古自治区,2017,2106.60229,1658.58817,192.75584,
150000,内蒙古自治区,2016,1975.86258,1577.02446,179.85979,
150000,内蒙古自治区,2015,1872.53756,1470.86588,199.09644,
150000,内蒙古自治区,2014,1796.30824,1400.58083,206.08235,
150000,内蒙古自治区,2013,,,,
150000,内蒙古自治区,2012,1617.55814,1217.22862,199.18699,
150000,内蒙古自治区,2011,1321.76481,1027.18814,191.07128,
150000,内蒙古自治区,2010,973.5992,738.4276,157.6689,27.5556
150000,内蒙古自治区,2009,742.50479,537.10122,142.20952,26.57019
150000,内蒙古自治区,2008,590.23728,418.79447,121.7556,19.49913
150000,内蒙古自治区,2007,494.14111,336.81149,108.29491,16.57263
150000,内蒙古自治区,2006,387.46392,268.14459,90.22994,12.79375
150000,内蒙古自治区,2005,344.15321,236.72092,84.3853,10.84754
150000,内蒙古自治区,2004,,,,
150000,内蒙古自治区,2003,264.1549,175.1844,72.3563,8.612
150000,内蒙古自治区,2002,234.7074,154.0252,66.3464,7.9048
150000,内蒙古自治区,2001,185.05429,122.91361,51.58671,5.79792
150000,内蒙古自治区,2000,152.51852,104.95107,40.85755,3.04032
210000,辽宁省,2019,6251.81844,5194.93389,662.68141,
210000,辽宁省,2018,6005.17786,5046.05857,735.70446,
210000,辽宁省,2017,5964.79004,4963.19969,434.09002,
210000,辽宁省,2016,5984.50411,4864.45996,462.74197,
210000,辽宁省,2015,6877.92894,5741.7943,595.55504,
210000,辽宁省,2014,6331.54594,5131.15459,632.13557,
210000,辽宁省,2013,,,,
210000,辽宁省,2012,5104.5894,4011.69211,621.08828,
210000,辽宁省,2011,3989.76183,3093.06632,612.09454,
210000,辽宁省,2010,3181.395,2478.2061,526.4824,61.8106
210000,辽宁省,2009,2407.20008,1845.03922,414.11927,53.27516
210000,辽宁省,2008,1939.96403,1483.42003,343.49334,49.85746
210000,辽宁省,2007,1701.11323,1286.21625,325.36655,40.37755
210000,辽宁省,2006,1456.87987,1079.21728,306.86684,30.06051
210000,辽宁省,2005,1253.94882,916.63839,275.2977,29.0855
210000,辽宁省,2004,,,,
210000,辽宁省,2003,1015.3341,710.5583,249.057,22.5886
210000,辽宁省,2002,930.155,647.1899,227.9704,22.3275
210000,辽宁省,2001,830.91359,583.2014,201.65544,19.3566
210000,辽宁省,2000,698.48034,499.64277,162.56788,15.88001
220000,吉林省,2019,2747.62452,2220.02221,269.69889,
220000,吉林省,2018,2671.57014,2120.95523,294.79833,
220000,吉林省,2017,2484.94201,2040.22294,218.23874,
220000,吉林省,2016,2418.50557,1971.9678,224.19827,
220000,吉林省,2015,2344.91967,1799.12939,340.77015,
220000,吉林省,2014,2087.06994,1756.8368,241.10013,
220000,吉林省,2013,,,,
220000,吉林省,2012,1677.95738,1356.06472,199.39277,
220000,吉林省,2011,1107.66827,882.47257,155.25123,
220000,吉林省,2010,873.1875,696.7702,141.1131,15.0755
220000,吉林省,2009,633.93982,457.11215,147.64098,11.68484
220000,吉林省,2008,653.50747,464.84116,135.47071,27.9341
220000,吉林省,2007,519.77813,372.46858,99.31559,27.10961
220000,吉林省,2006,523.05656,376.10321,97.78638,27.46614
220000,吉林省,2005,485.7475,362.09565,101.48092,9.42364
220000,吉林省,2004,,,,
220000,吉林省,2003,405.1415,289.8304,97.5163,8.7887
220000,吉林省,2002,357.3129,255.4217,85.448,9.694
220000,吉林省,2001,322.8787,234.74531,75.87511,6.35767
220000,吉林省,2000,252.41579,169.4338,68.98998,3.19059
230000,黑龙江省,2019,2201.26137,1871.76402,267.65076,
230000,黑龙江省,2018,2061.54586,1708.93494,284.00822,
230000,黑龙江省,2017,2017.71531,1664.89654,176.74064,
230000,黑龙江省,2016,1957.63375,1510.13564,184.59658,
230000,黑龙江省,2015,1727.43735,1386.11967,194.44083,
230000,黑龙江省,2014,1795.58821,1458.92696,201.53356,
230000,黑龙江省,2013,,,,
230000,黑龙江省,2012,1639.8329,1322.34597,234.05145,
230000,黑龙江省,2011,1459.59427,1166.0385,224.75028,
230000,黑龙江省,2010,1195.1907,950.2158,204.3106,14.9967
230000,黑龙江省,2009,1082.92217,842.92107,190.86688,22.5576
230000,黑龙江省,2008,1039.70272,792.23352,200.8398,25.59715
230000,黑龙江省,2007,914.25712,690.93234,180.73217,19.8648
230000,黑龙江省,2006,820.34401,614.69196,174.21723,10.60579
230000,黑龙江省,2005,703.80658,479.93599,167.41391,9.5407
230000,黑龙江省,2004,,,,
230000,黑龙江省,2003,595.9309,406.9601,158.9211,8.2552
230000,黑龙江省,2002,557.5077,387.0353,144.9331,7.2167
230000,黑龙江省,2001,503.37874,356.06407,126.34093,5.73078
230000,黑龙江省,2000,419.22369,306.64974,98.89011,3.2696
310000,上海市,2019,11706.27554,9713.8619,796.4175,
310000,上海市,2018,10909.1893,9020.15239,797.32894,
310000,上海市,2017,9944.11159,8368.54356,423.18636,
310000,上海市,2016,9049.64245,7710.25658,387.54147,
310000,上海市,2015,8644.689,7346.03887,405.72098,
310000,上海市,2014,7942.59381,6545.25861,399.98595,
310000,上海市,2013,,,,
310000,上海市,2012,6553.36261,5274.22058,410.94064,
310000,上海市,2011,5653.87179,4688.58874,352.49899,
310000,上海市,2010,4836.9587,4005.4483,331.0827,42.9242
310000,上海市,2009,4153.82921,3468.79418,301.65459,44.28842
310000,上海市,2008,3692.08777,3027.1195,275.23932,46.20966
310000,上海市,2007,2909.4656,2402.09152,247.46877,30.91724
310000,上海市,2006,2517.30909,2049.1062,265.35117,16.90375
310000,上海市,2005,2077.78661,1698.83946,215.0641,16.42451
310000,上海市,2004,,,,
310000,上海市,2003,1544.8088,1178.594,220.747,16.2024
310000,上海市,2002,1123.5025,848.4791,178.0682,13.5091
310000,上海市,2001,934.9745,736.9327,96.2441,11.749
310000,上海市,2000,889.123,657.2247,83.6065,22.3216
320000,江苏省,2019,22960.42288,19179.49712,2267.53981,
320000,江苏省,2018,20731.90406,17318.58679,2371.47412,
320000,江苏省,2017,18960.47401,15742.93726,1571.68801,
320000,江苏省,2016,17835.24472,14679.5844,1551.48969,
320000,江苏省,2015,16433.02429,13569.76605,1529.45819,
320000,江苏省,2014,15078.07669,12341.59125,1428.33177,
320000,江苏省,2013,,,,
320000,江苏省,2012,11556.11741,9349.98423,1254.63007,
320000,江苏省,2011,9774.84669,7658.45644,1055.29854,
320000,江苏省,2010,7387.4618,6018.1028,981.7338,84.1921
320000,江苏省,2009,6266.98393,5027.69908,901.25956,86.66919
320000,江苏省,2008,5394.70237,4350.20544,753.34112,83.1595
320000,江苏省,2007,4523.69052,3612.44617,665.17919,74.42843
320000,江苏省,2006,3907.00684,3129.2965,570.20119,58.41726
320000,江苏省,2005,3209.58074,2544.45887,490.3494,58.01442
320000,江苏省,2004,,,,
320000,江苏省,2003,2227.1265,1719.1831,388.1238,35.2312
320000,江苏省,2002,1969.5036,1489.9515,378.6158,32.2432
320000,江苏省,2001,1667.6138,1299.07113,279.48562,29.86184
320000,江苏省,2000,1480.25642,1176.52643,241.3073,13.88932
330000,浙江省,2019,14690.51387,12282.31044,1413.43644,
330000,浙江省,2018,13719.1479,11297.27035,1459.12343,
330000,浙江省,2017,12896.83972,10626.63274,1022.5983,
330000,浙江省,2016,12087.8776,9963.07168,991.26855,
330000,浙江省,2015,11654.25601,9570.4545,1064.22035,
330000,浙江省,2014,10910.00379,8868.74521,1041.12565,
330000,浙江省,2013,,,,
330000,浙江省,2012,8660.37406,7021.08553,931.16308,
330000,浙江省,2011,7550.35582,6069.13454,877.92815,
330000,浙江省,2010,6187.927,4937.9656,747.1746,91.7544
330000,浙江省,2009,4890.10649,3882.87706,618.46974,68.16935
330000,浙江省,2008,4164.10896,3298.82932,553.36932,64.05023
330000,浙江省,2007,3675.49469,2926.27826,478.04929,50.37364
330000,浙江省,2006,3066.96577,2438.78032,430.11176,41.00217
330000,浙江省,2005,2594.37211,2049.01526,381.4643,35.07617
330000,浙江省,2004,,,,
330000,浙江省,2003,1828.6813,1388.8036,331.8552,25.863
330000,浙江省,2002,1432.624,1090.2672,257.1872,23.0296
330000,浙江省,2001,1209.88692,882.7039,236.8518,16.94451
330000,浙江省,2000,1049.58098,773.24745,207.84451,14.62538
340000,安徽省,2019,7637.0515,5843.96316,686.96127,
340000,安徽省,2018,7076.30647,5472.86445,715.51294,
340000,安徽省,2017,6124.69895,4845.52575,468.05603,
340000,安徽省,2016,5496.33453,4326.82671,443.50562,
340000,安徽省,2015,4733.53183,3847.28595,432.02477,
340000,安徽省,2014,4266.51443,3373.42968,437.58193,
340000,安徽省,2013,,,,
340000,安徽省,2012,3169.61416,2439.92233,412.308,
340000,安徽省,2011,2597.58055,2007.78391,363.51601,
340000,安徽省,2010,2115.0759,1643.1512,323.5314,47.0802
340000,安徽省,2009,1702.40957,1325.6004,275.83889,37.69775
340000,安徽省,2008,1395.72532,1049.76977,250.78745,38.42451
340000,安徽省,2007,1172.68208,831.73117,252.58045,37.75066
340000,安徽省,2006,919.57621,645.52844,209.18542,27.69319
340000,安徽省,2005,771.61622,531.29572,189.03396,28.25751
340000,安徽省,2004,,,,
340000,安徽省,2003,589.8281,392.248,154.4838,25.0967
340000,安徽省,2002,549.5706,362.7137,147.6584,24.8581
340000,安徽省,2001,415.41742,274.30573,113.06968,14.88678
340000,安徽省,2000,328.48776,234.0979,78.32768,4.59724
350000,福建省,2019,6976.72633,5794.91189,693.56906,
350000,福建省,2018,6423.71942,5321.37741,699.26195,
350000,福建省,2017,5481.9566,4509.01015,510.14894,
350000,福建省,2016,4758.44712,3842.20329,493.82443,
350000,福建省,2015,4266.4757,3391.461,512.63664,
350000,福建省,2014,3811.52172,3037.94361,394.30235,
350000,福建省,2013,,,,
350000,福建省,2012,2548.02274,2019.3375,327.01499,
350000,福建省,2011,2082.04408,1638.70998,277.76846,
350000,福建省,2010,1734.7043,1321.1511,265.9065,40.4527
350000,福建省,2009,1460.99974,1129.49801,233.11886,20.55976
350000,福建省,2008,1245.85109,978.20917,200.51175,20.5586
350000,福建省,2007,1044.27035,830.06075,153.85913,13.10683
350000,福建省,2006,896.69778,698.50317,145.66048,11.25985
350000,福建省,2005,772.52531,599.5063,127.15632,9.73627
350000,福建省,2004,,,,
350000,福建省,2003,631.1243,460.1406,113.9472,9.3705
350000,福建省,2002,548.5021,415.2288,94.9252,10.5295
350000,福建省,2001,455.46079,343.72785,83.06122,7.16764
350000,福建省,2000,443.49754,341.83472,71.8135,5.29418
360000,江西省,2019,5113.74257,4169.32328,462.23792,
360000,江西省,2018,5918.50896,4920.4952,468.48898,
360000,江西省,2017,4076.84339,3170.4546,359.2052,
360000,江西省,2016,3447.47662,2663.81675,329.43176,
360000,江西省,2015,2698.4565,2088.38074,323.38977,
360000,江西省,2014,2360.67802,1770.82309,306.40236,
360000,江西省,2013,,,,
360000,江西省,2012,1546.97477,1170.29092,239.71292,
360000,江西省,2011,1125.24052,865.27854,187.73097,
360000,江西省,2010,945.0774,633.0677,223.2447,29.0559
360000,江西省,2009,811.4543,572.86129,177.40457,24.97679
360000,江西省,2008,695.40464,469.5981,167.75004,23.2684
360000,江西省,2007,556.64357,382.58971,118.09254,28.20573
360000,江西省,2006,499.10308,340.24445,113.79196,22.19208
360000,江西省,2005,448.63599,299.10777,110.73006,16.84749
360000,江西省,2004,,,,
360000,江西省,2003,357.878,228.9759,96.4982,13.5102
360000,江西省,2002,289.391,186.0694,82.2283,10.7384
360000,江西省,2001,218.27567,151.23329,52.85022,5.59141
360000,江西省,2000,164.31298,118.88397,36.86468,2.35754
370000,山东省,2019,15645.8908,12798.82995,1503.92671,
370000,山东省,2018,13906.60608,11602.68102,1500.39674,
370000,山东省,2017,12846.30714,10607.44826,1149.0037,
370000,山东省,2016,11135.87083,9203.55656,1014.53048,
370000,山东省,2015,9920.6358,8155.75161,1038.9891,
370000,山东省,2014,9120.25311,7393.79917,973.83856,
370000,山东省,2013,,,,
370000,山东省,2012,6948.31519,5533.20457,878.80369,
370000,山东省,2011,5975.71781,4674.26411,769.20073,
370000,山东省,2010,4811.1134,3765.4945,730.4819,97.3856
370000,山东省,2009,4071.32595,3104.46204,701.85537,93.43826
370000,山东省,2008,3505.67902,2620.12192,620.56596,84.53074
370000,山东省,2007,3056.55663,2321.17294,520.59011,82.54629
370000,山东省,2006,2651.623,1980.3277,498.38597,71.32006
370000,山东省,2005,2337.3281,1714.78435,457.67639,68.56136
370000,山东省,2004,,,,
370000,山东省,2003,1602.0947,1161.0381,329.2024,51.0353
370000,山东省,2002,1301.7189,953.4503,259.6655,46.5808
370000,山东省,2001,1071.69982,787.20518,213.60604,35.20637
370000,山东省,2000,859.98344,641.60616,169.64402,19.22491
410000,河南省,2019,10121.37304,8002.19661,1234.72247,
410000,河南省,2018,9799.95137,7324.13045,1358.94811,
410000,河南省,2017,7994.26183,6357.12456,900.56341,
410000,河南省,2016,7043.58468,5579.2461,878.5069,
410000,河南省,2015,6170.22531,4829.45615,808.21209,
410000,河南省,2014,5763.07492,4525.34311,778.99219,
410000,河南省,2013,,,,
410000,河南省,2012,4144.01341,3173.15001,631.88728,
410000,河南省,2011,3558.83185,2657.36066,616.54373,
410000,河南省,2010,2853.1774,2102.381,584.7691,75.3505
410000,河南省,2009,2383.06984,1720.68264,515.6815,76.19208
410000,河南省,2008,1893.99071,1329.97669,432.3177,64.09426
410000,河南省,2007,1476.8953,1046.60928,341.79189,50.04631
410000,河南省,2006,1123.50875,755.94252,288.28393,45.05476
410000,河南省,2005,923.0042,613.89813,249.03577,33.79259
410000,河南省,2004,,,,
410000,河南省,2003,656.3213,409.7697,202.5057,25.1817
410000,河南省,2002,557.0379,343.4908,173.8574,23.677
410000,河南省,2001,436.46113,278.62485,126.14329,18.75241
410000,河南省,2000,354.50434,233.24035,97.88045,11.69777
420000,湖北省,2019,14881.37518,11458.03574,1507.20419,
420000,湖北省,2018,13032.65772,9981.95266,1573.79284,
420000,湖北省,2017,11451.65108,9056.40569,1006.71732,
420000,湖北省,2016,9853.30617,7856.16699,884.9706,
420000,湖北省,2015,8894.9139,6917.88006,1164.54745,
420000,湖北省,2014,7557.5328,5799.01623,1082.96952,
420000,湖北省,2013,,,,
420000,湖北省,2012,5852.53424,4284.06724,779.18473,
420000,湖北省,2011,4874.32371,3566.26632,684.61584,
420000,湖北省,2010,3756.3487,2608.9344,662.8689,282.9982
420000,湖北省,2009,3112.69951,2109.10235,591.32286,252.79945
420000,湖北省,2008,2254.92603,1555.26071,479.9974,131.96016
420000,湖北省,2007,1968.09157,1230.57558,521.72791,84.21275
420000,湖北省,2006,1343.49369,879.71984,333.72882,53.75342
420000,湖北省,2005,1140.09568,734.68097,295.30613,47.00351
420000,湖北省,2004,,,,
420000,湖北省,2003,908.6246,576.5622,260.0375,45.3324
420000,湖北省,2002,748.6976,461.8304,219.5736,34.7707
420000,湖北省,2001,600.80388,370.79568,169.20192,25.35878
420000,湖北省,2000,535.14584,337.15947,153.07812,10.89678
430000,湖南省,2019,7079.92828,5211.5223,746.44435,
430000,湖南省,2018,6293.40661,4566.89745,691.35235,
430000,湖南省,2017,5351.99703,4031.9947,496.03962,
430000,湖南省,2016,4631.92493,3564.92103,436.57121,
430000,湖南省,2015,3995.37817,2966.63061,438.86853,
430000,湖南省,2014,3438.77438,2610.06975,414.32073,
430000,湖南省,2013,,,,
430000,湖南省,2012,2517.91142,1876.36733,369.49739,
430000,湖南省,2011,2098.59426,1531.77824,334.0944,
430000,湖南省,2010,1725.5836,1252.9286,320.2763,64.5141
430000,湖南省,2009,1462.41009,1041.2447,318.66333,40.94687
430000,湖南省,2008,1283.16697,884.75745,303.30894,44.32568
430000,湖南省,2007,1105.32012,740.45182,277.76042,42.2842
430000,湖南省,2006,940.15536,618.22912,256.80945,29.88816
430000,湖南省,2005,821.3667,541.7361,222.92651,25.752
430000,湖南省,2004,,,,
430000,湖南省,2003,675.3249,428.5756,197.5541,23.8638
430000,湖南省,2002,538.0768,332.0166,165.7726,22.3605
430000,湖南省,2001,447.80973,283.49497,132.64629,13.8502
430000,湖南省,2000,354.48219,230.79836,102.86912,4.3736
440000,广东省,2019,21835.51726,17467.29176,1119.08913,
440000,广东省,2018,18753.23444,14556.39018,1181.29776,
440000,广东省,2017,14383.87614,11784.81299,809.2615,
440000,广东省,2016,12200.08946,9899.75273,770.46063,
440000,广东省,2015,10737.4057,8646.51249,762.57902,
440000,广东省,2014,9884.36177,7952.60638,743.97133,
440000,广东省,2013,,,,
440000,广东省,2012,7294.53253,5607.90234,630.78667,
440000,广东省,2011,6136.61806,4945.63924,603.51586,
440000,广东省,2010,5101.2221,4091.188,530.4849,61.4516
440000,广东省,2009,4338.96384,3462.08024,494.37371,57.54431
440000,广东省,2008,3746.73543,3008.92294,445.70472,57.07254
440000,广东省,2007,3282.56959,2550.6601,430.81547,52.92432
440000,广东省,2006,2824.44041,2176.50466,408.21451,51.95109
440000,广东省,2005,2592.62411,1971.93943,413.16851,45.44627
440000,广东省,2004,,,,
440000,广东省,2003,2226.4911,1672.0907,364.3661,41.0638
440000,广东省,2002,2137.2834,1633.5466,333.6699,40.402
440000,广东省,2001,1811.53722,1427.89342,260.48414,30.46133
440000,广东省,2000,1698.04567,1352.14957,221.10398,25.43411
450000,广西壮族自治区,2019,3237.88447,2593.27476,254.78443,
450000,广西壮族自治区,2018,2903.70688,2322.97643,241.45817,
450000,广西壮族自治区,2017,2253.46571,1823.64014,197.9605,
450000,广西壮族自治区,2016,1898.15165,1538.60977,203.56268,
450000,广西壮族自治区,2015,1709.42845,1352.07112,173.11129,
450000,广西壮族自治区,2014,1569.47347,1231.74303,159.60932,
450000,广西壮族自治区,2013,,,,
450000,广西壮族自治区,2012,1124.13959,870.01542,147.94927,
450000,广西壮族自治区,2011,977.89571,737.51319,129.47063,
450000,广西壮族自治区,2010,776.5458,591.5209,109.8577,19.8745
450000,广西壮族自治区,2009,689.01057,517.63523,112.74444,17.33941
450000,广西壮族自治区,2008,613.93359,434.74569,103.92235,20.1742
450000,广西壮族自治区,2007,520.32928,359.34984,93.88825,14.08633
450000,广西壮族自治区,2006,458.2672,313.59035,88.80889,11.87634
450000,广西壮族自治区,2005,455.52446,283.52737,111.6241,11.22736
450000,广西壮族自治区,2004,,,,
450000,广西壮族自治区,2003,385.977,228.7232,125.5339,10.9188
450000,广西壮族自治区,2002,409.5817,241.2411,114.0347,9.5205
450000,广西壮族自治区,2001,336.66912,199.59121,94.19519,6.87273
450000,广西壮族自治区,2000,330.2364,203.12615,85.86245,2.95535
460000,海南省,2019,422.35598,378.04949,14.83825,
460000,海南省,2018,338.65673,286.32245,15.47623,
460000,海南省,2017,271.02409,228.86256,9.50818,
460000,海南省,2016,251.50391,215.00988,12.30046,
460000,海南省,2015,215.22718,180.33973,12.64498,
460000,海南省,2014,214.44419,172.76175,16.44355,
460000,海南省,2013,,,,
460000,海南省,2012,168.67718,131.14786,15.14407,
460000,海南省,2011,147.78319,118.67334,11.93261,
460000,海南省,2010,84.0328,72.9455,8.3259,0.688
460000,海南省,2009,94.75019,81.92295,9.99217,0.98305
460000,海南省,2008,83.33855,69.53425,10.16023,2.11457
460000,海南省,2007,40.68229,32.01467,7.0185,0.74372
460000,海南省,2006,61.89047,42.57008,16.21673,1.67041
460000,海南省,2005,59.85738,39.8429,16.94459,1.78082
460000,海南省,2004,,,,
460000,海南省,2003,52.9727,28.7833,16.8501,4.6473
460000,海南省,2002,50.0649,34.3024,11.9235,1.779
460000,海南省,2001,45.93986,29.11381,11.01554,3.18177
460000,海南省,2000,42.8187,29.89734,10.57079,0.45934
500000,重庆市,2019,6307.38908,5162.17029,445.15809,
500000,重庆市,2018,6076.38211,4951.0405,480.18704,
500000,重庆市,2017,5706.70814,4571.41702,487.24448,
500000,重庆市,2016,5325.93731,4344.8572,446.4732,
500000,重庆市,2015,4904.04749,4026.32815,420.08038,
500000,重庆市,2014,4566.3501,3667.85524,396.55591,
500000,重庆市,2013,,,,
500000,重庆市,2012,3193.31474,2539.13692,326.78986,
500000,重庆市,2011,2642.64413,2042.30911,285.79457,
500000,重庆市,2010,1959.2948,1540.1821,260.8452,25.9919
500000,重庆市,2009,1517.11782,1151.64439,218.86296,23.1264
500000,重庆市,2008,1202.60398,905.77171,198.51252,25.86846
500000,重庆市,2007,954.81239,699.5361,174.59287,21.34562
500000,重庆市,2006,805.89352,566.98911,170.38774,21.24034
500000,重庆市,2005,666.85582,484.33376,136.85394,14.25282
500000,重庆市,2004,,,,
500000,重庆市,2003,503.5697,330.3249,135.1964,15.3346
500000,重庆市,2002,449.9494,298.1916,114.9898,14.6087
500000,重庆市,2001,382.34672,246.94144,106.96873,10.95835
500000,重庆市,2000,279.64564,186.08962,78.07457,5.21916
510000,四川省,2019,13072.09594,10183.29274,934.84789,
510000,四川省,2018,12274.68799,9580.86111,1009.73252,
510000,四川省,2017,10806.85646,7494.03429,632.97708,
510000,四川省,2016,9858.71972,6674.22888,525.39653,
510000,四川省,2015,7765.49306,6216.689,606.10824,
510000,四川省,2014,6988.9625,5580.51299,591.05204,
510000,四川省,2013,,,,
510000,四川省,2012,5240.40929,4252.55772,437.94824,
510000,四川省,2011,4711.58935,3487.17234,423.12836,
510000,四川省,2010,3381.881,2636.9899,443.2187,81.7473
510000,四川省,2009,2450.56649,1848.08538,398.86838,44.04884
510000,四川省,2008,2066.85832,1512.71085,347.36414,49.07114
510000,四川省,2007,1640.81155,1196.53437,295.71876,36.83181
510000,四川省,2006,1492.41534,1042.45798,311.28703,36.70945
510000,四川省,2005,1446.42143,954.53243,326.43894,37.40374
510000,四川省,2004,,,,
510000,四川省,2003,1315.6812,828.7017,340.3536,55.7167
510000,四川省,2002,1073.2848,679.4359,281.0912,41.9877
510000,四川省,2001,804.34133,525.32258,215.69115,29.21354
510000,四川省,2000,653.63455,433.7135,169.91085,14.30647
520000,贵州省,2019,6384.24375,5134.93908,198.92115,
520000,贵州省,2018,5269.78183,4275.41791,209.27637,
520000,贵州省,2017,4252.34425,3527.03981,154.87556,
520000,贵州省,2016,3543.99529,2920.51873,122.60719,
520000,贵州省,2015,2608.7102,2249.19762,128.90326,
520000,贵州省,2014,1801.65562,1524.74631,97.93309,
520000,贵州省,2013,,,,
520000,贵州省,2012,1020.15299,813.83274,72.53331,
520000,贵州省,2011,731.35058,562.06071,73.27817,
520000,贵州省,2010,593.7137,446.4626,75.9173,15.7256
520000,贵州省,2009,463.22279,351.51483,76.97862,10.12838
520000,贵州省,2008,397.19545,306.78345,60.9255,8.90565
520000,贵州省,2007,346.9707,261.80389,58.95049,8.17897
520000,贵州省,2006,317.82614,234.05212,57.94026,7.66109
520000,贵州省,2005,285.8639,203.28443,58.35573,8.17129
520000,贵州省,2004,,,,
520000,贵州省,2003,245.9632,171.8463,56.1315,9.2035
520000,贵州省,2002,225.2208,157.7405,52.3658,8.5167
520000,贵州省,2001,181.56313,132.36373,38.5267,3.91863
520000,贵州省,2000,145.54607,108.22526,29.72706,0.88
