省份编码,省份,年份,建筑业企业单位数(个),内资建筑业企业单位数(个),国有建筑业企业单位数(个),集体建筑业企业单位数(个),港澳台商投资建筑业企业单位数(个),港澳台商独资建筑业企业单位数(个),外商投资建筑业企业单位数(个),外商独资建筑业企业单位数(个)
150000,内蒙古自治区,2001,856,852,104,127,4,1,,
150000,内蒙古自治区,2000,916,912,133,192,3,1,1,
210000,辽宁省,2019,5322,5296,166,162,9,2,17,2
210000,辽宁省,2018,5134,5101,158,165,13,4,20,4
210000,辽宁省,2017,5186,5146,176,197,17,2,23,5
210000,辽宁省,2016,5238,5192,188,218,18,2,28,6
210000,辽宁省,2015,5563,5511,198,233,21,2,31,7
210000,辽宁省,2014,6028,5968,223,271,27,2,33,7
210000,辽宁省,2013,6005,5944,279,308,23,1,38,6
210000,辽宁省,2012,5547,5488,273,304,21,1,38,6
210000,辽宁省,2011,4997,4931,277,304,23,3,43,7
210000,辽宁省,2010,4612,4546,282,318,19,3,47,8
210000,辽宁省,2009,4367,4294,289,333,23,2,50,11
210000,辽宁省,2008,3803,3738,297,353,20,1,45,8
210000,辽宁省,2007,3171,3103,290,333,24,2,44,3
210000,辽宁省,2006,3079,3147,311,384,27,2,47,4
210000,辽宁省,2005,3053,2974,339,455,32,3,47,4
210000,辽宁省,2004,3124,,373,409,,,,
210000,辽宁省,2003,2568,2490,391,603,32,,46,2
210000,辽宁省,2002,2415,2339,458,727,40,,36,3
210000,辽宁省,2001,2527,2451,542,960,47,1,29,
210000,辽宁省,2000,2381,2317,526,1214,34,,30,2
220000,吉林省,2019,2388,2383,56,24,5,1,,
220000,吉林省,2018,2322,2317,48,29,4,1,1,1
220000,吉林省,2017,2323,2315,62,30,7,1,1,
220000,吉林省,2016,2191,2184,64,38,6,,1,
220000,吉林省,2015,2270,2262,74,40,6,,2,
220000,吉林省,2014,2195,2187,74,46,6,,2,
220000,吉林省,2013,1854,1849,84,54,5,,,
220000,吉林省,2012,1653,1648,84,53,5,,,
220000,吉林省,2011,1077,1074,71,54,3,,,
220000,吉林省,2010,932,928,61,41,4,,,
220000,吉林省,2009,945,941,70,46,3,,1,
220000,吉林省,2008,1092,1087,78,58,4,,1,
220000,吉林省,2007,870,864,120,82,5,,1,
220000,吉林省,2006,820,856,135,94,5,,1,
220000,吉林省,2005,889,878,203,113,7,,4,
220000,吉林省,2004,,,,,,,,
220000,吉林省,2003,786,775,226,154,7,1,4,1
220000,吉林省,2002,816,802,256,189,9,1,5,1
220000,吉林省,2001,738,729,279,262,4,,5,
220000,吉林省,2000,752,748,331,267,3,1,1,1
230000,黑龙江省,2019,1850,1847,112,60,1,,2,
230000,黑龙江省,2018,1671,1667,92,72,2,,2,
230000,黑龙江省,2017,1614,1607,119,79,4,,3,
230000,黑龙江省,2016,1566,1560,130,83,2,,4,
230000,黑龙江省,2015,1601,1597,132,85,1,,3,
230000,黑龙江省,2014,1825,1820,149,112,1,,4,1
230000,黑龙江省,2013,1965,1958,176,146,2,,5,1
230000,黑龙江省,2012,2038,2031,182,153,2,,5,1
230000,黑龙江省,2011,2020,2014,182,151,2,,4,1
230000,黑龙江省,2010,1945,1941,173,153,2,,2,1
230000,黑龙江省,2009,1919,1914,181,166,3,,2,1
230000,黑龙江省,2008,1971,1965,187,178,4,,2,1
230000,黑龙江省,2007,1733,1725,202,191,4,,4,
230000,黑龙江省,2006,1656,1776,226,195,3,,2,
230000,黑龙江省,2005,1725,1718,224,232,2,,5,
230000,黑龙江省,2004,2025,2009,249,235,,,,
230000,黑龙江省,2003,1457,1450,237,266,2,1,5,
230000,黑龙江省,2002,1427,1416,277,353,4,1,7,
230000,黑龙江省,2001,1554,1542,382,539,6,2,6,
230000,黑龙江省,2000,1652,1639,473,652,7,2,6,1
310000,上海市,2019,2437,2345,69,26,49,23,43,25
310000,上海市,2018,2445,2350,71,25,53,24,42,21
310000,上海市,2017,2554,2450,71,32,56,25,48,23
310000,上海市,2016,2662,2553,75,39,61,27,48,21
310000,上海市,2015,2779,2662,79,42,65,26,52,22
310000,上海市,2014,2888,2769,79,44,68,25,51,21
310000,上海市,2013,2860,2742,123,89,70,24,48,19
310000,上海市,2012,2963,2832,135,94,74,26,57,24
310000,上海市,2011,2971,2841,132,98,74,25,56,25
310000,上海市,2010,2983,2837,136,99,79,24,67,29
310000,上海市,2009,2957,2815,147,111,76,20,66,28
310000,上海市,2008,3047,2891,162,130,87,26,69,28
310000,上海市,2007,2694,2558,142,147,75,11,61,22
310000,上海市,2006,2423,2537,148,163,87,9,63,19
310000,上海市,2005,2386,2242,162,200,83,3,61,14
310000,上海市,2004,2690,2539,174,164,,,,
310000,上海市,2003,2009,1859,196,304,105,1,45,
310000,上海市,2002,1679,1526,212,299,101,2,52,
310000,上海市,2001,1353,1203,211,313,96,1,54,1
310000,上海市,2000,1481,1319,230,368,106,2,56,1
320000,江苏省,2019,9345,9279,184,67,28,9,38,17
320000,江苏省,2018,9292,9221,160,81,32,11,39,19
320000,江苏省,2017,8640,8563,185,100,37,10,40,19
320000,江苏省,2016,8770,8689,198,111,39,10,42,20
320000,江苏省,2015,8909,8823,198,128,41,9,45,22
320000,江苏省,2014,9025,8931,200,133,43,8,51,24
320000,江苏省,2013,9305,9199,253,291,51,13,55,25
320000,江苏省,2012,8743,8638,249,302,48,12,57,27
320000,江苏省,2011,8708,8607,252,321,46,12,55,27
320000,江苏省,2010,8893,8794,250,344,44,13,55,23
320000,江苏省,2009,8629,8503,279,357,59,23,67,26
320000,江苏省,2008,8412,8290,297,353,54,16,68,32
320000,江苏省,2007,7012,6880,299,613,61,21,71,28
320000,江苏省,2006,6344,6255,308,578,50,12,66,25
320000,江苏省,2005,5909,5790,337,561,53,13,66,23
320000,江苏省,2004,5241,,318,266,,,,
320000,江苏省,2003,4247,4181,380,737,39,,27,1
320000,江苏省,2002,4084,4003,511,974,55,2,26,
320000,江苏省,2001,3745,3663,476,1304,53,,29,1
320000,江苏省,2000,3930,3842,540,2016,56,,32,
330000,浙江省,2019,7256,7236,88,64,15,5,5,2
330000,浙江省,2018,6769,6742,78,68,22,6,5,1
330000,浙江省,2017,6231,6208,76,71,17,4,6,2
330000,浙江省,2016,6174,6154,82,80,15,3,5,
330000,浙江省,2015,6133,6110,83,82,17,3,6,1
330000,浙江省,2014,6057,6030,84,83,20,3,7,1
330000,浙江省,2013,5884,5852,116,111,22,3,10,1
330000,浙江省,2012,5550,5520,118,110,20,3,10,1
330000,浙江省,2011,5299,5268,120,105,19,2,12,1
330000,浙江省,2010,5052,5023,118,113,17,2,12,1
330000,浙江省,2009,4772,4750,117,115,13,2,9,
330000,浙江省,2008,4639,4613,121,128,15,2,11,
330000,浙江省,2007,4328,4296,120,135,17,2,15,
330000,浙江省,2006,4126,4080,124,162,20,2,13,
330000,浙江省,2005,3941,3901,137,202,21,2,19,
330000,浙江省,2004,3969,,127,168,,,,
330000,浙江省,2003,3392,3358,163,329,20,1,14,2
330000,浙江省,2002,3133,3093,163,404,22,2,18,3
330000,浙江省,2001,3370,3327,211,578,29,4,14,2
330000,浙江省,2000,3592,3545,297,981,28,4,19,4
340000,安徽省,2019,4446,4440,78,57,5,3,1,
340000,安徽省,2018,3813,3810,84,61,2,,1,
340000,安徽省,2017,3111,3103,104,71,4,2,4,2
340000,安徽省,2016,2929,2921,110,76,4,2,4,3
340000,安徽省,2015,2763,2753,109,82,4,3,6,3
340000,安徽省,2014,2747,2737,118,90,5,3,5,2
340000,安徽省,2013,2675,2664,138,122,6,3,5,2
340000,安徽省,2012,2539,2528,146,120,6,3,5,2
340000,安徽省,2011,2452,2440,148,126,6,3,6,2
340000,安徽省,2010,2432,2420,166,137,6,3,6,1
340000,安徽省,2009,2363,2349,172,148,7,4,7,1
340000,安徽省,2008,2313,2300,181,162,7,3,6,2
340000,安徽省,2007,2129,2113,183,175,12,5,4,
340000,安徽省,2006,2117,1969,185,212,12,4,4,
340000,安徽省,2005,1923,1911,190,272,8,3,4,1
340000,安徽省,2004,1926,1911,212,319,,,,
340000,安徽省,2003,1697,1682,222,445,9,2,6,2
340000,安徽省,2002,1693,1675,245,544,12,4,6,2
340000,安徽省,2001,1569,1554,263,714,9,3,6,1
340000,安徽省,2000,1565,1554,257,911,9,1,2,
350000,福建省,2019,5829,5805,76,25,17,5,7,2
350000,福建省,2018,4865,4842,76,32,18,5,5,3
350000,福建省,2017,4029,4004,75,35,22,5,3,
350000,福建省,2016,3608,3581,76,36,24,6,3,
350000,福建省,2015,3402,3374,71,38,24,4,4,
350000,福建省,2014,3109,3077,66,43,26,4,6,
350000,福建省,2013,2646,2613,87,72,27,6,6,1
350000,福建省,2012,2387,2354,87,76,27,6,6,1
350000,福建省,2011,2215,2180,87,72,28,6,7,1
350000,福建省,2010,2180,2142,89,65,31,7,7,1
350000,福建省,2009,2086,2051,89,65,29,8,6,1
350000,福建省,2008,2003,1961,93,80,34,8,8,1
350000,福建省,2007,1823,1782,98,104,31,6,10,1
350000,福建省,2006,1777,1725,100,105,35,6,16,4
350000,福建省,2005,1703,1644,124,200,41,9,18,5
350000,福建省,2004,1782,,141,266,,,,
350000,福建省,2003,1443,1385,125,305,44,5,14,2
350000,福建省,2002,1563,1493,215,448,53,11,17,6
350000,福建省,2001,1507,1445,216,591,49,16,13,3
350000,福建省,2000,1692,1610,266,761,59,26,23,5
360000,江西省,2019,3095,3087,93,132,6,1,2,
360000,江西省,2018,2632,2625,89,120,5,1,2,1
360000,江西省,2017,2372,2360,106,155,9,1,3,
360000,江西省,2016,1873,1863,97,163,8,1,2,
360000,江西省,2015,1739,1731,101,171,7,1,1,
360000,江西省,2014,1712,1705,108,180,6,1,1,
360000,江西省,2013,1626,1617,141,214,8,1,1,
360000,江西省,2012,1507,1498,146,217,8,1,1,
360000,江西省,2011,1325,1317,154,219,7,2,1,
360000,江西省,2010,1276,1265,169,221,9,1,2,1
360000,江西省,2009,1292,1281,177,233,9,1,2,1
360000,江西省,2008,1335,1323,182,240,9,2,3,1
360000,江西省,2007,1166,1151,177,258,13,4,2,
360000,江西省,2006,1097,1165,178,273,13,2,2,
360000,江西省,2005,1230,1216,201,304,12,2,2,
360000,江西省,2004,1387,1368,226,300,,,,
360000,江西省,2003,1058,1043,205,343,10,2,5,2
360000,江西省,2002,1010,996,218,366,11,1,3,
360000,江西省,2001,1105,1102,265,664,3,,,
360000,江西省,2000,1005,1004,224,703,,,1,
370000,山东省,2019,7299,7289,324,301,2,,8,
370000,山东省,2018,6907,6891,273,320,4,,12,3
370000,山东省,2017,6717,6687,304,377,17,,13,1
370000,山东省,2016,6013,5988,311,406,13,,12,1
370000,山东省,2015,5945,5914,314,418,16,1,15,1
370000,山东省,2014,5758,5727,317,434,16,1,15,1
370000,山东省,2013,5756,5728,380,558,11,2,17,2
370000,山东省,2012,5661,5632,384,563,11,2,18,2
370000,山东省,2011,5648,5619,383,601,13,2,16,3
370000,山东省,2010,6135,6096,415,649,18,5,21,5
370000,山东省,2009,6217,6170,434,679,23,7,24,5
370000,山东省,2008,6349,6301,447,760,24,5,24,6
370000,山东省,2007,5536,5482,442,860,30,6,24,4
370000,山东省,2006,5283,5377,468,900,30,8,30,5
370000,山东省,2005,5591,5525,516,1010,35,8,31,5
370000,山东省,2004,5261,,712,,,,,
370000,山东省,2003,4234,4172,431,1141,42,10,20,2
370000,山东省,2002,4102,4044,502,1415,43,13,15,4
370000,山东省,2001,4211,4137,580,1734,58,16,16,5
370000,山东省,2000,4190,4112,636,2300,55,14,23,10
410000,河南省,2019,6740,6733,121,103,2,,5,2
410000,河南省,2018,6159,6152,114,112,3,,4,1
410000,河南省,2017,5767,5753,133,133,7,,7,1
410000,河南省,2016,5123,5113,138,141,5,,5,1
410000,河南省,2015,4684,4676,135,146,2,,6,2
410000,河南省,2014,4762,4750,142,158,4,1,8,2
410000,河南省,2013,4697,4683,189,208,4,1,10,2
410000,河南省,2012,4332,4318,195,212,4,1,10,2
410000,河南省,2011,4310,4297,197,224,4,1,9,2
410000,河南省,2010,4294,4280,215,230,5,1,9,2
410000,河南省,2009,4082,4069,211,248,5,2,8,1
410000,河南省,2008,3827,3816,232,275,4,2,7,1
410000,河南省,2007,3023,3017,247,312,4,,2,
410000,河南省,2006,2732,2456,244,320,3,,5,1
410000,河南省,2005,2458,2445,296,389,7,,6,1
410000,河南省,2004,2094,2077,444,597,,,,
410000,河南省,2003,1727,1715,385,470,8,,4,
410000,河南省,2002,1594,1584,367,508,6,1,4,
410000,河南省,2001,1777,1762,422,992,5,1,10,
410000,河南省,2000,1885,1861,440,1110,14,2,10,1
420000,湖北省,2019,4566,4557,194,65,5,1,4,
420000,湖北省,2018,4196,4183,171,58,7,4,6,1
420000,湖北省,2017,3692,3677,211,79,12,3,3,
420000,湖北省,2016,3368,3352,217,88,14,4,2,
420000,湖北省,2015,3218,3202,219,90,13,4,3,
420000,湖北省,2014,3217,3199,228,95,14,4,4,
420000,湖北省,2013,3197,3177,276,132,16,4,4,
420000,湖北省,2012,2774,2755,265,130,15,3,4,
420000,湖北省,2011,2640,2621,264,140,15,4,4,
420000,湖北省,2010,2846,2822,287,156,18,5,6,
420000,湖北省,2009,2860,2834,306,173,21,8,5,
420000,湖北省,2008,2972,2947,326,189,22,8,3,
420000,湖北省,2007,2490,2472,314,221,11,2,7,1
420000,湖北省,2006,2271,2195,315,221,10,2,8,
420000,湖北省,2005,2072,2052,345,304,12,3,8,
420000,湖北省,2004,2417,,715,326,,,,
420000,湖北省,2003,1746,1730,402,366,7,2,9,
420000,湖北省,2002,1579,1559,356,468,12,2,8,
420000,湖北省,2001,1637,1611,387,763,19,3,7,
420000,湖北省,2000,1959,1920,473,1094,32,3,7,
430000,湖南省,2019,2986,2981,166,136,4,1,1,1
430000,湖南省,2018,2580,2576,142,131,3,1,1,1
430000,湖南省,2017,2280,2273,175,161,6,1,1,1
430000,湖南省,2016,2067,2061,183,173,4,1,2,1
430000,湖南省,2015,2022,2014,182,179,5,1,3,1
430000,湖南省,2014,2030,2021,194,186,6,2,3,1
430000,湖南省,2013,1984,1975,239,239,6,2,3,1
430000,湖南省,2012,1906,1896,238,240,6,2,4,1
430000,湖南省,2011,1862,1852,250,267,8,2,2,1
430000,湖南省,2010,1822,1813,248,265,7,2,2,1
430000,湖南省,2009,1843,1836,248,225,4,1,3,1
430000,湖南省,2008,1925,1914,262,280,7,2,4,1
430000,湖南省,2007,1782,1768,250,335,10,4,4,2
430000,湖南省,2006,1707,1742,242,374,11,3,1,1
430000,湖南省,2005,1753,1739,245,410,11,3,3,1
430000,湖南省,2004,1616,,379,,,,,
430000,湖南省,2003,1585,1580,273,537,5,1,,
430000,湖南省,2002,1418,1411,270,571,7,1,,
430000,湖南省,2001,1456,1452,275,778,4,1,,
430000,湖南省,2000,1754,1751,309,1200,3,1,,
440000,广东省,2019,6643,6587,238,231,45,12,11,4
440000,广东省,2018,5746,5685,235,273,51,11,10,4
440000,广东省,2017,4902,4843,245,283,49,10,10,4
440000,广东省,2016,4437,4384,265,297,47,9,6,3
440000,广东省,2015,4311,4254,273,311,50,9,7,3
440000,广东省,2014,4387,4327,299,336,52,8,8,5
440000,广东省,2013,4395,4334,372,378,52,10,9,7
440000,广东省,2012,4144,4085,373,390,50,10,9,7
440000,广东省,2011,4191,4121,386,435,54,11,16,9
440000,广东省,2010,4249,4174,404,447,60,14,15,8
440000,广东省,2009,4255,4176,410,498,63,16,16,6
440000,广东省,2008,4311,4229,413,531,65,15,17,6
440000,广东省,2007,4145,4061,460,530,62,10,22,7
440000,广东省,2006,4039,4029,488,558,63,11,22,6
440000,广东省,2005,4129,4034,514,594,70,9,25,4
440000,广东省,2004,3714,,,,,,,
440000,广东省,2003,3367,3279,541,728,72,7,16,1
440000,广东省,2002,3885,3785,675,1200,88,12,12,3
440000,广东省,2001,3074,3002,683,1136,64,7,8,
440000,广东省,2000,2773,2703,676,1309,58,2,12,
450000,广西壮族自治区,2019,1630,1630,90,136,,,,
450000,广西壮族自治区,2018,1385,1384,83,140,1,,,
450000,广西壮族自治区,2017,1235,1233,98,145,1,,1,1
450000,广西壮族自治区,2016,1139,1136,103,161,3,,,
450000,广西壮族自治区,2015,1071,1069,105,167,2,,,
450000,广西壮族自治区,2014,1079,1076,113,178,3,1,,
450000,广西壮族自治区,2013,1092,1088,129,200,3,1,1,
450000,广西壮族自治区,2012,1053,1049,125,205,3,1,1,
450000,广西壮族自治区,2011,1014,1009,127,213,4,1,1,
450000,广西壮族自治区,2010,977,973,140,210,2,,2,
450000,广西壮族自治区,2009,994,990,144,233,2,,2,
450000,广西壮族自治区,2008,1122,1115,156,254,5,1,2,
450000,广西壮族自治区,2007,1029,1024,146,278,3,,2,
450000,广西壮族自治区,2006,995,972,157,275,4,,2,
450000,广西壮族自治区,2005,994,989,151,297,4,,1,
450000,广西壮族自治区,2004,1017,,,,,,,
450000,广西壮族自治区,2003,892,886,181,343,3,,3,
450000,广西壮族自治区,2002,918,908,200,386,6,,4,
450000,广西壮族自治区,2001,969,960,244,531,4,,5,
450000,广西壮族自治区,2000,1078,1067,260,623,4,1,7,
460000,海南省,2019,213,213,11,11,,,,
460000,海南省,2018,194,193,11,12,,,1,
460000,海南省,2017,152,151,15,14,1,,,
460000,海南省,2016,155,154,16,16,1,,,
460000,海南省,2015,148,147,16,19,1,,,
460000,海南省,2014,149,148,16,19,1,,,
460000,海南省,2013,146,145,23,21,1,,,
460000,海南省,2012,120,119,23,21,1,,,
460000,海南省,2011,121,121,26,22,,,,
460000,海南省,2010,104,104,28,27,,,,
460000,海南省,2009,139,139,33,28,,,,
460000,海南省,2008,149,148,35,29,,,1,
460000,海南省,2007,100,96,33,31,,,4,1
460000,海南省,2006,106,117,37,33,,,3,1
460000,海南省,2005,122,119,38,33,1,,2,1
460000,海南省,2004,152,,,,,,,
460000,海南省,2003,105,101,43,28,2,,2,1
460000,海南省,2002,204,196,103,54,6,3,2,1
460000,海南省,2001,240,230,137,63,7,2,3,1
460000,海南省,2000,239,233,135,79,3,1,3,2
500000,重庆市,2019,2939,2932,92,42,4,2,3,1
500000,重庆市,2018,2770,2765,86,44,3,2,2,1
500000,重庆市,2017,2707,2700,92,60,6,2,1,1
500000,重庆市,2016,2577,2572,92,71,4,2,1,1
500000,重庆市,2015,2492,2486,90,81,4,2,2,1
500000,重庆市,2014,2426,2421,100,88,3,1,2,1
500000,重庆市,2013,2394,2388,126,108,3,1,3,1
500000,重庆市,2012,2334,2328,123,109,2,1,4,2
500000,重庆市,2011,2305,2301,124,120,1,,3,1
500000,重庆市,2010,2326,2318,122,128,5,2,3,1
500000,重庆市,2009,2365,2358,134,143,5,1,2,1
500000,重庆市,2008,2382,2373,147,143,5,2,4,1
500000,重庆市,2007,2403,2391,144,194,8,2,4,
500000,重庆市,2006,2332,2361,127,207,8,2,4,
500000,重庆市,2005,2198,2185,119,235,8,2,5,
500000,重庆市,2004,2442,2429,117,234,,,,
500000,重庆市,2003,1720,1707,124,288,7,1,6,1
500000,重庆市,2002,1702,1688,133,361,11,1,3,1
500000,重庆市,2001,1685,1668,146,490,12,1,5,1
500000,重庆市,2000,1737,1716,171,819,12,1,9,1
510000,四川省,2019,5826,5822,178,95,2,1,2,1
510000,四川省,2018,5230,5228,259,102,1,1,1,
510000,四川省,2017,4501,4490,179,129,7,2,4,1
510000,四川省,2016,3809,3802,183,157,4,2,3,1
510000,四川省,2015,3449,3442,178,171,4,2,3,2
510000,四川省,2014,3415,3408,176,187,4,2,3,2
510000,四川省,2013,3389,3381,209,251,4,3,4,2
510000,四川省,2012,3193,3183,192,262,6,4,4,2
510000,四川省,2011,3275,3264,214,273,7,4,4,2
510000,四川省,2010,3414,3401,240,297,7,4,6,3
510000,四川省,2009,3380,3368,245,330,6,3,6,2
510000,四川省,2008,3887,3872,271,370,6,2,9,5
510000,四川省,2007,3180,3169,280,402,5,2,6,2
510000,四川省,2006,3174,3371,295,454,5,2,8,2
510000,四川省,2005,3500,3486,310,524,7,3,7,1
510000,四川省,2004,3786,,,,,,,
510000,四川省,2003,3400,3379,334,773,15,6,6,
510000,四川省,2002,3324,3302,373,925,15,7,7,
510000,四川省,2001,3050,3033,365,1068,12,5,5,
510000,四川省,2000,3290,3268,380,1675,15,5,7,1
520000,贵州省,2019,1449,1448,117,46,,,1,1
520000,贵州省,2018,1202,1201,91,50,1,,,
520000,贵州省,2017,1029,1029,101,54,,,,
520000,贵州省,2016,891,890,98,65,1,,,
520000,贵州省,2015,742,742,86,70,,,,
520000,贵州省,2014,708,708,89,78,,,,
520000,贵州省,2013,605,605,103,91,,,,
520000,贵州省,2012,558,558,100,95,,,,
520000,贵州省,2011,528,528,98,91,,,,
520000,贵州省,2010,550,549,105,99,,,1,
520000,贵州省,2009,574,573,107,104,,,1,
520000,贵州省,2008,608,607,118,115,1,,,
520000,贵州省,2007,581,578,115,114,3,,,
520000,贵州省,2006,567,583,124,128,3,,,
520000,贵州省,2005,580,577,131,143,3,,,
520000,贵州省,2004,523,,,,,,,
520000,贵州省,2003,541,539,141,176,2,,,
520000,贵州省,2002,590,585,154,234,4,1,1,
520000,贵州省,2001,633,630,141,344,2,1,1,
520000,贵州省,2000,620,618,155,362,2,1,,
530000,云南省,2019,3156,3154,91,105,1,,1,
530000,云南省,2018,2843,2842,85,105,1,,,
530000,云南省,2017,2656,2654,89,128,1,,1,
530000,云南省,2016,2544,2542,95,135,1,,1,
530000,云南省,2015,2417,2414,90,141,2,1,1,
530000,云南省,2014,2304,2300,84,150,2,1,2,
530000,云南省,2013,2236,2232,105,183,3,1,1,
530000,云南省,2012,2080,2076,103,179,3,1,1,
530000,云南省,2011,1967,1963,99,182,3,1,1,
530000,云南省,2010,1932,1930,97,183,1,,1,
530000,云南省,2009,1927,1924,94,200,3,,,
530000,云南省,2008,1941,1937,102,213,3,,1,
530000,云南省,2007,1721,1717,102,233,4,,,
530000,云南省,2006,1712,1711,107,255,3,,,
530000,云南省,2005,1528,1525,107,280,3,,,
530000,云南省,2004,1663,,122,325,,,,
530000,云南省,2003,1215,1206,120,315,8,1,1,1
530000,云南省,2002,1296,1287,152,448,8,1,1,1
530000,云南省,2001,1417,1407,170,598,9,1,1,1
530000,云南省,2000,1402,1394,190,747,7,,1,1
540000,西藏自治区,2019,278,278,20,6,,,,
