年份,中国同亚洲进出口总额,中国同阿富汗进出口总额,中国同巴林进出口总额,中国同孟加拉国进出口总额,中国同不丹进出口总额,中国同文莱进出口总额,中国同缅甸进出口总额,中国同柬埔寨进出口总额,中国同塞浦路斯进出口总额,中国同朝鲜进出口总额,中国同中国香港进出口总额,中国同印度进出口总额,中国同印度尼西亚进出口总额,中国同伊朗进出口总额,中国同伊拉克进出口总额,中国同以色列进出口总额,中国同日本进出口总额,中国同约旦进出口总额,中国同科威特进出口总额,中国同老挝进出口总额,中国同黎巴嫩进出口总额,中国同中国澳门进出口总额,中国同马来西亚进出口总额,中国同马尔代夫进出口总额,中国同蒙古进出口总额,中国同尼泊尔进出口总额,中国同阿曼进出口总额,中国同巴基斯坦进出口总额,中国同巴勒斯坦进出口总额,中国同菲律宾进出口总额,中国同卡塔尔进出口总额,中国同沙特阿拉伯进出口总额,中国同新加坡进出口总额,中国同韩国进出口总额,中国同斯里兰卡进出口总额,中国同叙利亚进出口总额,中国同泰国进出口总额,中国同土耳其进出口总额,中国同阿联酋进出口总额,中国同也门共和国进出口总额,中国同越南进出口总额,中国同中华人民共和国进出口总额,中国同中国台湾进出口总额,中国同东帝汶进出口总额,中国同哈萨克斯坦进出口总额,中国同吉尔吉斯斯坦进出口总额,中国同塔吉克斯坦进出口总额,中国同土库曼斯坦进出口总额,中国同乌兹别克斯坦进出口总额,中国同亚洲其他国家(地区)进出口总额
2009,117217138.0,21489.0,68650.0,458166.0,417.0,42244.0,290012.0,94415.0,121917.0,267946.0,17493106.6779,4338331.7017,2838876.0,2121909.0,514795.0,517807.0,22878256.377,207065.0,504354.0,75180.0,106584.0,209630.0,5196769.0,4079.0,242900.0,41416.0,615873.0,678834.0,2432.0,2053900.0,225387.0,3254839.0,4785587.0,15621478.7766,163931.0,222059.0,3819082.0,1009475.0,2122688.0,240595.0,2104518.0,8641218.0,10622150.7375,2328.0,1412913.0,533028.0,140669.0,95744.0,192087.0,5.0
2008,136670463.59170002,15431.9778,78639.3713,468798.3568,846.3342,21942.7674,262531.52119999996,113437.1467,113545.7624,279284.3889,20364488.0402,5184426.6927,3151604.9095,2775762.3419,265282.5912,604982.4940000001,26673249.5613,194930.6526,679011.5986,40237.229100000004,109672.312,290796.456,5355656.5071,3297.0845,243343.4802,38158.7843,1242136.2539000001,705786.5774,4102.983,2863697.5059,238578.9965,4184616.5891,5247706.9905,18606991.0615,169063.4279,230322.0239,4129309.1361,1256924.5256999999,2825693.9666,439445.6992,1945845.0102,9246120.0149,12921499.0581,953.2522,1755233.83,933337.7573,149992.6289,83037.6105,160669.6092,40.7213
2007,118780057.8999,17181.3722,48714.5971,345906.4734,539.2665,35875.6771,207783.991,93399.3506,70585.1241,197632.8369,19724044.952,3862855.8321999996,2499641.1837,2058964.5976,145318.06629999998,530993.652,23595095.7543,118135.6277,362925.5649,26385.5809,71734.3777,292136.8427,4638631.7702,2507.1208,203459.8799,40036.734,727029.113,689327.1318,3765.292,3061576.0177,120888.1379,2536696.674,4714398.0635,15985081.0769,143211.132,187673.7346,3463811.8809,1176802.2344,2003564.7618000002,270834.2364,1511757.7865,8577297.6295,12448687.5926,950.7306,1387776.5654999998,377923.1313,52405.0539,35267.8394,112818.8947,26.5362
2006,98109410.3955,10067.271,34873.4182,318923.8197,16.1386,31494.1877,146006.7637,73285.6112,35369.4218,170008.6616,16608883.0767,2485874.5905,1905545.5016,1444740.7814,114443.1018,387572.0262,20729525.4218,103097.9625,278531.048,21836.360699999997,50804.0384,244242.5,3710950.8084,1600.0394,158097.7807,26808.1152,646901.5634,524657.8943,2807.2244,2341269.5541,99878.974,2014036.6083,4085790.7371,13424634.9001,114124.6025,140621.4411,2772649.309,806923.6422,1420152.5534,303481.3658,994943.1315,7333283.4178,10783171.8151,1675.8409,835775.3686,222570.1147,32377.997,17858.2867,97209.0302,16.5544
2005,80788703.0,5272.0,25594.0,248134.0,47.2,26087.0,120925.0,56334.0,29012.0,158024.0,13669803.0,1870050.0,1678733.0,1008327.0,82379.0,302788.0,18439396.0,91068.0,164897.0,12893.0,47623.0,186961.0,3069956.0,1696.0,85992.0,19644.0,432990.0,426083.0,2383.0,1755732.0,67639.0,1607014.0,3314686.0,11192818.0,97627.0,90637.0,2181119.0,487547.0,1077544.0,321479.0,819674.0,5516291.0,9122989.0,127.0,680611.0,97220.0,15794.0,10996.0,68056.0,23.0
2004,66490646.8,5792.0,21296.6,196327.5,51.9,29894.6,114537.6,48170.6,18691.8,138516.1,11266528.8,1361403.8,1347209.4,704545.5,46980.3,248484.9,16783576.9,71076.0,124811.0,11353.7,49355.7,183347.8,2626079.6,809.0,69442.3,17147.5,438950.7,306054.1,991.8,1332816.1,43777.7,1029810.3,2668207.3,9004566.3,71744.6,72066.9,1734208.0,341267.3,814561.2,191625.1,674201.7,3865453.8,7830374.2,170.9,449808.5,60228.7,6892.7,9843.8,57550.9,43.3
2003,49547835.0,2705.9,13528.0,136805.8,197.8,34626.2,107974.0,32064.7,21947.9,102308.5,8739303.0,759461.0,1022886.0,562252.0,5638.1,183130.0,13355683.0,52481.0,118824.0,10943.7,37010.2,146563.0,2012730.0,335.2,43984.0,12736.0,206771.5,242993.0,692.5,939952.0,35488.0,731912.0,1934862.0,6322282.0,52423.6,50628.1,1265475.0,259781.0,581046.0,189923.1,463945.0,2509430.0,5836447.0,107.0,329188.0,31429.7,3881.6,8292.4,34703.3,59.9
2002,36303033.0,1999.0,10968.0,109863.0,64.0,26283.0,86164.0,27611.0,22591.0,73823.0,6918939.0,494503.0,793480.0,373957.0,51706.0,141709.0,10189984.0,35803.0,72733.0,6396.0,28027.0,101839.0,1427051.0,298.0,36345.0,11035.0,150665.0,179961.0,448.0,525940.0,22355.0,510689.0,1403078.0,4410257.0,35109.0,37108.0,855695.0,137783.0,389626.0,73110.0,326427.0,1498019.0,4464711.0,,195475.0,20188.0,1239.0,8752.0,13177.0,56.0
2001,28813909.0,1742.0,12977.0,97187.0,162.0,16539.0,63154.0,24041.0,11761.0,73986.0,5596959.0,359624.0,672461.0,331289.0,46999.0,131591.0,8775448.0,27429.0,64249.0,6187.0,23824.0,86258.0,942547.0,220.0,36235.0,15321.0,167632.0,139695.0,494.0,356553.0,40861.0,407519.0,1093440.0,3590990.0,39675.0,22319.0,705030.0,90502.0,282499.0,66105.0,281520.0,876769.0,3233969.0,,128837.0,11886.0,1076.0,3271.0,5830.0,147.0
2000,27365011.0,2529.0,12111.0,91844.0,,7437.0,62126.0,22355.0,15243.0,48801.0,5394730.0,291421.0,746377.0,248650.0,97490.0,105419.0,8316399.0,25310.0,61552.0,4084.0,16935.0,80485.0,804487.0,136.0,32261.0,20421.0,332131.0,116250.0,,314173.0,47218.0,309826.0,1082067.0,3449977.0,45830.0,17407.0,662404.0,120464.0,249450.0,91182.0,246641.0,,3053256.0,,155696.0,17761.0,1717.0,1616.0,5146.0,
